dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,64.06,68.25,64.0,68.0,6.01181915813,802044,0.0,1.0
1999-11-04,68.31,70.0,67.38,68.81,6.08343053339,590430,0.0,1.0
1999-11-05,69.44,69.69,67.75,69.0,6.10022826339,725452,0.0,1.0
1999-11-08,69.19,69.19,67.69,68.5,6.05602371076,397600,0.0,1.0
1999-11-09,68.75,68.88,65.63,66.25,5.85710322391,638667,0.0,1.0
1999-11-10,66.44,67.5,64.56,65.13,5.75808502601,610578,0.0,1.0
1999-11-11,66.25,68.25,64.75,65.13,5.75808502601,468444,0.0,1.0
1999-11-12,65.25,65.75,61.38,65.38,5.78018730233,522578,0.0,1.0
1999-11-15,65.75,66.06,62.56,64.13,5.66967592075,366252,0.0,1.0
1999-11-16,64.19,66.25,63.69,66.0,5.83500094759,544800,0.0,1.0
1999-11-17,66.03,68.03,63.5,63.75,5.63608046075,599467,0.0,1.0
1999-11-18,64.69,67.88,64.0,67.44,5.96231005918,447230,0.0,1.0
1999-11-19,67.81,69.25,66.5,67.0,5.92341005286,677244,0.0,1.0
1999-11-22,66.94,67.5,64.63,66.06,5.84030549391,354252,0.0,1.0
1999-11-23,67.31,67.38,62.88,63.25,5.59187590811,807585,0.0,1.0
1999-11-24,63.25,65.0,62.25,65.0,5.74659184233,396178,0.0,1.0
1999-11-26,65.06,67.0,64.75,65.63,5.80228957865,68652,0.0,1.0
1999-11-29,65.28,65.38,63.25,63.63,5.62547136811,379763,0.0,1.0
1999-11-30,64.44,64.5,62.25,63.38,5.6033690918,370667,0.0,1.0
1999-12-01,63.0,68.5,63.0,67.13,5.93490323655,1451644,0.0,1.0
1999-12-02,69.0,71.44,68.19,71.16,6.29119193077,995052,0.0,1.0
1999-12-03,72.31,75.25,70.44,72.0,6.36545557919,1385985,0.0,1.0
1999-12-06,73.13,77.0,71.75,73.06,6.45916923078,1116978,0.0,1.0
1999-12-07,72.94,73.25,69.5,70.88,6.2664373813,658785,0.0,1.0
1999-12-08,71.38,71.38,66.75,69.0,6.10022826339,1069778,0.0,1.0
1999-12-09,69.0,72.38,69.0,70.0,6.18863736866,929778,0.0,1.0
1999-12-10,69.63,72.5,68.5,70.25,6.21073964498,477067,0.0,1.0
1999-12-13,70.13,72.38,68.69,69.31,6.12763508603,387763,0.0,1.0
1999-12-14,69.44,69.47,61.13,62.0,5.48136452653,777600,0.0,1.0
1999-12-15,61.75,64.5,59.75,60.69,5.36554859863,1344830,0.0,1.0
1999-12-16,64.13,65.75,63.5,64.63,5.71388047338,1215644,0.0,1.0
1999-12-17,65.38,67.0,64.38,66.19,5.8517986776,1084978,0.0,1.0
1999-12-20,67.0,67.0,65.5,65.81,5.81820321759,502667,0.0,1.0
1999-12-21,65.81,68.81,64.19,68.81,6.08343053339,764978,0.0,1.0
1999-12-22,69.75,70.88,66.69,68.31,6.03922598076,345778,0.0,1.0
1999-12-23,69.63,70.5,66.88,66.94,5.91810550655,402044,0.0,1.0
1999-12-27,68.75,70.0,66.69,67.0,5.92341005286,486044,0.0,1.0
1999-12-28,68.44,68.5,67.0,67.25,5.94551232918,244800,0.0,1.0
1999-12-29,66.88,69.75,66.06,69.0,6.10022826339,268030,0.0,1.0
1999-12-30,69.13,69.63,67.56,67.88,6.0012100655,153363,0.0,1.0
1999-12-31,68.38,69.25,67.5,68.44,6.05071916445,178785,0.0,1.0
2000-01-03,68.53,69.38,64.88,68.13,6.02331234181,866252,0.0,1.0
2000-01-04,69.19,69.38,63.0,63.06,5.57507817811,914785,0.0,1.0
2000-01-05,63.75,64.63,61.0,63.25,5.59187590811,637185,0.0,1.0
2000-01-06,62.56,63.63,60.38,61.88,5.4707554339,729452,0.0,1.0
2000-01-07,62.31,62.31,58.75,60.25,5.32664859231,1020830,0.0,1.0
2000-01-10,61.88,65.5,61.5,64.63,5.71388047338,1223852,0.0,1.0
2000-01-11,64.13,65.69,61.56,62.31,5.50877134916,783052,0.0,1.0
2000-01-12,63.13,68.5,62.5,67.31,5.95081687549,1358844,0.0,1.0
2000-01-13,69.38,71.5,67.25,71.25,6.29914875024,1111763,0.0,1.0
