dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,20.13,20.75,19.75,20.69,17.3144543581,2566100,0.0,1.0
1999-11-04,20.94,21.38,20.38,20.5,17.1554526023,2068900,0.0,1.0
1999-11-05,20.69,20.88,20.06,20.13,16.8458176041,1870800,0.0,1.0
1999-11-08,20.38,20.63,19.63,20.31,16.9964508465,1568000,0.0,1.0
1999-11-09,20.31,20.38,19.88,20.13,16.8458176041,925400,0.0,1.0
1999-11-10,20.19,20.19,19.69,19.94,16.6868158483,1327000,0.0,1.0
1999-11-11,19.56,20.13,19.56,20.13,16.8458176041,1241000,0.0,1.0
1999-11-12,20.0,21.31,19.81,21.31,17.8333021929,2387400,0.0,1.0
1999-11-15,21.5,22.38,21.0,21.63,18.1010946238,3438800,0.0,1.0
1999-11-16,22.06,23.06,21.56,23.06,19.2977920492,2260500,0.0,1.0
1999-11-17,23.0,24.38,23.0,23.5,19.6660066417,2579400,0.0,1.0
1999-11-18,23.75,24.13,22.56,22.81,19.0885792126,1307300,0.0,1.0
1999-11-19,22.56,23.75,22.56,23.13,19.3563716435,1380100,0.0,1.0
1999-11-22,23.25,23.63,22.75,23.13,19.3563716435,1413500,0.0,1.0
1999-11-23,22.88,23.06,22.0,22.44,18.7789442144,1413000,0.0,1.0
1999-11-24,22.0,22.88,21.88,22.38,18.7287331337,1212700,0.0,1.0
1999-11-26,22.38,22.69,22.13,22.38,18.7287331337,593900,0.0,1.0
1999-11-29,22.31,22.75,22.19,22.69,19.0383681318,990500,0.06,1.0
1999-11-30,22.69,23.94,22.69,23.38,19.6173224734,1993400,0.0,1.0
1999-12-01,23.13,23.31,22.75,23.25,19.5082441192,1083800,0.0,1.0
1999-12-02,22.88,23.25,22.88,23.0,19.2984780534,1099500,0.0,1.0
1999-12-03,23.25,23.25,22.38,22.5,18.8789459218,1136400,0.0,1.0
1999-12-06,22.25,22.5,21.88,22.38,18.7782582102,1042500,0.0,1.0
1999-12-07,22.25,22.25,21.69,21.75,18.2496477244,1311900,0.0,1.0
1999-12-08,21.56,22.5,21.56,21.63,18.1489600129,1195600,0.0,1.0
1999-12-09,21.56,22.44,21.56,22.0,18.4594137902,1133000,0.0,1.0
1999-12-10,21.75,21.75,20.88,21.0,17.620349527,1647200,0.0,1.0
1999-12-13,20.5,21.13,20.44,20.5,17.2008173954,1510600,0.0,1.0
1999-12-14,20.25,20.63,20.06,20.44,17.1504735397,1355700,0.0,1.0
1999-12-15,20.19,20.88,20.19,20.69,17.3602396055,1311200,0.0,1.0
1999-12-16,20.56,20.69,20.06,20.13,16.8903636181,1607100,0.0,1.0
1999-12-17,20.5,21.19,20.25,20.81,17.460927317,2070000,0.0,1.0
1999-12-20,20.81,20.81,20.0,20.38,17.1001296839,1531900,0.0,1.0
1999-12-21,20.13,20.75,20.13,20.56,17.2511612512,1571900,0.0,1.0
1999-12-22,20.69,21.38,20.38,20.69,17.3602396055,1440300,0.0,1.0
1999-12-23,20.88,21.38,20.88,20.94,17.5700056713,2249400,0.0,1.0
1999-12-27,21.13,21.38,20.5,20.69,17.3602396055,2483800,0.0,1.0
1999-12-28,20.69,22.0,20.38,22.0,18.4594137902,2279900,0.0,1.0
1999-12-29,22.13,22.81,22.13,22.38,18.7782582102,1822800,0.0,1.0
1999-12-30,22.63,23.31,22.44,23.13,19.4075564076,1561200,0.0,1.0
1999-12-31,23.38,23.56,22.5,22.5,18.8789459218,853000,0.0,1.0
2000-01-03,23.0,23.44,22.88,23.44,19.6676663292,1810300,0.0,1.0
2000-01-04,23.13,23.13,21.75,21.94,18.4090699344,1153400,0.0,1.0
2000-01-05,22.06,22.25,21.5,21.81,18.2999915802,1309500,0.0,1.0
