dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,51.0,52.88,51.0,52.0,10.3354713029,389500,0.0,1.0
1999-11-02,52.38,54.0,52.25,53.25,10.5839201323,329200,0.0,1.0
1999-11-03,53.38,53.94,53.38,53.81,10.6952252079,276100,0.0,1.0
1999-11-04,53.63,54.5,53.5,54.0,10.73298943,156400,0.0,1.0
1999-11-05,54.13,54.56,53.75,53.81,10.6952252079,175500,0.0,1.0
1999-11-08,54.06,54.31,53.88,54.13,10.7588281082,124600,0.0,1.0
1999-11-09,54.13,54.44,53.44,54.38,10.8085178741,199300,0.0,1.0
1999-11-10,54.38,54.38,52.94,53.0,10.5342303664,140400,0.0,1.0
1999-11-11,53.0,53.63,52.63,53.63,10.6594485765,133800,0.0,1.0
1999-11-12,54.25,54.25,53.0,53.44,10.6216843544,158500,0.0,1.0
1999-11-15,53.13,53.31,46.81,47.25,9.39136575122,2710900,0.0,1.0
1999-11-16,48.81,50.75,48.69,50.69,10.0750969297,914500,0.0,1.0
1999-11-17,50.0,50.0,47.81,47.88,9.51658396123,467900,0.0,1.0
1999-11-18,48.25,50.0,46.56,49.88,9.91410208827,641400,0.0,1.0
1999-11-19,49.88,49.88,48.69,49.56,9.85049918794,439000,0.0,1.0
1999-11-22,49.5,49.75,49.25,49.5,9.83857364413,428200,0.0,1.0
1999-11-23,49.75,49.81,48.94,49.75,9.88826341001,93200,0.0,1.0
1999-11-24,49.63,50.06,49.0,49.63,9.86441232239,307100,0.0,1.0
1999-11-26,49.13,49.25,48.63,48.88,9.71534302475,39000,0.0,1.0
1999-11-29,48.63,49.31,48.63,48.94,9.72726856856,131000,0.0,1.0
1999-11-30,49.06,49.56,48.75,49.38,9.81472255651,220800,0.0,1.0
1999-12-01,49.38,49.5,48.0,48.06,9.55236059267,160600,0.0,1.0
1999-12-02,48.31,48.75,48.25,48.31,9.60205035854,170600,0.0,1.0
1999-12-03,48.5,49.19,48.38,48.94,9.72726856856,193900,0.0,1.0
1999-12-06,48.69,48.69,47.25,47.63,9.46689419535,156000,0.0,1.0
1999-12-07,47.5,50.0,47.5,49.75,9.88826341001,205800,0.0,1.0
1999-12-08,49.81,49.94,49.38,49.94,9.92602763208,128200,0.0,1.0
1999-12-09,49.75,50.38,48.13,49.25,9.78888387825,223000,0.0,1.0
1999-12-10,49.25,49.25,46.75,47.75,9.49074528297,251300,0.0,1.0
1999-12-13,47.63,47.69,45.75,46.38,9.21844536596,622600,0.0,1.0
1999-12-14,48.0,48.75,47.38,47.38,9.41720442947,579300,0.0,1.0
1999-12-15,47.38,48.88,47.38,48.69,9.67757880268,202400,0.0,1.0
1999-12-16,48.88,49.25,48.81,49.0,9.73919411237,172800,0.0,1.0
1999-12-17,48.56,49.31,48.5,48.56,9.65174012442,223400,0.0,1.0
1999-12-20,48.31,49.75,48.25,49.69,9.8763378662,123800,0.0,1.0
1999-12-21,49.69,49.75,48.56,49.0,9.73919411237,86700,0.0,1.0
1999-12-22,49.0,49.38,48.75,48.94,9.72726856856,40700,0.0,1.0
1999-12-23,48.94,50.25,48.94,49.75,9.88826341001,120100,0.0,1.0
1999-12-27,49.63,49.69,48.0,48.94,9.72726856856,62600,0.0,1.0
1999-12-28,48.75,50.13,48.75,49.38,9.81472255651,73000,0.0,1.0
1999-12-29,49.5,49.63,48.81,48.81,9.7014298903,33000,0.0,1.0
1999-12-30,48.69,52.0,48.69,51.5,10.2360917712,167100,0.0,1.0
1999-12-31,51.13,51.19,50.13,50.31,9.99956848558,152400,0.0,1.0
2000-01-03,50.31,50.31,47.19,47.25,9.39136575122,255500,0.0,1.0
2000-01-04,47.25,47.69,46.25,46.81,9.30391176327,102000,0.0,1.0
2000-01-05,46.75,46.75,45.75,46.06,9.15484246563,125400,0.0,1.0
2000-01-06,45.25,48.0,44.81,47.75,9.49074528297,335300,0.0,1.0
2000-01-07,47.75,48.38,47.25,47.25,9.39136575122,115600,0.0,1.0
2000-01-10,47.38,48.75,46.0,48.31,9.60205035854,157100,0.0,1.0
2000-01-11,48.38,48.38,45.88,45.88,9.1190658342,147300,0.0,1.0
2000-01-12,45.94,47.25,44.75,46.75,9.29198621946,343100,0.0,1.0
2000-01-13,46.88,46.94,45.56,45.63,9.06937606832,154300,0.0,1.0
2000-01-14,45.88,46.63,45.5,46.13,9.16875560008,84000,0.0,1.0
2000-01-18,46.38,46.75,45.63,46.13,9.16875560008,97300,0.0,1.0
2000-01-19,45.88,47.63,45.75,47.56,9.45298106091,277900,0.0,1.0
2000-01-20,48.75,49.56,47.38,47.44,9.42912997328,549000,0.0,1.0
2000-01-21,46.5,46.5,44.75,46.06,9.15484246563,483600,0.0,1.0
2000-01-24,46.25,46.56,43.63,43.81,8.70763457271,186800,0.0,1.0
2000-01-25,43.81,43.81,42.94,43.5,8.64601926302,360400,0.0,1.0
2000-01-26,43.94,43.94,43.0,43.13,8.57247840952,193600,0.0,1.0
2000-01-27,43.06,43.31,41.38,41.94,8.33595512394,509400,0.0,1.0
2000-01-28,41.88,42.63,41.38,41.56,8.2604266798,424500,0.0,1.0
2000-01-31,41.69,42.06,41.25,41.38,8.22465004837,273100,0.0,1.0
2000-02-01,42.25,43.44,42.13,42.88,8.52278864364,414600,0.0,1.0
2000-02-02,42.63,43.44,42.38,42.5,8.44726019951,289600,0.0,1.0
2000-02-03,42.75,42.94,42.06,42.13,8.373719346,83500,0.0,1.0
2000-02-04,42.56,44.31,42.56,44.31,8.80701410447,282600,0.0,1.0
2000-02-07,44.13,44.13,42.38,42.56,8.45918574332,158700,0.0,1.0
2000-02-08,42.88,43.75,42.75,42.81,8.52875141555,170500,0.1,1.0
2000-02-09,43.06,43.25,42.25,42.38,8.44308537704,110600,0.0,1.0
2000-02-10,42.56,42.69,42.0,42.63,8.49289121338,47300,0.0,1.0
2000-02-11,42.69,43.0,42.19,42.19,8.40523294142,81800,0.0,1.0
2000-02-14,42.38,42.88,42.0,42.13,8.39327954069,88900,0.0,1.0
2000-02-15,42.13,42.44,41.5,42.19,8.40523294142,325800,0.0,1.0
2000-02-16,42.0,42.44,41.75,42.0,8.36738050579,187100,0.0,1.0
2000-02-17,41.88,43.69,41.88,43.25,8.61640968751,118500,0.0,1.0
