dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,31.44,31.75,31.31,31.31,5.00511964201,182600,0.0,1.0
1999-11-02,31.56,32.5,31.44,32.5,5.19534935693,454300,0.0,1.0
1999-11-03,32.75,33.38,32.5,33.0,5.27527780857,220800,0.0,1.0
1999-11-04,33.0,34.0,32.94,32.94,5.26568639437,79800,0.0,1.0
1999-11-05,33.19,33.69,33.19,33.44,5.34561484602,119500,0.0,1.0
1999-11-08,33.44,34.38,33.31,34.19,5.46550752349,187300,0.0,1.0
1999-11-09,34.63,34.63,33.44,33.69,5.38557907184,163100,0.0,1.0
1999-11-10,33.44,33.5,32.69,33.13,5.296059206,78200,0.0,1.0
1999-11-11,33.19,33.19,32.94,32.94,5.26568639437,41400,0.0,1.0
1999-11-12,32.94,33.13,32.38,32.63,5.21613075435,93600,0.0,1.0
1999-11-15,32.38,32.5,32.06,32.31,5.1649765453,69200,0.0,1.0
1999-11-16,32.06,33.44,32.0,33.19,5.3056506202,61900,0.0,1.0
1999-11-17,33.06,33.63,32.63,33.38,5.33602343182,60900,0.0,1.0
1999-11-18,33.25,33.56,32.75,33.25,5.31524203439,49100,0.0,1.0
1999-11-19,33.19,33.19,32.63,33.06,5.28486922277,46400,0.0,1.0
1999-11-22,32.94,33.5,32.31,33.31,5.32483344859,79800,0.0,1.0
1999-11-23,33.31,33.38,32.56,32.69,5.22572216855,194600,0.0,1.0
1999-11-24,32.69,32.69,32.06,32.06,5.12501231948,155900,0.0,1.0
1999-11-26,32.13,32.13,31.75,31.87,5.09463950785,27000,0.0,1.0
1999-11-29,31.94,32.0,31.75,31.94,5.10582949108,94300,0.0,1.0
1999-11-30,32.0,32.31,31.81,32.06,5.12501231948,142900,0.0,1.0
1999-12-01,31.94,32.06,30.25,30.75,4.91559977617,253700,0.0,1.0
1999-12-02,30.81,32.13,30.75,31.94,5.10582949108,97800,0.0,1.0
1999-12-03,31.81,32.88,31.81,32.75,5.23531358275,82900,0.0,1.0
1999-12-06,32.5,32.5,31.69,31.81,5.08504809366,276700,0.0,1.0
1999-12-07,31.56,32.13,31.25,32.13,5.13620230271,136700,0.0,1.0
1999-12-08,31.87,31.94,30.87,31.06,4.96515541619,117200,0.0,1.0
1999-12-09,31.06,31.12,29.5,30.19,4.82607991033,136200,0.0,1.0
1999-12-10,30.31,30.75,30.19,30.69,4.90600836197,359900,0.0,1.0
1999-12-13,30.62,30.69,29.87,30.06,4.8052985129,43100,0.0,1.0
1999-12-14,29.81,29.94,29.62,29.75,4.75574287288,180100,0.0,1.0
1999-12-15,29.94,29.94,29.69,29.69,4.74615145868,189500,0.0,1.0
1999-12-16,29.56,29.75,29.06,29.37,4.69499724963,181000,0.0,1.0
1999-12-17,29.25,29.94,29.0,29.0,4.63585019541,259100,0.0,1.0
1999-12-20,29.0,29.5,28.62,28.69,4.58629455539,72400,0.0,1.0
1999-12-21,28.56,28.69,28.25,28.69,4.58629455539,84700,0.0,1.0
1999-12-22,28.75,29.37,28.37,29.06,4.64544160961,75100,0.0,1.0
1999-12-23,28.94,29.31,28.31,28.69,4.58629455539,81000,0.0,1.0
1999-12-27,28.56,29.12,28.5,29.0,4.63585019541,49000,0.0,1.0
1999-12-28,29.12,29.37,28.81,29.37,4.69499724963,40300,0.0,1.0
1999-12-29,28.87,29.06,28.37,29.06,4.67581442123,28600,0.19,1.0
1999-12-30,29.25,29.87,28.81,29.69,4.77718273112,76900,0.0,1.0
1999-12-31,29.69,30.0,29.69,29.75,4.78683685587,54400,0.0,1.0
2000-01-03,30.0,30.0,27.37,27.94,4.49560409254,208200,0.0,1.0
2000-01-04,27.87,28.37,27.56,28.31,4.55513786184,64900,0.0,1.0
2000-01-05,28.06,28.69,27.81,28.56,4.59536338164,114800,0.0,1.0
2000-01-06,28.31,28.44,27.31,28.19,4.53582961234,75400,0.0,1.0
2000-01-07,28.06,28.31,27.87,28.06,4.51491234204,40400,0.0,1.0
2000-01-10,27.81,27.81,26.75,26.81,4.31378474306,114100,0.0,1.0
2000-01-11,26.87,27.37,26.56,26.62,4.28321334801,162100,0.0,1.0
2000-01-12,26.37,26.75,25.12,26.62,4.28321334801,206600,0.0,1.0
2000-01-13,26.87,28.37,26.87,27.25,4.3845816579,259900,0.0,1.0
2000-01-14,27.37,28.12,27.37,27.5,4.4248071777,248800,0.0,1.0
2000-01-18,27.5,27.62,26.0,26.0,4.18345405892,255100,0.0,1.0
2000-01-19,26.0,26.19,24.75,25.44,4.09334889457,240100,0.0,1.0
2000-01-20,25.37,25.44,25.0,25.12,4.04186022923,110900,0.0,1.0
2000-01-21,25.37,25.44,24.56,25.0,4.02255197973,133700,0.0,1.0
2000-01-24,24.87,25.06,23.81,24.12,3.88095815004,209700,0.0,1.0
2000-01-25,24.25,24.62,23.75,24.06,3.87130402529,204100,0.0,1.0
2000-01-26,24.25,25.87,24.25,24.62,3.96140918963,411800,0.0,1.0
2000-01-27,25.37,26.25,25.19,25.37,4.08208574903,194800,0.0,1.0
2000-01-28,25.25,26.0,24.75,25.87,4.16253678862,184500,0.0,1.0
2000-01-31,25.75,26.69,25.75,26.44,4.25425097376,119900,0.0,1.0
2000-02-01,26.5,26.5,25.44,26.19,4.21402545396,106600,0.0,1.0
2000-02-02,26.0,26.06,24.31,24.75,3.98232645993,156700,0.0,1.0
2000-02-03,25.25,26.25,25.12,26.0,4.18345405892,272600,0.0,1.0
2000-02-04,26.37,27.5,26.0,27.25,4.3845816579,260400,0.0,1.0
2000-02-07,27.06,27.06,26.12,26.44,4.25425097376,154400,0.0,1.0
2000-02-08,26.37,27.37,26.37,27.0,4.3443561381,124300,0.0,1.0
2000-02-09,26.81,27.06,26.69,27.06,4.35401026286,97400,0.0,1.0
2000-02-10,27.06,27.5,27.0,27.12,4.36366438761,140300,0.0,1.0
2000-02-11,27.25,27.62,27.06,27.12,4.36366438761,205900,0.0,1.0
2000-02-14,27.06,27.19,26.94,27.06,4.35401026286,106200,0.0,1.0
2000-02-15,27.0,28.06,27.0,28.06,4.51491234204,190400,0.0,1.0
2000-02-16,27.81,27.87,27.37,27.5,4.4248071777,181300,0.0,1.0
2000-02-17,27.44,27.62,27.25,27.31,4.39423578265,106000,0.0,1.0
2000-02-18,27.12,27.62,27.12,27.5,4.4248071777,386200,0.0,1.0
2000-02-22,27.0,27.62,27.0,27.44,4.41515305295,62100,0.0,1.0
2000-02-23,27.44,28.06,27.37,28.06,4.51491234204,119500,0.0,1.0
2000-02-24,27.56,27.56,26.31,26.56,4.27355922326,159200,0.0,1.0
2000-02-25,26.31,26.5,26.19,26.31,4.23333370346,44100,0.0,1.0
2000-02-28,26.25,26.75,25.56,26.44,4.25425097376,94700,0.0,1.0
2000-02-29,26.56,27.37,26.31,27.37,4.4038899074,150100,0.0,1.0
2000-03-01,27.25,27.44,26.81,27.44,4.41515305295,117600,0.0,1.0
2000-03-02,27.31,27.44,26.62,26.69,4.29447649356,142000,0.0,1.0
2000-03-03,26.81,27.0,26.31,26.44,4.25425097376,56300,0.0,1.0
2000-03-06,26.19,26.25,25.25,25.75,4.14322853912,99200,0.0,1.0
2000-03-07,25.81,25.81,24.97,25.62,4.12231126882,156200,0.0,1.0
2000-03-08,25.37,26.5,24.87,26.25,4.22367957871,129600,0.0,1.0
2000-03-09,26.19,26.69,26.19,26.69,4.29447649356,69000,0.0,1.0
2000-03-10,26.56,26.94,26.37,26.44,4.25425097376,141600,0.0,1.0
2000-03-13,26.31,26.31,25.44,25.69,4.13357441437,180800,0.0,1.0
2000-03-14,26.0,26.75,25.69,26.19,4.21402545396,438500,0.0,1.0
2000-03-15,26.19,30.37,25.87,30.31,4.87694202022,524000,0.0,1.0
2000-03-16,29.87,31.0,29.37,30.87,4.96704718457,762400,0.0,1.0
2000-03-17,29.75,31.0,28.37,30.19,4.85763377072,405400,0.0,1.0
2000-03-20,30.19,31.5,30.19,30.44,4.89785929051,307200,0.0,1.0
2000-03-21,30.37,32.25,30.25,31.75,5.10864101425,337400,0.0,1.0
2000-03-22,31.75,32.63,31.75,31.94,5.1392124093,333700,0.0,1.0
2000-03-23,31.94,31.94,30.5,30.94,4.97831033011,111700,0.0,1.0
2000-03-24,30.81,30.81,29.5,29.75,4.78683685587,241800,0.0,1.0
2000-03-27,30.0,30.12,28.81,29.12,4.68546854599,174400,0.0,1.0
2000-03-28,29.25,29.69,29.0,29.5,4.74661133608,419000,0.0,1.0
2000-03-29,29.37,30.94,29.37,30.75,4.97831033011,371900,0.19,1.0
2000-03-30,30.5,31.56,30.5,31.25,5.05925846556,248400,0.0,1.0
2000-03-31,31.5,32.25,31.44,32.25,5.22115473646,408000,0.0,1.0
2000-04-03,32.25,32.25,30.62,31.0,5.01878439783,555900,0.0,1.0
2000-04-04,31.0,31.25,30.0,31.25,5.05925846556,652800,0.0,1.0
2000-04-05,31.62,33.5,31.62,32.19,5.2114409602,256700,0.0,1.0
2000-04-06,32.38,33.63,32.25,33.38,5.40409752257,244600,0.0,1.0
2000-04-07,33.31,33.94,33.06,33.88,5.48504565802,151200,0.0,1.0
2000-04-10,33.63,33.81,33.19,33.19,5.3733372311,109600,0.0,1.0
2000-04-11,33.31,33.88,33.0,33.81,5.47371291906,107100,0.0,1.0
2000-04-12,33.69,35.38,33.69,35.13,5.68741599664,164100,0.0,1.0
2000-04-13,36.5,36.56,35.69,36.0,5.82826575232,330300,0.0,1.0
2000-04-14,35.25,35.25,33.75,33.81,5.47371291906,167100,0.0,1.0
2000-04-17,33.63,34.69,32.5,34.69,5.61618163745,201800,0.0,1.0
2000-04-18,34.69,34.69,32.75,33.0,5.34257693963,176300,0.0,1.0
2000-04-19,33.0,33.19,32.75,32.94,5.33286316338,137400,0.0,1.0
2000-04-20,33.0,33.31,32.63,33.19,5.3733372311,160700,0.0,1.0
2000-04-24,33.19,33.75,32.75,32.81,5.31181664816,56700,0.0,1.0
2000-04-25,32.75,34.0,31.12,33.69,5.45428536655,178000,0.0,1.0
2000-04-26,33.94,33.94,32.88,33.0,5.34257693963,75000,0.0,1.0
2000-04-27,32.94,32.94,31.5,31.81,5.14992037726,98600,0.0,1.0
2000-04-28,31.69,31.69,30.75,31.19,5.0495446893,163800,0.0,1.0
2000-05-01,31.37,32.06,31.12,31.94,5.17096689248,90000,0.0,1.0
2000-05-02,31.87,32.44,31.62,31.62,5.11916008579,105300,0.0,1.0
2000-05-03,31.87,32.75,31.62,31.75,5.14020660101,81700,0.0,1.0
2000-05-04,32.0,35.0,32.0,34.5,5.58542134598,207300,0.0,1.0
2000-05-05,34.5,34.5,33.5,33.88,5.48504565802,111900,0.0,1.0
2000-05-08,33.63,34.75,33.44,34.75,5.6258954137,130600,0.0,1.0
2000-05-09,34.63,35.13,34.31,35.13,5.68741599664,159900,0.0,1.0
2000-05-10,35.13,35.13,34.5,34.81,5.63560918995,72800,0.0,1.0
2000-05-11,34.69,35.44,34.63,35.25,5.70684354915,153000,0.0,1.0
2000-05-12,35.25,35.25,34.0,34.19,5.535233502,86400,0.0,1.0
2000-05-15,34.0,35.25,34.0,34.06,5.51418698678,131900,0.0,1.0
2000-05-16,34.19,34.25,33.5,33.69,5.45428536655,136300,0.0,1.0
2000-05-17,33.75,33.75,32.69,32.75,5.30210287191,93000,0.0,1.0
2000-05-18,32.69,33.13,32.25,32.38,5.24220125167,87600,0.0,1.0
2000-05-19,32.5,33.38,32.44,33.19,5.3733372311,82900,0.0,1.0
2000-05-22,33.06,33.88,33.06,33.44,5.41381129882,51700,0.0,1.0
2000-05-23,33.44,33.63,33.31,33.44,5.41381129882,111200,0.0,1.0
2000-05-24,33.31,34.13,33.31,33.69,5.45428536655,88400,0.0,1.0
2000-05-25,33.75,33.81,32.69,33.25,5.38305100735,70600,0.0,1.0
2000-05-26,33.0,33.0,32.88,32.94,5.33286316338,61600,0.0,1.0
2000-05-30,33.0,33.0,32.44,33.0,5.34257693963,89700,0.0,1.0
2000-05-31,32.75,32.81,32.13,32.5,5.26162880418,157600,0.0,1.0
2000-06-01,32.44,32.88,32.25,32.81,5.31181664816,111500,0.0,1.0
2000-06-02,32.81,32.88,32.25,32.31,5.23086851271,36200,0.0,1.0
2000-06-05,32.06,32.13,31.06,31.31,5.06897224181,156200,0.0,1.0
2000-06-06,31.16,31.69,31.0,31.25,5.05925846556,254900,0.0,1.0
2000-06-07,31.5,33.31,31.37,32.69,5.29238909565,348000,0.0,1.0
2000-06-08,32.44,32.44,31.87,32.31,5.23086851271,94500,0.0,1.0
2000-06-09,32.31,32.31,31.62,31.94,5.17096689248,99200,0.0,1.0
2000-06-12,31.75,32.88,31.75,32.69,5.29238909565,126900,0.0,1.0
2000-06-13,32.5,33.0,32.5,32.56,5.27134258043,304100,0.0,1.0
2000-06-14,32.75,33.69,32.75,33.56,5.43323885133,250800,0.0,1.0
2000-06-15,33.56,35.94,33.56,35.94,5.81855197607,375400,0.0,1.0
2000-06-16,35.31,36.5,34.88,36.31,5.8784535963,261100,0.0,1.0
2000-06-19,36.38,36.38,34.25,34.56,5.59513512223,165500,0.0,1.0
2000-06-20,34.38,34.63,33.5,34.06,5.51418698678,144100,0.0,1.0
2000-06-21,34.0,34.75,34.0,34.06,5.51418698678,85300,0.0,1.0
2000-06-22,34.19,34.38,33.5,33.81,5.47371291906,117500,0.0,1.0
2000-06-23,33.75,34.25,33.25,34.19,5.535233502,189500,0.0,1.0
2000-06-26,34.19,34.25,33.88,34.13,5.52551972574,260300,0.0,1.0
2000-06-27,34.19,34.38,34.13,34.38,5.56599379347,133800,0.0,1.0
2000-06-28,34.19,34.38,33.94,34.06,5.54494727825,106500,0.19,1.0
2000-06-29,33.63,34.13,33.63,33.75,5.49447946685,267400,0.0,1.0
2000-06-30,33.63,33.63,31.75,32.5,5.29098022734,383700,0.0,1.0
2000-07-03,32.63,33.13,32.06,33.06,5.38214788664,41300,0.0,1.0
2000-07-05,33.19,33.31,32.13,32.88,5.35284399615,117000,0.0,1.0
