dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-06-27,36.69,37.95,36.59,37.65,13.7344251662,447600,0.0,1.0
2011-06-28,38.34,39.99,37.7,38.7,14.1174569437,2075900,0.0,1.0
2011-06-29,39.0,40.97,38.7,40.07,14.6172222154,1847600,0.0,1.0
2011-06-30,40.67,42.0,40.175,41.4,15.1023958003,1512800,0.0,1.0
2011-07-01,41.2,47.43,41.0,42.2,15.3942295355,4167100,0.0,1.0
2011-07-05,42.21,43.0,41.65,42.21,15.3978774572,5911500,0.0,1.0
2011-07-06,41.6,42.25,41.01,41.89,15.2811439631,5491500,0.0,1.0
2011-07-07,42.19,43.26,41.705,41.78,15.2410168245,8353800,0.0,1.0
2011-07-08,40.8,42.6,40.52,41.41,15.1060437219,8208500,0.0,1.0
2011-07-11,40.79,40.79,39.51,40.1,14.6281659804,4747600,0.0,1.0
2011-07-12,39.86,40.99,39.44,40.48,14.7667870047,4005600,0.0,1.0
2011-07-13,40.52,41.24,39.24,39.96,14.5770950768,5821400,0.0,1.0
2011-07-14,39.97,40.02,38.21,38.64,14.0955694136,5764200,0.0,1.0
2011-07-15,39.0,39.47,38.1,39.16,14.2852613415,4969200,0.0,1.0
2011-07-18,38.73,39.59,37.75,39.12,14.2706696547,4155800,0.0,1.0
2011-07-19,39.26,39.94,39.13,39.74,14.4968407996,3211500,0.0,1.0
2011-07-20,39.79,39.94,39.4,39.53,14.4202344441,2724500,0.0,1.0
2011-07-21,39.53,40.24,39.11,40.1,14.6281659804,3624600,0.0,1.0
2011-07-22,40.28,40.82,39.91,40.57,14.7996182999,3322800,0.0,1.0
2011-07-25,41.25,42.12,40.65,41.37,15.0914520352,4449300,0.0,1.0
2011-07-26,41.39,43.72,41.27,43.05,15.7043028793,5662100,0.0,1.0
2011-07-27,43.02,43.3,41.97,42.06,15.3431586319,3499200,0.0,1.0
2011-07-28,42.43,42.94,42.19,42.78,15.6058089936,3327300,0.0,1.0
2011-07-29,42.35,44.61,41.974,43.79,15.9742490844,5354800,0.0,1.0
2011-08-01,45.04,45.38,43.99,44.97,16.4047038439,5759200,0.0,1.0
2011-08-02,44.53,44.9,42.25,42.33,15.4416525175,5497800,0.0,1.0
2011-08-03,43.28,45.4,39.02,41.43,15.1133395653,6706900,0.0,1.0
2011-08-04,40.71,40.71,37.23,38.42,14.0153151364,7688900,0.0,1.0
2011-08-05,38.91,39.22,33.44,37.31,13.6103958287,6174300,0.0,1.0
2011-08-08,35.24,36.0,29.48,32.33,11.7937308266,8271500,0.0,1.0
2011-08-09,33.07,36.41,32.42,36.1,13.1689973041,6027100,0.0,1.0
2011-08-10,35.55,36.84,34.12,35.12,12.8115009784,4841300,0.0,1.0
2011-08-11,35.9,38.6,35.43,37.34,13.6213395938,4378200,0.0,1.0
2011-08-12,37.59,39.12,36.905,37.41,13.6468750456,2953400,0.0,1.0
2011-08-15,37.89,39.65,37.89,39.1,14.3363322452,2682700,0.2,1.0
2011-08-16,38.36,39.44,38.12,38.86,14.2483342979,3266200,0.0,1.0
2011-08-17,39.63,39.96,38.81,39.1,14.3363322452,2813800,0.0,1.0
2011-08-18,38.11,38.5085,35.41,36.61,13.4233535421,3750700,0.0,1.0
2011-08-19,35.78,36.67,34.64,34.99,12.8293673979,4939300,0.0,1.0
2011-08-22,35.82,36.0,32.35,32.57,11.9420547628,5387000,0.0,1.0
2011-08-23,32.63,34.7,32.05,34.25,12.5580403938,5180000,0.0,1.0
2011-08-24,34.4,36.03,33.71,35.83,13.1373602134,3361700,0.0,1.0
2011-08-25,36.19,36.895,33.9164,34.38,12.6057059486,3188000,0.0,1.0
2011-08-26,34.4,36.76,34.07,34.87,12.7853684243,2940200,0.0,1.0
2011-08-29,35.27,36.356,35.04,36.0,13.1996920927,2087500,0.0,1.0
2011-08-30,35.89,36.38,34.75,36.03,13.2106918362,2192600,0.0,1.0
2011-08-31,36.51,37.45,36.51,37.06,13.5883496932,2865500,0.0,1.0
2011-09-01,37.43,38.22,36.91,37.01,13.5700167876,2257700,0.0,1.0
2011-09-02,35.83,36.99,35.12,35.42,12.9870303868,1797100,0.0,1.0
2011-09-06,34.23,35.4,33.29,35.0,12.8330339791,2861700,0.0,1.0
2011-09-07,35.58,36.93,35.25,36.29,13.3060229457,2606100,0.0,1.0
2011-09-08,36.16,38.15,35.57,37.73,13.8340106294,2043300,0.0,1.0
2011-09-09,36.62,37.78,35.93,36.35,13.3280224325,2944500,0.0,1.0
2011-09-12,36.12,36.88,34.89,36.66,13.4416864478,1959600,0.0,1.0
2011-09-13,36.4,36.6299,34.44,35.34,12.9576977377,3573500,0.0,1.0
2011-09-14,35.24,35.31,34.46,35.03,12.8440337225,3820300,0.0,1.0
2011-09-15,35.88,36.96,35.23,35.42,12.9870303868,3040700,0.0,1.0
2011-09-16,35.53,35.67,34.86,35.1,12.8696997904,3597700,0.0,1.0
2011-09-19,34.18,34.56,33.1,33.55,12.3013797142,2548100,0.0,1.0
2011-09-20,33.57,34.23,33.5,33.69,12.3527118501,1929600,0.0,1.0
2011-09-21,33.35,34.46,32.34,32.4,11.8797228835,2006500,0.0,1.0
2011-09-22,31.16,31.4,28.84,29.47,10.8054146104,5536800,0.0,1.0
2011-09-23,29.18,30.32,29.06,29.53,10.8274140972,3384000,0.0,1.0
2011-09-26,29.9,30.36,29.5,30.1,11.036409222,3985500,0.0,1.0
