dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,110.0,112.62,109.12,110.62,31.0640988288,2501800,0.0,1.0
1999-11-02,110.62,113.06,109.75,110.12,30.9236897761,1842100,0.0,1.0
1999-11-03,110.12,110.12,107.69,108.88,30.5754753253,1935900,0.0,1.0
1999-11-04,110.19,113.75,110.0,113.19,31.7858013599,2254900,0.0,1.0
1999-11-05,116.12,117.38,115.25,115.81,32.5215447963,2413400,0.0,1.0
1999-11-08,115.75,116.38,113.0,114.0,32.0132640254,1145500,0.0,1.0
1999-11-09,114.0,114.12,109.31,110.56,31.0472497425,1991500,0.0,1.0
1999-11-10,110.19,112.38,109.12,110.19,30.9433470435,1488200,0.0,1.0
1999-11-11,110.62,112.88,110.5,112.31,31.5386814271,1396700,0.0,1.0
1999-11-12,114.94,121.0,114.69,120.0,33.6981726583,2641700,0.0,1.0
1999-11-15,122.0,122.19,118.12,121.06,33.9958398501,2148400,0.0,1.0
1999-11-16,122.19,127.5,121.38,127.25,35.7341039231,3019200,0.0,1.0
1999-11-17,124.5,124.88,121.12,121.44,34.1025507302,3012300,0.0,1.0
1999-11-18,123.0,125.0,121.12,124.12,34.8551432529,2579000,0.0,1.0
1999-11-19,124.12,124.75,123.0,124.38,34.9281559603,1080900,0.0,1.0
1999-11-22,121.88,123.25,119.5,122.81,34.4872715347,1916900,0.0,1.0
1999-11-23,123.0,123.0,119.69,120.5,33.838581711,1026600,0.0,1.0
1999-11-24,121.0,121.0,118.06,118.62,33.3106436727,1284400,0.0,1.0
1999-11-26,119.38,119.75,117.88,118.0,33.1365364473,329600,0.0,1.0
1999-11-29,116.75,118.0,115.94,117.0,32.8557183418,1604800,0.0,1.0
1999-11-30,116.69,121.25,116.56,120.62,33.8722798837,2132300,0.0,1.0
1999-12-01,119.5,121.56,119.25,119.94,33.681323572,1830500,0.0,1.0
1999-12-02,119.94,123.0,119.94,121.81,34.2064534292,1210100,0.0,1.0
1999-12-03,124.81,129.0,124.56,128.19,35.9980729422,2397100,0.0,1.0
1999-12-06,126.81,127.88,125.19,127.88,35.9110193295,1787000,0.0,1.0
1999-12-07,128.69,134.5,128.25,131.62,36.961279044,3807200,0.0,1.0
1999-12-08,131.94,133.0,127.88,132.44,37.1915498905,1729300,0.0,1.0
1999-12-09,135.0,135.5,131.25,132.88,37.315109857,2576400,0.0,1.0
1999-12-10,134.56,135.19,132.5,134.5,37.7700351878,1625200,0.0,1.0
1999-12-13,133.62,133.69,130.75,131.69,36.9809363114,1306900,0.0,1.0
1999-12-14,128.69,129.31,127.0,127.06,35.680748483,1691100,0.0,1.0
1999-12-15,127.06,128.88,125.5,126.36,35.4841758092,1680100,0.0,1.0
1999-12-16,125.94,127.62,124.38,125.0,35.1022631857,1600900,0.0,1.0
1999-12-17,126.0,131.88,125.88,128.06,35.9615665885,3378600,0.0,1.0
1999-12-20,131.75,132.62,128.25,130.33,36.599023688,2315700,0.0,1.0
1999-12-21,128.5,131.5,126.75,128.88,36.191837435,1874300,0.0,1.0
1999-12-22,130.0,130.38,128.88,129.88,36.4726555405,1013300,0.0,1.0
1999-12-23,131.0,132.0,130.81,131.5,36.9275808714,1097700,0.0,1.0
1999-12-27,132.5,134.75,131.62,131.62,36.961279044,1326800,0.0,1.0
1999-12-28,132.12,135.44,132.12,134.25,37.6998306615,1066900,0.0,1.0
1999-12-29,134.0,140.19,133.94,138.94,39.0168675762,969200,0.0,1.0
1999-12-30,138.94,142.38,138.88,141.25,39.6655573999,832200,0.0,1.0
1999-12-31,141.25,142.88,140.5,142.75,40.0867845581,285000,0.0,1.0
2000-01-03,137.25,138.0,132.12,135.0,37.9104442406,2654500,0.0,1.0
2000-01-04,132.0,132.25,123.0,125.0,35.1022631857,3117200,0.0,1.0
2000-01-05,124.0,124.19,117.25,120.44,33.8217326247,3872100,0.0,1.0
2000-01-06,120.38,124.94,120.25,122.75,34.4704224484,3293000,0.0,1.0
2000-01-07,120.5,126.94,119.44,126.56,35.5403394303,3162400,0.0,1.0
2000-01-10,126.88,131.0,126.56,130.62,36.7927881808,2305100,0.4,1.0
2000-01-11,132.0,132.12,129.5,130.62,36.7927881808,1972800,0.0,1.0
2000-01-12,130.88,134.62,130.5,131.62,37.0744662406,2145800,0.0,1.0
2000-01-13,132.0,133.19,130.0,132.44,37.3054422497,1659600,0.0,1.0
2000-01-14,135.25,137.62,133.44,137.31,38.6772144013,1817900,0.0,1.0
2000-01-18,137.31,138.75,133.69,133.75,37.6744405082,1730200,0.0,1.0
2000-01-19,134.62,137.19,134.5,135.69,38.2208959443,1726100,0.0,1.0
2000-01-20,134.12,137.25,133.25,134.81,37.9730192516,2240500,0.0,1.0
2000-01-21,134.75,134.75,131.5,132.5,37.3223429333,1982500,0.0,1.0
2000-01-24,133.5,134.5,125.44,128.0,36.0547916639,2095500,0.0,1.0
2000-01-25,127.75,131.38,127.0,129.44,36.4604080701,2030700,0.0,1.0
2000-01-26,130.5,132.88,128.25,132.88,37.4293805961,2751600,0.0,1.0
