dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,499.5,504.5,495.0,495.0,28.6506840771,3000,0.0,1.0
1999-11-02,490.25,500.0,490.25,500.0,28.9400849264,5800,0.0,1.0
1999-11-03,500.0,512.0,497.5,498.5,28.8532646716,15300,0.0,1.0
1999-11-04,500.0,501.0,497.75,497.75,28.8098545442,2800,0.0,1.0
1999-11-05,497.75,498.0,488.0,490.0,28.3612832278,9500,0.0,1.0
1999-11-08,487.0,490.5,487.0,490.0,28.3612832278,6800,0.0,1.0
1999-11-09,490.5,491.0,480.22,490.0,28.3612832278,90300,0.0,1.0
1999-11-10,491.0,491.0,487.5,490.0,28.3612832278,8000,0.0,1.0
1999-11-11,491.0,491.0,481.0,489.0,28.303403058,8700,0.0,1.0
1999-11-12,495.0,495.0,491.5,493.5,28.5638638223,7200,0.0,1.0
1999-11-15,503.38,503.63,494.0,500.0,28.9400849264,13700,0.0,1.0
1999-11-16,500.0,500.75,495.0,496.5,28.7375043319,600,0.0,1.0
1999-11-17,492.5,501.5,490.0,490.06,28.364756038,7900,0.0,1.0
1999-11-18,490.0,495.0,490.0,494.25,28.6072739497,1400,0.0,1.0
1999-11-19,493.75,497.0,490.38,491.88,28.4700979471,1800,0.0,1.0
1999-11-22,491.38,493.5,480.0,480.88,27.8334160788,52200,0.0,1.0
1999-11-23,480.0,480.0,465.63,469.0,27.1457996609,6300,0.0,1.0
1999-11-24,470.0,475.19,468.5,472.0,27.3194401705,12900,0.0,1.0
1999-11-26,472.0,472.0,471.06,471.06,27.2650328108,500,0.0,1.0
1999-11-29,469.56,469.56,462.0,462.0,26.8129886843,2700,1.25,1.0
1999-11-30,461.0,470.0,456.75,470.0,27.2772828606,5200,0.0,1.0
1999-12-01,470.0,470.0,460.06,468.0,27.1612093165,24200,0.0,1.0
1999-12-02,468.0,468.0,461.0,463.25,26.8855346493,27400,0.0,1.0
1999-12-03,463.25,470.0,463.25,463.75,26.9145530353,21700,0.0,1.0
1999-12-06,454.5,456.25,450.25,450.25,26.1310566127,2300,0.0,1.0
1999-12-07,448.31,451.0,433.0,441.0,25.5942164713,10700,0.0,1.0
1999-12-08,440.06,442.53,428.0,428.0,24.8397384348,4000,0.0,1.0
1999-12-09,427.75,440.0,424.25,425.0,24.6656281186,8200,0.0,1.0
1999-12-10,433.0,441.0,426.0,436.94,25.3585871768,9300,0.0,1.0
1999-12-13,435.0,438.5,431.0,434.19,25.1989860537,48200,0.0,1.0
1999-12-14,432.0,432.0,423.0,430.0,24.9558119789,28600,0.0,1.0
1999-12-15,425.0,429.25,421.0,424.56,24.6400919389,6000,0.0,1.0
1999-12-16,424.56,424.88,420.0,422.5,24.5205361885,2100,0.0,1.0
1999-12-17,424.0,424.0,418.0,419.5,24.3464258724,7100,0.0,1.0
1999-12-20,419.5,422.0,419.5,420.13,24.3829890388,6200,0.0,1.0
1999-12-21,421.63,423.75,415.0,417.5,24.2303523283,5200,0.0,1.0
1999-12-22,413.0,422.75,406.0,422.5,24.5205361885,4800,0.0,1.0
1999-12-23,422.5,422.5,418.0,418.0,24.2593707143,2700,0.0,1.0
1999-12-27,417.0,417.5,412.0,414.38,24.0492775995,3600,0.0,1.0
1999-12-28,411.0,413.0,409.75,410.0,23.795076538,3600,0.0,1.0
1999-12-29,410.06,417.5,410.06,413.0,23.9691868541,1400,0.0,1.0
1999-12-30,411.0,417.0,410.75,414.0,24.0272236262,4400,0.0,1.0
1999-12-31,414.0,414.75,413.5,414.25,24.0417328192,4700,0.0,1.0
2000-01-03,415.0,415.0,405.0,406.56,23.5954300422,11900,0.0,1.0
2000-01-04,406.31,406.31,384.0,393.5,22.8374697993,10300,0.0,1.0
2000-01-05,395.38,395.38,388.75,395.25,22.9390341503,4900,0.0,1.0
2000-01-06,395.25,404.0,391.0,399.88,23.2077444049,28500,0.0,1.0
2000-01-07,400.0,413.5,398.5,407.0,23.6209662219,33000,0.0,1.0
2000-01-10,405.5,411.06,404.25,407.25,23.6354754149,6100,0.0,1.0
2000-01-11,407.0,408.25,390.0,395.25,22.9390341503,5600,0.0,1.0
2000-01-12,394.5,401.44,394.0,399.88,23.2077444049,12800,0.0,1.0
2000-01-13,399.88,410.25,399.88,410.25,23.809585731,2800,0.0,1.0
2000-01-14,410.0,425.5,410.0,420.25,24.3899534514,5600,0.0,1.0
2000-01-18,423.0,424.75,420.0,420.0,24.3754442584,5600,0.0,1.0
2000-01-19,416.0,417.44,411.25,412.0,23.9111500821,7500,0.0,1.0
2000-01-20,413.0,413.0,408.75,408.75,23.7225305729,2800,0.0,1.0
2000-01-21,410.13,414.0,410.0,411.81,23.9001230954,6600,0.0,1.0
