dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,76.5,76.5,74.5,74.94,37.4172847496,4698400,0.0,1.0
1999-11-04,76.25,77.13,75.13,76.0,37.9465391109,5065400,0.0,1.0
1999-11-05,78.25,79.63,76.56,76.88,38.38592009,5218100,0.0,1.0
1999-11-08,77.25,78.75,76.44,78.44,39.1648227349,3219300,0.0,1.0
1999-11-09,78.69,79.06,76.44,76.63,38.2610959482,2742000,0.0,1.0
1999-11-10,76.5,79.94,75.13,77.81,38.8502658976,5727400,0.0,1.0
1999-11-11,77.81,77.81,75.44,75.5,37.6968908272,5544900,0.0,1.0
1999-11-12,75.56,75.56,71.31,73.5,36.6982976927,5030200,0.0,1.0
1999-11-15,72.63,73.13,68.38,69.38,34.6411958357,4555100,0.0,1.0
1999-11-16,68.5,69.06,66.69,68.38,34.1418992684,6491800,0.0,1.0
1999-11-17,68.38,69.75,63.13,63.81,31.8601139561,9323600,0.0,1.0
1999-11-18,64.25,70.38,64.25,70.38,35.1404924029,8819000,0.0,1.0
1999-11-19,69.5,72.25,68.06,70.0,34.9507597074,7783700,0.0,1.0
1999-11-22,70.69,70.69,67.13,68.0,33.9521665729,4272600,0.0,1.0
1999-11-23,68.25,69.19,65.75,67.5,33.7025182893,4466300,0.0,1.0
1999-11-24,67.25,68.5,66.0,67.94,33.9222087788,3381000,0.0,1.0
1999-11-26,68.06,71.06,68.0,69.94,34.9208019133,2248700,0.0,1.0
1999-11-29,70.25,70.25,66.56,66.94,33.4229122116,3387100,0.0,1.0
1999-11-30,67.5,69.25,66.81,67.06,33.4828277997,4692000,0.0,1.0
1999-12-01,67.0,67.06,64.69,65.13,32.5191854249,6219900,0.0,1.0
1999-12-02,65.06,65.88,63.5,64.0,31.9549803039,5630300,0.0,1.0
1999-12-03,66.5,69.19,64.0,68.0,33.9521665729,8132800,0.0,1.0
1999-12-06,68.75,70.75,67.13,68.78,34.3416178953,4830600,0.0,1.0
1999-12-07,68.81,69.75,66.06,66.94,33.4229122116,4677800,0.0,1.0
1999-12-08,66.94,68.5,66.75,67.94,33.9222087788,4671100,0.0,1.0
1999-12-09,68.5,68.5,63.0,63.5,31.7053320203,6398000,0.0,1.0
1999-12-10,60.13,62.88,58.5,60.25,30.0826181767,10825400,0.0,1.0
1999-12-13,61.31,65.19,60.19,62.39,31.1511128306,6663600,0.0,1.0
1999-12-14,64.69,64.69,61.38,62.38,31.1461198649,5575500,0.0,1.0
1999-12-15,62.44,67.75,61.44,66.0,32.9535734384,7783400,0.0,1.0
1999-12-16,67.75,73.0,67.75,73.0,36.4486494091,9018300,0.0,1.0
1999-12-17,74.0,74.0,69.75,71.5,35.6997045582,6514400,0.0,1.0
1999-12-20,72.75,76.69,72.63,75.88,37.8866235228,5852300,0.0,1.0
1999-12-21,75.88,81.13,74.5,81.0,40.4430219471,6506800,0.0,1.0
1999-12-22,80.88,88.0,76.0,76.0,37.9465391109,6608000,0.0,1.0
1999-12-23,77.0,78.25,72.75,74.63,37.2625028137,7855800,0.0,1.0
1999-12-27,74.06,78.38,73.44,77.98,38.935146314,3763500,0.0,1.0
1999-12-28,77.75,79.25,76.5,78.06,38.9750900394,3382300,0.0,1.0
1999-12-29,77.69,79.13,76.13,76.63,38.2610959482,1495800,0.0,1.0
1999-12-30,76.75,79.0,76.38,78.63,39.2596890827,2295700,0.0,1.0
1999-12-31,78.69,78.81,77.63,78.13,39.0100407991,653600,0.0,1.0
2000-01-03,77.38,78.13,75.69,75.94,37.9165813168,3282300,0.0,1.0
2000-01-04,74.75,75.81,72.88,73.0,36.4486494091,3610400,0.0,1.0
2000-01-05,72.13,73.19,70.06,71.75,35.8245287001,3381900,0.0,1.0
2000-01-06,72.75,75.31,71.75,74.0,36.9479459764,3169200,0.0,1.0
2000-01-07,73.75,73.75,68.0,70.5,35.200407991,4733600,0.0,1.0
2000-01-10,72.25,75.5,71.06,74.38,37.1376786719,3288600,0.0,1.0
2000-01-11,74.25,76.75,71.75,72.31,36.1041347777,2811500,0.0,1.0
2000-01-12,73.25,76.31,71.13,74.0,36.9479459764,4655700,0.0,1.0
2000-01-13,74.88,77.88,73.75,77.88,38.8852166573,4118500,0.0,1.0
2000-01-14,77.13,78.38,72.5,73.25,36.5734735509,6109400,0.0,1.0
2000-01-18,73.44,74.5,72.06,73.56,36.7282554868,4646500,0.0,1.0
2000-01-19,73.5,74.38,71.5,72.13,36.0142613956,5326600,0.0,1.0
2000-01-20,72.38,72.88,69.5,69.75,34.8259355656,6000900,0.0,1.0
2000-01-21,71.5,71.5,65.13,67.13,33.5177785594,7735100,0.0,1.0
2000-01-24,67.31,71.0,67.31,69.5,34.7011114237,5974500,0.0,1.0
2000-01-25,68.94,69.75,64.5,65.88,32.8936578503,8512700,0.0,1.0
2000-01-26,65.94,67.75,63.0,63.56,31.7352898143,6568600,0.0,1.0
2000-01-27,63.81,65.75,63.56,64.75,32.3294527293,3895400,0.0,1.0
2000-01-28,63.88,66.0,59.06,59.5,29.7081457513,6889300,0.0,1.0
2000-01-31,60.75,62.5,58.25,62.19,31.0512535172,5584400,0.0,1.0
2000-02-01,62.13,64.0,60.5,63.5,31.7053320203,4173400,0.0,1.0
2000-02-02,64.94,66.69,63.63,65.88,32.8936578503,6095500,0.0,1.0
2000-02-03,66.0,69.0,64.88,68.0,33.9521665729,4587700,0.0,1.0
2000-02-04,68.19,68.19,65.5,67.38,33.6426027012,4096500,0.0,1.0
2000-02-07,67.5,74.19,67.5,74.0,36.9479459764,7216600,0.0,1.0
2000-02-08,74.06,76.38,72.88,76.06,37.9764969049,6610600,0.0,1.0
2000-02-09,76.06,77.63,73.25,73.25,36.5734735509,6428300,0.0,1.0
2000-02-10,74.25,74.31,69.88,72.38,36.1390855374,5945900,0.0,1.0
2000-02-11,71.5,73.75,69.25,71.13,35.5149648284,4904400,0.0,1.0
2000-02-14,68.5,70.25,67.0,67.75,33.8273424311,3919800,0.0,1.0
2000-02-15,69.94,71.0,65.5,69.0,34.4514631401,6383800,0.0,1.0
2000-02-16,70.75,70.75,65.5,66.19,33.0484397862,5251200,0.0,1.0
2000-02-17,66.38,68.44,64.94,65.25,32.5791010129,6513100,0.0,1.0
2000-02-18,65.75,65.81,62.19,63.13,31.5205922904,5328600,0.0,1.0
