dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2002-07-01,15.0,15.0,15.0,15.0,12.6934229785,1300,0.0,1.0
2002-07-02,15.5,16.5,15.0,15.13,12.8034326443,7000,0.0,1.0
2002-07-03,14.0,16.0,14.0,15.0,12.6934229785,10200,0.0,1.0
2002-07-05,15.0,15.0,15.0,15.0,12.6934229785,500,0.0,1.0
2002-07-08,14.0,14.0,14.0,14.0,11.84719478,300,0.0,1.0
2002-07-09,14.0,15.5,14.0,15.5,13.1165370778,2300,0.0,1.0
2002-07-10,13.75,15.5,13.75,15.5,13.1165370778,500,0.0,1.0
2002-07-11,15.5,15.5,15.5,15.5,13.1165370778,0,0.0,1.0
2002-07-12,15.0,15.0,15.0,15.0,12.6934229785,100,0.0,1.0
2002-07-15,14.75,14.75,12.5,12.75,10.7894095317,42700,0.0,1.0
2002-07-16,12.75,12.75,12.5,12.5,10.5778524821,5900,0.0,1.0
2002-07-17,12.5,12.5,12.25,12.5,10.5778524821,2400,0.0,1.0
2002-07-18,12.3,12.3,11.75,11.75,9.94318133317,1400,0.0,1.0
2002-07-19,11.6,11.6,10.05,10.5,8.88539608496,10700,0.0,1.0
2002-07-22,10.5,10.5,10.0,10.2,8.63152762539,4600,0.0,1.0
2002-07-23,10.2,10.2,10.2,10.2,8.63152762539,100,0.0,1.0
2002-07-24,10.2,10.5,10.2,10.5,8.88539608496,2200,0.0,1.0
2002-07-25,10.15,10.5,10.15,10.15,8.58921621547,1300,0.0,1.0
2002-07-26,10.15,10.15,10.15,10.15,8.58921621547,0,0.0,1.0
2002-07-29,10.5,11.1,10.45,11.1,9.3931330041,4100,0.0,1.0
2002-07-30,11.25,11.85,11.25,11.5,9.73162428353,8900,0.0,1.0
2002-07-31,11.9,12.0,11.75,12.0,10.1547383828,5000,0.0,1.0
2002-08-01,11.8,11.9,11.8,11.8,9.9854927431,4300,0.0,1.0
2002-08-02,11.8,11.8,11.8,11.8,9.9854927431,0,0.0,1.0
2002-08-05,11.9,12.0,11.85,11.85,10.027804153,28600,0.0,1.0
2002-08-06,12.0,12.0,12.0,12.0,10.1547383828,10000,0.0,1.0
2002-08-07,11.98,12.05,11.95,12.05,10.1970497927,4400,0.0,1.0
2002-08-08,12.1,12.1,12.05,12.1,10.2393612027,12300,0.0,1.0
2002-08-09,12.15,12.15,12.15,12.15,10.2816726126,3400,0.0,1.0
2002-08-12,12.15,12.15,12.1,12.15,10.2816726126,24400,0.0,1.0
2002-08-13,12.2,12.2,12.1,12.2,10.3239840225,3900,0.0,1.0
2002-08-14,12.15,12.2,12.15,12.2,10.3239840225,3700,0.0,1.0
2002-08-15,12.15,12.15,12.1,12.1,10.2393612027,700,0.0,1.0
2002-08-16,12.0,12.15,12.0,12.15,10.2816726126,8600,0.0,1.0
2002-08-19,12.15,12.15,11.65,11.65,9.85855851332,8700,0.0,1.0
2002-08-20,11.6,11.6,11.6,11.6,9.81624710339,100,0.0,1.0
2002-08-21,11.9,12.0,11.75,11.75,9.94318133317,16400,0.0,1.0
2002-08-22,11.75,11.75,11.0,11.0,9.30851018425,35500,0.0,1.0
2002-08-23,11.0,11.1,11.0,11.1,9.3931330041,3700,0.0,1.0
2002-08-26,11.0,11.0,10.85,10.87,9.19850051843,11900,0.0,1.0
2002-08-27,10.85,11.0,10.51,10.51,8.89385836695,23900,0.0,1.0
2002-08-28,10.5,10.5,10.0,10.1,8.54690480554,24700,0.0,1.0
2002-08-29,10.2,10.2,10.1,10.2,8.63152762539,8500,0.0,1.0
2002-08-30,10.3,10.3,10.0,10.0,8.46228198568,4200,0.0,1.0
2002-09-03,9.95,10.0,9.3,9.9,8.37765916582,8000,0.0,1.0
2002-09-04,9.35,9.5,8.9,9.3,7.86992224668,89100,0.0,1.0
2002-09-05,9.3,9.3,9.3,9.3,7.86992224668,3100,0.0,1.0
2002-09-06,9.3,9.7,9.3,9.7,8.20841352611,30400,0.0,1.0
2002-09-09,9.75,9.9,9.7,9.8,8.29303634597,26000,0.0,1.0
2002-09-10,9.9,9.95,9.82,9.9,8.37765916582,36200,0.0,1.0
2002-09-11,10.0,10.05,9.9,10.05,8.50459339561,2400,0.0,1.0
2002-09-12,10.1,10.1,9.9,9.9,8.37765916582,4000,0.0,1.0
2002-09-13,9.9,9.94,9.9,9.94,8.41150829377,2800,0.0,1.0
2002-09-16,9.94,10.0,9.85,10.0,8.46228198568,10300,0.0,1.0
2002-09-17,9.75,9.9,9.75,9.9,8.37765916582,4800,0.0,1.0
2002-09-18,9.87,9.87,9.87,9.87,8.35227231987,1500,0.0,1.0
2002-09-19,9.8,9.8,9.8,9.8,8.29303634597,6200,0.0,1.0
2002-09-20,9.65,9.65,9.4,9.4,7.95454506654,2700,0.0,1.0
2002-09-23,9.75,9.75,9.7,9.7,8.20841352611,1200,0.0,1.0
2002-09-24,9.4,9.4,9.4,9.4,7.95454506654,2000,0.0,1.0
2002-09-25,9.6,9.7,9.5,9.6,8.12379070625,7000,0.0,1.0
2002-09-26,9.7,9.7,9.7,9.7,8.20841352611,1000,0.0,1.0
2002-09-27,9.6,9.6,9.3,9.49,8.03070560441,6200,0.0,1.0
2002-09-30,9.3,9.35,9.3,9.35,7.91223365661,3100,0.0,1.0
2002-10-01,9.5,9.5,9.5,9.5,8.0391678864,2000,0.0,1.0
2002-10-02,9.5,9.5,9.3,9.47,8.01378104044,8700,0.0,1.0
2002-10-03,9.55,9.55,9.55,9.55,8.08147929632,100,0.0,1.0
2002-10-04,9.55,9.55,9.55,9.55,8.08147929632,500,0.0,1.0
2002-10-07,9.4,9.5,9.4,9.5,8.0391678864,1000,0.0,1.0
2002-10-08,9.3,9.3,9.25,9.25,7.82761083675,3200,0.0,1.0
2002-10-09,9.25,9.3,9.0,9.0,7.61605378711,19100,0.0,1.0
2002-10-10,9.0,9.0,9.0,9.0,7.61605378711,3000,0.0,1.0
2002-10-11,9.1,9.1,8.95,9.0,7.61605378711,19900,0.0,1.0
2002-10-14,8.95,9.0,8.9,8.99,7.60759150513,13500,0.0,1.0
2002-10-15,8.8,8.8,8.45,8.65,7.31987391761,23600,0.0,1.0
2002-10-16,8.45,8.5,8.25,8.35,7.06600545804,14700,0.0,1.0
2002-10-17,8.21,8.3,8.0,8.25,6.98138263819,9900,0.0,1.0
2002-10-18,8.25,8.25,8.25,8.25,6.98138263819,12400,0.0,1.0
2002-10-21,8.25,8.25,7.9,8.05,6.81213699847,4200,0.0,1.0
2002-10-22,8.0,8.1,8.0,8.0,6.76982558854,10900,0.0,1.0
2002-10-23,7.8,7.8,7.7,7.8,6.60057994883,2100,0.0,1.0
2002-10-24,7.7,7.7,7.2,7.25,6.13515443962,7500,0.0,1.0
2002-10-25,7.0,7.2,6.35,7.2,6.09284302969,43700,0.0,1.0
2002-10-28,7.5,7.5,7.0,7.0,5.92359738998,3200,0.0,1.0
2002-10-29,7.5,7.75,7.3,7.75,6.5582685389,7700,0.0,1.0
2002-10-30,7.3,7.65,7.25,7.55,6.38902289919,11400,0.0,1.0
2002-10-31,7.55,7.55,7.45,7.5,6.34671148926,9000,0.0,1.0
2002-11-01,7.35,7.5,7.35,7.5,6.34671148926,9200,0.0,1.0
2002-11-04,7.7,7.7,7.5,7.5,6.34671148926,4400,0.0,1.0
2002-11-05,7.5,7.5,7.5,7.5,6.34671148926,500,0.0,1.0
2002-11-06,7.6,7.6,7.6,7.6,6.43133430912,300,0.0,1.0
2002-11-07,7.7,7.7,7.5,7.5,6.34671148926,2700,0.0,1.0
2002-11-08,7.5,7.5,7.5,7.5,6.34671148926,0,0.0,1.0
2002-11-11,7.7,7.9,7.67,7.9,6.68520276869,11200,0.0,1.0
2002-11-12,7.9,7.9,7.9,7.9,6.68520276869,5300,0.0,1.0
2002-11-13,7.9,8.38,7.9,8.38,7.091392304,38300,0.0,1.0
