dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,21.81,21.81,21.19,21.5,16.0513503687,914100,0.0,1.0
1999-11-04,21.5,21.5,20.94,21.38,15.9617614364,1502200,0.0,1.0
1999-11-05,21.13,21.25,20.56,20.56,15.3495703991,1063800,0.0,1.0
1999-11-08,20.5,21.31,20.38,21.31,15.9095012259,2036100,0.0,1.0
1999-11-09,21.25,22.25,21.0,21.63,16.1484050454,2618100,0.0,1.0
1999-11-10,21.81,23.25,21.75,23.0,17.1712120224,2713400,0.0,1.0
1999-11-11,22.88,22.88,21.94,22.25,16.6112811955,1462200,0.0,1.0
1999-11-12,22.0,22.56,21.06,21.94,16.3798431205,1138200,0.0,1.0
1999-11-15,22.0,23.25,21.94,23.0,17.1712120224,1346600,0.0,1.0
1999-11-16,23.38,23.5,22.5,22.75,16.9845684134,1226400,0.0,1.0
1999-11-17,22.75,23.19,21.75,21.94,16.3798431205,1344800,0.0,1.0
1999-11-18,21.81,22.38,21.81,22.0,16.4246375866,463200,0.0,1.0
1999-11-19,21.94,22.38,21.5,21.81,16.2827884438,951900,0.0,1.0
1999-11-22,21.75,22.19,21.25,21.25,15.8647067598,1090200,0.0,1.0
1999-11-23,21.81,23.25,21.69,23.25,17.3578556313,1776000,0.0,1.0
1999-11-24,23.69,25.0,23.38,24.94,18.6195664277,2410100,0.0,1.0
1999-11-26,24.81,25.13,24.31,24.94,18.6195664277,968800,0.0,1.0
1999-11-29,23.0,23.63,22.25,23.56,17.6116909395,2629200,0.03,1.0
1999-11-30,23.5,23.69,23.25,23.69,17.7088692002,974600,0.0,1.0
1999-12-01,23.44,23.56,22.94,22.94,17.1482253884,940400,0.0,1.0
1999-12-02,22.88,22.88,22.0,22.63,16.9164926129,1101800,0.0,1.0
1999-12-03,22.31,22.75,22.0,22.13,16.5427300717,954600,0.0,1.0
1999-12-06,21.25,21.81,21.25,21.69,16.2138190355,909600,0.0,1.0
1999-12-07,21.88,23.56,21.88,23.5,17.5668394345,2179700,0.0,1.0
1999-12-08,23.13,23.63,22.88,23.06,17.2379283983,982700,0.0,1.0
1999-12-09,22.88,22.88,22.13,22.19,16.5875815767,668600,0.0,1.0
1999-12-10,22.63,22.75,22.38,22.44,16.7744628473,445600,0.0,1.0
1999-12-13,22.31,23.5,22.31,23.5,17.5668394345,976400,0.0,1.0
1999-12-14,23.31,23.38,22.25,22.44,16.7744628473,778100,0.0,1.0
1999-12-15,22.38,23.69,22.19,23.13,17.2902551541,1280400,0.0,1.0
1999-12-16,23.19,24.75,23.06,24.44,18.2695130119,1638000,0.0,1.0
1999-12-17,25.0,25.19,24.31,24.44,18.2695130119,1478800,0.0,1.0
1999-12-20,24.5,24.63,23.69,23.81,17.79857221,576900,0.0,1.0
1999-12-21,23.25,24.5,23.13,24.25,18.1274832463,1180400,0.0,1.0
1999-12-22,24.19,24.19,23.13,23.25,17.3799581639,1001700,0.0,1.0
1999-12-23,23.63,24.0,23.5,23.63,17.6640176952,576800,0.0,1.0
1999-12-27,24.0,24.94,23.75,24.75,18.5012457874,1135800,0.0,1.0
1999-12-28,25.0,25.44,24.69,24.81,18.5460972924,949200,0.0,1.0
1999-12-29,25.0,25.38,24.38,24.81,18.5460972924,875400,0.0,1.0
1999-12-30,24.75,25.0,24.25,24.25,18.1274832463,842300,0.0,1.0
1999-12-31,24.75,24.75,24.25,24.5,18.3143645168,298600,0.0,1.0
2000-01-03,24.0,24.19,23.75,24.06,17.9854534806,906900,0.0,1.0
2000-01-04,23.25,23.63,22.19,22.25,16.6324330816,1783800,0.0,1.0
2000-01-05,22.5,23.19,22.5,23.06,17.2379283983,1180300,0.0,1.0
2000-01-06,22.06,22.38,21.94,22.25,16.6324330816,1688400,0.0,1.0
2000-01-07,22.5,22.69,21.25,21.44,16.0269377649,1528800,0.0,1.0
2000-01-10,21.5,21.69,21.31,21.38,15.98208626,1222900,0.0,1.0
2000-01-11,21.63,22.56,21.5,22.5,16.8193143522,1595500,0.0,1.0
2000-01-12,22.19,22.31,21.81,22.13,16.5427300717,2195200,0.0,1.0
2000-01-13,22.13,22.13,21.25,21.38,15.98208626,3962600,0.0,1.0
2000-01-14,21.38,21.44,20.5,20.81,15.5559969631,3470900,0.0,1.0
2000-01-18,21.06,22.13,20.94,22.13,16.5427300717,3087200,0.0,1.0
2000-01-19,22.13,22.19,21.56,21.88,16.3558488012,1759200,0.0,1.0
2000-01-20,21.19,21.25,20.69,21.06,15.7428782337,1913300,0.0,1.0
2000-01-21,20.94,21.38,20.81,21.19,15.8400564944,1359300,0.0,1.0
2000-01-24,20.25,20.69,20.13,20.5,15.3242641876,1240000,0.0,1.0
2000-01-25,20.5,20.5,19.13,19.38,14.4870360954,1482500,0.0,1.0
2000-01-26,19.94,19.94,19.44,19.63,14.6739173659,1015800,0.0,1.0
2000-01-27,20.13,21.44,19.75,21.44,16.0269377649,1753900,0.0,1.0
2000-01-28,21.44,21.69,19.75,20.06,14.9953531513,1453500,0.0,1.0
2000-01-31,20.25,20.5,20.06,20.38,15.2345611777,914500,0.0,1.0
2000-02-01,20.13,20.13,19.63,19.88,14.8607986365,925900,0.0,1.0
2000-02-02,20.38,21.06,20.31,20.88,15.6083237188,1665000,0.0,1.0
2000-02-03,20.81,21.38,20.31,21.25,15.8849079993,1779500,0.0,1.0
2000-02-04,24.0,24.63,22.31,24.0,17.9406019757,5190800,0.0,1.0
2000-02-07,25.44,25.44,22.63,22.75,17.0061956228,4931900,0.0,1.0
2000-02-08,22.63,22.63,22.0,22.0,16.445551811,1513600,0.0,1.0
2000-02-09,23.44,24.38,23.19,23.88,17.8508989658,2560300,0.0,1.0
2000-02-10,24.19,25.13,23.38,24.63,18.4115427775,2603400,0.0,1.0
2000-02-11,24.19,24.5,23.63,23.94,17.8957504707,1541200,0.0,1.0
2000-02-14,23.88,23.88,23.0,23.19,17.335106659,1458800,0.0,1.0
2000-02-15,22.81,24.19,22.19,24.0,17.9406019757,1736300,0.0,1.0
2000-02-16,24.44,24.69,23.19,24.25,18.1274832463,1374600,0.0,1.0
2000-02-17,24.38,24.5,23.0,23.06,17.2379283983,1133600,0.0,1.0
2000-02-18,23.63,24.69,23.44,24.5,18.3143645168,1470000,0.0,1.0
