dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,51.5,51.56,47.75,50.19,4.76658297267,3235000,0.0,1.0
1999-11-04,50.06,51.25,49.88,50.38,4.78462741907,1494300,0.0,1.0
1999-11-05,50.19,50.81,47.0,47.94,4.55289873899,1653700,0.0,1.0
1999-11-08,47.13,47.44,45.38,46.88,4.45222972224,2252400,0.0,1.0
1999-11-09,46.88,48.13,46.25,47.44,4.50541335373,1284600,0.0,1.0
1999-11-10,47.19,48.56,46.63,47.0,4.4636262147,1015400,0.0,1.0
1999-11-11,47.25,47.31,46.0,46.13,4.38100164434,951000,0.0,1.0
1999-11-12,46.38,46.75,45.5,46.13,4.38100164434,679100,0.0,1.0
1999-11-15,46.25,47.69,45.63,47.31,4.49306715356,1095200,0.0,1.0
1999-11-16,47.06,47.75,44.06,44.31,4.20815484198,1616100,0.0,1.0
1999-11-17,44.25,45.25,44.06,44.25,4.20245659575,2818400,0.0,1.0
1999-11-18,45.0,47.38,44.75,47.0,4.4636262147,2740500,0.0,1.0
1999-11-19,49.5,49.63,48.0,49.25,4.67731044838,2086800,0.0,1.0
1999-11-22,49.0,49.38,47.81,48.56,4.61178061672,934100,0.0,1.0
1999-11-23,48.44,48.5,47.13,47.38,4.4997151075,892100,0.0,1.0
1999-11-24,47.44,47.5,46.19,46.56,4.42183907567,516600,0.0,1.0
1999-11-26,47.0,47.38,46.63,47.0,4.4636262147,182500,0.0,1.0
1999-11-29,45.81,46.63,45.81,46.38,4.40474433697,714500,0.0,1.0
1999-11-30,46.38,46.75,45.88,46.0,4.36865544417,1062000,0.0,1.0
1999-12-01,45.75,47.19,45.63,47.0,4.4636262147,665900,0.0,1.0
1999-12-02,47.25,47.25,44.5,45.59,4.32971742826,1560700,0.0,1.0
1999-12-03,45.19,46.94,45.19,46.38,4.40474433697,1474400,0.0,1.0
1999-12-06,46.25,47.63,45.56,47.06,4.46932446093,907300,0.0,1.0
1999-12-07,46.38,46.88,45.75,46.44,4.4104425832,1005400,0.0,1.0
1999-12-08,46.25,46.38,44.69,45.21,4.29362853546,2145400,0.0,1.0
1999-12-09,45.0,46.25,45.0,45.75,4.34491275154,710500,0.0,1.0
1999-12-10,45.75,45.75,43.88,43.88,4.16731741066,2057600,0.0,1.0
1999-12-13,43.88,43.88,41.81,42.79,4.06379927079,1382700,0.0,1.0
1999-12-14,42.13,42.13,39.81,40.19,3.81687526742,2482900,0.0,1.0
1999-12-15,40.75,41.94,40.63,41.88,3.97737586961,2157700,0.0,1.0
1999-12-16,41.88,46.0,41.69,45.69,4.35061099777,1403500,0.12,1.0
1999-12-17,49.75,55.88,49.31,52.44,4.9933473566,5717100,0.0,1.0
1999-12-20,52.5,53.13,50.25,51.19,4.87432210497,1452000,0.0,1.0
1999-12-21,51.0,51.0,48.25,49.13,4.67816849027,1204900,0.0,1.0
1999-12-22,49.88,50.13,49.0,49.5,4.71339996476,632500,0.0,1.0
1999-12-23,49.69,51.94,49.56,51.88,4.94002404387,741800,0.0,1.0
1999-12-27,51.63,51.63,49.69,49.69,4.73149180301,484600,0.0,1.0
1999-12-28,49.75,50.25,49.63,50.0,4.76101006541,562400,0.0,1.0
1999-12-29,50.06,50.13,49.63,49.81,4.74291822716,263500,0.0,1.0
1999-12-30,49.75,50.0,49.13,49.19,4.68388170235,244500,0.0,1.0
1999-12-31,49.5,49.75,49.25,49.56,4.71911317684,225300,0.0,1.0
2000-01-03,49.31,49.56,47.75,48.12,4.58199608695,1001800,0.0,1.0
2000-01-04,47.0,47.31,45.38,45.5,4.33251915952,1226300,0.0,1.0
2000-01-05,45.75,48.13,45.75,48.13,4.58294828897,817800,0.0,1.0
2000-01-06,47.88,47.88,46.56,47.88,4.55914323864,611400,0.0,1.0
2000-01-07,47.69,48.0,47.0,47.88,4.55914323864,499200,0.0,1.0
2000-01-10,48.13,48.94,48.0,48.69,4.6362716017,493300,0.0,1.0
2000-01-11,49.38,52.25,49.25,51.13,4.86860889289,1372000,0.0,1.0
2000-01-12,50.88,51.0,49.13,49.38,4.7019735406,1256300,0.0,1.0
2000-01-13,49.06,50.44,48.44,50.0,4.76101006541,643100,0.0,1.0
2000-01-14,50.63,51.88,50.38,51.31,4.88574852913,960100,0.0,1.0
2000-01-18,50.75,51.63,50.06,50.63,4.82099879224,1044500,0.0,1.0
2000-01-19,51.75,53.5,51.44,52.81,5.02857883109,1287400,0.0,1.0
2000-01-20,53.25,53.38,51.25,51.56,4.90955357945,637900,0.0,1.0
2000-01-21,51.56,51.56,50.5,50.69,4.82671200431,1283200,0.0,1.0
2000-01-24,49.63,50.25,49.25,49.69,4.73149180301,716700,0.0,1.0
2000-01-25,49.56,50.13,48.5,48.88,4.65436343995,477900,0.0,1.0
2000-01-26,46.13,49.75,46.13,49.5,4.71339996476,1610800,0.0,1.0
2000-01-27,48.0,48.63,46.38,47.25,4.49915451181,788000,0.0,1.0
2000-01-28,47.0,47.0,46.0,46.88,4.46392303733,444500,0.0,1.0
2000-01-31,46.0,46.19,45.44,45.5,4.33251915952,578400,0.0,1.0
2000-02-01,45.44,47.13,45.25,46.69,4.44583119908,746400,0.0,1.0
2000-02-02,46.63,48.13,46.19,47.44,4.51724635006,696600,0.0,1.0
2000-02-03,47.31,47.88,46.56,47.88,4.55914323864,496700,0.0,1.0
2000-02-04,47.88,47.88,46.63,46.69,4.44583119908,1560700,0.0,1.0
2000-02-07,46.63,46.63,44.69,45.25,4.3087141092,806900,0.0,1.0
2000-02-08,45.0,45.0,26.5,37.0,3.5231474484,8213400,0.0,1.0
2000-02-09,36.5,36.5,32.38,33.75,3.21368179415,7821400,0.0,1.0
2000-02-10,33.38,34.81,32.88,33.75,3.21368179415,3129100,0.0,1.0
2000-02-11,34.13,34.5,33.13,34.0,3.23748684448,1580600,0.0,1.0
2000-02-14,33.5,34.06,32.13,32.31,3.07656470427,2232400,0.0,1.0
2000-02-15,32.06,32.13,30.25,30.44,2.89850292782,3757000,0.0,1.0
2000-02-16,30.44,30.75,29.25,29.5,2.80899593859,2834800,0.0,1.0
2000-02-17,29.31,29.88,28.81,29.0,2.76138583794,1872200,0.0,1.0
2000-02-18,28.88,29.13,27.38,28.0,2.66616563663,3260900,0.0,1.0
2000-02-22,28.63,28.75,27.0,27.0,2.57094543532,1605900,0.0,1.0
2000-02-23,28.25,28.5,27.94,28.06,2.67187884871,1578100,0.0,1.0
2000-02-24,28.0,28.06,26.63,27.06,2.5766586474,2019600,0.0,1.0
2000-02-25,27.0,27.06,26.5,26.56,2.52904854675,1853800,0.0,1.0
2000-02-28,26.94,28.25,26.81,27.88,2.65473921247,2048200,0.0,1.0
2000-02-29,27.88,29.13,27.88,28.44,2.70806252521,1571900,0.0,1.0
2000-03-01,28.44,28.69,27.94,28.13,2.6785442628,1235600,0.0,1.0
2000-03-02,28.38,29.94,28.13,29.44,2.80328272651,1407600,0.0,1.0
2000-03-03,30.06,30.25,29.13,29.38,2.79756951444,864100,0.0,1.0
2000-03-06,29.5,29.63,28.19,28.5,2.71377573728,960600,0.0,1.0
2000-03-07,28.75,28.81,27.69,27.88,2.65473921247,1191500,0.0,1.0
2000-03-08,27.25,27.63,27.0,27.25,2.59475048565,1250000,0.0,1.0
2000-03-09,27.13,27.25,25.81,26.75,2.547140385,1757400,0.0,1.0
2000-03-10,26.94,27.44,26.81,26.88,2.55951901117,1570800,0.0,1.0
2000-03-13,27.13,29.25,26.5,28.75,2.73758078761,2620700,0.0,1.0
2000-03-14,29.0,30.13,28.25,28.88,2.74995941378,2280500,0.0,1.0
2000-03-15,28.63,33.5,28.56,33.0,3.14226664317,3239100,0.0,1.0
2000-03-16,32.94,38.0,31.38,35.75,3.41554862093,2178400,0.12,1.0
2000-03-17,34.63,36.13,32.13,34.0,3.24835393319,3752700,0.0,1.0
2000-03-20,32.31,33.38,32.31,33.0,3.15281411162,1798300,0.0,1.0
2000-03-21,33.13,33.44,32.25,33.13,3.16523428843,1726200,0.0,1.0
2000-03-22,34.25,34.5,33.44,33.75,3.2244689778,1472500,0.0,1.0
2000-03-23,33.63,34.63,33.25,34.0,3.24835393319,1567300,0.0,1.0
2000-03-24,34.0,34.5,33.69,33.88,3.2368891546,913200,0.0,1.0
2000-03-27,36.0,36.25,35.0,35.94,3.43370118702,2088100,0.0,1.0
2000-03-28,36.19,36.81,35.75,36.81,3.51682083178,1132600,0.0,1.0
2000-03-29,36.81,39.25,36.81,39.0,3.72605304101,2135100,0.0,1.0
2000-03-30,39.06,39.13,37.69,38.69,3.69643569633,1636100,0.0,1.0
2000-03-31,38.75,40.0,38.44,39.63,3.7862431286,1879600,0.0,1.0
2000-04-03,41.0,41.0,40.0,40.0,3.82159286257,1777600,0.0,1.0
2000-04-04,40.0,40.13,36.44,38.94,3.72032065172,1518700,0.0,1.0
2000-04-05,39.5,40.5,38.88,39.19,3.74420560711,706800,0.0,1.0
2000-04-06,39.31,41.75,39.31,41.56,3.97063498422,1382300,0.0,1.0
2000-04-07,42.5,42.94,41.81,42.94,4.10247993797,1535700,0.0,1.0
2000-04-10,42.81,43.19,42.0,43.0,4.10821232727,837100,0.0,1.0
2000-04-11,43.88,45.75,43.88,45.13,4.3117121472,2349900,0.0,1.0
2000-04-12,45.06,45.31,43.94,44.44,4.24578967032,1151600,0.0,1.0
2000-04-13,44.5,45.19,43.75,43.94,4.19801975954,1210000,0.0,1.0
2000-04-14,42.5,43.25,40.88,42.63,4.07286259329,2232900,0.0,1.0
2000-04-17,42.88,43.0,40.88,42.0,4.0126725057,1560200,0.0,1.0
2000-04-18,41.81,43.5,40.94,42.38,4.0489776379,1419000,0.0,1.0
2000-04-19,43.38,45.88,43.0,44.06,4.20948453813,1175300,0.0,1.0
2000-04-20,44.13,44.38,43.75,43.94,4.19801975954,792700,0.0,1.0
2000-04-24,44.06,45.38,43.06,43.19,4.12636489337,901900,0.0,1.0
2000-04-25,43.13,45.81,42.88,45.63,4.35948205798,860700,0.0,1.0
2000-04-26,45.25,45.25,43.19,43.88,4.19228737024,541700,0.0,1.0
2000-04-27,43.0,43.56,42.63,43.31,4.13782967195,478800,0.0,1.0
2000-04-28,44.5,44.94,43.13,43.44,4.15024984876,965000,0.0,1.0
2000-05-01,43.44,47.13,43.38,46.56,4.44833409204,1016300,0.0,1.0
2000-05-02,46.31,46.31,44.63,45.25,4.32317692579,558700,0.0,1.0
2000-05-03,43.25,43.69,41.63,42.38,4.0489776379,1015800,0.0,1.0
2000-05-04,43.0,44.0,42.5,42.75,4.08432737188,766100,0.0,1.0
