dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2003-12-02,19.0,19.25,19.0,19.25,8.08202615658,80000,0.0,1.0
2003-12-03,19.5,19.5,19.5,19.5,8.18698753523,150000,0.0,1.0
2003-12-04,20.25,20.25,20.25,20.25,8.5018716712,25000,0.0,1.0
2003-12-05,20.25,20.25,20.25,20.25,8.5018716712,0,0.0,1.0
2003-12-08,21.0,21.8,21.0,21.8,9.15263221887,477000,0.0,1.0
2003-12-09,21.8,22.75,21.8,22.125,9.28908201113,1507100,0.0,1.0
2003-12-10,22.25,23.0,22.25,22.5,9.44652407911,1497300,0.0,1.0
2003-12-11,22.75,23.0,22.625,22.9,9.61446228496,1101600,0.0,1.0
2003-12-12,23.0,23.05,22.92,22.95,9.6354545607,354500,0.0,1.0
2003-12-15,22.9,22.9,22.4,22.4,9.40453952765,643500,0.0,1.0
2003-12-16,22.35,22.35,21.8,21.95,9.21560904607,442800,0.0,1.0
2003-12-17,21.9,21.9,21.4,21.45,9.00568628876,575400,0.0,1.0
2003-12-18,21.45,21.55,21.45,21.55,9.04767084022,1212600,0.0,1.0
2003-12-19,21.55,21.8,21.55,21.8,9.15263221887,710900,0.0,1.0
2003-12-22,21.65,21.8,21.65,21.65,9.08965539168,2600,0.0,1.0
2003-12-23,21.7,21.85,21.7,21.8,9.15263221887,66900,0.0,1.0
2003-12-24,21.8,21.85,21.8,21.85,9.17362449461,10100,0.0,1.0
2003-12-26,21.85,21.85,21.85,21.85,9.17362449461,500,0.0,1.0
2003-12-29,21.8,21.8,21.8,21.8,9.15263221887,600,0.0,1.0
2003-12-30,21.85,21.9,21.85,21.9,9.19461677034,15800,0.0,1.0
2003-12-31,21.9,22.0,21.9,21.9,9.19461677034,7100,0.0,1.0
2004-01-02,22.0,22.45,21.95,22.45,9.42553180338,278800,0.0,1.0
2004-01-05,22.45,22.5,22.3,22.4,9.40453952765,68000,0.0,1.0
2004-01-06,22.4,22.5,22.39,22.45,9.42553180338,80300,0.0,1.0
2004-01-07,22.4,22.4,22.0,22.25,9.34156270046,141700,0.0,1.0
2004-01-08,22.35,22.35,22.2,22.26,9.3457611556,192600,0.0,1.0
2004-01-09,22.3,22.3,21.15,21.15,8.87973263437,1728100,0.0,1.0
2004-01-12,21.25,21.25,21.2,21.2,8.9007249101,8900,0.0,1.0
2004-01-13,21.25,21.35,20.96,21.0,8.81675580717,534800,0.0,1.0
2004-01-14,21.05,21.1,21.0,21.0,8.81675580717,104300,0.0,1.0
2004-01-15,21.0,21.0,20.75,20.85,8.75377897998,27100,0.0,1.0
2004-01-16,20.75,20.9,20.75,20.8,8.73278670425,246900,0.0,1.0
2004-01-20,21.0,21.05,20.97,21.0,8.81675580717,428300,0.0,1.0
2004-01-21,21.05,21.15,21.0,21.0,8.81675580717,484800,0.0,1.0
2004-01-22,21.1,21.6,21.1,21.5,9.02667856449,431800,0.0,1.0
2004-01-23,21.5,21.5,21.1,21.2,8.9007249101,374200,0.0,1.0
2004-01-26,21.2,21.2,20.85,20.85,8.75377897998,145800,0.0,1.0
2004-01-27,20.85,20.85,20.7,20.73,8.70339751822,497300,0.0,1.0
2004-01-28,20.75,20.75,20.45,20.5,8.60683304986,50000,0.0,1.0
2004-01-29,20.5,20.5,19.75,20.0,8.39691029255,584500,0.0,1.0
2004-01-30,20.0,20.25,20.0,20.0,8.39691029255,170600,0.0,1.0
2004-02-02,20.0,20.35,20.0,20.15,8.45988711974,40400,0.0,1.0
2004-02-03,20.0,20.31,20.0,20.3,8.52286394693,689600,0.0,1.0
2004-02-04,20.25,20.3,20.25,20.25,8.5018716712,287600,0.0,1.0
2004-02-05,20.27,20.27,20.02,20.05,8.41790256828,324500,0.0,1.0
2004-02-06,20.15,20.15,20.0,20.05,8.41790256828,243300,0.0,1.0
2004-02-09,20.05,20.05,20.0,20.0,8.39691029255,303700,0.0,1.0
2004-02-10,20.0,20.1,20.0,20.03,8.40950565798,272300,0.0,1.0
2004-02-11,20.08,20.08,20.0,20.0,8.39691029255,507800,0.0,1.0
2004-02-12,20.02,20.05,20.0,20.0,8.39691029255,94300,0.0,1.0
2004-02-13,20.02,20.04,20.0,20.04,8.41370411313,463700,0.0,1.0
2004-02-17,20.03,20.04,19.8,19.8,8.31294118962,138100,0.0,1.0
2004-02-18,19.75,19.85,19.5,19.51,8.19118599038,221400,0.0,1.0
2004-02-19,19.53,19.55,19.5,19.54,8.20378135582,340400,0.0,1.0
2004-02-20,19.55,19.57,19.5,19.54,8.20378135582,105100,0.0,1.0
2004-02-23,19.5,19.52,19.0,19.25,8.08202615658,47400,0.0,1.0
2004-02-24,19.2,19.6,18.1,18.44,7.74195128973,1428400,0.0,1.0
2004-02-25,18.5,19.25,18.4,19.2,8.06103388084,1089100,0.0,1.0
2004-02-26,19.2,19.35,19.1,19.15,8.04004160511,514600,0.0,1.0
2004-02-27,19.1,19.3,19.1,19.3,8.10301843231,758300,0.0,1.0
2004-03-01,19.2,20.2,19.2,20.0,8.39691029255,665200,0.0,1.0
2004-03-02,20.0,20.05,19.75,19.9,8.35492574108,151900,0.0,1.0
2004-03-03,19.9,19.99,19.8,19.97,8.38431492711,232800,0.0,1.0
2004-03-04,19.95,19.95,18.85,19.8,8.31294118962,192600,0.0,1.0
2004-03-05,19.8,19.9,19.75,19.85,8.33393346535,80400,0.0,1.0
2004-03-08,19.9,19.9,19.07,19.5,8.18698753523,49500,0.0,1.0
2004-03-09,19.6,19.75,19.5,19.5,8.18698753523,47400,0.0,1.0
