dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,24.44,24.88,24.13,24.69,15.2300203376,762000,0.0,1.0
1999-11-02,24.69,24.69,24.25,24.31,14.9956174324,604800,0.0,1.0
1999-11-03,24.19,24.25,23.69,23.69,14.7365405372,1498200,0.2,1.0
1999-11-04,23.69,24.19,23.69,23.81,14.8111874289,527800,0.0,1.0
1999-11-05,23.81,23.94,23.38,23.44,14.5810261795,474400,0.0,1.0
1999-11-08,23.44,23.81,23.25,23.69,14.7365405372,629300,0.0,1.0
1999-11-09,24.19,24.25,23.5,23.75,14.7738639831,511000,0.0,1.0
1999-11-10,23.5,24.0,23.25,23.88,14.8547314491,626100,0.0,1.0
1999-11-11,23.63,23.94,23.44,23.75,14.7738639831,369500,0.0,1.0
1999-11-12,23.75,24.38,23.75,24.38,15.1657601645,451200,0.0,1.0
1999-11-15,24.38,24.44,23.94,24.25,15.0848926985,509100,0.0,1.0
1999-11-16,24.25,24.88,24.0,24.81,15.4332448598,529000,0.0,1.0
1999-11-17,24.69,24.81,23.19,24.0,14.9293783408,2812600,0.0,1.0
1999-11-18,23.88,23.94,23.0,23.75,14.7738639831,557700,0.0,1.0
1999-11-19,23.63,23.69,23.13,23.19,14.4255118218,417700,0.0,1.0
1999-11-22,23.19,23.25,22.38,22.38,13.9216453028,838800,0.0,1.0
1999-11-23,22.5,22.5,21.88,22.44,13.9589687486,668300,0.0,1.0
1999-11-24,22.25,22.25,21.63,21.81,13.5670725672,679100,0.0,1.0
1999-11-26,21.63,22.13,21.63,21.94,13.6479400332,158000,0.0,1.0
1999-11-29,21.94,22.0,21.5,21.5,13.3742347636,945800,0.0,1.0
1999-11-30,21.5,21.63,21.38,21.38,13.2995878719,1097400,0.0,1.0
1999-12-01,21.44,21.5,21.31,21.44,13.3369113178,780700,0.0,1.0
1999-12-02,21.44,21.5,21.13,21.13,13.1440735142,834500,0.0,1.0
1999-12-03,21.06,21.69,21.0,21.44,13.3369113178,1637600,0.0,1.0
1999-12-06,21.31,21.44,21.19,21.38,13.2995878719,708300,0.0,1.0
1999-12-07,21.38,21.5,21.0,21.31,13.2560438518,1382400,0.0,1.0
1999-12-08,21.38,21.69,20.94,21.13,13.1440735142,775700,0.0,1.0
1999-12-09,21.13,21.44,20.81,20.81,12.9450151363,1744400,0.0,1.0
1999-12-10,20.88,21.31,20.75,21.31,13.2560438518,1031700,0.0,1.0
1999-12-13,21.31,21.56,21.13,21.37,13.2933672976,2151000,0.0,1.0
1999-12-14,21.25,21.38,20.69,21.19,13.1813969601,769400,0.0,1.0
1999-12-15,21.06,21.38,20.69,21.13,13.1440735142,1212500,0.0,1.0
1999-12-16,21.0,21.31,20.88,21.19,13.1813969601,1614900,0.0,1.0
1999-12-17,21.19,23.0,21.06,22.38,13.9216453028,1415300,0.0,1.0
1999-12-20,22.5,22.5,21.0,21.58,13.4239993581,1092800,0.0,1.0
1999-12-21,21.0,21.06,19.75,20.38,12.6775304411,1199800,0.0,1.0
1999-12-22,20.13,20.19,19.63,19.75,12.2856342596,1750100,0.0,1.0
1999-12-23,19.69,20.63,19.69,20.44,12.7148538869,885300,0.0,1.0
1999-12-27,20.63,21.31,20.44,20.5,12.7521773328,739000,0.0,1.0
1999-12-28,20.63,21.06,20.5,20.63,12.8330447988,631600,0.0,1.0
1999-12-29,20.75,20.88,20.56,20.81,12.9450151363,415700,0.0,1.0
1999-12-30,20.56,20.75,20.38,20.69,12.8703682446,477700,0.0,1.0
