dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,74.5,75.63,73.25,74.0,15.0981170097,1177900,0.0,1.0
1999-11-02,74.88,81.0,74.5,79.75,16.2712815071,1157300,0.0,1.0
1999-11-03,83.0,86.75,82.75,86.25,17.5974674606,1083800,0.0,1.0
1999-11-04,87.0,87.63,82.75,86.0,17.5464603086,837200,0.0,1.0
1999-11-05,85.75,97.0,85.75,90.44,18.4523473292,1040300,0.0,1.0
1999-11-08,90.06,96.0,89.5,95.44,19.4724903703,1378500,0.0,1.0
1999-11-09,96.75,101.0,92.88,99.5,20.3008465198,1037000,0.0,1.0
1999-11-10,98.5,102.0,96.0,97.13,19.8172987183,667700,0.0,1.0
1999-11-11,99.0,99.0,94.38,95.0,19.3827177827,457000,0.0,1.0
1999-11-12,96.5,97.0,83.5,91.88,18.746148525,1609400,0.0,1.0
1999-11-15,93.13,94.19,89.5,89.88,18.3380913085,725900,0.0,1.0
1999-11-16,90.5,104.9,90.0,103.4,21.0965580919,2615000,0.0,1.0
1999-11-17,117.5,127.0,113.1,124.0,25.2995474217,3626300,0.0,1.0
1999-11-18,124.0,126.6,117.0,118.8,24.2385986588,1950300,0.0,1.0
1999-11-19,117.3,117.9,113.8,115.8,23.6265128341,1115200,0.0,1.0
1999-11-22,118.1,119.9,116.1,118.0,24.0753757722,1290200,0.0,1.0
1999-11-23,122.9,129.3,118.0,118.6,24.1977929372,1457200,0.0,1.0
1999-11-24,121.6,124.3,118.0,123.0,25.0955188134,742400,0.0,1.0
1999-11-26,127.3,134.8,127.3,130.6,26.646136236,558500,0.0,1.0
1999-11-29,139.3,140.0,132.1,133.2,27.1766106175,1667700,0.0,1.0
1999-11-30,134.2,134.4,115.3,117.7,24.0141671898,1715200,0.0,1.0
1999-12-01,121.8,130.0,119.4,125.0,25.5035760299,1968700,0.0,1.0
1999-12-02,125.4,136.1,124.4,135.5,27.6458764164,1208300,0.0,1.0
1999-12-03,139.0,143.5,136.0,136.8,27.9111136071,1223900,0.0,1.0
1999-12-06,141.6,155.5,137.5,151.5,30.9103341482,1098700,0.0,1.0
1999-12-07,156.1,156.5,144.8,146.9,29.9718025503,1164500,0.0,1.0
1999-12-08,150.8,154.6,147.3,150.8,30.7675141225,933900,0.0,1.0
1999-12-09,154.4,159.1,147.0,150.5,30.70630554,1357100,0.0,1.0
1999-12-10,155.8,156.0,147.9,153.9,31.400002808,600100,0.0,1.0
1999-12-13,159.9,165.0,157.0,160.6,32.7669944832,1349500,0.0,1.0
1999-12-14,164.9,167.8,156.5,164.0,33.4606917512,1176800,0.0,1.0
1999-12-15,160.5,161.8,146.8,152.9,31.1959741998,1445200,0.0,1.0
1999-12-16,161.9,163.0,148.4,152.9,31.1959741998,1206200,0.0,1.0
1999-12-17,156.0,162.3,143.5,144.7,29.5229396122,2628200,0.0,1.0
1999-12-20,148.3,155.6,144.0,146.5,29.890191107,1637500,0.0,1.0
1999-12-21,73.75,78.25,68.75,78.13,31.8815103235,921000,0.0,2.0
1999-12-22,80.13,86.38,78.5,85.38,34.8399251429,3649400,0.0,1.0
1999-12-23,89.63,91.88,83.38,84.5,34.4808347924,2092300,0.0,1.0
1999-12-27,87.75,88.5,78.63,82.13,33.5137391894,2138600,0.0,1.0
1999-12-28,81.75,86.63,78.81,84.19,34.3543370553,1666400,0.0,1.0
1999-12-29,85.44,85.44,80.88,82.06,33.4851751842,1349900,0.0,1.0
1999-12-30,83.5,85.38,80.25,84.88,34.6358965347,946700,0.0,1.0
1999-12-31,85.19,85.5,82.0,83.06,33.8932324007,587400,0.0,1.0
2000-01-03,89.88,90.13,84.75,85.0,34.6848634007,2713000,0.0,1.0
2000-01-04,82.38,84.88,74.0,74.25,30.2982483235,2255700,0.0,1.0
2000-01-05,80.38,84.5,70.0,80.13,32.6976247564,3316900,0.0,1.0
2000-01-06,77.0,77.81,70.0,70.06,28.5884885865,2794800,0.0,1.0
2000-01-07,69.0,85.0,67.75,85.0,34.6848634007,4255200,0.0,1.0
2000-01-10,88.56,91.81,86.5,88.63,36.1661110965,3174300,0.0,1.0
2000-01-11,91.0,93.63,81.75,82.5,33.6647203595,2365400,0.0,1.0
2000-01-12,82.0,88.75,78.63,87.13,35.5540252718,2178400,0.0,1.0
2000-01-13,88.0,90.0,83.25,85.72,34.9786645965,2572000,0.0,1.0
2000-01-14,88.0,95.25,87.0,93.69,38.2308806119,3003800,0.0,1.0
2000-01-18,98.13,120.0,97.0,118.1,48.1915572661,3788300,0.0,1.0
2000-01-19,113.6,117.0,106.0,108.5,44.2742079879,2953800,0.0,1.0
2000-01-20,114.6,115.3,111.3,115.0,46.926579895,2118300,0.0,1.0
2000-01-21,115.8,121.5,110.0,117.1,47.7835000496,2456700,0.0,1.0
2000-01-24,119.9,119.9,100.6,102.0,41.6218360808,3202400,0.0,1.0
2000-01-25,103.8,111.0,99.0,107.2,43.7437336065,2970800,0.0,1.0
2000-01-26,108.3,115.1,106.6,108.4,44.2334022663,2951300,0.0,1.0
2000-01-27,110.6,111.5,99.13,102.9,41.9890875756,3104700,0.0,1.0
2000-01-28,101.3,107.0,98.0,99.19,40.4751953025,1832500,0.0,1.0
2000-01-31,100.9,105.0,90.63,100.4,40.9689445344,2897800,0.0,1.0
2000-02-01,104.1,108.6,100.3,107.8,43.9885679364,1863500,0.0,1.0
2000-02-02,109.1,115.1,106.0,113.2,46.1920769053,2489800,0.0,1.0
2000-02-03,115.0,115.0,106.0,114.6,46.7633570084,2374000,0.0,1.0
