dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,51.88,51.88,50.38,50.5,6.78877693452,338800,0.0,1.0
1999-11-02,50.5,52.38,50.0,52.06,6.99848964775,542200,0.0,1.0
1999-11-03,52.31,52.44,50.75,51.25,6.88960035434,481600,0.0,1.0
1999-11-04,51.38,51.44,50.25,50.81,6.83045061471,329200,0.0,1.0
1999-11-05,51.0,52.19,51.0,51.94,6.98235790058,385600,0.0,1.0
1999-11-08,52.0,52.25,49.81,50.38,6.77264518735,448800,0.0,1.0
1999-11-09,50.0,50.38,49.81,50.38,6.77264518735,352200,0.0,1.0
1999-11-10,50.63,50.63,49.75,50.5,6.78877693452,370800,0.0,1.0
1999-11-11,50.75,52.0,50.75,51.63,6.94068422038,527000,0.0,1.0
1999-11-12,50.88,50.94,49.56,49.88,6.70542957414,588600,0.0,1.0
1999-11-15,49.94,51.19,49.63,51.0,6.85599254773,438200,0.0,1.0
1999-11-16,51.25,51.44,50.38,51.06,6.86405842132,409200,0.0,1.0
1999-11-17,50.81,51.0,49.69,49.69,6.67988764112,1451600,0.0,1.0
1999-11-18,49.88,52.0,49.88,51.44,6.91514228736,653400,0.0,1.0
1999-11-19,51.5,51.63,50.84,51.38,6.90707641378,362000,0.0,1.0
1999-11-22,51.13,51.25,49.97,50.43,6.77936674867,329000,0.0,1.0
1999-11-23,50.25,50.25,49.31,49.44,6.64627983451,460000,0.0,1.0
1999-11-24,49.5,51.0,48.63,50.63,6.80625299396,474400,0.0,1.0
1999-11-26,50.75,50.75,50.0,50.06,6.72962719489,235600,0.0,1.0
1999-11-29,49.63,49.75,48.5,48.69,6.54545641469,721600,0.0,1.0
1999-11-30,48.88,50.44,48.75,50.44,6.78071106094,475400,0.0,1.0
1999-12-01,50.19,50.44,49.25,50.13,6.73903738074,563200,0.0,1.0
1999-12-02,50.44,53.0,50.44,52.13,7.0078998336,932800,0.0,1.0
1999-12-03,52.0,54.0,52.0,53.94,7.25122035343,788200,0.0,1.0
1999-12-06,53.38,53.94,52.75,53.5,7.1920706138,481200,0.0,1.0
1999-12-07,54.0,54.06,53.31,54.0,7.25928622701,860000,0.0,1.0
1999-12-08,54.5,55.5,54.13,55.25,7.42732526005,1035600,0.0,1.0
1999-12-09,55.25,55.25,54.31,54.31,7.30095990721,518400,0.0,1.0
1999-12-10,54.38,56.63,54.38,56.31,7.56982236006,863600,0.0,1.0
1999-12-13,56.5,57.44,55.63,55.94,7.52008280628,1077400,0.0,1.0
1999-12-14,55.75,56.13,54.81,55.56,7.46899894024,794200,0.0,1.0
1999-12-15,55.56,57.25,55.31,56.63,7.61284035251,1194200,0.0,1.0
1999-12-16,56.5,56.63,55.81,56.44,7.58729841949,1169800,0.0,1.0
1999-12-17,56.44,56.75,54.5,54.5,7.32650184023,560400,0.0,1.0
1999-12-20,54.75,55.0,52.75,53.25,7.15846280719,863800,0.0,1.0
1999-12-21,53.5,56.19,53.38,55.25,7.42732526005,1151800,0.0,1.0
1999-12-22,55.0,55.13,53.63,53.63,7.20954667324,677200,0.0,1.0
1999-12-23,53.69,54.81,53.31,54.44,7.31843596664,499000,0.0,1.0
1999-12-27,54.75,55.0,54.38,54.38,7.31037009305,574600,0.0,1.0
1999-12-28,54.44,56.25,54.25,56.0,7.52814867987,498800,0.0,1.0
1999-12-29,55.81,55.81,54.69,55.0,7.41119351287,499600,0.13,1.0
1999-12-30,55.06,55.31,54.38,54.38,7.32764914964,262600,0.0,1.0
1999-12-31,54.13,55.31,54.13,54.81,7.38559120801,277400,0.0,1.0
2000-01-03,54.81,54.81,53.56,54.31,7.31821672153,1141600,0.0,1.0
2000-01-04,54.25,54.94,53.38,53.75,7.24275729667,778200,0.0,1.0
2000-01-05,53.63,55.5,53.63,55.0,7.41119351287,1420000,0.0,1.0
2000-01-06,55.13,56.25,55.0,55.75,7.5122552426,934800,0.0,1.0
2000-01-07,55.63,56.44,54.81,55.94,7.53785754746,515600,0.0,1.0
2000-01-10,55.94,55.94,53.19,53.94,7.26835960154,699600,0.0,1.0
2000-01-11,54.38,55.19,54.13,55.06,7.41927845125,814400,0.0,1.0
2000-01-12,55.06,55.06,53.13,53.19,7.16729787181,544200,0.0,1.0
