dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,26.0,28.13,25.81,27.44,0.525268362725,4191000,0.0,1.0
1999-11-04,27.75,29.94,27.75,29.19,0.558767620552,2625700,0.0,1.0
1999-11-05,30.0,30.25,26.88,28.25,0.54077373349,1284100,0.0,1.0
1999-11-08,27.38,29.88,26.5,29.06,0.556279104256,979200,0.0,1.0
1999-11-09,29.0,29.13,27.5,28.63,0.548047858047,567400,0.0,1.0
1999-11-10,28.72,28.75,27.81,28.38,0.543262249786,300100,0.0,1.0
1999-11-11,28.38,31.88,27.75,30.38,0.581547115874,1172300,0.0,1.0
1999-11-12,31.69,32.0,29.88,32.0,0.612557857405,1044800,0.0,1.0
1999-11-15,32.22,33.19,30.88,31.38,0.600689548918,754600,0.0,1.0
1999-11-16,32.13,35.0,32.0,34.38,0.65811684805,1507900,0.0,1.0
1999-11-17,35.0,37.5,34.5,35.69,0.683193435337,1638300,0.0,1.0
1999-11-18,36.44,36.75,35.5,35.81,0.685490527302,491600,0.0,1.0
1999-11-19,40.13,44.38,40.0,42.88,0.820827528923,4510800,0.0,1.0
1999-11-22,43.97,44.0,40.25,42.81,0.81948755861,1125400,0.0,1.0
1999-11-23,38.25,40.19,38.0,39.75,0.760911713495,1152600,0.0,1.0
1999-11-24,39.56,40.0,35.56,38.5,0.736983672191,847600,0.0,1.0
1999-11-26,38.13,38.5,37.0,38.25,0.73219806393,149500,0.0,1.0
1999-11-29,38.13,38.63,36.0,36.88,0.705972930659,622100,0.0,1.0
1999-11-30,37.0,37.63,34.63,34.63,0.662902456311,655600,0.0,1.0
1999-12-01,34.63,36.88,34.63,36.38,0.696401714137,465700,0.0,1.0
1999-12-02,36.5,39.56,36.5,39.06,0.747703434695,645600,0.0,1.0
1999-12-03,39.44,40.13,37.63,38.13,0.729900971964,714100,0.0,1.0
1999-12-06,38.25,39.38,38.25,39.19,0.750191950991,372100,0.0,1.0
1999-12-07,39.5,39.56,36.38,37.88,0.725115363703,388300,0.0,1.0
1999-12-08,37.75,39.94,37.63,39.56,0.757274651217,420200,0.0,1.0
1999-12-09,39.5,40.5,37.0,38.38,0.734686580225,447800,0.0,1.0
1999-12-10,39.06,39.25,37.25,37.94,0.726263909686,204800,0.0,1.0
1999-12-13,37.5,38.81,37.0,37.81,0.72377539339,383000,0.0,1.0
1999-12-14,37.88,38.81,36.81,37.19,0.711907084903,570600,0.0,1.0
1999-12-15,36.94,37.13,35.13,36.0,0.689127589581,429100,0.0,1.0
1999-12-16,36.19,36.75,35.63,35.75,0.68434198132,276200,0.0,1.0
1999-12-17,36.75,38.19,36.56,37.63,0.720329755442,546000,0.0,1.0
1999-12-20,37.69,41.13,36.38,40.75,0.780054146539,838400,0.0,1.0
1999-12-21,40.75,42.56,39.25,42.5,0.813553404366,809100,0.0,1.0
1999-12-22,42.63,44.0,41.0,43.5,0.83269583741,523300,0.0,1.0
1999-12-23,43.56,46.5,43.38,46.38,0.887826044577,583800,0.0,1.0
1999-12-27,47.38,47.44,44.13,44.63,0.85432678675,421700,0.0,1.0
1999-12-28,44.63,46.25,44.38,44.5,0.851838270454,373300,0.0,1.0
1999-12-29,44.41,46.5,44.38,46.0,0.88055192002,275300,0.0,1.0
1999-12-30,46.0,46.69,45.25,46.38,0.887826044577,291200,0.0,1.0
1999-12-31,46.28,47.0,46.13,46.94,0.898545807081,265300,0.0,1.0
2000-01-03,47.25,47.63,45.25,46.81,0.896057290785,626900,0.0,1.0
2000-01-04,46.0,46.13,43.25,45.56,0.872129249481,626000,0.0,1.0
2000-01-05,44.25,45.0,43.75,44.19,0.84590411621,392400,0.0,1.0
2000-01-06,44.06,44.06,39.5,41.19,0.788476817079,251000,0.0,1.0
2000-01-07,41.0,42.31,40.38,41.88,0.801685095879,148300,0.0,1.0
2000-01-10,42.0,45.0,41.25,43.25,0.827910229149,499700,0.0,1.0
