dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-06-19,15.28,16.25,15.2,15.8,14.4106313683,31981500,0.0,1.0
2013-06-20,16.37,16.37,15.25,15.3,13.9545987301,9274200,0.0,1.0
2013-06-21,15.7,15.8,15.4,15.62,14.2464596186,8323500,0.0,1.0
2013-06-24,15.64,15.84,15.2,15.53,14.1643737437,4279700,0.0,1.0
2013-06-25,15.55,15.74,15.35,15.72,14.3376661462,3577300,0.0,1.0
2013-06-26,15.69,15.69,15.18,15.4,14.0458052577,14755100,0.0,1.0
2013-06-27,15.34,15.87,14.85,15.5,14.1370117854,12121700,0.0,1.0
2013-06-28,15.5,15.77,15.25,15.25,13.9089954663,16988100,0.0,1.0
2013-07-01,15.59,15.59,14.75,14.79,13.4894454391,25839400,0.0,1.0
2013-07-02,14.69,15.12,14.69,15.0,13.6809791471,30520100,0.0,1.0
2013-07-03,14.95,15.09,14.73,14.87,13.5624106612,8542600,0.0,1.0
2013-07-05,14.95,15.95,14.89,15.66,14.2829422296,12427000,0.0,1.0
2013-07-08,15.63,16.04,15.495,15.955,14.5520014862,15345100,0.0,1.0
2013-07-09,15.79,15.97,15.5,15.71,14.3285454934,9936400,0.0,1.0
2013-07-10,15.5,15.57,15.145,15.39,14.036684605,16327000,0.0,1.0
2013-07-11,15.6,15.6,14.96,15.13,13.7995476331,17029600,0.0,1.0
2013-07-12,15.07,15.12,14.9,14.93,13.6171345778,10426300,0.0,1.0
2013-07-15,14.93,15.03,14.39,14.67,13.3799976059,20636400,0.0,1.0
2013-07-16,14.57,15.34,14.57,15.28,13.9363574246,9328500,0.0,1.0
2013-07-17,15.36,15.96,15.29,15.89,14.4927172432,13411100,0.0,1.0
2013-07-18,15.94,16.1,15.33,15.47,14.1096498271,10825700,0.0,1.0
2013-07-19,15.35,16.08,15.26,15.97,14.5656824653,11658700,0.0,1.0
2013-07-22,16.09,16.125,15.61,15.73,14.346786799,6141600,0.0,1.0
2013-07-23,15.69,15.865,15.54,15.65,14.2738215769,9298400,0.0,1.0
2013-07-24,15.65,15.885,15.42,15.71,14.3285454934,6205200,0.0,1.0
2013-07-25,15.66,15.87,15.45,15.57,14.2008563547,7069700,0.0,1.0
2013-07-26,15.54,15.97,15.31,15.89,14.4927172432,5884800,0.0,1.0
2013-07-29,15.87,15.87,15.4,15.51,14.1461324381,9020200,0.0,1.0
2013-07-30,15.6,15.955,15.46,15.95,14.5474411598,12798200,0.0,1.0
2013-07-31,16.0,16.21,15.83,15.93,14.5291998543,7681500,0.0,1.0
2013-08-01,15.94,16.28,15.94,16.215,14.7891384581,10303300,0.0,1.0
2013-08-02,16.15,16.47,16.12,16.34,14.9031466176,8258600,0.0,1.0
2013-08-05,16.33,16.33,15.89,16.0,14.5930444236,8754100,0.0,1.0
2013-08-06,15.99,16.25,15.82,16.18,14.7572161734,6232000,0.0,1.0
