dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,23.0,23.63,22.88,23.13,3.32854792706,60900,0.0,1.0
1999-11-04,23.31,23.38,23.0,23.0,3.309840135,31200,0.0,1.0
1999-11-05,22.88,23.13,22.56,22.63,3.25659488065,40200,0.0,1.0
1999-11-08,22.63,22.75,22.5,22.63,3.25659488065,38200,0.0,1.0
1999-11-09,22.38,22.75,22.31,22.63,3.25659488065,60200,0.0,1.0
1999-11-10,22.5,22.5,22.31,22.44,3.22925272301,29300,0.0,1.0
1999-11-11,22.5,22.5,22.25,22.25,3.20191056538,33900,0.0,1.0
1999-11-12,22.25,22.38,22.0,22.25,3.20191056538,55100,0.0,1.0
1999-11-15,22.38,22.38,21.88,22.06,3.17456840774,36000,0.0,1.0
1999-11-16,22.25,22.38,21.63,21.88,3.14866531103,53200,0.0,1.0
1999-11-17,21.88,22.19,21.69,21.88,3.14866531103,42000,0.0,1.0
1999-11-18,22.0,22.44,21.88,22.19,3.19327619981,43600,0.0,1.0
1999-11-19,22.06,22.06,21.69,21.88,3.14866531103,47100,0.0,1.0
1999-11-22,21.63,22.0,21.63,21.81,3.13859188453,25900,0.0,1.0
1999-11-23,21.63,22.0,21.63,21.63,3.11268878783,55600,0.0,1.0
1999-11-24,21.88,22.13,21.75,21.88,3.14866531103,51300,0.0,1.0
1999-11-26,21.88,22.06,21.81,21.88,3.14866531103,15600,0.0,1.0
1999-11-29,21.81,21.81,21.56,21.56,3.12823064585,30800,0.178,1.0
1999-11-30,21.5,21.88,21.5,21.81,3.1645041923,27700,0.0,1.0
1999-12-01,21.56,21.88,21.5,21.69,3.14709289,36200,0.0,1.0
1999-12-02,21.31,21.56,21.31,21.38,3.10211369241,45200,0.0,1.0
1999-12-03,21.38,21.5,21.25,21.31,3.0919570994,30400,0.0,1.0
1999-12-06,21.25,21.69,21.0,21.0,3.0469779018,71600,0.0,1.0
1999-12-07,21.0,21.75,21.0,21.5,3.1195249947,55000,0.0,1.0
1999-12-08,21.25,21.38,20.63,21.13,3.06584014596,59100,0.0,1.0
1999-12-09,21.25,21.44,20.88,21.13,3.06584014596,47500,0.0,1.0
1999-12-10,20.88,21.13,20.5,20.88,3.02956659951,66700,0.0,1.0
1999-12-13,20.88,21.19,20.63,20.88,3.02956659951,47900,0.0,1.0
1999-12-14,20.5,21.0,20.5,20.5,2.9744308089,58500,0.0,1.0
1999-12-15,20.5,20.63,20.0,20.5,2.9744308089,72700,0.0,1.0
1999-12-16,20.63,21.0,20.5,20.81,3.0194100065,52000,0.0,1.0
1999-12-17,21.0,21.0,21.0,21.0,3.0469779018,67300,0.0,1.0
1999-12-20,21.13,21.19,20.56,20.81,3.0194100065,40200,0.0,1.0
1999-12-21,20.63,21.25,20.5,21.0,3.0469779018,39200,0.0,1.0
1999-12-22,21.0,21.06,20.88,20.88,3.02956659951,30600,0.0,1.0
1999-12-23,20.88,21.13,20.81,20.88,3.02956659951,33500,0.0,1.0
1999-12-27,21.0,21.25,20.75,21.19,3.0745457971,60000,0.0,1.0
1999-12-28,21.06,21.19,20.63,21.0,3.0469779018,63100,0.0,1.0
1999-12-29,20.88,21.19,20.63,21.06,3.05568355295,46500,0.0,1.0
1999-12-30,21.0,21.19,20.63,20.81,3.04552695994,51200,0.18,1.0
1999-12-31,20.44,20.69,20.38,20.63,3.01918410301,50900,0.0,1.0
2000-01-03,20.88,20.88,20.5,20.75,3.03674600763,49400,0.0,1.0
2000-01-04,20.56,20.81,20.19,20.5,3.00015870634,59900,0.0,1.0
2000-01-05,20.5,20.63,20.31,20.31,2.97235235735,48200,0.0,1.0
2000-01-06,20.5,20.63,20.25,20.63,3.01918410301,32300,0.0,1.0
2000-01-07,20.75,21.0,20.38,21.0,3.07333330893,68800,0.0,1.0
2000-01-10,21.0,21.44,21.0,21.38,3.1289460069,58000,0.0,1.0
