dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,12.56,12.56,12.56,12.56,1.08138650925,0,0.0,1.0
1999-11-02,12.56,12.56,12.56,12.56,1.08138650925,0,0.0,1.0
1999-11-03,12.63,12.88,12.63,12.88,1.10893775789,553,0.0,1.0
1999-11-04,12.87,12.87,12.87,12.87,1.10807678137,0,0.0,1.0
1999-11-05,12.87,12.87,12.87,12.87,1.10807678137,0,0.0,1.0
1999-11-08,12.87,12.87,12.87,12.87,1.10807678137,0,0.0,1.0
1999-11-09,12.87,12.87,12.87,12.87,1.10807678137,0,0.0,1.0
1999-11-10,12.81,12.88,12.75,12.88,1.10893775789,790,0.0,1.0
1999-11-11,12.87,12.87,12.87,12.87,1.10807678137,0,0.0,1.0
1999-11-12,12.87,12.87,12.87,12.87,1.10807678137,0,0.0,1.0
1999-11-15,12.81,13.0,12.81,13.0,1.11926947614,961,0.0,1.0
1999-11-16,13.0,13.06,12.88,12.88,1.10893775789,2568,0.0,1.0
1999-11-17,12.87,12.87,12.87,12.87,1.10807678137,0,0.0,1.0
1999-11-18,12.88,12.88,12.75,12.88,1.10893775789,2660,0.0,1.0
1999-11-19,12.75,12.75,12.75,12.75,1.09774506313,171,0.0,1.0
1999-11-22,12.88,12.88,10.13,10.13,0.872169214865,4267,0.0,1.0
1999-11-23,12.25,13.0,11.81,11.88,1.02284010588,4267,0.0,1.0
1999-11-24,11.94,11.94,11.81,11.81,1.01681327024,830,0.0,1.0
1999-11-26,11.81,12.0,11.81,12.0,1.03317182412,171,0.0,1.0
1999-11-29,12.75,13.0,12.75,13.0,1.11926947614,1435,0.0,1.0
1999-11-30,12.75,12.75,12.75,12.75,1.09774506313,13,0.0,1.0
1999-12-01,12.75,12.75,12.75,12.75,1.09774506313,0,0.0,1.0
1999-12-02,12.75,12.75,12.75,12.75,1.09774506313,0,0.0,1.0
1999-12-03,12.75,12.75,12.75,12.75,1.09774506313,0,0.0,1.0
1999-12-06,12.75,12.75,12.63,12.63,1.08741334489,435,0.0,1.0
1999-12-07,12.63,12.63,12.63,12.63,1.08741334489,13,0.0,1.0
1999-12-08,12.5,12.63,12.5,12.63,1.08741334489,1435,0.0,1.0
1999-12-09,12.69,12.75,12.63,12.75,1.09774506313,7230,0.0,1.0
