dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2021-05-14,31.0,33.25,31.0,33.25,32.679283175,342900,0.0,1.0
2021-06-02,36.5,36.74,34.5,35.26,34.6547826993,1306900,0.0,1.0
2021-06-03,34.15,38.24,32.22,37.0,36.3649166158,22326022,0.0,1.0
2021-06-04,36.15,36.17,33.71,34.15,33.5638352008,7502305,0.0,1.0
2021-06-07,33.6,33.88,30.85,31.42,30.8806940559,11513110,0.0,1.0
2021-06-08,30.33,30.91,28.53,28.91,28.4137767395,18500285,0.0,1.0
2021-06-09,28.3,29.44,27.25,28.45,27.9616723708,14563600,0.0,1.0
2021-06-10,28.46,31.16,28.4,30.33,29.8094032691,11205885,0.0,1.0
2021-06-11,30.38,30.38,29.4,29.65,29.1410750718,5728907,0.0,1.0
2021-06-14,30.08,30.63,29.27,30.28,29.7602614899,6971953,0.0,1.0
2021-06-15,30.03,32.09,29.8,31.81,31.2639999337,6339088,0.0,1.0
2021-06-16,31.52,31.65,30.27,30.7,30.1730524353,5283033,0.0,1.0
2021-06-17,30.49,31.73,30.1,31.46,30.9200074793,5086446,0.0,1.0
2021-06-18,31.5,31.71,29.96,29.98,29.4654108146,10213830,0.0,1.0
2021-06-21,30.2,30.67,29.36,29.41,28.9051945316,3542702,0.0,1.0
2021-06-22,29.25,29.87,28.845,29.53,29.0231348017,4218326,0.0,1.0
2021-06-23,29.53,30.08,29.1,29.5,28.9936497342,3880875,0.0,1.0
2021-06-24,29.39,30.07,29.3,29.77,29.2590153419,2769564,0.0,1.0
2021-06-25,29.77,30.87,29.21,30.19,29.6718062873,13582744,0.0,1.0
2021-06-28,29.69,31.03,29.41,30.94,30.4089329755,3106152,0.0,1.0
2021-06-29,30.9801,31.32,30.46,30.55,30.0256270976,2256727,0.0,1.0
2021-06-30,30.33,30.83,30.25,30.26,29.7406047782,2011138,0.0,1.0
2021-07-01,30.11,31.24,30.06,30.82,30.2909927054,2437119,0.0,1.0
2021-07-02,30.71,31.12,30.3,30.86,30.3303061287,1813073,0.0,1.0
2021-07-06,30.6,31.1,29.9,31.0,30.4679031105,2853517,0.0,1.0
2021-07-07,31.0,31.0399,29.87,30.12,29.6030077964,2936212,0.0,1.0
2021-07-08,29.65,30.18,29.26,29.65,29.1410750718,1931412,0.0,1.0
2021-07-09,29.95,30.28,29.59,30.1,29.5833510847,2345711,0.0,1.0
2021-07-12,29.77,30.38,29.57,29.74,29.2295302744,1855651,0.0,1.0
2021-07-13,29.5,29.885,28.96,29.1,28.6005155005,2047933,0.0,1.0
2021-07-14,28.98,29.4,28.84,29.34,28.8363960407,2004663,0.0,1.0
2021-07-15,28.85,29.49,28.69,28.91,28.4137767395,2112296,0.0,1.0
2021-07-16,28.77,29.0,28.42,28.87,28.3744633161,1757732,0.0,1.0
2021-07-19,28.63,29.17,28.54,29.14,28.6398289239,2261653,0.0,1.0
2021-07-20,29.17,29.78,29.06,29.61,29.1017616485,1922637,0.0,1.0
