dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,87.75,87.81,85.81,87.0,27.4809051836,789300,0.0,1.0
1999-11-02,86.0,86.38,81.19,82.0,25.9015428167,805200,0.0,1.0
1999-11-03,82.5,83.0,81.56,82.19,25.9615585867,727100,0.0,1.0
1999-11-04,83.19,83.5,82.75,83.0,26.2174152901,773200,0.0,1.0
1999-11-05,83.25,83.88,80.13,80.5,25.4277341067,1322000,0.0,1.0
1999-11-08,80.75,82.44,80.25,82.0,25.9015428167,637800,0.0,1.0
1999-11-09,81.25,81.56,80.0,81.13,25.6267337649,427000,0.0,1.0
1999-11-10,81.31,85.0,81.0,84.69,26.7512397701,771800,0.0,1.0
1999-11-11,84.94,89.25,84.88,88.69,28.0147296636,1145800,0.0,1.0
1999-11-12,88.69,89.44,86.44,89.0,28.1126501304,481000,0.0,1.0
1999-11-15,89.0,90.88,88.75,89.81,28.3685068338,807500,0.0,1.0
1999-11-16,89.5,90.0,88.88,89.5,28.270586367,601100,0.0,1.0
1999-11-17,89.63,91.75,89.63,90.88,28.7064903803,609100,0.0,1.0
1999-11-18,90.88,93.0,90.75,92.81,29.3161242539,931400,0.0,1.0
1999-11-19,92.56,93.31,92.06,92.75,29.2971719055,598300,0.0,1.0
1999-11-22,92.69,93.94,91.5,92.75,29.2971719055,484800,0.0,1.0
1999-11-23,93.0,93.06,90.63,91.31,28.8423155438,419100,0.0,1.0
1999-11-24,91.56,92.25,91.13,92.06,29.0792198989,609300,0.0,1.0
1999-11-26,92.31,93.0,92.0,92.88,29.338235327,190000,0.0,1.0
1999-11-29,93.0,93.81,92.56,93.19,29.4361557938,307100,0.0,1.0
1999-11-30,91.5,91.81,87.69,88.13,27.8378410785,689700,0.0,1.0
1999-12-01,88.13,90.75,87.13,89.13,28.1537135519,608800,0.0,1.0
1999-12-02,88.88,90.0,88.88,89.88,28.3906179069,676300,0.0,1.0
1999-12-03,91.25,92.56,91.13,91.63,28.9433947353,506900,0.0,1.0
1999-12-06,91.69,92.19,90.25,90.31,28.5264430705,772400,0.0,1.0
1999-12-07,91.31,97.63,90.63,95.13,30.0489483921,912500,0.0,1.0
1999-12-08,97.0,99.75,95.5,98.25,31.0344705091,1449100,0.0,1.0
1999-12-09,100.0,106.0,97.38,100.5,31.7451835742,2243400,0.0,1.0
1999-12-10,101.5,101.5,97.38,99.06,31.2903272125,870900,0.0,1.0
1999-12-13,99.31,100.8,98.63,99.77,31.5145966686,847800,0.0,1.0
1999-12-14,99.44,99.63,98.38,99.44,31.4103587524,518700,0.0,1.0
1999-12-15,99.0,100.4,95.75,96.94,30.6206775689,774000,0.0,1.0
1999-12-16,97.5,102.6,97.5,102.4,32.4006189564,623400,0.175,1.0
1999-12-17,103.5,107.5,102.12,107.44,33.9953369207,879500,0.0,1.0
1999-12-20,105.8,106.8,103.9,104.8,33.1600084632,746400,0.0,1.0
1999-12-21,102.0,102.2,99.5,101.1,31.9892829736,758100,0.0,1.0
1999-12-22,102.1,102.9,98.44,99.44,31.4640385647,1028800,0.0,1.0
1999-12-23,100.4,102.3,99.94,102.3,32.368977727,435200,0.0,1.0
1999-12-27,100.5,101.6,99.0,101.0,31.9576417441,636600,0.0,1.0
