dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-03-19,40.0,46.0,40.0,45.25,44.2782816218,7000,0.0,1.0
2020-03-20,45.01,46.01,45.0,45.0,44.0336502316,3557,0.0,1.0
2020-03-23,42.0,42.0,39.98,40.0,39.1410224281,11888,0.0,1.0
2020-03-24,40.0,40.0,39.0,40.0,39.1410224281,77832,0.0,1.0
2020-03-25,40.0,44.8,38.0,41.01,40.1293332444,6995,0.0,1.0
2020-03-26,45.0,47.5,44.25,45.0,44.0336502316,29072,0.0,1.0
2020-03-27,45.0,47.5,44.99,45.235,44.2636037384,263228,0.0,1.0
2020-03-30,44.25,50.0,44.25,50.0,48.9262780351,117962,0.0,1.0
2020-03-31,46.5,50.0,44.78,50.0,48.9262780351,210314,0.0,1.0
2020-04-01,45.99,48.5,44.0,46.7,45.6971436848,1206140,0.0,1.0
2020-04-02,45.024,48.66,43.2,44.0,43.0551246709,9264179,0.0,1.0
2020-04-03,43.75,49.3,41.8,47.32,46.3038295324,22550686,0.0,1.0
2020-04-06,47.0,47.85,44.7,45.94,44.9534642586,10293656,0.0,1.0
2020-04-07,45.15,46.99,42.93,44.28,43.3291118279,12145730,0.0,1.0
2020-04-08,42.21,45.2,41.26,44.09,43.1431919713,22263117,0.0,1.0
2020-04-09,44.05,50.25,44.0,49.14,48.0847460529,17320908,0.0,1.0
2020-04-13,48.55,48.67,45.72,46.0,45.0121757923,8545135,0.0,1.0
2020-04-14,45.91,46.3,43.97,45.89,44.9045379806,10152078,0.0,1.0
2020-04-15,44.19,44.85,42.8,44.55,43.5933137293,7934872,0.0,1.0
2020-04-16,44.08,46.407,43.55,45.62,44.6403360792,8738163,0.0,1.0
2020-04-17,47.0,48.56,45.92,46.15,45.1589546264,7877295,0.0,1.0
2020-04-20,45.0,46.98,44.9,45.39,44.4152752003,5406460,0.0,1.0
2020-04-21,44.5,47.2,44.5,45.9,44.9143232362,6845537,0.0,1.0
2020-04-22,47.31,49.55,46.0,47.05,46.039627631,6801923,0.0,1.0
2020-04-23,47.44,48.04,46.48,47.47,46.4506083665,5174839,0.0,1.0
2020-04-24,48.02,48.5,46.31,47.85,46.8224480796,6446904,0.0,1.0
2020-04-27,48.08,48.6,47.61,48.22,47.184502537,5541142,0.0,1.0
2020-04-28,49.07,50.95,48.65,49.86,48.7892844566,5367432,0.0,1.0
2020-04-29,50.77,51.73,49.71,51.15,50.0515824299,4343874,0.0,1.0
2020-04-30,50.97,51.6,50.5,50.91,49.8167362953,6122344,0.0,1.0
2020-05-01,50.33,50.53,48.31,49.71,48.6425056225,3089653,0.0,1.0
2020-05-04,48.85,49.67,47.51,49.53,48.4663710216,5675901,0.0,1.0
2020-05-05,49.53,50.64,47.96,48.09,47.0572942142,4102721,0.0,1.0
2020-05-06,48.61,49.0,47.89,48.31,47.2725698375,2931809,0.0,1.0
2020-05-07,49.02,53.29,48.99,51.81,50.6974093,4803211,0.0,1.0
2020-05-08,52.12,54.17,52.11,52.95,51.8129284392,4381595,0.0,1.0
2020-05-11,52.0,52.4,51.06,51.81,50.6974093,3150608,0.0,1.0
2020-05-12,52.19,52.29,49.69,49.72,48.6522908781,3059822,0.0,1.0
2020-05-13,49.0,50.3,47.885,48.21,47.1747172814,4567027,0.0,1.0
2020-05-14,47.61,48.4,47.23,48.0,46.9692269137,4849918,0.0,1.0
2020-05-15,47.32,49.22,47.2,48.89,47.8401146627,2981386,0.0,1.0
2020-05-18,50.12,52.34,50.12,52.13,51.0105374794,4452633,0.0,1.0
2020-05-19,51.68,52.928,51.055,52.31,51.1866720803,2050277,0.0,1.0
2020-05-20,52.55,54.7,52.475,53.18,52.0379893181,4755123,0.0,1.0
2020-05-21,52.36,53.55,51.87,52.03,51.1083900355,3813099,0.2,1.0
2020-05-22,52.46,52.72,50.92,51.71,50.7940582113,2134326,0.0,1.0
2020-05-26,53.03,53.99,50.7,50.89,49.9885829119,6247010,0.0,1.0
2020-05-27,51.59,52.65,50.77,52.38,51.4521904681,5202304,0.0,1.0
2020-05-28,52.87,52.95,50.93,50.96,50.0573429984,4260743,0.0,1.0
2020-05-29,50.44,52.87,50.18,52.65,51.7174079448,7522693,0.0,1.0
2020-06-01,52.45,54.44,52.11,54.08,53.122078284,3073306,0.0,1.0
2020-06-02,54.16,54.75,53.29,54.15,53.1908383706,2638087,0.0,1.0
2020-06-03,55.0,55.58,54.55,55.47,54.4874571452,4134460,0.0,1.0
2020-06-04,55.3,56.66,54.69,55.4,54.4186970587,3281326,0.0,1.0
2020-06-05,57.83,58.709,56.0,58.57,57.5325466919,4615096,0.0,1.0
2020-06-08,58.68,61.32,58.36,61.26,60.1748985887,5964233,0.0,1.0
2020-06-09,60.4,61.46,59.24,60.65,59.5757035489,4609470,0.0,1.0
2020-06-10,60.61,60.96,59.02,59.03,57.9843986891,2657074,0.0,1.0
2020-06-11,56.0,58.07,55.705,56.25,55.2536409667,3293895,0.0,1.0
