dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,25.75,25.75,24.31,24.5,1.96842748706,98159,0.0,1.0
1999-11-02,24.44,24.75,24.37,24.69,1.98369284308,33989,0.0,1.0
1999-11-03,24.75,24.75,24.37,24.69,1.98369284308,28974,0.0,1.0
1999-11-04,24.56,24.81,24.5,24.5,1.96842748706,26836,0.0,1.0
1999-11-05,24.87,25.0,24.5,24.5,1.96842748706,38836,0.0,1.0
1999-11-08,24.44,24.69,24.0,24.06,1.93307613627,97778,0.0,1.0
1999-11-09,24.31,24.37,24.0,24.0,1.92825549753,48571,0.0,1.0
1999-11-10,23.87,24.12,23.19,23.5,1.88808350799,41587,0.0,1.0
1999-11-11,23.12,23.62,22.19,22.31,1.79247417291,56000,0.0,1.0
1999-11-12,22.37,23.62,22.25,23.06,1.85273215721,66032,0.0,1.0
1999-11-15,23.0,23.5,22.88,22.94,1.84309087972,101778,0.0,1.0
1999-11-16,23.25,23.31,22.88,23.0,1.84791151846,43767,0.0,1.0
1999-11-17,22.5,23.19,22.37,23.0,1.84791151846,121862,0.0,1.0
1999-11-18,23.12,23.12,22.81,22.81,1.83264616244,74265,0.0,1.0
1999-11-19,22.81,22.81,22.25,22.37,1.79729481165,126434,0.0,1.0
1999-11-22,22.69,23.06,22.44,22.56,1.81256016767,48825,0.0,1.0
1999-11-23,22.37,22.5,22.0,22.37,1.79729481165,65630,0.0,1.0
1999-11-24,22.37,22.44,21.5,21.75,1.74748154463,55238,0.0,1.0
1999-11-26,22.0,22.75,21.75,22.37,1.79729481165,34159,0.0,1.0
1999-11-29,22.25,22.44,21.0,21.06,1.69204419908,60656,0.0,1.0
1999-11-30,21.06,21.88,20.5,21.19,1.70248891636,77989,0.0,1.0
1999-12-01,21.63,22.0,21.0,21.88,1.75792626191,120169,0.0,1.0
1999-12-02,21.88,21.94,21.75,21.88,1.75792626191,105778,0.0,1.0
1999-12-03,22.0,22.06,21.81,22.0,1.7675675394,102963,0.0,1.0
1999-12-06,21.69,21.69,21.38,21.56,1.73221618861,93460,0.0,1.0
1999-12-07,21.53,21.75,21.25,21.63,1.73784026715,196571,0.0,1.0
1999-12-08,21.69,22.13,21.25,21.38,1.71775427238,185862,0.0,1.0
1999-12-09,21.44,22.06,21.19,21.73,1.74587466505,139598,0.0,1.0
1999-12-10,21.75,22.13,21.5,22.0,1.7675675394,239852,0.0,1.0
1999-12-13,21.5,21.75,21.19,21.5,1.72739554987,68825,0.0,1.0
1999-12-14,21.63,21.63,20.38,20.44,1.64223093206,128656,0.0,1.0
1999-12-15,20.63,21.0,20.31,20.38,1.63741029332,92381,0.0,1.0
1999-12-16,20.25,21.38,20.19,20.38,1.63741029332,110667,0.0,1.0
1999-12-17,20.5,21.06,20.25,20.63,1.65749628808,61228,0.0,1.0
1999-12-20,20.63,20.75,20.0,20.31,1.63178621478,91852,0.0,1.0
1999-12-21,20.0,20.88,19.63,20.25,1.62696557604,88381,0.0,1.0
1999-12-22,20.34,20.5,19.25,20.0,1.60687958127,97630,0.0,1.0
1999-12-23,20.06,21.19,20.0,21.06,1.69204419908,93228,0.0,1.0
1999-12-27,21.09,21.38,20.63,20.88,1.67758228285,88974,0.0,1.0
1999-12-28,21.0,21.5,20.75,21.06,1.69204419908,120974,0.0,1.0
1999-12-29,21.25,21.25,20.69,20.94,1.68240292159,88000,0.0,1.0
1999-12-30,20.81,21.25,20.81,20.94,1.68240292159,103365,0.0,1.0
1999-12-31,21.03,21.25,20.81,21.13,1.69766827761,42159,0.0,1.0
2000-01-03,21.25,21.5,20.75,20.88,1.67758228285,188571,0.0,1.0
2000-01-04,20.81,20.94,20.63,20.81,1.67195820431,260169,0.0,1.0
2000-01-05,20.81,21.0,20.56,20.94,1.68240292159,76571,0.0,1.0
2000-01-06,20.88,20.94,20.69,20.75,1.66713756557,78434,0.0,1.0
2000-01-07,20.88,20.88,20.44,20.63,1.65749628808,76656,0.0,1.0
2000-01-10,20.53,20.56,20.0,20.25,1.62696557604,133630,0.0,1.0
2000-01-11,20.06,20.88,20.06,20.75,1.66713756557,63048,0.0,1.0
2000-01-12,20.69,20.94,20.25,20.69,1.66231692683,48381,0.0,1.0
2000-01-13,20.41,21.13,20.38,20.94,1.68240292159,73228,0.0,1.0
2000-01-14,21.13,21.75,20.88,21.44,1.72257491112,85185,0.0,1.0
2000-01-18,21.44,21.63,20.63,20.94,1.68240292159,45989,0.0,1.0
2000-01-19,20.75,21.13,20.69,20.94,1.68240292159,33058,0.0,1.0
2000-01-20,21.0,21.19,20.5,20.5,1.6470515708,57587,0.0,1.0
2000-01-21,20.56,20.88,20.0,20.06,1.61170022002,53989,0.0,1.0
2000-01-24,20.0,20.5,19.38,19.38,1.55706631425,146434,0.0,1.0
2000-01-25,19.44,19.5,18.88,19.13,1.53698031949,270159,0.0,1.0
2000-01-26,19.25,20.0,19.16,20.0,1.60687958127,103767,0.0,1.0
2000-01-27,20.0,20.13,19.56,19.63,1.57715230902,47767,0.0,1.0
2000-01-28,19.94,20.06,19.0,19.75,1.60928990064,124656,0.28,1.0
2000-01-31,19.94,20.88,19.75,20.69,1.68588395161,715365,0.0,1.0
2000-02-01,20.81,20.81,20.38,20.38,1.6606242114,83238,0.0,1.0
2000-02-02,20.63,20.63,19.5,19.81,1.61417888262,64381,0.0,1.0
2000-02-03,19.66,20.0,19.38,20.0,1.62966065888,92000,0.0,1.0
2000-02-04,19.88,20.94,19.88,20.44,1.66551319337,60656,0.0,1.0
2000-02-07,20.44,20.5,19.88,19.94,1.6247716769,80974,0.0,1.0
2000-02-08,19.94,19.94,19.13,19.38,1.57914117845,82561,0.0,1.0
2000-02-09,19.38,19.56,19.13,19.44,1.58403016043,136169,0.0,1.0
2000-02-10,19.5,19.75,19.06,19.13,1.55877042022,68656,0.0,1.0
2000-02-11,19.06,19.25,18.69,19.0,1.54817762594,154561,0.0,1.0
2000-02-14,18.75,19.25,18.63,18.69,1.52291788572,53778,0.0,1.0
2000-02-15,18.72,19.13,18.63,19.0,1.54817762594,204000,0.0,1.0
2000-02-16,19.0,19.75,18.88,19.5,1.58891914241,98032,0.0,1.0
2000-02-17,19.38,19.63,19.13,19.44,1.58403016043,76571,0.0,1.0
2000-02-18,19.13,19.5,18.88,19.0,1.54817762594,45058,0.0,1.0
2000-02-22,18.88,19.13,18.63,18.69,1.52291788572,103450,0.0,1.0
2000-02-23,18.69,19.0,18.56,18.75,1.5278068677,99852,0.0,1.0
2000-02-24,18.75,18.81,18.44,18.69,1.52291788572,99852,0.0,1.0
2000-02-25,18.63,19.0,18.19,18.75,1.5278068677,114434,0.0,1.0
2000-02-28,19.0,19.0,18.38,18.56,1.51232509144,71450,0.0,1.0
2000-02-29,18.63,20.0,18.25,19.95,1.62558650723,256825,0.0,1.0
2000-03-01,19.81,19.88,18.25,18.25,1.48706535123,166836,0.0,1.0
2000-03-02,18.44,18.44,18.0,18.0,1.46669459299,106434,0.0,1.0
2000-03-03,18.13,18.75,18.06,18.75,1.5278068677,158561,0.0,1.0
2000-03-06,18.63,19.13,18.38,18.75,1.5278068677,76169,0.0,1.0
2000-03-07,18.94,19.06,17.75,17.77,1.44795349541,76571,0.0,1.0
2000-03-08,17.84,17.88,17.5,17.5,1.42595307652,157989,0.0,1.0
2000-03-09,17.63,17.63,17.25,17.38,1.41617511257,118434,0.0,1.0
2000-03-10,17.44,17.56,17.25,17.38,1.41617511257,184254,0.0,1.0
2000-03-13,17.13,17.31,16.38,17.0,1.38521156005,232571,0.0,1.0
2000-03-14,17.31,18.38,17.13,17.91,1.45936112003,175196,0.0,1.0
