dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,44.0,45.13,43.5,43.94,4.09970662501,1027990,0.0,1.0
1999-11-04,44.0,45.38,43.94,44.19,4.12303222029,371635,0.0,1.0
1999-11-05,44.5,45.63,44.13,44.56,4.15755410129,323457,0.0,1.0
1999-11-08,44.75,45.0,43.81,44.19,4.12303222029,330035,0.0,1.0
1999-11-09,44.56,44.75,44.0,44.25,4.12863036315,258667,0.0,1.0
1999-11-10,44.06,44.38,43.38,43.75,4.08197917261,450153,0.0,1.0
1999-11-11,43.63,43.75,41.81,42.19,3.93642745811,339042,0.0,1.0
1999-11-12,42.63,42.69,41.63,41.94,3.91310186284,617600,0.0,1.0
1999-11-15,41.94,42.75,41.94,42.38,3.95415491052,672652,0.0,1.0
1999-11-16,42.25,44.0,42.25,43.63,4.08944336309,583467,0.2,1.0
1999-11-17,43.5,44.25,42.25,42.25,3.96009585356,209600,0.0,1.0
1999-11-18,42.38,43.19,42.06,43.19,4.04820212817,312830,0.0,1.0
1999-11-19,43.56,44.0,42.06,42.31,3.96571965832,495230,0.0,1.0
1999-11-22,42.69,42.75,41.56,42.06,3.94228713848,533590,0.0,1.0
1999-11-23,41.75,42.0,40.63,41.19,3.86074196942,434252,0.0,1.0
1999-11-24,41.13,41.25,41.0,41.13,3.85511816466,340168,0.0,1.0
1999-11-26,41.22,41.25,40.69,41.06,3.8485570591,135190,0.0,1.0
1999-11-29,41.0,41.25,39.81,40.38,3.78482060513,392652,0.0,1.0
1999-11-30,40.13,41.31,40.13,41.13,3.85511816466,558163,0.0,1.0
1999-12-01,41.25,41.75,40.75,41.56,3.89542209879,549452,0.0,1.0
1999-12-02,41.63,41.88,40.81,41.44,3.88417448926,329244,0.0,1.0
1999-12-03,42.05,42.63,41.63,42.31,3.96571965832,548978,0.0,1.0
1999-12-06,42.19,42.63,41.88,42.56,3.98915217816,494775,0.0,1.0
1999-12-07,42.69,43.13,42.13,42.63,3.99571328372,643200,0.0,1.0
1999-12-08,42.34,44.0,42.13,43.94,4.1184996877,880553,0.0,1.0
1999-12-09,43.75,44.13,41.81,43.31,4.05944973769,332168,0.0,1.0
1999-12-10,43.5,44.06,42.75,43.94,4.1184996877,278775,0.0,1.0
1999-12-13,44.13,44.25,42.0,43.06,4.03601721785,437353,0.0,1.0
1999-12-14,42.75,43.75,42.69,43.63,4.08944336309,611378,0.0,1.0
1999-12-15,43.69,44.75,43.44,44.25,4.14755601231,1026844,0.0,1.0
1999-12-16,44.0,44.63,43.75,44.63,4.18317344247,441442,0.0,1.0
1999-12-17,44.75,46.13,43.25,43.75,4.25065909962,11429985,1.6,1.0
1999-12-20,44.06,44.69,42.69,43.75,4.25065909962,263467,0.0,1.0
1999-12-21,43.59,44.56,42.81,44.25,4.29923806076,293867,0.0,1.0
1999-12-22,44.41,46.25,44.38,44.44,4.31769806599,240790,0.0,1.0
1999-12-23,44.38,46.63,44.38,46.19,4.48772442997,166775,0.0,1.0
1999-12-27,46.38,46.38,44.94,45.06,4.3779359778,183644,0.0,1.0
1999-12-28,44.75,46.0,43.88,45.75,4.44497494417,258963,0.0,1.0
1999-12-29,45.25,46.19,44.88,46.19,4.48772442997,123457,0.0,1.0
1999-12-30,46.19,46.56,45.38,45.63,4.4333159935,125985,0.0,1.0
1999-12-31,46.0,46.0,44.25,44.31,4.30506753609,135644,0.0,1.0
2000-01-03,43.75,43.81,42.25,43.5,4.22636961905,648000,0.0,1.0
2000-01-04,43.31,44.06,41.25,41.5,4.03205377449,336020,0.0,1.0
2000-01-05,41.38,44.0,41.31,43.88,4.26328962951,415842,0.0,1.0
2000-01-06,43.06,43.75,41.88,42.63,4.14184222667,697363,0.0,1.0
2000-01-07,42.56,44.25,41.5,44.25,4.29923806076,528830,0.0,1.0
2000-01-10,44.44,46.06,44.0,46.06,4.47509390008,352375,0.0,1.0
2000-01-11,45.56,45.56,41.81,42.63,4.14184222667,390953,0.0,1.0
2000-01-12,43.25,43.38,41.5,42.13,4.09326326553,412385,0.0,1.0
2000-01-13,42.0,44.0,41.88,43.63,4.23900014894,264652,0.0,1.0
2000-01-14,44.25,45.06,42.81,43.75,4.25065909962,275042,0.0,1.0
2000-01-18,43.5,44.75,43.0,44.38,4.31186859065,290568,0.0,1.0
2000-01-19,45.06,45.06,42.81,44.06,4.28077805552,398044,0.0,1.0
2000-01-20,44.47,44.5,42.0,43.0,4.17779065791,248000,0.0,1.0
2000-01-21,44.75,44.75,42.0,43.0,4.17779065791,381235,0.0,1.0
2000-01-24,43.13,43.25,40.88,41.31,4.01359376926,517057,0.0,1.0
2000-01-25,41.19,42.0,40.25,41.75,4.05634325506,540267,0.0,1.0
2000-01-26,42.38,42.5,40.69,41.0,3.98347481336,233363,0.0,1.0
2000-01-27,40.91,42.5,40.63,41.88,4.06897378496,384020,0.0,1.0
2000-01-28,40.5,41.13,39.75,40.13,3.89894742097,426153,0.0,1.0
2000-01-31,40.63,41.88,40.44,41.44,4.02622429916,465067,0.0,1.0
2000-02-01,42.75,43.13,41.75,42.38,4.1175527461,457778,0.0,1.0
2000-02-02,42.5,42.5,41.0,41.63,4.04468430439,337600,0.0,1.0
2000-02-03,42.06,42.81,41.44,42.5,4.12921169677,408000,0.0,1.0
2000-02-04,42.88,43.13,41.88,42.0,4.08063273563,376968,0.0,1.0
2000-02-07,41.88,42.63,41.88,42.31,4.11075169154,669235,0.0,1.0
2000-02-08,42.75,43.13,42.5,43.06,4.18362013325,431763,0.0,1.0
2000-02-09,43.0,43.13,42.44,42.56,4.13504117211,500385,0.0,1.0
2000-02-10,42.75,43.0,42.19,42.88,4.16613170724,443378,0.0,1.0
2000-02-11,42.88,43.06,42.38,42.39,4.11852432532,335842,0.0,1.0
2000-02-14,42.31,43.5,41.5,43.38,4.21471066837,348385,0.0,1.0
2000-02-15,43.38,44.0,42.06,43.44,4.22054014371,326953,0.0,1.0
2000-02-16,43.5,45.0,43.5,44.81,4.38279387391,518242,0.3,1.0
2000-02-17,44.81,45.19,43.63,44.94,4.39550896438,379990,0.0,1.0
2000-02-18,44.63,44.94,44.0,44.75,4.37692537062,734657,0.0,1.0
2000-02-22,44.63,46.31,44.25,45.25,4.42582956471,738035,0.0,1.0
2000-02-23,45.13,46.13,43.94,44.56,4.35834177687,587378,0.0,1.0
2000-02-24,44.44,44.5,42.25,43.88,4.29183207292,760652,0.0,1.0
2000-02-25,43.88,44.38,42.56,42.88,4.19402368475,676385,0.0,1.0
2000-02-28,42.5,42.75,41.38,42.44,4.15098799395,599763,0.0,1.0
2000-02-29,42.41,43.13,41.75,43.06,4.21162919462,692444,0.0,1.0
2000-03-01,42.63,43.63,42.38,43.06,4.21162919462,362035,0.0,1.0
2000-03-02,42.56,43.25,41.63,42.88,4.19402368475,502775,0.0,1.0
2000-03-03,43.44,48.25,43.13,48.0,4.69480263218,801975,0.0,1.0
2000-03-06,47.81,47.81,42.94,43.06,4.21162919462,479763,0.0,1.0
2000-03-07,43.34,43.75,39.94,40.94,4.00427541169,1259852,0.0,1.0
2000-03-08,41.0,42.94,40.0,42.75,4.18130859428,1052563,0.0,1.0
2000-03-09,42.53,43.06,41.13,43.06,4.21162919462,342657,0.0,1.0
2000-03-10,43.06,44.0,42.5,42.56,4.16272500053,378390,0.0,1.0
2000-03-13,42.69,44.34,41.69,42.06,4.11382080645,497600,0.0,1.0
2000-03-14,42.22,43.92,42.06,42.31,4.13827290349,509057,0.0,1.0
2000-03-15,42.44,45.25,42.19,44.94,4.39550896438,522035,0.0,1.0
2000-03-16,44.91,49.38,44.56,49.13,4.80532611081,706035,0.0,1.0
2000-03-17,48.38,50.0,47.13,47.63,4.65861352855,753975,0.0,1.0
2000-03-20,47.38,48.5,46.31,46.44,4.54222154663,396030,0.0,1.0
2000-03-21,46.5,49.0,46.44,48.44,4.73783832297,516978,0.0,1.0
2000-03-22,48.44,48.63,46.38,46.88,4.58525723743,416178,0.0,1.0
2000-03-23,46.06,49.06,46.0,48.94,4.78674251706,350242,0.0,1.0
2000-03-24,48.88,49.0,46.94,48.44,4.73783832297,348642,0.0,1.0
2000-03-27,48.55,48.55,47.0,47.94,4.68893412889,314390,0.0,1.0
2000-03-28,47.44,48.0,46.38,46.44,4.54222154663,313857,0.0,1.0
2000-03-29,46.38,48.25,45.44,47.5,4.64589843809,326578,0.0,1.0
2000-03-30,46.41,48.94,46.38,47.94,4.68893412889,557768,0.0,1.0
2000-03-31,48.44,50.0,46.94,50.0,4.89041940852,655585,0.0,1.0
2000-04-03,49.75,51.5,49.25,49.88,4.87868240194,464020,0.0,1.0
2000-04-04,50.25,54.25,49.5,52.75,5.15939247599,746963,0.0,1.0
2000-04-05,51.58,52.31,50.44,50.75,4.96377569965,524168,0.0,1.0
2000-04-06,50.88,50.88,49.06,50.06,4.89628791181,574163,0.0,1.0
2000-04-07,50.75,50.75,46.13,46.89,4.58623532131,439842,0.0,1.0
2000-04-10,47.25,49.13,46.19,47.5,4.64589843809,456000,0.0,1.0
2000-04-11,47.06,50.13,46.5,49.69,4.86009880819,424790,0.0,1.0
2000-04-12,49.75,50.63,48.95,49.19,4.8111946141,583052,0.0,1.0
2000-04-13,49.63,50.13,47.0,47.5,4.64589843809,647052,0.0,1.0
2000-04-14,47.5,48.63,44.75,44.75,4.37692537062,480435,0.0,1.0
2000-04-17,44.5,48.69,44.5,46.81,4.57841065025,566044,0.0,1.0
2000-04-18,46.47,46.94,44.75,46.88,4.58525723743,298153,0.0,1.0
2000-04-19,46.19,46.44,43.88,44.63,4.36518836404,333768,0.0,1.0
2000-04-20,44.23,44.63,42.75,44.5,4.35247327358,312257,0.0,1.0
2000-04-24,44.47,46.31,44.25,45.06,4.40724597096,308820,0.0,1.0
2000-04-25,46.56,46.56,44.44,46.44,4.54222154663,465600,0.0,1.0
2000-04-26,46.66,47.5,45.56,45.88,4.48744884926,447467,0.0,1.0
2000-04-27,45.25,47.44,43.56,47.0,4.59699424401,420820,0.0,1.0
2000-04-28,46.88,47.63,45.13,47.56,4.65176694138,412563,0.0,1.0
2000-05-01,47.5,48.13,44.88,47.31,4.62731484434,412444,0.0,1.0
2000-05-02,46.84,46.88,43.5,43.81,4.28498548574,701353,0.0,1.0
2000-05-03,43.63,43.88,42.0,42.38,4.14511949066,594667,0.0,1.0
2000-05-04,42.31,44.5,41.63,43.63,4.26737997587,522035,0.0,1.0
2000-05-05,43.5,44.75,42.56,43.44,4.24879638212,226568,0.0,1.0
2000-05-08,42.88,44.75,42.0,43.63,4.26737997587,247842,0.0,1.0
2000-05-09,43.88,44.69,41.75,44.31,4.33388967983,314252,0.0,1.0
2000-05-10,44.16,44.81,42.69,43.13,4.21847578179,274844,0.0,1.0
2000-05-11,43.5,44.5,42.38,43.25,4.23021278837,369363,0.0,1.0
2000-05-12,42.41,44.61,42.08,43.75,4.27911698245,447644,0.0,1.0
2000-05-15,43.56,44.63,42.75,44.56,4.35834177687,375842,0.0,1.0
2000-05-16,44.13,45.5,44.0,44.5,4.38181579003,347990,0.3,1.0
2000-05-17,43.69,44.06,43.0,43.63,4.29614882964,199190,0.0,1.0
2000-05-18,44.06,44.44,42.88,43.13,4.24691494436,204563,0.0,1.0
2000-05-19,42.19,43.63,42.13,42.88,4.22229800172,304257,0.0,1.0
2000-05-22,42.81,43.06,41.56,42.44,4.17897218267,342835,0.0,1.0
2000-05-23,42.03,43.5,41.44,41.69,4.10512135475,341768,0.0,1.0
2000-05-24,41.56,45.38,41.56,45.13,4.44385048549,901768,0.0,1.0
2000-05-25,44.38,44.69,41.81,42.06,4.14155442986,391644,0.0,1.0
2000-05-26,42.06,44.31,41.5,41.75,4.11102942099,335467,0.0,1.0
2000-05-30,42.38,43.75,42.38,43.56,4.2892560857,422044,0.0,1.0
2000-05-31,43.25,43.94,41.75,41.88,4.12383023116,443753,0.0,1.0
2000-06-01,41.88,43.06,41.38,42.94,4.22820606795,259378,0.0,1.0
2000-06-02,42.81,43.72,42.06,43.19,4.2528230106,233600,0.0,1.0
2000-06-05,43.19,44.75,42.25,42.88,4.22229800172,418430,0.0,1.0
2000-06-06,43.25,43.44,41.06,41.06,4.0430866593,500385,0.0,1.0
2000-06-07,41.38,42.44,41.0,42.25,4.16026330627,563635,0.0,1.0
2000-06-08,42.19,42.25,41.25,42.06,4.14155442986,348563,0.0,1.0
2000-06-09,42.25,42.75,41.38,41.88,4.12383023116,280968,0.0,1.0
2000-06-12,42.0,42.38,41.44,41.63,4.09921328852,151842,0.0,1.0
2000-06-13,41.5,42.5,41.25,42.25,4.16026330627,283575,0.0,1.0
2000-06-14,42.13,42.63,41.5,41.63,4.09921328852,367763,0.0,1.0
2000-06-15,41.53,42.44,41.06,42.31,4.1661713725,336000,0.0,1.0
2000-06-16,42.75,43.75,41.25,41.38,4.07459634588,748267,0.0,1.0
2000-06-19,41.41,41.69,40.88,41.06,4.0430866593,511190,0.0,1.0
2000-06-20,40.94,41.38,40.38,41.13,4.04997940324,298667,0.0,1.0
2000-06-21,41.06,41.81,40.63,41.31,4.06770360194,281442,0.0,1.0
2000-06-22,41.13,41.31,40.31,40.56,3.99385277402,257363,0.0,1.0
2000-06-23,40.38,41.0,40.25,40.44,3.98203664155,275457,0.0,1.0
2000-06-26,40.69,41.44,40.31,41.44,4.08050441211,184790,0.0,1.0
2000-06-27,41.0,42.13,40.75,41.5,4.08641247834,234963,0.0,1.0
2000-06-28,41.81,42.63,40.75,42.38,4.17306411644,244444,0.0,1.0
2000-06-29,42.25,42.38,40.75,41.31,4.06770360194,263467,0.0,1.0
2000-06-30,41.63,42.19,39.5,39.69,3.90818581363,696435,0.0,1.0
2000-07-03,39.81,42.06,39.56,41.81,4.11693748722,307852,0.0,1.0
2000-07-05,41.81,43.11,40.5,41.31,4.06770360194,365175,0.0,1.0
2000-07-06,41.44,42.13,40.63,41.75,4.11102942099,262420,0.0,1.0
2000-07-07,41.69,43.5,41.63,43.31,4.26463914306,316030,0.0,1.0
2000-07-10,42.38,43.25,42.19,42.69,4.20358912531,198657,0.0,1.0
2000-07-11,42.63,43.0,42.13,42.63,4.19768105908,285630,0.0,1.0
2000-07-12,42.94,43.0,42.06,42.88,4.22229800172,178390,0.0,1.0
2000-07-13,42.0,42.38,40.88,42.13,4.1484471738,232553,0.0,1.0
2000-07-14,42.25,42.63,41.88,42.38,4.17306411644,117175,0.0,1.0
2000-07-17,42.38,42.81,41.31,42.38,4.17306411644,173630,0.0,1.0
2000-07-18,42.06,45.06,42.0,44.56,4.38772385627,730568,0.0,1.0
2000-07-19,44.56,45.69,44.31,45.0,4.43104967531,505067,0.0,1.0
2000-07-20,44.75,45.75,44.56,45.31,4.46157468419,253235,0.0,1.0
2000-07-21,45.03,45.38,43.95,44.31,4.36310691363,138785,0.0,1.0
2000-07-24,44.06,44.88,43.13,44.5,4.38181579003,205590,0.0,1.0
2000-07-25,43.88,44.5,42.81,44.38,4.36999965756,222775,0.0,1.0
2000-07-26,43.63,43.75,42.81,43.0,4.23411413419,291042,0.0,1.0
2000-07-27,43.03,45.5,43.0,45.06,4.43695774155,376790,0.0,1.0
2000-07-28,44.44,44.86,41.38,41.63,4.09921328852,456435,0.0,1.0
2000-07-31,41.81,45.0,41.81,44.56,4.38772385627,463842,0.0,1.0
2000-08-01,44.09,44.09,42.88,43.13,4.24691494436,214420,0.0,1.0
2000-08-02,43.38,43.94,42.0,42.44,4.17897218267,224830,0.0,1.0
2000-08-03,42.5,42.69,41.63,42.19,4.15435524003,451575,0.0,1.0
2000-08-04,42.56,43.13,41.75,41.94,4.12973829739,374242,0.0,1.0
2000-08-07,42.19,44.63,41.88,44.44,4.3759077238,372030,0.0,1.0
2000-08-08,44.38,44.38,43.0,43.06,4.24002220042,373057,0.0,1.0
2000-08-09,43.22,43.22,42.44,42.69,4.20358912531,252385,0.0,1.0
2000-08-10,42.63,43.06,41.88,41.88,4.12383023116,329244,0.0,1.0
2000-08-11,41.94,43.0,41.88,42.88,4.22229800172,278420,0.0,1.0
2000-08-14,42.38,43.13,42.06,43.13,4.24691494436,136000,0.0,1.0
2000-08-15,43.3,43.31,41.88,42.19,4.15435524003,249778,0.0,1.0
