dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,26.19,26.56,26.13,26.56,3.45898765711,83800,0.0,1.0
1999-11-02,26.56,27.19,26.56,27.13,3.53322044946,93200,0.0,1.0
1999-11-03,27.38,27.38,26.25,26.5,3.45117367897,124300,0.0,1.0
1999-11-04,26.63,26.94,26.13,26.25,3.41861543672,62000,0.0,1.0
1999-11-05,26.25,26.38,26.0,26.19,3.41080145858,96100,0.0,1.0
1999-11-08,26.19,26.44,25.88,26.38,3.43554572269,84500,0.0,1.0
1999-11-09,26.13,26.31,25.5,25.94,3.37824321632,120900,0.0,1.0
1999-11-10,25.81,26.19,25.63,25.63,3.33787099593,68700,0.0,1.0
1999-11-11,25.81,25.81,25.19,25.5,3.32094070996,68300,0.0,1.0
1999-11-12,25.44,25.63,25.19,25.25,3.2883824677,64700,0.0,1.0
1999-11-15,25.13,25.38,24.88,25.06,3.26363820359,139100,0.0,1.0
1999-11-16,25.56,25.63,25.0,25.13,3.27275451142,107200,0.0,1.0
1999-11-17,24.94,25.0,24.63,25.0,3.25582422545,146100,0.0,1.0
1999-11-18,24.88,25.69,24.81,25.69,3.34568497407,132300,0.0,1.0
1999-11-19,25.44,25.63,25.31,25.63,3.33787099593,86900,0.0,1.0
1999-11-22,27.0,27.0,26.38,26.63,3.46810396495,210500,0.0,1.0
1999-11-23,26.5,26.81,26.25,26.31,3.42642941486,125400,0.0,1.0
1999-11-24,26.31,26.56,26.13,26.13,3.40298748044,136400,0.0,1.0
1999-11-26,25.94,26.25,25.75,25.75,3.35349895221,35000,0.0,1.0
1999-11-29,25.75,26.0,25.75,25.88,3.37042923818,108300,0.0,1.0
1999-11-30,25.75,26.5,25.75,25.94,3.37824321632,72100,0.0,1.0
1999-12-01,25.94,26.38,25.5,25.63,3.33787099593,76500,0.0,1.0
1999-12-02,25.63,25.94,24.5,24.63,3.20763802691,1074000,0.0,1.0
1999-12-03,24.63,24.94,24.5,24.75,3.22326598319,136100,0.0,1.0
1999-12-06,24.5,24.81,24.44,24.75,3.22326598319,154800,0.0,1.0
1999-12-07,24.5,25.19,24.38,25.13,3.27275451142,193800,0.0,1.0
1999-12-08,24.88,24.88,23.5,23.94,3.11777727829,169100,0.0,1.0
1999-12-09,23.94,23.94,23.13,23.25,3.02791652967,198900,0.0,1.0
1999-12-10,23.06,23.25,22.75,22.75,2.96280004516,131700,0.0,1.0
1999-12-13,22.56,22.81,22.44,22.5,2.9302418029,165300,0.0,1.0
1999-12-14,22.25,22.63,22.0,22.19,2.88986958251,152300,0.0,1.0
1999-12-15,22.0,22.25,21.69,21.94,2.85731134025,266100,0.0,1.0
1999-12-16,22.0,22.38,21.81,22.0,2.86512531839,148000,0.0,1.0
1999-12-17,21.75,22.38,21.69,22.0,2.86512531839,283000,0.0,1.0
1999-12-20,22.25,22.88,22.06,22.75,2.96280004516,241300,0.0,1.0
1999-12-21,22.75,23.31,22.75,22.81,2.9706140233,258000,0.0,1.0
1999-12-22,23.0,23.56,23.0,23.13,3.01228857338,202800,0.0,1.0
1999-12-23,23.0,23.44,22.88,22.88,2.97973033113,136200,0.0,1.0
1999-12-27,23.0,23.63,22.63,22.75,2.96280004516,174800,0.0,1.0
1999-12-28,22.81,23.63,22.81,23.44,3.05266079378,187000,0.0,1.0
1999-12-29,23.25,24.0,23.25,23.94,3.11777727829,121900,0.0,1.0
1999-12-30,23.88,24.31,23.56,23.56,3.06828875006,129100,0.0,1.0
1999-12-31,23.31,24.0,23.31,23.88,3.10996330015,72000,0.0,1.0
2000-01-03,23.88,23.94,23.75,23.94,3.11777727829,168100,0.0,1.0
2000-01-04,23.63,24.19,23.13,23.88,3.10996330015,206800,0.0,1.0
2000-01-05,23.63,24.44,23.63,24.25,3.15814949868,128800,0.0,1.0
2000-01-06,24.38,25.38,24.38,25.19,3.28056848956,193100,0.0,1.0
2000-01-07,25.06,25.75,25.0,25.75,3.35349895221,166000,0.0,1.0
2000-01-10,25.69,26.0,25.44,25.88,3.37042923818,210900,0.0,1.0
2000-01-11,25.88,25.94,25.44,25.56,3.3287546881,126200,0.0,1.0
2000-01-12,25.75,26.0,25.56,25.81,3.36131293035,163100,0.0,1.0
2000-01-13,25.81,26.13,25.69,26.0,3.38605719446,182800,0.0,1.0
2000-01-14,25.88,25.94,25.75,25.81,3.36131293035,103900,0.0,1.0
2000-01-18,25.56,25.75,25.13,25.19,3.28056848956,177000,0.0,1.0
2000-01-19,25.06,25.75,25.06,25.63,3.33787099593,88400,0.0,1.0
2000-01-20,25.63,25.94,25.5,25.75,3.35349895221,103400,0.0,1.0
2000-01-21,25.56,26.0,25.56,26.0,3.38605719446,121300,0.0,1.0
2000-01-24,25.75,25.94,25.5,25.56,3.3287546881,131000,0.0,1.0
2000-01-25,25.63,25.94,25.5,25.75,3.35349895221,73000,0.0,1.0
2000-01-26,25.63,25.81,25.5,25.75,3.35349895221,111900,0.0,1.0
2000-01-27,25.75,26.06,25.75,25.94,3.37824321632,127700,0.0,1.0
2000-01-28,26.13,26.13,25.25,25.31,3.29619644584,102500,0.0,1.0
2000-01-31,25.31,25.81,25.31,25.56,3.3287546881,142500,0.0,1.0
2000-02-01,24.88,25.16,24.44,25.0,3.34959196314,206900,0.72,1.0
2000-02-02,24.88,25.13,24.88,25.13,3.36700984135,124900,0.0,1.0
2000-02-03,25.13,25.25,24.88,25.06,3.35763098385,103600,0.0,1.0
2000-02-04,24.94,25.13,24.81,25.13,3.36700984135,95500,0.0,1.0
2000-02-07,25.0,25.19,25.0,25.0,3.34959196314,128300,0.0,1.0
2000-02-08,25.0,25.13,24.94,25.06,3.35763098385,143600,0.0,1.0
2000-02-09,25.0,25.38,24.94,25.0,3.34959196314,96300,0.0,1.0
2000-02-10,25.13,25.19,25.0,25.06,3.35763098385,72300,0.0,1.0
2000-02-11,25.0,25.06,24.75,24.75,3.31609604351,112800,0.0,1.0
2000-02-14,24.5,24.56,24.25,24.31,3.25714322496,100300,0.0,1.0
2000-02-15,24.56,24.56,24.0,24.44,3.27456110317,211600,0.0,1.0
2000-02-16,24.25,24.31,23.81,24.19,3.24106518353,112900,0.0,1.0
2000-02-17,24.31,25.0,24.25,24.88,3.33351392172,84500,0.0,1.0
2000-02-18,24.81,25.06,24.5,24.5,3.28260012388,84200,0.0,1.0
2000-02-22,25.13,25.13,24.44,24.69,3.3080570228,76100,0.0,1.0
2000-02-23,24.5,24.56,24.06,24.25,3.24910420425,126100,0.0,1.0
2000-02-24,24.5,24.5,23.63,23.69,3.17407334427,111600,0.0,1.0
2000-02-25,23.88,24.63,23.88,24.38,3.26652208245,89400,0.0,1.0
2000-02-28,24.13,24.94,24.13,24.88,3.33351392172,123100,0.0,1.0
2000-02-29,24.63,25.06,24.5,24.88,3.33351392172,125100,0.0,1.0
2000-03-01,24.81,24.94,24.25,24.56,3.29063914459,40200,0.0,1.0
2000-03-02,24.56,24.81,24.38,24.69,3.3080570228,45400,0.0,1.0
2000-03-03,24.69,24.88,24.5,24.69,3.3080570228,60800,0.0,1.0
2000-03-06,24.44,24.81,24.25,24.56,3.29063914459,73200,0.0,1.0
2000-03-07,24.5,24.69,24.25,24.5,3.28260012388,95300,0.0,1.0
2000-03-08,24.44,24.88,24.06,24.63,3.30001800209,80800,0.0,1.0
2000-03-09,24.5,24.69,24.44,24.63,3.30001800209,66800,0.0,1.0
2000-03-10,24.56,24.81,24.38,24.5,3.28260012388,115100,0.0,1.0
2000-03-13,24.25,24.81,24.25,24.56,3.29063914459,129100,0.0,1.0
2000-03-14,24.38,24.69,24.38,24.56,3.29063914459,98600,0.0,1.0
2000-03-15,24.44,24.94,24.44,24.81,3.32413506422,89800,0.0,1.0
2000-03-16,24.81,25.88,24.63,25.5,3.4165838024,140800,0.0,1.0
2000-03-17,25.38,25.75,25.31,25.75,3.45007972203,73300,0.0,1.0
2000-03-20,25.5,25.88,25.5,25.81,3.45811874275,74100,0.0,1.0
2000-03-21,25.56,25.88,25.5,25.88,3.46749760024,65100,0.0,1.0
2000-03-22,25.38,25.88,25.38,25.56,3.42462282311,80800,0.0,1.0
2000-03-23,25.19,25.69,25.06,25.5,3.4165838024,118000,0.0,1.0
2000-03-24,25.25,25.75,25.19,25.5,3.4165838024,67400,0.0,1.0
2000-03-27,25.5,25.69,25.31,25.5,3.4165838024,56900,0.0,1.0
2000-03-28,25.63,25.75,25.44,25.5,3.4165838024,97100,0.0,1.0
2000-03-29,25.31,25.69,25.13,25.31,3.39112690348,95600,0.0,1.0
2000-03-30,25.13,25.56,25.06,25.25,3.38308788277,90700,0.0,1.0
2000-03-31,25.06,25.56,25.06,25.44,3.40854478169,107200,0.0,1.0
2000-04-03,25.31,25.44,25.06,25.25,3.38308788277,116400,0.0,1.0
2000-04-04,25.25,25.25,24.56,25.0,3.34959196314,190300,0.0,1.0
2000-04-05,24.81,25.38,24.56,25.25,3.38308788277,136900,0.0,1.0
2000-04-06,25.13,25.38,25.06,25.06,3.35763098385,100900,0.0,1.0
2000-04-07,25.19,25.31,25.0,25.19,3.37504886206,55500,0.0,1.0
2000-04-10,25.19,25.5,25.13,25.25,3.38308788277,106400,0.0,1.0
2000-04-11,25.06,25.44,25.06,25.38,3.40050576098,157000,0.0,1.0
2000-04-12,25.38,26.56,25.38,26.31,3.52511058201,141600,0.0,1.0
2000-04-13,26.0,26.75,25.94,26.0,3.48357564167,89700,0.0,1.0
2000-04-14,25.94,26.88,25.81,26.31,3.52511058201,170400,0.0,1.0
2000-04-17,26.31,27.5,26.25,26.75,3.58406340056,103200,0.0,1.0
2000-04-18,26.56,27.25,26.56,27.06,3.6255983409,136100,0.0,1.0
2000-04-19,27.0,27.13,26.75,27.0,3.61755932019,63000,0.0,1.0
2000-04-20,27.06,27.13,26.75,27.13,3.6349771984,134800,0.0,1.0
2000-04-24,27.38,27.63,27.13,27.38,3.66847311803,103500,0.0,1.0
2000-04-25,27.25,27.75,27.19,27.56,3.69259018017,93500,0.0,1.0
2000-04-26,27.44,27.75,27.31,27.44,3.67651213874,48000,0.0,1.0
2000-04-27,27.31,27.94,27.25,27.88,3.73546495729,228300,0.0,1.0
2000-04-28,27.81,28.13,27.75,27.88,3.73546495729,99200,0.0,1.0
2000-05-01,27.38,27.63,27.25,27.44,3.77432022407,68600,0.73,1.0
2000-05-02,27.0,27.5,27.0,27.0,3.71379905429,103000,0.0,1.0
2000-05-03,27.0,27.13,26.88,27.0,3.71379905429,245700,0.0,1.0
2000-05-04,26.75,27.31,26.75,26.94,3.70554616751,126900,0.0,1.0
2000-05-05,26.75,27.31,26.75,27.19,3.73993319579,80700,0.0,1.0
2000-05-08,27.0,27.13,26.94,27.0,3.71379905429,103700,0.0,1.0
2000-05-09,27.0,27.13,26.63,27.0,3.71379905429,71700,0.0,1.0
2000-05-10,27.0,27.13,26.81,27.0,3.71379905429,70800,0.0,1.0
2000-05-11,27.0,27.63,27.0,27.63,3.80045436556,50600,0.0,1.0
2000-05-12,27.5,27.63,27.19,27.25,3.74818608257,50600,0.0,1.0
