dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,39.38,39.5,38.88,39.25,7.7357047019,271400,0.0,1.0
1999-11-02,39.19,39.81,39.19,39.5,7.78497670637,206500,0.0,1.0
1999-11-03,39.38,39.44,39.06,39.38,7.76132614422,293000,0.0,1.0
1999-11-04,39.31,39.63,38.63,39.0,7.68643269742,331700,0.0,1.0
1999-11-05,38.75,39.31,38.75,39.0,7.68643269742,287400,0.0,1.0
1999-11-08,38.81,39.13,38.56,38.69,7.62533541188,225600,0.0,1.0
1999-11-09,38.63,38.63,38.13,38.44,7.57606340741,510400,0.0,1.0
1999-11-10,38.06,38.19,37.25,37.38,7.36715010845,640300,0.0,1.0
1999-11-11,37.31,37.94,37.19,37.81,7.45189795614,381100,0.0,1.0
1999-11-12,37.94,38.0,37.63,37.75,7.44007267507,332200,0.0,1.0
1999-11-15,37.5,37.56,37.0,37.06,7.30408194273,285000,0.0,1.0
1999-11-16,37.0,37.44,36.88,37.19,7.32970338506,374200,0.0,1.0
1999-11-17,36.94,37.19,36.88,37.06,7.30408194273,516100,0.0,1.0
1999-11-18,36.94,36.94,36.5,36.69,7.23115937612,208500,0.0,1.0
1999-11-19,36.44,36.5,36.06,36.13,7.1207900861,253600,0.0,1.0
1999-11-22,35.88,36.06,35.5,35.81,7.05772192038,416000,0.0,1.0
1999-11-23,35.69,35.75,34.94,35.13,6.92370206822,334000,0.0,1.0
1999-11-24,35.06,35.38,34.88,35.0,6.89808062589,257200,0.0,1.0
1999-11-26,35.19,35.19,34.56,34.69,6.83698334035,135500,0.0,1.0
1999-11-29,34.5,34.5,33.31,33.56,6.61427388014,429500,0.0,1.0
1999-11-30,33.81,35.06,33.75,35.0,6.89808062589,680600,0.0,1.0
1999-12-01,34.44,34.88,34.19,34.5,6.79953661695,487700,0.0,1.0
1999-12-02,34.38,34.94,34.31,34.44,6.78771133588,297400,0.0,1.0
1999-12-03,34.75,35.5,34.69,34.69,6.83698334035,979200,0.0,1.0
1999-12-06,34.56,34.88,34.31,34.63,6.82515805928,720500,0.0,1.0
1999-12-07,34.56,34.94,34.5,34.81,6.8606339025,919100,0.0,1.0
1999-12-08,34.19,34.5,34.06,34.25,6.85669214214,848600,0.54,1.0
1999-12-09,34.13,34.5,34.13,34.25,6.85669214214,1293100,0.0,1.0
1999-12-10,34.25,34.44,33.13,33.13,6.63247330421,1278500,0.0,1.0
1999-12-13,33.19,33.19,32.0,32.38,6.48232676095,714000,0.0,1.0
1999-12-14,32.75,32.81,32.44,32.5,6.50635020787,568600,0.0,1.0
1999-12-15,32.31,33.31,32.31,32.81,6.56841077908,689700,0.0,1.0
1999-12-16,32.88,32.88,32.5,32.75,6.55639905562,521400,0.0,1.0
1999-12-17,32.75,32.88,32.44,32.62,6.53037365479,808900,0.0,1.0
1999-12-20,32.69,33.0,32.44,32.88,6.58242445645,483000,0.0,1.0
1999-12-21,32.81,33.5,32.75,33.13,6.63247330421,659000,0.0,1.0
1999-12-22,33.13,33.81,33.13,33.63,6.73257099971,613600,0.0,1.0
1999-12-23,33.69,34.19,33.69,34.13,6.83266869522,415200,0.0,1.0
1999-12-27,34.38,34.75,34.38,34.69,6.94477811418,487800,0.0,1.0
1999-12-28,34.75,35.13,34.69,34.98,7.00283477758,1286400,0.0,1.0
1999-12-29,35.0,35.06,34.69,34.81,6.96880156111,1003300,0.0,1.0
1999-12-30,34.81,35.0,34.81,34.88,6.98281523848,359200,0.0,1.0
1999-12-31,35.0,35.06,34.75,34.81,6.96880156111,221300,0.0,1.0
2000-01-03,35.0,35.0,34.06,34.06,6.81865501785,2675600,0.0,1.0
2000-01-04,34.13,34.63,34.06,34.31,6.8687038656,1041100,0.0,1.0
2000-01-05,34.31,35.19,34.31,35.13,7.03286408623,746400,0.0,1.0
2000-01-06,35.19,35.63,35.13,35.31,7.06889925661,504500,0.0,1.0
2000-01-07,35.31,35.38,35.06,35.06,7.01885040886,535900,0.0,1.0
2000-01-10,35.19,35.38,34.94,35.0,7.0068386854,674100,0.0,1.0
2000-01-11,35.0,35.56,35.0,35.44,7.09492465744,811400,0.0,1.0
2000-01-12,35.44,35.94,35.44,35.5,7.1069363809,551400,0.0,1.0
2000-01-13,35.44,35.81,35.25,35.31,7.06889925661,2198500,0.0,1.0
2000-01-14,35.06,35.19,34.69,34.75,6.95678983764,636900,0.0,1.0
2000-01-18,34.5,34.56,34.13,34.19,6.84468041868,429200,0.0,1.0
2000-01-19,34.44,35.25,34.44,34.81,6.96880156111,567900,0.0,1.0
2000-01-20,34.75,35.06,34.5,34.88,6.98281523848,621200,0.0,1.0
2000-01-21,35.0,35.63,34.75,35.56,7.11894810436,423800,0.0,1.0
2000-01-24,35.63,36.0,35.13,35.25,7.05688753315,581300,0.0,1.0
2000-01-25,35.31,35.31,33.88,34.69,6.94477811418,934600,0.0,1.0
2000-01-26,34.13,34.5,33.94,34.5,6.90674098989,768900,0.0,1.0
2000-01-27,34.38,34.75,33.94,34.59,6.92475857508,502400,0.0,1.0
2000-01-28,34.13,34.38,33.38,33.5,6.70654559888,636500,0.0,1.0
2000-01-31,33.5,34.38,33.44,34.38,6.88271754297,414600,0.0,1.0
2000-02-01,34.44,34.56,33.88,34.44,6.89472926643,366000,0.0,1.0
2000-02-02,34.31,34.44,33.88,33.94,6.79463157093,311400,0.0,1.0
2000-02-03,33.88,34.75,33.88,34.44,6.89472926643,612000,0.0,1.0
2000-02-04,34.38,34.44,33.31,33.69,6.74458272317,552900,0.0,1.0
2000-02-07,33.25,33.69,33.19,33.5,6.70654559888,455600,0.0,1.0
2000-02-08,33.44,33.88,33.31,33.5,6.70654559888,262300,0.0,1.0
2000-02-09,33.25,33.63,32.94,33.13,6.63247330421,548100,0.0,1.0
2000-02-10,33.13,33.25,32.44,32.69,6.54438733216,264500,0.0,1.0
2000-02-11,32.56,32.88,32.31,32.56,6.51836193133,254000,0.0,1.0
2000-02-14,32.63,33.31,32.5,32.63,6.5323756087,529800,0.0,1.0
2000-02-15,32.5,32.69,32.06,32.25,6.45630136012,324200,0.0,1.0
2000-02-16,32.19,32.31,32.0,32.06,6.41826423582,251600,0.0,1.0
2000-02-17,32.44,32.44,31.44,31.63,6.33218021769,332900,0.0,1.0
2000-02-18,31.13,31.38,30.63,30.69,6.14399655014,710400,0.0,1.0
2000-02-22,30.56,31.0,30.5,30.56,6.11797114931,576400,0.0,1.0
