dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,92.75,93.13,91.88,92.38,4.50774695377,741900,0.0,1.0
1999-11-04,92.63,94.75,92.63,93.19,4.54727147242,517200,0.0,1.0
1999-11-05,95.0,96.88,94.25,95.06,4.63851943522,624300,0.0,1.0
1999-11-08,95.69,97.13,95.25,96.88,4.72732761292,564000,0.0,1.0
1999-11-09,97.5,97.63,93.56,95.5,4.65998954411,646500,0.0,1.0
1999-11-10,94.88,95.19,90.75,91.0,4.44040888497,916500,0.0,1.0
1999-11-11,91.13,91.5,88.75,90.0,4.39161318294,885000,0.0,1.0
1999-11-12,90.0,90.75,88.75,90.5,4.41601103395,882600,0.0,1.0
1999-11-15,90.0,90.44,89.06,89.88,4.38575769869,418200,0.0,1.0
1999-11-16,90.0,90.94,89.13,89.94,4.38868544081,1092900,0.0,1.0
1999-11-17,89.94,89.94,82.56,83.31,4.06516993634,2577000,0.0,1.0
1999-11-18,83.31,84.75,81.25,84.0,4.09883897074,2343900,0.0,1.0
1999-11-19,84.0,87.06,83.25,85.25,4.15983359828,1113300,0.0,1.0
1999-11-22,85.0,85.0,82.5,83.25,4.06224219421,1040100,0.0,1.0
1999-11-23,83.0,83.69,82.88,83.5,4.07444111972,655200,0.0,1.0
1999-11-24,83.25,83.38,81.88,82.44,4.02271767557,1155000,0.0,1.0
1999-11-26,82.44,82.44,81.69,81.88,3.99539208243,312000,0.0,1.0
1999-11-29,81.94,82.0,79.63,80.31,3.91878283024,1002000,0.0,1.0
1999-11-30,80.5,80.75,79.38,80.56,3.93098175575,870600,0.0,1.0
1999-12-01,80.63,81.19,79.63,79.69,3.88852949498,431700,0.0,1.0
1999-12-02,80.06,80.5,78.56,79.38,3.87340282735,715500,0.0,1.0
1999-12-03,79.5,80.5,78.63,78.69,3.83973379295,926700,0.0,1.0
1999-12-06,77.88,78.19,76.56,76.94,3.75434131439,1188600,0.0,1.0
1999-12-07,76.44,76.56,75.06,75.19,3.66894883583,769500,0.0,1.0
1999-12-08,74.75,75.5,71.88,72.0,3.51646226698,1257900,0.065,1.0
1999-12-09,72.25,75.56,71.88,74.88,3.65712075766,1113300,0.0,1.0
1999-12-10,75.75,77.63,75.13,76.56,3.73917154389,1419000,0.0,1.0
1999-12-13,76.75,79.38,76.75,78.81,3.84906098973,1291800,0.0,1.0
1999-12-14,79.0,79.63,78.0,79.38,3.87689964935,1744500,0.0,1.0
1999-12-15,78.38,78.94,76.56,77.38,3.77922014193,1884600,0.0,1.0
1999-12-16,77.38,77.56,76.63,77.56,3.7880112976,954300,0.0,1.0
1999-12-17,78.13,78.44,77.0,77.0,3.76066103552,438300,0.0,1.0
1999-12-20,70.25,72.25,68.5,71.06,3.47055289849,2780400,0.0,1.0
1999-12-21,70.56,72.13,68.63,72.13,3.52281143496,2497500,0.0,1.0
1999-12-22,71.5,72.38,70.25,71.94,3.51353188176,1261500,0.0,1.0
1999-12-23,71.69,74.63,71.69,72.25,3.52867220541,1483200,0.0,1.0
1999-12-27,72.5,73.63,71.25,71.69,3.50132194333,666900,0.0,1.0
1999-12-28,71.5,72.75,71.06,72.5,3.54088214383,1092900,0.0,1.0
1999-12-29,72.0,72.69,71.25,72.38,3.53502137339,561300,0.0,1.0
1999-12-30,72.13,76.19,72.13,74.13,3.62049094238,1028400,0.0,1.0
1999-12-31,74.38,74.75,73.13,73.13,3.57165118867,367500,0.0,1.0
2000-01-03,72.63,73.0,70.69,70.69,3.45248218962,1185300,0.0,1.0
2000-01-04,70.69,70.69,66.88,68.13,3.32745242013,1928400,0.0,1.0
2000-01-05,67.88,69.25,67.13,68.63,3.35187229698,1363500,0.0,1.0
2000-01-06,69.38,70.5,69.0,69.5,3.39436288271,909600,0.0,1.0
2000-01-07,70.0,70.75,69.5,70.69,3.45248218962,1026300,0.0,1.0
2000-01-10,70.5,70.63,69.19,69.31,3.38508332951,479400,0.0,1.0
2000-01-11,69.31,69.75,68.81,69.13,3.37629217384,525900,0.0,1.0
2000-01-12,69.06,69.94,69.0,69.44,3.39143249749,604800,0.0,1.0
2000-01-13,69.44,71.5,69.25,71.38,3.48618161968,469200,0.0,1.0
2000-01-14,71.38,71.38,69.75,70.19,3.42806231277,722400,0.0,1.0
2000-01-18,69.69,69.94,69.19,69.63,3.40071205069,487800,0.0,1.0
2000-01-19,69.5,70.0,68.25,68.81,3.36066345265,670800,0.0,1.0
2000-01-20,68.63,68.88,66.38,66.5,3.24784362159,663000,0.0,1.0
2000-01-21,68.25,68.38,65.31,65.5,3.19900386788,883800,0.0,1.0
2000-01-24,65.44,66.69,65.0,65.94,3.22049335951,4954200,0.0,1.0
2000-01-25,66.19,66.19,63.94,64.0,3.12574423732,2799600,0.0,1.0
2000-01-26,60.5,65.13,59.63,63.88,3.11988346687,3615300,0.0,1.0
2000-01-27,64.13,65.69,63.88,64.69,3.15944366737,2309400,0.0,1.0
2000-01-28,64.5,64.5,61.25,62.13,3.03441389788,1181400,0.0,1.0
2000-01-31,62.13,62.25,60.88,62.25,3.04027466833,712800,0.0,1.0
2000-02-01,62.13,62.13,60.38,62.0,3.0280647299,1038300,0.0,1.0
2000-02-02,61.0,62.0,60.56,61.13,2.98557414417,895200,0.0,1.0
2000-02-03,61.13,61.13,59.81,60.19,2.93966477569,789000,0.0,1.0
2000-02-04,60.19,61.56,59.56,60.25,2.94259516091,1063800,0.0,1.0
2000-02-07,61.25,61.25,60.13,60.25,2.94259516091,1379700,0.0,1.0
2000-02-08,59.0,60.19,59.0,59.5,2.90596534563,1412100,0.0,1.0
2000-02-09,59.75,59.88,57.0,57.31,2.79900628501,1490700,0.0,1.0
2000-02-10,57.13,57.5,55.69,55.81,2.72574665445,825000,0.0,1.0
2000-02-11,55.94,55.94,53.63,54.0,2.63734670024,1716600,0.0,1.0
2000-02-14,54.0,54.0,51.75,52.13,2.5460163608,1113900,0.0,1.0
2000-02-15,53.13,56.13,53.0,55.94,2.73209582243,3454500,0.0,1.0
2000-02-16,56.75,57.25,54.56,56.94,2.78093557614,1412100,0.0,1.0
2000-02-17,56.88,57.94,56.88,57.69,2.81756539142,1226700,0.0,1.0
2000-02-18,57.5,57.69,54.69,55.94,2.73209582243,1010400,0.0,1.0
2000-02-22,56.25,56.94,55.56,56.94,2.78093557614,1110900,0.0,1.0
2000-02-23,56.69,57.06,55.88,57.0,2.78386596136,875100,0.0,1.0
2000-02-24,56.75,56.75,54.88,55.5,2.7106063308,1119300,0.0,1.0
2000-02-25,55.5,56.0,54.5,54.56,2.66469696231,1135200,0.0,1.0
2000-02-28,54.75,57.75,54.69,56.75,2.77165602293,1053600,0.0,1.0
2000-02-29,58.75,59.63,58.31,59.5,2.90596534563,1689000,0.0,1.0
2000-03-01,59.5,59.5,56.88,59.0,2.88154546878,1689600,0.0,1.0
2000-03-02,58.38,58.56,55.38,55.88,2.72916543721,2607300,0.0,1.0
2000-03-03,56.0,56.0,54.75,55.25,2.69839639237,1523400,0.0,1.0
2000-03-06,55.25,55.25,53.0,53.13,2.59485611451,2147100,0.0,1.0
2000-03-07,52.88,53.88,51.88,52.31,2.55480751647,2147700,0.0,1.0
2000-03-08,52.25,52.25,49.25,50.88,2.48814125266,2161800,0.065,1.0
2000-03-09,51.0,51.0,49.88,50.13,2.45146464221,1640100,0.0,1.0
2000-03-10,50.13,50.38,49.31,49.75,2.43288182625,1421700,0.0,1.0
2000-03-13,45.0,51.81,45.0,49.25,2.40843075262,2512200,0.0,1.0
2000-03-14,49.19,53.75,49.13,52.19,2.55220306557,1846800,0.0,1.0
2000-03-15,52.19,58.0,52.19,57.69,2.82116487551,2252700,0.0,1.0
2000-03-16,57.88,63.94,57.63,63.69,3.11457775907,2304000,0.0,1.0
2000-03-17,63.69,64.38,61.94,62.81,3.07154386948,1961700,0.0,1.0
2000-03-20,62.88,63.13,59.5,60.13,2.94048611482,1314900,0.0,1.0
2000-03-21,60.19,66.38,60.19,66.06,3.23047584808,2286600,0.0,1.0
2000-03-22,69.5,70.5,63.88,66.0,3.22754171925,3356100,0.0,1.0
2000-03-23,64.88,68.94,64.25,68.94,3.3713140322,2320800,0.0,1.0
2000-03-24,68.69,71.0,67.69,69.19,3.38353956901,1596600,0.0,1.0
2000-03-27,69.0,69.0,65.69,67.19,3.28573527449,979200,0.0,1.0
2000-03-28,66.69,70.38,66.38,69.69,3.40799064264,1674300,0.0,1.0
2000-03-29,69.75,73.5,69.75,72.88,3.56398849241,2509500,0.0,1.0
2000-03-30,72.94,85.75,72.94,78.13,3.82072476553,5948400,0.0,1.0
2000-03-31,78.44,78.44,75.56,76.06,3.7194973207,2399400,0.0,1.0
2000-04-03,76.06,79.13,74.5,78.25,3.8265930232,2137500,0.0,1.0
2000-04-04,78.5,80.81,74.75,78.69,3.84810996799,1828500,0.0,1.0
2000-04-05,78.81,79.19,76.81,77.38,3.78404815508,971700,0.0,1.0
2000-04-06,77.63,77.94,76.25,76.94,3.76253121029,1195200,0.0,1.0
2000-04-07,77.19,78.38,75.69,75.75,3.70433765505,1434600,0.0,1.0
2000-04-10,75.0,76.69,73.75,75.5,3.69211211823,1536900,0.0,1.0
2000-04-11,75.56,76.31,74.63,76.13,3.72292047101,857400,0.0,1.0
2000-04-12,76.13,78.75,76.13,77.38,3.78404815508,1067400,0.0,1.0
2000-04-13,77.38,77.38,76.0,76.56,3.74394839433,594600,0.0,1.0
2000-04-14,75.19,75.19,69.94,70.25,3.43537584511,2034300,0.0,1.0
2000-04-17,69.0,69.94,68.75,69.38,3.39283097699,1425000,0.0,1.0
