dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,20.25,21.0,20.13,20.56,4.31640647713,154600,0.0,1.0
1999-11-02,20.56,21.88,20.56,21.19,4.44866990517,166200,0.0,1.0
1999-11-03,21.44,21.56,20.56,21.31,4.47386293909,176400,0.0,1.0
1999-11-04,21.31,21.63,21.25,21.44,4.50115539249,133700,0.0,1.0
1999-11-05,22.0,22.75,21.94,22.5,4.72369385873,185000,0.0,1.0
1999-11-08,22.5,22.5,22.19,22.38,4.69850082481,132800,0.0,1.0
1999-11-09,22.38,22.44,20.75,21.13,4.43607338822,101200,0.0,1.0
1999-11-10,21.06,21.63,21.06,21.56,4.52634842641,156500,0.0,1.0
1999-11-11,21.44,21.63,20.88,21.44,4.50115539249,150800,0.0,1.0
1999-11-12,21.38,21.56,21.0,21.38,4.48855887554,77000,0.0,1.0
1999-11-15,22.0,22.5,21.5,22.44,4.71109734177,91200,0.0,1.0
1999-11-16,22.69,23.13,22.63,23.0,4.82866483336,135300,0.0,1.0
1999-11-17,22.75,22.94,21.5,21.56,4.52634842641,229000,0.0,1.0
1999-11-18,21.56,21.56,20.5,21.31,4.47386293909,378700,0.0,1.0
1999-11-19,21.38,21.63,21.0,21.44,4.50115539249,182700,0.0,1.0
1999-11-22,21.38,21.5,21.0,21.06,4.42137745177,149600,0.0,1.0
1999-11-23,20.81,21.0,20.5,20.94,4.39618441785,95600,0.0,1.0
1999-11-24,20.94,20.94,19.81,19.94,4.18624246858,221400,0.0,1.0
1999-11-26,20.19,20.75,20.13,20.5,4.30380996017,37400,0.0,1.0
1999-11-29,20.25,20.38,19.75,20.19,4.2387279559,166500,0.0,1.0
1999-11-30,20.19,20.75,19.88,20.06,4.21143550249,195700,0.0,1.0
1999-12-01,20.19,20.44,19.5,19.81,4.15895001517,141400,0.0,1.0
1999-12-02,19.94,19.94,19.5,19.94,4.18624246858,219900,0.0,1.0
1999-12-03,20.06,20.56,20.06,20.31,4.26392098981,173200,0.0,1.0
1999-12-06,20.31,20.44,19.94,20.19,4.2387279559,109800,0.0,1.0
1999-12-07,20.06,20.25,20.0,20.06,4.21143550249,236200,0.0,1.0
1999-12-08,20.25,20.25,19.94,20.0,4.2072366635,89800,0.04,1.0
1999-12-09,19.94,20.56,19.56,19.56,4.11467745691,99400,0.0,1.0
1999-12-10,19.56,20.19,19.56,20.0,4.2072366635,98000,0.0,1.0
1999-12-13,19.81,20.06,19.56,19.56,4.11467745691,111800,0.0,1.0
1999-12-14,19.69,21.25,19.44,20.63,4.33976461841,434900,0.0,1.0
1999-12-15,20.5,20.5,19.94,20.13,4.23458370182,79000,0.0,1.0
1999-12-16,20.0,20.5,19.75,19.81,4.1672679152,109300,0.0,1.0
1999-12-17,20.06,20.06,20.06,20.06,4.2198583735,166500,0.0,1.0
1999-12-20,20.25,20.56,19.88,20.44,4.2997958701,65200,0.0,1.0
