dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-28,12.0,12.19,12.0,12.0,6.53108430577,11192000,0.0,1.0
2000-01-31,12.0,12.06,12.0,12.06,6.5637397273,1880900,0.0,1.0
2000-02-01,12.0,12.06,12.0,12.0,6.53108430577,367100,0.0,1.0
2000-02-02,12.0,12.06,12.0,12.06,6.5637397273,697400,0.0,1.0
2000-02-03,12.0,12.06,12.0,12.0,6.53108430577,579800,0.0,1.0
2000-02-04,12.0,12.06,11.25,11.38,6.19364494998,1681900,0.0,1.0
2000-02-07,11.12,11.12,10.5,10.81,5.88341844545,927200,0.0,1.0
2000-02-08,10.75,10.88,9.75,9.88,5.37725941175,795400,0.0,1.0
2000-02-09,9.88,10.25,9.75,10.12,5.50788109787,1710100,0.0,1.0
2000-02-10,10.5,11.25,10.44,10.62,5.78000961061,571500,0.0,1.0
2000-02-11,10.75,10.94,10.0,10.06,5.47522567634,1062000,0.0,1.0
2000-02-14,10.19,10.31,9.75,9.81,5.33916141997,289000,0.0,1.0
2000-02-15,10.0,10.62,9.94,10.44,5.68204334602,541400,0.0,1.0
2000-02-16,10.56,10.62,10.25,10.56,5.74735418908,360700,0.0,1.0
2000-02-17,10.88,10.88,10.25,10.38,5.64938792449,291600,0.0,1.0
2000-02-18,10.5,10.75,10.31,10.5,5.71469876755,330700,0.0,1.0
2000-02-22,10.25,10.62,9.88,10.31,5.61128993271,314500,0.0,1.0
2000-02-23,9.94,10.31,9.81,10.12,5.50788109787,494300,0.0,1.0
2000-02-24,10.12,10.31,9.88,9.94,5.40991483328,919900,0.0,1.0
2000-02-25,10.31,10.62,10.0,10.44,5.68204334602,1095500,0.0,1.0
2000-02-28,10.25,10.31,10.0,10.12,5.50788109787,366800,0.0,1.0
2000-02-29,10.12,11.25,10.0,10.88,5.92151643724,1652500,0.0,1.0
2000-03-01,10.88,11.25,10.88,11.0,5.98682728029,266700,0.0,1.0
2000-03-02,10.88,11.94,10.81,11.5,6.25895579303,890300,0.0,1.0
2000-03-03,11.5,11.5,10.88,10.94,5.95417185876,160300,0.0,1.0
2000-03-06,10.5,10.81,10.38,10.75,5.85076302392,242800,0.0,1.0
2000-03-07,10.62,10.75,10.06,10.25,5.57863451118,393500,0.0,1.0
2000-03-08,10.19,10.5,9.88,10.38,5.64938792449,424200,0.0,1.0
2000-03-09,10.31,10.81,10.25,10.5,5.71469876755,310100,0.0,1.0
2000-03-10,10.5,10.5,10.0,10.25,5.57863451118,168900,0.0,1.0
2000-03-13,10.0,10.12,9.56,9.75,5.30650599844,1767400,0.0,1.0
2000-03-14,9.75,10.12,9.75,9.88,5.37725941175,660500,0.0,1.0
2000-03-15,9.88,9.88,9.25,9.62,5.23575258513,1231100,0.0,1.0
2000-03-16,9.81,10.25,9.5,9.75,5.30650599844,404100,0.0,1.0
2000-03-17,9.75,9.94,9.25,9.56,5.2030971636,814800,0.0,1.0
2000-03-20,9.69,9.88,9.5,9.62,5.23575258513,473200,0.0,1.0
2000-03-21,9.56,9.81,9.5,9.62,5.23575258513,176200,0.0,1.0
2000-03-22,9.62,9.75,9.5,9.56,5.2030971636,430300,0.0,1.0
2000-03-23,9.5,9.81,9.5,9.69,5.27385057691,477400,0.0,1.0
2000-03-24,9.56,9.88,9.56,9.75,5.30650599844,236700,0.0,1.0
2000-03-27,9.75,10.0,9.75,9.88,5.37725941175,67600,0.0,1.0
2000-03-28,9.88,10.0,9.75,9.81,5.33916141997,157900,0.0,1.0
2000-03-29,9.81,9.94,9.81,9.81,5.33916141997,253000,0.0,1.0
2000-03-30,9.81,10.12,9.81,9.81,5.33916141997,235200,0.0,1.0
2000-03-31,9.81,10.5,9.75,10.5,5.71469876755,627300,0.0,1.0
2000-04-03,10.38,10.38,10.06,10.31,5.61128993271,108400,0.0,1.0
2000-04-04,10.38,10.38,10.0,10.06,5.47522567634,411000,0.0,1.0
2000-04-05,9.94,10.38,9.88,10.25,5.57863451118,196100,0.0,1.0
2000-04-06,10.25,11.12,10.12,10.81,5.88341844545,296700,0.0,1.0
2000-04-07,10.5,10.62,10.25,10.5,5.71469876755,262800,0.0,1.0
2000-04-10,10.5,10.75,10.25,10.31,5.61128993271,139400,0.0,1.0
2000-04-11,10.25,10.62,10.25,10.56,5.74735418908,315000,0.0,1.0
2000-04-12,10.56,11.0,10.56,10.81,5.88341844545,392000,0.0,1.0
2000-04-13,10.69,10.81,10.62,10.62,5.78000961061,243200,0.0,1.0
2000-04-14,10.5,10.62,10.0,10.12,5.50788109787,269900,0.0,1.0
2000-04-17,10.0,10.38,10.0,10.38,5.64938792449,321300,0.0,1.0
2000-04-18,10.38,10.81,10.25,10.62,5.78000961061,862200,0.0,1.0
2000-04-19,10.5,11.25,10.5,10.94,5.95417185876,531900,0.0,1.0
2000-04-20,10.94,11.0,10.62,10.62,5.78000961061,193500,0.0,1.0
2000-04-24,10.75,11.38,10.75,10.88,5.92151643724,355700,0.0,1.0
2000-04-25,11.06,11.56,11.0,11.25,6.12289153666,621900,0.0,1.0
2000-04-26,11.25,11.38,11.0,11.0,5.98682728029,391800,0.0,1.0
2000-04-27,11.0,11.25,10.81,10.81,5.88341844545,246300,0.0,1.0
2000-04-28,11.12,11.88,11.0,11.88,6.46577346272,284100,0.0,1.0
2000-05-01,11.75,11.94,11.38,11.62,6.32426663609,138900,0.0,1.0
