dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,40.5,40.94,39.5,39.94,15.8127947382,95300,0.0,1.0
1999-11-02,40.0,40.0,39.5,39.75,15.7375711277,219000,0.0,1.0
1999-11-03,40.0,40.13,37.75,38.94,15.4168809991,242500,0.0,1.0
1999-11-04,39.19,39.19,38.5,38.56,15.2664337783,103700,0.0,1.0
1999-11-05,38.81,39.31,38.75,39.25,15.5396142582,114600,0.0,1.0
1999-11-08,39.75,39.94,38.94,39.88,15.7890399138,89800,0.0,1.0
1999-11-09,39.81,39.88,39.06,39.5,15.638592693,120900,0.0,1.0
1999-11-10,39.25,40.44,39.13,39.81,15.7613259521,126800,0.0,1.0
1999-11-11,40.25,40.69,39.81,40.69,16.1097300425,86400,0.0,1.0
1999-11-12,40.81,40.94,39.88,40.13,15.8880183486,221400,0.0,1.0
1999-11-15,40.06,40.13,39.25,39.69,15.7138163034,76900,0.0,1.0
1999-11-16,39.75,40.94,39.75,40.94,16.2087084772,184000,0.0,1.0
1999-11-17,40.69,42.5,40.69,42.0,16.6283770406,487600,0.0,1.0
1999-11-18,42.25,44.13,42.25,43.81,17.3449809083,428000,0.0,1.0
1999-11-19,44.5,45.0,43.38,43.56,17.2460024736,273100,0.0,1.0
1999-11-22,43.31,44.25,43.31,43.63,17.2737164353,216800,0.0,1.0
1999-11-23,43.5,43.56,41.88,42.31,16.7511102997,112900,0.0,1.0
1999-11-24,42.38,43.19,42.0,42.56,16.8500887345,215300,0.0,1.0
1999-11-26,42.56,43.44,42.44,43.06,17.048045604,26100,0.0,1.0
1999-11-29,42.94,42.94,42.25,42.63,16.8778026962,106300,0.0,1.0
1999-11-30,42.63,42.69,40.0,41.13,16.2839320876,165000,0.0,1.0
1999-12-01,41.25,41.69,40.81,41.56,16.4541749954,189800,0.0,1.0
1999-12-02,41.69,42.25,40.94,41.44,16.4066653468,98800,0.0,1.0
1999-12-03,41.31,42.94,41.31,42.69,16.9015575206,113000,0.0,1.0
1999-12-06,42.44,42.44,42.0,42.0,16.6283770406,130200,0.0,1.0
1999-12-07,42.06,42.44,41.5,42.13,16.6798458267,110600,0.0,1.0
1999-12-08,42.25,43.06,41.94,42.5,16.8263339102,89300,0.0,1.0
1999-12-09,42.56,43.63,42.0,43.63,17.2737164353,210000,0.0,1.0
1999-12-10,43.5,43.63,42.5,43.19,17.0995143901,194400,0.0,1.0
1999-12-13,43.06,43.06,41.88,42.13,16.6798458267,228300,0.0,1.0
1999-12-14,42.19,43.13,42.19,42.31,16.7511102997,202200,0.0,1.0
1999-12-15,42.5,42.94,42.06,42.69,16.9015575206,91600,0.0,1.0
1999-12-16,42.69,43.0,42.5,42.56,16.8500887345,244500,0.0,1.0
1999-12-17,42.12,42.38,39.0,39.25,15.5396142582,368300,0.0,1.0
1999-12-20,39.31,41.5,39.31,40.56,16.0582612564,141100,0.0,1.0
1999-12-21,40.69,40.69,39.38,40.0,15.8365495625,118100,0.0,1.0
1999-12-22,40.0,40.13,37.81,38.0,15.0447220844,145600,0.0,1.0
1999-12-23,38.5,40.81,38.38,40.19,15.9117731729,289300,0.0,1.0
1999-12-27,40.0,40.38,39.63,40.19,15.9117731729,193200,0.0,1.0
1999-12-28,40.0,40.0,39.5,39.81,15.7613259521,90200,0.0,1.0
1999-12-29,39.81,41.0,39.75,40.81,16.1572396911,116400,0.0,1.0
1999-12-30,40.75,42.19,40.63,41.69,16.5056437815,106800,0.0,1.0
1999-12-31,41.56,42.0,41.56,41.69,16.5056437815,34300,0.0,1.0
2000-01-03,41.75,42.0,40.75,41.44,16.4066653468,141700,0.0,1.0
2000-01-04,41.44,41.44,39.31,39.5,15.638592693,124600,0.0,1.0
2000-01-05,39.69,39.81,38.0,39.0,15.4406358234,95200,0.0,1.0
2000-01-06,39.31,40.5,39.13,39.56,15.6623475173,200700,0.0,1.0
2000-01-07,39.94,40.06,39.25,40.06,15.8603043868,226600,0.0,1.0
2000-01-10,39.81,42.94,39.81,41.69,16.5056437815,205700,0.0,1.0
2000-01-11,41.88,41.94,40.31,40.38,15.9869967833,89400,0.0,1.0
2000-01-12,40.13,40.88,39.81,40.44,16.0107516077,102100,0.0,1.0
2000-01-13,40.19,41.69,40.19,41.56,16.4541749954,198200,0.0,1.0
2000-01-14,41.75,42.44,41.06,41.56,16.4541749954,284600,0.0,1.0
2000-01-18,41.5,43.25,41.25,43.13,17.0757595658,372800,0.0,1.0
2000-01-19,43.0,44.5,42.0,43.75,17.3766540075,331200,0.14,1.0
2000-01-20,43.75,46.56,43.75,45.5,18.0717201678,499200,0.0,1.0
2000-01-21,46.13,49.0,45.75,47.13,18.7191246485,573400,0.0,1.0
2000-01-24,47.5,48.13,46.56,47.31,18.7906171678,399100,0.0,1.0
2000-01-25,47.56,48.38,46.94,47.56,18.8899123336,393100,0.0,1.0
2000-01-26,47.5,48.0,47.31,47.69,18.9415458198,235900,0.0,1.0
2000-01-27,49.63,50.44,48.94,49.19,19.5373168143,450600,0.0,1.0
2000-01-28,49.38,50.94,49.31,49.81,19.7835688254,520700,0.0,1.0
2000-01-31,49.69,50.56,49.63,50.06,19.8828639912,358800,0.0,1.0
2000-02-01,49.81,51.94,49.75,51.44,20.4309733061,381200,0.0,1.0
2000-02-02,51.25,52.0,50.25,50.62,20.1052851625,277900,0.0,1.0
2000-02-03,50.81,51.56,50.75,50.94,20.2323829746,275500,0.0,1.0
2000-02-04,51.19,53.0,50.63,52.69,20.9274491349,333500,0.0,1.0
2000-02-07,53.25,53.63,52.5,53.31,21.173701146,291700,0.0,1.0
2000-02-08,53.56,55.75,53.5,55.06,21.8687673063,329100,0.0,1.0
2000-02-09,55.06,55.44,54.13,54.5,21.646346135,359300,0.0,1.0
2000-02-10,54.63,55.0,53.38,55.0,21.8449364665,211200,0.0,1.0
2000-02-11,56.88,58.0,55.5,56.5,22.4407074611,519700,0.0,1.0
2000-02-14,56.94,60.31,56.81,59.75,23.7315446159,700600,0.0,1.0
2000-02-15,60.06,66.88,59.38,65.31,25.9398691023,758700,0.0,1.0
2000-02-16,65.06,68.94,63.63,67.06,26.6349352626,545300,0.0,1.0
