dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,20.5,20.63,20.38,20.56,6.70909252912,33400,0.0,1.0
1999-11-04,20.63,20.63,20.5,20.5,6.68951346532,35700,0.0,1.0
1999-11-05,20.38,20.63,20.38,20.56,6.70909252912,15000,0.0,1.0
1999-11-08,20.69,20.88,20.69,20.88,6.81351420273,78800,0.0,1.0
1999-11-09,20.88,20.88,20.75,20.75,6.77109289783,20800,0.0,1.0
1999-11-10,20.75,20.81,20.56,20.69,6.75151383402,112500,0.0,1.0
1999-11-11,20.81,20.88,20.63,20.88,6.81351420273,42500,0.0,1.0
1999-11-12,20.94,20.94,20.81,20.94,6.83309326653,8500,0.0,1.0
1999-11-15,21.0,21.0,20.38,20.44,6.66993440152,83800,0.0,1.0
1999-11-16,20.38,20.75,20.25,20.56,6.70909252912,26500,0.0,1.0
1999-11-17,20.38,20.44,20.19,20.38,6.65035533772,49000,0.0,1.0
1999-11-18,20.44,20.44,20.13,20.31,6.62751309662,16000,0.0,1.0
1999-11-19,20.31,20.31,20.25,20.31,6.62751309662,41700,0.0,1.0
1999-11-22,20.38,20.38,20.06,20.25,6.60793403282,37800,0.0,1.0
1999-11-23,20.31,20.38,19.88,20.0,6.52635460031,181500,0.0,1.0
1999-11-24,20.13,20.13,19.88,20.13,6.56877590522,272700,0.0,1.0
1999-11-26,20.13,20.13,20.06,20.13,6.56877590522,18200,0.0,1.0
1999-11-29,20.13,20.13,19.94,20.0,6.52635460031,85000,0.0,1.0
1999-11-30,20.0,20.13,19.88,20.0,6.52635460031,124100,0.0,1.0
1999-12-01,20.06,20.13,19.75,20.0,6.52635460031,110900,0.0,1.0
1999-12-02,20.0,20.0,19.63,20.0,6.52635460031,324100,0.0,1.0
1999-12-03,19.94,20.0,19.88,20.0,6.52635460031,103600,0.0,1.0
1999-12-06,20.13,20.13,19.75,19.81,6.46435423161,61500,0.0,1.0
1999-12-07,19.94,19.94,19.5,19.69,6.42519610401,155600,0.0,1.0
1999-12-08,19.75,19.75,19.38,19.38,6.3240376077,172200,0.0,1.0
1999-12-09,19.44,19.63,19.0,19.44,6.3436166715,962000,0.0,1.0
1999-12-10,19.5,19.5,19.19,19.19,6.262037239,41600,0.0,1.0
1999-12-13,19.25,19.25,18.88,18.94,6.1804578065,209000,0.0,1.0
1999-12-14,18.94,18.94,18.5,18.75,6.11845743779,695700,0.0,1.0
1999-12-15,18.63,18.63,18.25,18.38,6.11193108319,141900,0.35,1.0
1999-12-16,18.31,18.38,18.0,18.13,6.02879817945,80600,0.0,1.0
1999-12-17,18.25,19.31,18.25,19.12,6.35800447827,203400,0.0,1.0
1999-12-20,19.25,19.44,19.06,19.25,6.40123358822,325700,0.0,1.0
1999-12-21,19.31,19.31,19.0,19.19,6.38128169132,75000,0.0,1.0
1999-12-22,19.06,19.19,19.06,19.06,6.33805258137,72100,0.0,1.0
1999-12-23,19.0,19.31,18.88,19.31,6.42118548512,111100,0.0,1.0
1999-12-27,19.38,19.38,19.0,19.13,6.36132979442,35100,0.0,1.0
1999-12-28,19.25,19.63,19.13,19.44,6.46441459506,275400,0.0,1.0
1999-12-29,19.63,19.75,19.56,19.75,6.56749939571,44800,0.0,1.0
1999-12-30,19.88,20.06,19.75,19.94,6.63068040255,52600,0.0,1.0
1999-12-31,20.0,20.0,19.75,19.94,6.63068040255,25900,0.0,1.0
2000-01-03,19.94,19.94,19.75,19.81,6.5874512926,36200,0.0,1.0
2000-01-04,19.94,19.94,19.0,19.5,6.48436649196,148500,0.0,1.0
2000-01-05,19.0,19.19,18.81,19.06,6.33805258137,178700,0.0,1.0
2000-01-06,19.38,19.81,19.38,19.63,6.52759560191,452800,0.0,1.0
2000-01-07,19.75,20.0,19.75,20.0,6.65063229945,290700,0.0,1.0
2000-01-10,20.0,20.19,19.94,20.13,6.6938614094,158200,0.0,1.0
2000-01-11,20.13,20.31,20.0,20.19,6.71381330629,146000,0.0,1.0
2000-01-12,20.25,20.25,20.0,20.0,6.65063229945,120000,0.0,1.0
2000-01-13,20.0,20.19,19.94,19.94,6.63068040255,85400,0.0,1.0
2000-01-14,20.0,20.0,19.75,19.75,6.56749939571,80500,0.0,1.0
2000-01-18,19.88,20.69,19.75,20.06,6.67058419635,548000,0.0,1.0
2000-01-19,20.13,20.31,20.06,20.19,6.71381330629,77100,0.0,1.0
2000-01-20,20.25,20.31,20.13,20.31,6.75371710009,271000,0.0,1.0
2000-01-21,20.38,20.5,20.31,20.44,6.79694621004,95000,0.0,1.0
2000-01-24,20.5,20.5,20.38,20.38,6.77699431314,34600,0.0,1.0
2000-01-25,20.38,20.56,20.38,20.44,6.79694621004,100400,0.0,1.0
2000-01-26,20.5,20.56,20.44,20.5,6.81689810694,151100,0.0,1.0
2000-01-27,20.5,20.63,20.5,20.56,6.83685000383,59100,0.0,1.0
2000-01-28,20.63,20.63,20.44,20.5,6.81689810694,118700,0.0,1.0
2000-01-31,20.5,20.5,20.44,20.44,6.79694621004,94800,0.0,1.0
2000-02-01,20.5,20.63,20.44,20.56,6.83685000383,366600,0.0,1.0
2000-02-02,20.63,20.63,20.5,20.5,6.81689810694,238200,0.0,1.0
2000-02-03,20.56,20.63,20.5,20.56,6.83685000383,380400,0.0,1.0
2000-02-04,20.56,20.56,20.44,20.5,6.81689810694,101300,0.0,1.0
2000-02-07,20.38,20.63,20.38,20.56,6.83685000383,230300,0.0,1.0
2000-02-08,20.5,20.56,20.38,20.44,6.79694621004,88000,0.0,1.0
2000-02-09,20.38,20.69,20.25,20.44,6.79694621004,143500,0.0,1.0
2000-02-10,20.44,20.56,20.38,20.44,6.79694621004,93300,0.0,1.0
2000-02-11,20.5,20.69,20.06,20.06,6.67058419635,43200,0.0,1.0
2000-02-14,20.06,20.38,20.0,20.31,6.75371710009,153200,0.0,1.0
2000-02-15,20.56,20.63,20.38,20.63,6.86012721688,144800,0.0,1.0
2000-02-16,20.63,20.69,20.5,20.63,6.86012721688,117900,0.0,1.0
2000-02-17,20.5,20.56,20.44,20.56,6.83685000383,102100,0.0,1.0
2000-02-18,20.56,20.56,20.31,20.5,6.81689810694,79300,0.0,1.0
2000-02-22,20.25,20.56,20.25,20.56,6.83685000383,195500,0.0,1.0
2000-02-23,20.63,20.63,20.44,20.5,6.81689810694,103200,0.0,1.0
2000-02-24,20.5,20.5,20.19,20.44,6.79694621004,235900,0.0,1.0
2000-02-25,20.25,20.25,20.13,20.25,6.73376520319,43400,0.0,1.0
2000-02-28,20.13,20.25,20.0,20.13,6.6938614094,135400,0.0,1.0
2000-02-29,20.19,20.25,20.0,20.19,6.71381330629,172000,0.0,1.0
2000-03-01,20.25,20.25,20.06,20.19,6.71381330629,169500,0.0,1.0
2000-03-02,20.25,20.25,20.06,20.13,6.6938614094,73300,0.0,1.0
2000-03-03,20.19,20.19,20.06,20.06,6.67058419635,103400,0.0,1.0
2000-03-06,20.0,20.19,19.94,20.19,6.71381330629,106600,0.0,1.0
2000-03-07,20.06,20.19,20.06,20.19,6.71381330629,170700,0.0,1.0
2000-03-08,20.13,20.31,20.13,20.25,6.73376520319,263200,0.0,1.0
2000-03-09,20.38,20.38,20.06,20.19,6.71381330629,184000,0.0,1.0
2000-03-10,20.25,20.25,20.0,20.19,6.71381330629,201000,0.0,1.0
2000-03-13,20.13,20.25,20.06,20.19,6.71381330629,681900,0.0,1.0
2000-03-14,20.25,20.38,20.19,20.38,6.77699431314,156800,0.0,1.0
2000-03-15,20.44,20.75,20.38,20.75,6.90003101068,372100,0.0,1.0
2000-03-16,20.75,20.94,20.75,20.94,6.96321201752,337100,0.0,1.0
2000-03-17,20.94,21.06,20.88,20.94,6.96321201752,333000,0.0,1.0
2000-03-20,21.0,21.13,20.94,21.0,6.98316391442,73400,0.0,1.0
2000-03-21,20.88,21.06,20.88,21.0,6.98316391442,119400,0.0,1.0
2000-03-22,21.06,21.38,21.0,21.38,7.10952592811,215100,0.0,1.0
2000-03-23,21.31,21.5,21.31,21.5,7.14942972191,512700,0.0,1.0
2000-03-24,21.5,21.5,21.31,21.38,7.10952592811,58700,0.0,1.0
2000-03-27,21.38,21.44,21.19,21.31,7.08624871506,66100,0.0,1.0
2000-03-28,21.31,21.44,21.0,21.13,7.02639302437,30100,0.0,1.0
2000-03-29,21.13,21.25,21.0,21.19,7.04634492127,42800,0.0,1.0
2000-03-30,21.25,21.25,21.13,21.19,7.04634492127,50400,0.0,1.0
2000-03-31,21.06,21.5,21.0,21.5,7.14942972191,232900,0.0,1.0
2000-04-03,21.13,21.25,21.0,21.25,7.1893335157,135700,0.37,1.0
2000-04-04,21.44,21.44,21.25,21.44,7.25361461537,188500,0.0,1.0
2000-04-05,21.38,21.5,21.38,21.38,7.23331532074,145000,0.0,1.0
2000-04-06,21.38,21.44,21.19,21.31,7.20963281034,148500,0.0,1.0
2000-04-07,21.31,21.38,21.25,21.31,7.20963281034,214300,0.0,1.0
2000-04-10,21.31,21.38,21.25,21.38,7.23331532074,270000,0.0,1.0
2000-04-11,21.38,21.63,21.19,21.5,7.27391391001,370300,0.0,1.0
2000-04-12,21.5,21.75,21.38,21.63,7.31789571504,192300,0.0,1.0
2000-04-13,21.69,21.75,21.5,21.75,7.35849430431,357300,0.0,1.0
2000-04-14,21.56,21.63,21.31,21.63,7.31789571504,123100,0.0,1.0
2000-04-17,21.56,21.63,21.5,21.56,7.29421320464,139000,0.0,1.0
2000-04-18,21.63,21.75,21.56,21.75,7.35849430431,238500,0.0,1.0
2000-04-19,21.75,22.0,21.75,22.0,7.44307469861,253500,0.0,1.0
2000-04-20,21.75,21.94,21.75,21.88,7.40247610935,177400,0.0,1.0
2000-04-24,21.94,22.0,21.81,22.0,7.44307469861,123200,0.0,1.0
2000-04-25,21.94,22.0,21.88,22.0,7.44307469861,116300,0.0,1.0
2000-04-26,22.0,22.06,21.94,22.06,7.46337399324,270900,0.0,1.0
2000-04-27,22.06,22.13,21.63,22.0,7.44307469861,172400,0.0,1.0
2000-04-28,22.0,22.13,21.94,22.06,7.46337399324,230300,0.0,1.0
2000-05-01,22.06,22.63,22.06,22.56,7.63253478185,300700,0.0,1.0
2000-05-02,22.63,23.13,22.56,22.88,7.74079768656,659500,0.0,1.0
2000-05-03,22.88,23.0,22.81,22.88,7.74079768656,162600,0.0,1.0
2000-05-04,22.88,23.06,22.75,22.81,7.71711517615,407500,0.0,1.0
2000-05-05,23.0,23.06,22.81,22.88,7.74079768656,79400,0.0,1.0
2000-05-08,22.88,22.88,22.69,22.75,7.69681588152,39300,0.0,1.0
2000-05-09,22.75,23.0,22.75,23.0,7.78139627582,337300,0.0,1.0
2000-05-10,23.0,23.0,22.81,22.81,7.71711517615,153200,0.0,1.0
2000-05-11,22.94,22.94,22.69,22.75,7.69681588152,199700,0.0,1.0
2000-05-12,22.75,22.94,22.5,22.88,7.74079768656,209600,0.0,1.0
2000-05-15,22.94,23.0,22.81,22.94,7.76109698119,220800,0.0,1.0
2000-05-16,22.94,23.0,22.88,22.94,7.76109698119,60900,0.0,1.0
2000-05-17,22.88,22.88,22.63,22.69,7.67651658689,62000,0.0,1.0
2000-05-18,22.63,22.69,22.5,22.5,7.61223548722,58400,0.0,1.0
2000-05-19,22.5,22.5,22.0,22.25,7.52765509291,485500,0.0,1.0
2000-05-22,22.31,22.44,22.0,22.25,7.52765509291,271400,0.0,1.0
2000-05-23,22.25,22.56,22.0,22.5,7.61223548722,308700,0.0,1.0
2000-05-24,22.38,22.56,22.38,22.44,7.59193619258,245400,0.0,1.0
2000-05-25,22.31,22.5,22.19,22.44,7.59193619258,39100,0.0,1.0
2000-05-26,22.5,22.56,22.44,22.56,7.63253478185,16300,0.0,1.0
2000-05-30,22.56,22.56,22.44,22.5,7.61223548722,46300,0.0,1.0
2000-05-31,22.5,22.56,22.5,22.5,7.61223548722,43800,0.0,1.0
2000-06-01,22.56,22.56,22.38,22.44,7.59193619258,83400,0.0,1.0
2000-06-02,22.44,22.5,22.38,22.44,7.59193619258,78200,0.0,1.0
2000-06-05,22.56,22.56,22.38,22.44,7.59193619258,81100,0.0,1.0
2000-06-06,22.44,22.56,22.44,22.56,7.63253478185,142600,0.0,1.0
2000-06-07,22.63,22.88,22.63,22.69,7.67651658689,127600,0.0,1.0
2000-06-08,22.75,22.88,22.75,22.88,7.74079768656,124100,0.0,1.0
2000-06-09,22.81,22.88,22.81,22.81,7.71711517615,107900,0.0,1.0
2000-06-12,22.88,22.94,22.75,22.88,7.74079768656,159700,0.0,1.0
2000-06-13,22.94,23.0,22.88,23.0,7.78139627582,309000,0.0,1.0
2000-06-14,23.0,23.25,22.94,23.19,7.84567737549,623700,0.0,1.0
2000-06-15,23.06,23.25,23.06,23.19,7.84567737549,151200,0.0,1.0
2000-06-16,23.25,23.38,23.0,23.06,7.80169557045,345300,0.0,1.0
2000-06-19,23.13,23.31,23.06,23.13,7.82537808086,43900,0.0,1.0
2000-06-20,23.25,23.38,23.19,23.38,7.90995847516,72200,0.0,1.0
2000-06-21,23.25,23.38,23.25,23.38,7.90995847516,43600,0.0,1.0
2000-06-22,23.38,23.5,23.19,23.5,7.95055706443,74300,0.0,1.0
2000-06-23,23.5,23.5,23.19,23.38,7.90995847516,99900,0.0,1.0
2000-06-26,23.44,23.5,23.31,23.31,7.88627596476,351500,0.0,1.0
2000-06-27,23.31,23.38,23.25,23.31,7.88627596476,118500,0.0,1.0
2000-06-28,23.38,23.44,23.25,23.38,7.90995847516,56100,0.0,1.0
2000-06-29,23.44,23.63,23.38,23.63,7.99453886946,243600,0.0,1.0
2000-06-30,23.25,23.25,22.81,22.83,7.84906059126,307100,0.37,1.0
2000-07-03,22.69,23.06,22.69,23.0,7.90750738498,27800,0.0,1.0
2000-07-05,23.25,23.38,23.0,23.31,8.01408683234,196900,0.0,1.0
2000-07-06,23.38,23.88,23.31,23.81,8.1859891668,241300,0.0,1.0
2000-07-07,23.81,23.94,23.75,23.94,8.23068377376,332200,0.0,1.0
2000-07-10,23.94,24.0,23.88,24.0,8.25131205389,59600,0.0,1.0
2000-07-11,24.0,24.0,23.75,23.94,8.23068377376,183800,0.0,1.0
2000-07-12,24.0,24.0,23.75,23.81,8.1859891668,342300,0.0,1.0
2000-07-13,23.94,23.94,23.81,23.88,8.21005549362,108400,0.0,1.0
2000-07-14,23.81,23.88,23.5,23.69,8.14473260653,110100,0.0,1.0
2000-07-17,23.63,23.75,23.5,23.75,8.16536088666,80600,0.0,1.0
2000-07-18,23.81,23.81,23.63,23.75,8.16536088666,55800,0.0,1.0
2000-07-19,23.75,23.75,23.5,23.5,8.07940971943,99700,0.0,1.0
2000-07-20,23.5,23.56,23.44,23.5,8.07940971943,152900,0.0,1.0
2000-07-21,23.5,23.63,23.0,23.56,8.10003799957,654200,0.0,1.0
2000-07-24,23.69,23.75,23.63,23.75,8.16536088666,191100,0.0,1.0
2000-07-25,23.75,23.75,23.69,23.69,8.14473260653,123000,0.0,1.0
2000-07-26,23.63,23.75,23.5,23.75,8.16536088666,220300,0.0,1.0
2000-07-27,23.75,24.0,23.75,24.0,8.25131205389,410800,0.0,1.0
2000-07-28,24.0,24.0,23.75,23.88,8.21005549362,791800,0.0,1.0
2000-07-31,23.88,24.0,23.81,23.88,8.21005549362,225600,0.0,1.0
2000-08-01,23.94,24.0,23.88,24.0,8.25131205389,320800,0.0,1.0
2000-08-02,24.0,24.19,23.94,24.0,8.25131205389,361100,0.0,1.0
2000-08-03,23.94,24.0,23.88,24.0,8.25131205389,168200,0.0,1.0
2000-08-04,24.0,24.0,23.75,23.88,8.21005549362,183100,0.0,1.0
2000-08-07,23.94,23.94,23.75,23.81,8.1859891668,165600,0.0,1.0
2000-08-08,23.75,23.94,23.75,23.88,8.21005549362,47900,0.0,1.0
2000-08-09,23.88,23.94,23.75,23.81,8.1859891668,101700,0.0,1.0
2000-08-10,23.88,24.0,23.88,24.0,8.25131205389,147300,0.0,1.0
2000-08-11,24.0,24.19,23.94,24.13,8.29600666085,88100,0.0,1.0
2000-08-14,24.13,24.25,24.06,24.25,8.33726322112,154100,0.0,1.0
2000-08-15,24.25,24.31,24.13,24.25,8.33726322112,242000,0.0,1.0
2000-08-16,24.31,24.31,24.13,24.19,8.31663494098,353600,0.0,1.0
2000-08-17,24.38,24.38,24.25,24.31,8.35789150125,164100,0.0,1.0
2000-08-18,24.19,24.31,24.19,24.25,8.33726322112,87000,0.0,1.0
2000-08-21,24.31,24.44,24.25,24.31,8.35789150125,154900,0.0,1.0
2000-08-22,24.31,24.38,24.25,24.25,8.33726322112,125500,0.0,1.0
2000-08-23,24.31,24.38,24.31,24.38,8.38195782808,56800,0.0,1.0
2000-08-24,24.25,24.38,24.19,24.19,8.31663494098,374300,0.0,1.0
2000-08-25,24.25,24.44,24.19,24.44,8.40258610821,417400,0.0,1.0
2000-08-28,24.44,24.44,24.25,24.25,8.33726322112,73500,0.0,1.0
2000-08-29,24.25,24.31,24.19,24.31,8.35789150125,267600,0.0,1.0
2000-08-30,24.31,24.38,24.19,24.38,8.38195782808,235200,0.0,1.0
2000-08-31,24.31,24.38,24.13,24.19,8.31663494098,297800,0.0,1.0
2000-09-01,24.25,24.38,24.06,24.25,8.33726322112,168000,0.0,1.0
2000-09-05,24.25,24.25,24.19,24.25,8.33726322112,181700,0.0,1.0
2000-09-06,24.25,24.38,24.19,24.31,8.35789150125,184000,0.0,1.0
2000-09-07,24.38,24.38,24.31,24.38,8.38195782808,59000,0.0,1.0
2000-09-08,24.38,24.38,24.19,24.38,8.38195782808,180800,0.0,1.0
2000-09-11,24.38,24.75,24.38,24.75,8.50916555557,228900,0.0,1.0
2000-09-12,24.75,25.0,24.75,24.88,8.55386016253,185700,0.0,1.0
2000-09-13,24.94,24.94,24.88,24.94,8.57448844267,46900,0.0,1.0
2000-09-14,24.94,25.0,24.81,24.94,8.57448844267,77700,0.0,1.0
2000-09-15,24.88,24.94,24.88,24.91,8.5641743026,35100,0.0,1.0
2000-09-18,24.81,24.94,24.56,24.75,8.50916555557,104800,0.0,1.0
2000-09-19,24.63,24.81,24.38,24.5,8.42321438835,299100,0.0,1.0
2000-09-20,24.5,24.69,24.38,24.38,8.38195782808,38200,0.0,1.0
2000-09-21,24.25,24.56,24.13,24.5,8.42321438835,90800,0.0,1.0
2000-09-22,24.44,24.44,24.13,24.38,8.38195782808,85400,0.0,1.0
2000-09-25,24.44,24.56,24.25,24.5,8.42321438835,171200,0.0,1.0
2000-09-26,24.38,24.5,24.13,24.31,8.35789150125,160100,0.0,1.0
2000-09-27,24.31,24.5,24.31,24.44,8.40258610821,117700,0.0,1.0
