dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,59.44,60.06,59.13,59.88,31.4540244172,678700,0.0,1.0
1999-11-02,60.06,61.31,59.56,59.81,31.4172545155,860000,0.0,1.0
1999-11-03,59.94,59.94,58.31,58.5,30.7291320709,734600,0.0,1.0
1999-11-04,58.63,60.06,58.56,59.81,31.4172545155,565200,0.0,1.0
1999-11-05,60.25,61.94,60.25,61.0,32.0423428431,1090500,0.0,1.0
1999-11-08,60.88,62.0,60.63,62.0,32.567627152,867000,0.0,1.0
1999-11-09,62.0,62.0,59.5,59.88,31.4540244172,577100,0.0,1.0
1999-11-10,59.5,59.5,58.38,58.38,30.6660979538,652700,0.0,1.0
1999-11-11,58.38,58.75,57.81,58.13,30.5347768766,724600,0.0,1.0
1999-11-12,58.38,60.69,58.38,60.69,31.8795047074,573700,0.0,1.0
1999-11-15,60.31,60.69,60.13,60.63,31.8479876489,376900,0.0,1.0
1999-11-16,60.5,61.19,60.38,61.0,32.0423428431,825400,0.0,1.0
1999-11-17,60.75,60.81,59.38,59.63,31.3227033399,538600,0.0,1.0
1999-11-18,59.63,60.0,59.31,59.44,31.2228993213,853500,0.0,1.0
1999-11-19,59.38,59.5,59.06,59.38,31.1913822627,618200,0.0,1.0
1999-11-22,59.0,59.06,58.06,58.13,30.5347768766,573100,0.0,1.0
1999-11-23,58.13,58.25,56.94,57.13,30.0094925677,419300,0.0,1.0
1999-11-24,56.5,56.94,56.06,56.13,29.4842082588,304600,0.0,1.0
1999-11-26,56.13,56.81,56.06,56.5,29.6785634531,152000,0.0,1.0
1999-11-29,56.56,56.56,54.5,54.5,28.6279948353,432100,0.0,1.0
1999-11-30,54.0,56.56,53.94,55.75,29.2846002214,772700,0.0,1.0
1999-12-01,55.0,55.63,54.88,55.63,29.2215661043,636700,0.0,1.0
1999-12-02,55.44,55.63,54.5,54.75,28.7593159125,364900,0.0,1.0
1999-12-03,55.25,56.5,54.63,55.19,28.9904410084,2999300,0.0,1.0
1999-12-06,55.0,55.0,50.5,51.06,26.8210168126,2164400,0.0,1.0
1999-12-07,49.5,49.88,46.25,48.0,25.2136468274,2476300,0.0,1.0
1999-12-08,47.5,48.88,47.31,47.5,24.9510046729,979500,0.0,1.0
1999-12-09,47.5,48.63,47.38,48.13,25.2819337876,1022600,0.0,1.0
1999-12-10,48.5,49.31,47.75,47.75,25.0823257502,1339800,0.0,1.0
1999-12-13,47.63,48.13,47.25,47.75,25.0823257502,1035700,0.0,1.0
1999-12-14,47.94,48.0,46.69,46.94,24.65684546,806500,0.0,1.0
1999-12-15,47.13,47.31,45.69,45.69,24.0002400738,1143800,0.0,1.0
1999-12-16,45.88,46.13,43.0,43.0,22.5872252829,2385400,0.0,1.0
1999-12-17,43.13,43.13,43.13,43.13,22.655512243,2326500,0.0,1.0
1999-12-20,43.38,44.25,43.25,43.81,23.0127055731,1446400,0.0,1.0
1999-12-21,43.94,44.75,43.38,43.88,23.0494754747,2016600,0.0,1.0
1999-12-22,43.88,44.38,43.69,43.75,22.9811885146,976200,0.0,1.0
1999-12-23,43.88,44.63,43.88,44.06,23.1440266503,1031400,0.0,1.0
1999-12-27,44.31,44.81,43.81,44.06,23.1440266503,1240400,0.0,1.0
1999-12-28,44.0,44.69,44.0,44.19,23.2123136105,1053200,0.0,1.0
