dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,37.38,37.38,36.0,36.5,8.36599876426,513200,0.0,1.0
1999-11-02,36.5,37.75,36.5,37.44,8.58145188312,394600,0.0,1.0
1999-11-03,37.69,38.0,37.25,37.5,8.59520420986,175000,0.0,1.0
1999-11-04,37.5,38.38,37.5,37.88,8.68230227918,194000,0.0,1.0
1999-11-05,37.88,38.38,37.62,38.0,8.70980693266,279000,0.0,1.0
1999-11-08,37.75,37.94,37.5,37.75,8.65250557126,168600,0.0,1.0
1999-11-09,37.81,38.56,37.81,38.31,8.78086062079,522600,0.0,1.0
1999-11-10,38.19,38.19,37.56,37.88,8.68230227918,190600,0.0,1.0
1999-11-11,37.81,38.25,37.62,38.06,8.72355925939,177200,0.0,1.0
1999-11-12,37.25,39.25,36.94,38.06,8.72355925939,295000,0.0,1.0
1999-11-15,37.94,38.5,37.31,38.25,8.76710829406,219600,0.0,1.0
1999-11-16,38.12,39.62,38.12,39.31,9.01006606639,252400,0.0,1.0
1999-11-17,38.62,39.25,38.5,39.0,8.93901237825,132400,0.0,1.0
1999-11-18,39.0,39.0,37.88,38.69,8.86795869012,199000,0.0,1.0
1999-11-19,38.5,38.5,36.69,37.0,8.48060148706,296400,0.0,1.0
1999-11-22,37.0,38.38,37.0,37.88,8.68230227918,498200,0.0,1.0
1999-11-23,37.88,37.94,36.75,37.0,8.48060148706,336600,0.0,1.0
1999-11-24,36.81,36.88,35.25,36.69,8.40954779893,238400,0.0,1.0
1999-11-26,36.56,37.06,36.56,37.06,8.4943538138,68400,0.0,1.0
1999-11-29,37.25,37.25,35.88,35.88,8.22389138799,131200,0.0,1.0
1999-11-30,36.38,37.44,36.31,37.12,8.50810614053,247200,0.0,1.0
1999-12-01,37.25,37.44,36.81,37.25,8.53790284846,213800,0.0,1.0
1999-12-02,37.12,37.88,36.75,37.88,8.68230227918,171000,0.0,1.0
1999-12-03,37.75,37.81,36.56,36.81,8.4370524524,470200,0.0,1.0
1999-12-06,37.0,37.06,36.12,36.19,8.29494507613,132200,0.0,1.0
1999-12-07,36.62,37.0,35.12,35.69,8.18034235333,178200,0.0,1.0
1999-12-08,35.69,36.12,35.31,35.94,8.23764371473,385000,0.0,1.0
1999-12-09,36.19,36.44,35.62,36.0,8.25139604146,196400,0.0,1.0
1999-12-10,35.75,35.75,35.0,35.5,8.13679331867,194000,0.0,1.0
1999-12-13,35.25,35.56,34.62,34.94,8.00843826913,404200,0.0,1.0
1999-12-14,34.94,35.25,34.38,34.38,7.8800832196,396200,0.0,1.0
1999-12-15,34.62,35.38,34.38,34.38,7.8800832196,1479000,0.0,1.0
1999-12-16,34.62,36.0,34.38,35.81,8.2078470068,389600,0.0,1.0
1999-12-17,36.0,36.0,34.0,34.0,7.79298515027,353400,0.0,1.0
1999-12-20,34.25,34.5,32.62,32.94,7.55002737794,770800,0.0,1.0
1999-12-21,33.12,33.75,31.75,32.44,7.43542465514,870800,0.0,1.0
1999-12-22,32.69,33.75,32.56,32.88,7.5362750512,581800,0.0,1.0
1999-12-23,33.0,36.25,33.0,34.69,7.95113690773,519600,0.0,1.0
1999-12-27,34.94,35.19,33.44,33.69,7.72193146214,217800,0.0,1.0
1999-12-28,33.25,36.25,33.25,35.56,8.1505456454,423800,0.0,1.0
1999-12-29,35.56,37.0,35.06,37.0,8.48060148706,359400,0.0,1.0
1999-12-30,36.75,37.81,36.75,37.0,8.48060148706,381800,0.0,1.0
1999-12-31,36.75,38.62,36.75,38.5,8.82440965545,242600,0.0,1.0
2000-01-03,38.5,38.5,34.75,36.19,8.29494507613,367000,0.0,1.0
2000-01-04,36.38,36.38,34.88,35.62,8.16429797214,175200,0.0,1.0
2000-01-05,35.62,36.5,35.12,36.19,8.29494507613,213800,0.0,1.0
2000-01-06,35.94,36.12,35.31,36.0,8.25139604146,511800,0.0,1.0
2000-01-07,36.25,37.75,35.94,37.44,8.58145188312,339800,0.0,1.0
2000-01-10,38.12,38.12,36.25,36.38,8.33849411079,297400,0.0,1.0
2000-01-11,36.56,36.75,35.94,36.0,8.25139604146,238600,0.0,1.0
2000-01-12,36.19,36.88,35.69,36.0,8.25139604146,187400,0.0,1.0
2000-01-13,36.0,36.19,35.56,35.88,8.22389138799,272600,0.0,1.0
2000-01-14,36.0,36.19,35.0,35.44,8.12304099193,330600,0.0,1.0
2000-01-18,35.31,35.5,34.62,34.88,7.9946859424,247000,0.0,1.0
2000-01-19,34.94,35.25,34.69,34.88,7.9946859424,162400,0.0,1.0
2000-01-20,34.88,35.25,33.94,34.25,7.85028651167,189800,0.0,1.0
2000-01-21,34.75,34.88,34.06,34.56,7.92134019981,183200,0.0,1.0
2000-01-24,34.31,34.5,32.56,33.0,7.56377970468,476800,0.0,1.0
2000-01-25,33.5,33.5,31.25,31.94,7.32082193234,716800,0.0,1.0
2000-01-26,32.12,32.5,31.56,31.81,7.30936166006,289400,0.08,1.0
2000-01-27,32.06,33.62,31.88,32.88,7.55522827359,661400,0.0,1.0
2000-01-28,32.88,33.12,32.12,32.75,7.52535662896,260000,0.0,1.0
2000-01-31,33.0,34.25,32.25,33.5,7.69769304031,657200,0.0,1.0
2000-02-01,33.75,34.25,33.25,33.69,7.74135159785,342600,0.0,1.0
2000-02-02,34.25,35.5,34.25,34.31,7.88381636456,732200,0.0,1.0
2000-02-03,34.12,34.88,33.81,34.44,7.9136880092,589200,0.0,1.0
2000-02-04,34.38,34.88,34.38,34.56,7.94126183501,271200,0.0,1.0
2000-02-07,35.12,37.38,34.75,36.69,8.43069724325,774800,0.0,1.0
2000-02-08,36.94,38.0,35.62,36.0,8.27214774481,526800,0.0,1.0
2000-02-09,36.0,36.38,35.25,36.06,8.28593465771,396000,0.0,1.0
2000-02-10,35.94,36.0,35.31,35.88,8.24457391899,414800,0.0,1.0
2000-02-11,36.25,36.25,34.38,34.38,7.89990109629,154200,0.0,1.0
2000-02-14,34.75,35.94,34.62,35.88,8.24457391899,376400,0.0,1.0
2000-02-15,35.62,36.25,34.94,35.62,8.18483062972,595000,0.0,1.0
2000-02-16,35.69,36.69,35.69,36.12,8.29972157062,388400,0.0,1.0
2000-02-17,36.25,36.44,35.5,35.5,8.15725680391,239600,0.0,1.0
2000-02-18,35.38,36.25,35.31,35.94,8.2583608319,278600,0.0,1.0
2000-02-22,37.44,37.62,36.31,36.62,8.41461251152,390600,0.0,1.0
2000-02-23,36.5,36.75,35.75,36.75,8.44448415616,260200,0.0,1.0
2000-02-24,36.56,36.56,34.06,34.62,7.95504874792,433600,0.0,1.0
2000-02-25,34.62,34.94,33.88,34.44,7.9136880092,258800,0.0,1.0
