dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,36.94,36.94,36.56,36.69,14.0472868127,237500,0.0,1.0
1999-11-02,36.81,37.38,36.75,36.94,14.1430028581,70100,0.0,1.0
1999-11-03,36.88,36.88,36.44,36.63,14.0243149618,147600,0.0,1.0
1999-11-04,36.63,36.94,35.94,36.06,13.8060823785,88000,0.0,1.0
1999-11-05,36.5,36.63,35.88,36.13,13.8328828712,814000,0.0,1.0
1999-11-08,36.13,36.38,35.63,35.94,13.7601386767,196400,0.0,1.0
1999-11-09,35.88,36.06,35.25,35.5,13.591678437,110800,0.0,1.0
1999-11-10,35.5,35.5,34.5,34.69,13.2815584501,190100,0.0,1.0
1999-11-11,34.81,35.13,34.63,34.94,13.3772744954,92100,0.0,1.0
1999-11-12,35.0,35.13,34.75,34.94,13.3772744954,130700,0.0,1.0
1999-11-15,34.81,34.94,34.5,34.94,13.3772744954,102000,0.0,1.0
1999-11-16,35.06,35.19,34.5,34.88,13.3543026445,753900,0.0,1.0
1999-11-17,34.69,34.81,34.5,34.69,13.2815584501,111800,0.0,1.0
1999-11-18,34.5,34.75,34.0,34.0,13.017382165,166600,0.0,1.0
1999-11-19,33.81,34.25,33.75,33.94,12.9944103141,104400,0.0,1.0
1999-11-22,33.69,33.81,33.0,33.19,12.7072621781,82000,0.0,1.0
1999-11-23,33.19,33.19,32.69,32.69,12.5158300874,132100,0.0,1.0
1999-11-24,32.88,32.88,32.38,32.44,12.4201140421,272800,0.0,1.0
1999-11-26,32.25,32.56,32.25,32.31,12.3703416985,36500,0.0,1.0
1999-11-29,32.19,32.19,30.75,31.56,12.0831935625,362100,0.0,1.0
1999-11-30,31.75,33.19,31.75,33.19,12.7072621781,346700,0.0,1.0
1999-12-01,32.94,33.44,32.63,33.31,12.7532058799,338500,0.0,1.0
1999-12-02,33.13,33.44,33.0,33.38,12.7800063725,187400,0.0,1.0
1999-12-03,33.0,34.0,33.0,33.63,12.8757224179,623400,0.0,1.0
1999-12-06,33.56,33.88,33.5,33.63,12.8757224179,467000,0.0,1.0
1999-12-07,33.56,33.75,33.44,33.44,12.8029782234,291500,0.0,1.0
1999-12-08,33.63,33.63,32.88,33.13,12.6842903272,343800,0.0,1.0
1999-12-09,33.13,33.25,32.56,32.56,12.4660577439,276200,0.0,1.0
1999-12-10,32.63,32.69,32.13,32.25,12.3473698477,197900,0.0,1.0
1999-12-13,32.0,32.0,30.75,30.75,11.7730735757,1419000,0.0,1.0
1999-12-14,30.81,31.25,30.69,30.94,11.8458177701,526500,0.0,1.0
1999-12-15,31.06,31.31,30.88,31.25,11.9645056663,400100,0.0,1.0
1999-12-16,31.0,31.19,30.88,31.06,11.8917614719,156700,0.0,1.0
1999-12-17,30.94,31.62,30.81,31.0,11.868789621,360000,0.0,1.0
1999-12-20,31.13,31.13,30.88,31.0,11.868789621,103200,0.0,1.0
1999-12-21,31.0,31.56,30.94,31.44,12.0372498608,419500,0.0,1.0
1999-12-22,31.19,31.25,30.88,30.94,11.8458177701,284900,0.0,1.0
1999-12-23,30.94,31.5,30.94,31.44,12.0372498608,166200,0.0,1.0
1999-12-27,31.31,31.63,31.13,31.13,11.9185619646,169700,0.0,1.0
1999-12-28,31.13,31.25,30.63,30.69,11.7501017248,352500,0.0,1.0
1999-12-29,30.81,30.81,30.31,30.44,11.6543856795,255000,0.0,1.0
1999-12-30,30.25,30.81,30.19,30.75,11.7730735757,191400,0.0,1.0
1999-12-31,30.75,30.75,30.5,30.56,11.7003293812,84800,0.0,1.0
2000-01-03,30.31,30.31,29.5,29.75,11.3902093943,246300,0.0,1.0
2000-01-04,29.56,30.13,29.56,30.13,11.5356977833,347800,0.0,1.0
2000-01-05,29.88,31.25,29.88,30.94,11.8458177701,453000,0.0,1.0
2000-01-06,30.81,31.19,30.81,31.13,11.9185619646,139300,0.0,1.0
2000-01-07,31.13,32.06,30.88,32.0,12.2516538023,303300,0.0,1.0
2000-01-10,31.75,31.88,31.38,31.56,12.0831935625,178800,0.0,1.0
2000-01-11,31.56,31.69,30.88,31.25,11.9645056663,150800,0.0,1.0
2000-01-12,31.13,32.0,31.06,31.75,12.155937757,143500,0.0,1.0
2000-01-13,31.75,31.75,30.81,31.06,11.8917614719,1107400,0.0,1.0
2000-01-14,31.0,31.0,30.63,30.88,11.8228459192,204300,0.0,1.0
2000-01-18,30.88,31.0,30.0,30.13,11.5356977833,348600,0.0,1.0
2000-01-19,29.69,31.06,29.69,31.06,11.8917614719,208500,0.0,1.0
2000-01-20,31.19,31.5,30.31,30.38,11.6314138286,326300,0.0,1.0
2000-01-21,30.94,31.13,30.5,30.88,11.8228459192,233400,0.0,1.0
2000-01-24,30.88,32.06,30.69,31.69,12.1329659061,520000,0.0,1.0
2000-01-25,31.94,32.31,30.06,30.31,11.6046133359,519900,0.0,1.0
2000-01-26,30.5,31.25,30.25,30.88,11.8228459192,308700,0.0,1.0
2000-01-27,31.13,31.88,31.0,31.63,12.1099940552,841900,0.0,1.0
2000-01-28,30.88,30.94,29.81,29.94,11.5969560523,1628400,0.35,1.0
2000-01-31,30.31,30.88,29.75,30.88,11.9610555409,585300,0.0,1.0
2000-02-01,30.75,31.0,30.56,31.0,12.0075363267,170600,0.0,1.0
2000-02-02,30.94,31.25,30.88,31.0,12.0075363267,169100,0.0,1.0
2000-02-03,31.13,31.94,31.13,31.69,12.2748008449,460800,0.0,1.0
2000-02-04,30.81,30.81,30.63,30.81,11.9339417492,202500,0.0,1.0
2000-02-07,30.81,30.88,30.56,30.63,11.8642205705,94800,0.0,1.0
2000-02-08,30.63,31.0,30.63,30.94,11.9842959338,228700,0.0,1.0
2000-02-09,30.81,31.63,30.13,30.81,11.9339417492,382300,0.0,1.0
2000-02-10,30.94,31.19,30.0,30.44,11.790625993,802100,0.0,1.0
2000-02-11,30.44,30.56,30.06,30.44,11.790625993,160800,0.0,1.0
2000-02-14,30.5,30.5,30.31,30.38,11.7673856001,342600,0.0,1.0
2000-02-15,30.38,30.5,30.0,30.31,11.7402718084,104900,0.0,1.0
2000-02-16,30.19,30.25,29.44,30.0,11.6201964452,251100,0.0,1.0
2000-02-17,30.0,30.06,29.38,29.63,11.476880689,236700,0.0,1.0
2000-02-18,29.5,29.56,28.25,28.88,11.1863757779,284400,0.0,1.0
2000-02-22,29.13,29.38,28.81,28.94,11.2096161708,262700,0.0,1.0
2000-02-23,28.81,28.81,27.88,28.25,10.9423516525,185800,0.0,1.0
2000-02-24,28.25,28.25,26.81,27.38,10.6053659556,135700,0.0,1.0
2000-02-25,27.0,27.06,26.25,26.25,10.1676718895,252100,0.0,1.0
2000-02-28,26.5,27.88,26.38,27.69,10.7254413189,243900,0.0,1.0
2000-02-29,27.5,27.88,27.31,27.5,10.6518467414,224500,0.0,1.0
2000-03-01,27.63,27.94,27.25,27.38,10.6053659556,679300,0.0,1.0
2000-03-02,27.5,27.63,27.38,27.44,10.6286063485,317200,0.0,1.0
2000-03-03,27.44,27.75,27.25,27.38,10.6053659556,356400,0.0,1.0
2000-03-06,27.25,27.25,25.88,26.13,10.1211911037,303400,0.0,1.0
2000-03-07,26.06,26.75,26.0,26.44,10.241266467,339900,0.0,1.0
2000-03-08,26.56,27.19,26.38,26.5,10.2645068599,328000,0.0,1.0
2000-03-09,26.5,27.0,26.25,26.94,10.4349364077,176000,0.0,1.0
2000-03-10,27.19,27.19,26.0,26.19,10.1444314966,936500,0.0,1.0
2000-03-13,26.06,26.25,25.69,25.94,10.0475965262,136700,0.0,1.0
2000-03-14,25.94,26.38,25.69,26.06,10.094077312,187600,0.0,1.0
2000-03-15,26.0,28.69,26.0,28.56,11.0624270158,696500,0.0,1.0
2000-03-16,28.44,29.94,28.19,29.63,11.476880689,583700,0.0,1.0
2000-03-17,29.63,29.63,28.63,28.75,11.1360215933,258600,0.0,1.0
2000-03-20,28.88,28.88,28.19,28.38,10.9927058371,536000,0.0,1.0
2000-03-21,28.25,28.5,27.69,27.81,10.7719221047,375900,0.0,1.0
2000-03-22,27.75,27.75,26.56,26.69,10.3381014374,481700,0.0,1.0
2000-03-23,26.5,28.0,26.5,27.06,10.4814171935,1041700,0.0,1.0
2000-03-24,27.0,27.25,26.69,26.69,10.3381014374,634500,0.0,1.0
2000-03-27,26.88,27.31,26.75,26.81,10.3845822232,835000,0.0,1.0
2000-03-28,26.69,26.88,26.63,26.88,10.4116960149,295500,0.0,1.0
2000-03-29,26.75,27.56,26.75,27.5,10.6518467414,530200,0.0,1.0
2000-03-30,27.38,28.0,27.38,27.94,10.8222762893,335300,0.0,1.0
2000-03-31,27.81,28.19,27.56,28.19,10.9191112596,368600,0.0,1.0
2000-04-03,28.38,28.56,27.88,28.19,10.9191112596,204600,0.0,1.0
2000-04-04,28.38,29.0,27.88,28.63,11.0895408075,259600,0.0,1.0
2000-04-05,28.63,30.0,28.63,29.31,11.3529319269,380600,0.0,1.0
2000-04-06,29.5,29.5,28.88,29.06,11.2560969565,182300,0.0,1.0
2000-04-07,29.0,29.25,28.88,28.94,11.2096161708,178900,0.0,1.0
2000-04-10,28.75,29.63,28.63,29.5,11.4265265044,161100,0.0,1.0
2000-04-11,29.63,30.0,29.38,29.38,11.3800457186,263800,0.0,1.0
2000-04-12,29.63,30.75,29.63,30.19,11.6937910226,335800,0.0,1.0
2000-04-13,30.38,31.19,30.0,30.94,11.9842959338,264300,0.0,1.0
2000-04-14,30.81,31.63,30.06,30.25,11.7170314155,799200,0.0,1.0
2000-04-17,30.13,30.5,29.5,30.38,11.7673856001,468400,0.0,1.0
2000-04-18,30.13,30.81,29.88,29.88,11.5737156594,473400,0.0,1.0
2000-04-19,30.0,30.75,29.69,30.56,11.8371067788,1156700,0.0,1.0
2000-04-20,30.56,31.63,30.56,31.06,12.0307767195,298100,0.0,1.0
2000-04-24,30.88,33.13,30.88,32.81,12.7086215122,473100,0.0,1.0
2000-04-25,32.88,33.69,32.38,33.63,13.026240215,298600,0.0,1.0
2000-04-26,33.5,35.0,33.38,35.0,13.5568958527,250400,0.0,1.0
2000-04-27,34.5,34.5,33.13,33.5,13.1114549889,748700,0.35,1.0
2000-04-28,33.63,35.25,33.63,35.06,13.722018266,1058700,0.0,1.0
2000-05-01,35.0,35.5,34.81,35.13,13.7494153362,714500,0.0,1.0
2000-05-02,35.19,35.75,33.94,34.06,13.33063155,848100,0.0,1.0
2000-05-03,33.88,34.13,33.19,33.69,13.185818465,286100,0.0,1.0
2000-05-04,33.81,34.75,33.5,34.56,13.526324908,413000,0.0,1.0
2000-05-05,34.44,35.0,34.06,35.0,13.6985350631,502000,0.0,1.0
2000-05-08,34.88,36.5,34.88,36.5,14.2856151372,1187700,0.0,1.0
2000-05-09,36.88,36.88,35.56,36.69,14.3599786133,733600,0.0,1.0
2000-05-10,36.75,37.19,36.56,37.19,14.5556719713,292800,0.0,1.0
2000-05-11,37.06,38.0,37.06,37.75,14.7748485323,304600,0.0,1.0
