dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,22.5,22.63,22.38,22.56,3.41762899806,74667,0.0,1.0
1999-11-02,22.25,22.63,22.25,22.63,3.42823334336,45175,0.0,1.0
1999-11-03,22.63,22.75,22.25,22.5,3.40853955924,89067,0.0,1.0
1999-11-04,22.5,23.13,22.5,23.13,3.5039786669,20030,0.0,1.0
1999-11-05,23.0,23.25,23.0,23.19,3.51306810572,19852,0.0,1.0
1999-11-08,23.06,23.5,23.06,23.38,3.54185132867,10785,0.0,1.0
1999-11-09,23.13,23.38,23.13,23.31,3.53124698337,17620,0.0,1.0
1999-11-10,23.31,23.75,23.0,23.75,3.59790286809,41244,0.0,1.0
1999-11-11,23.25,26.5,23.25,25.94,3.92966738518,47230,0.0,1.0
1999-11-12,25.44,25.44,24.94,24.94,3.77817673811,4168,0.0,1.0
1999-11-15,24.94,24.94,23.38,23.38,3.54185132867,12563,0.0,1.0
1999-11-16,23.44,23.44,23.0,23.25,3.52215754455,36642,0.0,1.0
1999-11-17,23.0,23.25,22.88,22.88,3.46610600513,12385,0.0,1.0
1999-11-18,23.25,24.13,23.25,23.75,3.59790286809,6835,0.0,1.0
1999-11-19,24.19,24.19,23.13,23.19,3.51306810572,13353,0.0,1.0
1999-11-22,23.25,23.31,23.25,23.25,3.52215754455,7842,0.0,1.0
1999-11-23,23.5,24.31,23.25,23.38,3.54185132867,36030,0.0,1.0
1999-11-24,23.38,25.0,23.38,24.88,3.76908729928,25857,0.0,1.0
1999-11-26,25.0,25.0,24.19,24.25,3.67364819162,9778,0.0,1.0
1999-11-29,24.5,24.63,23.63,23.63,3.57972399044,7467,0.0,1.0
1999-11-30,24.13,24.13,23.25,23.63,3.57972399044,43753,0.0,1.0
1999-12-01,23.25,23.63,23.13,23.5,3.56003020632,14420,0.0,1.0
1999-12-02,23.14,23.52,23.13,23.5,3.56003020632,13985,0.0,1.0
1999-12-03,23.14,23.5,23.13,23.38,3.54185132867,10963,0.0,1.0
1999-12-06,23.5,23.5,23.27,23.44,3.55094076749,14953,0.0,1.0
1999-12-07,23.38,23.5,23.25,23.44,3.55094076749,11200,0.0,1.0
1999-12-08,23.38,25.0,23.38,24.5,3.71152085339,87052,0.0,1.0
1999-12-09,24.5,24.5,24.41,24.44,3.70243141457,3852,0.0,1.0
1999-12-10,24.63,24.63,24.25,24.31,3.68273763045,12385,0.0,1.0
1999-12-13,24.44,24.63,23.88,24.13,3.65546931397,70578,0.0,1.0
1999-12-14,24.13,24.25,23.88,23.88,3.61759665221,8553,0.0,1.0
1999-12-15,24.0,24.63,23.88,24.44,3.70243141457,286835,0.0,1.0
1999-12-16,24.5,25.0,24.31,24.81,3.75848295399,99852,0.0,1.0
1999-12-17,24.88,25.38,24.88,25.31,3.83422827753,75457,0.0,1.0
1999-12-20,24.67,25.13,24.63,24.81,3.75848295399,7585,0.0,1.0
1999-12-21,24.81,25.56,24.75,25.56,3.8721009393,11220,0.0,1.0
1999-12-22,25.5,25.5,25.25,25.44,3.85392206165,27042,0.0,1.0
1999-12-23,25.5,27.5,25.5,27.5,4.16599279463,87368,0.0,1.0
1999-12-27,27.75,29.13,27.5,28.13,4.26143190228,34252,0.0,1.0
1999-12-28,28.19,28.25,25.88,26.13,3.95845060813,174953,0.0,1.0
1999-12-29,26.06,26.31,25.94,26.31,3.9857189246,125867,0.0,1.0
1999-12-30,26.31,27.13,25.88,26.0,3.93875682401,72375,0.0,1.0
1999-12-31,25.75,26.0,25.5,25.94,3.92966738518,16435,0.0,1.0
2000-01-03,26.63,26.66,25.88,26.31,3.9857189246,65600,0.0,1.0
2000-01-04,26.0,26.31,25.75,25.81,3.90997360106,30657,0.0,1.0
2000-01-05,25.88,26.0,25.75,25.81,3.90997360106,32000,0.0,1.0
2000-01-06,25.81,25.94,24.0,24.63,3.73121463751,42390,0.0,1.0
2000-01-07,24.75,25.0,24.47,24.5,3.71152085339,64178,0.0,1.0
2000-01-10,24.38,25.13,24.38,24.63,3.73121463751,17244,0.0,1.0
2000-01-11,24.38,24.75,24.38,24.44,3.70243141457,129975,0.0,1.0
2000-01-12,24.44,24.5,23.63,23.63,3.57972399044,23052,0.0,1.0
2000-01-13,24.19,24.19,22.38,22.88,3.46610600513,50963,0.0,1.0
2000-01-14,22.63,24.25,22.63,24.25,3.67364819162,12978,0.0,1.0
2000-01-18,24.06,24.25,23.5,24.13,3.65546931397,9244,0.0,1.0
2000-01-19,24.0,24.0,23.56,23.63,3.57972399044,28800,0.0,1.0
2000-01-20,23.75,23.75,23.5,23.5,3.56003020632,57600,0.0,1.0
2000-01-21,23.09,23.5,23.0,23.5,3.56003020632,80790,0.0,1.0
2000-01-24,23.5,25.69,23.13,24.94,3.77817673811,19200,0.0,1.0
2000-01-25,24.88,25.19,24.75,24.81,3.75848295399,20267,0.0,1.0
2000-01-26,25.44,26.0,25.38,25.88,3.92057794636,58153,0.0,1.0
2000-01-27,26.0,27.63,26.0,26.38,3.9963232699,37452,0.0,1.0
2000-01-28,26.13,26.38,25.88,26.0,3.93875682401,20978,0.0,1.0
2000-01-31,25.88,26.0,25.75,25.94,3.92966738518,157985,0.0,1.0
2000-02-01,25.81,26.0,25.38,25.75,3.90088416224,193185,0.0,1.0
2000-02-02,25.81,26.13,25.63,26.0,3.93875682401,97600,0.0,1.0
2000-02-03,26.13,26.13,25.63,25.69,3.89179472342,13235,0.0,1.0
2000-02-04,26.19,26.75,26.19,26.75,4.05237480932,11753,0.0,1.0
2000-02-07,26.5,27.0,26.44,26.5,4.01450214755,20820,0.0,1.0
2000-02-08,27.0,28.25,26.84,27.5,4.16599279463,60978,0.0,1.0
2000-02-09,27.75,27.94,26.75,26.88,4.07206859344,71052,0.0,1.0
2000-02-10,27.25,27.25,26.75,26.81,4.06146424814,39368,0.0,1.0
2000-02-11,26.75,26.81,26.69,26.69,4.04328537049,37768,0.0,1.0
2000-02-14,26.63,26.69,26.5,26.5,4.01450214755,7230,0.0,1.0
2000-02-15,27.0,27.5,25.88,26.13,3.95845060813,71644,0.0,1.0
2000-02-16,26.06,26.06,24.38,24.5,3.71152085339,25067,0.0,1.0
2000-02-17,24.63,25.13,24.63,24.75,3.74939351516,60385,0.0,1.0
2000-02-18,25.06,25.06,24.44,24.56,3.72061029222,59457,0.0,1.0
2000-02-22,24.56,24.69,24.0,24.44,3.70243141457,21057,0.0,1.0
2000-02-23,24.38,24.63,24.38,24.63,3.73121463751,416830,0.0,1.0
2000-02-24,24.69,25.5,24.63,25.5,3.86301150047,41185,0.0,1.0
2000-02-25,25.75,25.75,25.44,25.5,3.86301150047,84820,0.0,1.0
2000-02-28,25.38,25.38,24.7,25.13,3.80695996105,33600,0.0,1.0
2000-02-29,25.13,25.13,24.63,24.81,3.75848295399,66785,0.0,1.0
2000-03-01,25.0,25.0,24.75,24.94,3.77817673811,12444,0.0,1.0
2000-03-02,26.0,26.25,25.13,26.0,3.93875682401,120435,0.0,1.0
2000-03-03,26.25,27.0,26.25,26.94,4.08115803226,82568,0.0,1.0
2000-03-06,26.94,27.19,26.88,27.0,4.09024747109,80375,0.0,1.0
2000-03-07,27.25,29.63,27.25,28.75,4.35535610347,45768,0.0,1.0
2000-03-08,29.31,29.38,27.88,28.63,4.33717722582,117175,0.0,1.0
2000-03-09,28.88,29.5,28.5,29.25,4.43110142701,59635,0.0,1.0
2000-03-10,29.38,30.0,29.13,29.25,4.43110142701,41620,0.0,1.0
2000-03-13,29.0,29.94,29.0,29.44,4.45988464996,23230,0.0,1.0
2000-03-14,29.5,30.25,29.0,29.13,4.41292254936,42667,0.0,1.0
2000-03-15,29.0,29.63,28.5,28.98,4.3901989523,68030,0.0,1.0
2000-03-16,28.63,29.75,28.63,29.13,4.41292254936,84978,0.0,1.0
2000-03-17,29.13,29.38,29.0,29.09,4.40686292348,18430,0.0,1.0
2000-03-20,29.06,29.13,29.0,29.13,4.41292254936,8257,0.0,1.0
2000-03-21,29.13,29.38,29.0,29.38,4.45079521113,18153,0.0,1.0
2000-03-22,29.5,30.25,29.5,30.03,4.54926413173,12978,0.0,1.0
2000-03-23,30.06,30.5,29.88,30.5,4.62046473586,6953,0.0,1.0
2000-03-24,30.25,30.25,29.56,29.94,4.53562997349,64553,0.0,1.0
2000-03-27,29.58,30.0,29.58,29.75,4.50684675055,34844,0.0,1.0
2000-03-28,30.56,30.56,29.75,29.75,4.50684675055,65778,0.0,1.0
2000-03-29,29.81,29.91,29.75,29.88,4.52654053467,12800,0.0,1.0
2000-03-30,29.77,30.0,29.56,29.69,4.49775731172,21867,0.0,1.0
2000-03-31,30.31,31.22,30.13,30.63,4.64015851998,38163,0.0,1.0
2000-04-03,30.38,31.25,28.25,28.25,4.27961077993,33244,0.0,1.0
2000-04-04,28.25,30.25,28.25,29.94,4.53562997349,44642,0.0,1.0
2000-04-05,29.56,30.88,29.38,29.94,4.53562997349,49067,0.0,1.0
2000-04-06,29.31,29.38,28.94,29.0,4.39322876524,33185,0.0,1.0
2000-04-07,29.44,29.75,28.0,28.25,4.27961077993,25600,0.0,1.0
2000-04-10,28.19,29.0,27.88,27.88,4.22355924051,22775,0.0,1.0
2000-04-11,28.13,29.25,27.88,29.0,4.39322876524,74568,0.0,1.0
2000-04-12,29.25,29.31,28.19,28.19,4.27052134111,13057,0.0,1.0
2000-04-13,30.19,31.38,29.63,30.13,4.56441319644,195753,0.0,1.0
2000-04-14,29.69,30.88,29.25,29.63,4.4886678729,59635,0.0,1.0
2000-04-17,29.0,31.5,28.5,29.19,4.42201198819,410844,0.0,1.0
2000-04-18,30.38,31.38,29.25,30.63,4.64015851998,311644,0.0,1.0
2000-04-19,30.63,31.25,30.38,30.38,4.60228585821,130430,0.0,1.0
2000-04-20,30.5,31.38,30.5,31.0,4.6962100594,26035,0.0,1.0
2000-04-24,31.13,33.13,30.56,32.75,4.96131869178,123990,0.0,1.0
2000-04-25,33.0,33.38,33.0,33.25,5.03706401532,156978,0.0,1.0
2000-04-26,33.5,34.13,33.38,33.88,5.13250312298,106390,0.0,1.0
2000-04-27,33.88,35.25,33.81,35.06,5.31126208653,78657,0.0,1.0
2000-04-28,34.88,37.25,34.88,36.81,5.57637071891,130844,0.0,1.0
2000-05-01,36.25,37.13,35.0,36.13,5.4733570789,90153,0.0,1.0
2000-05-02,36.0,36.44,35.63,35.69,5.40670119419,51575,0.0,1.0
2000-05-03,35.5,35.69,34.13,34.69,5.25521054711,106390,0.0,1.0
2000-05-04,34.25,35.06,34.25,35.06,5.31126208653,71467,0.0,1.0
2000-05-05,35.0,36.0,35.0,35.69,5.40670119419,80830,0.0,1.0
2000-05-08,35.38,36.0,35.38,35.69,5.40670119419,60444,0.0,1.0
2000-05-09,35.88,35.88,34.69,34.69,5.25521054711,37590,0.0,1.0
2000-05-10,34.88,34.88,33.81,34.05,5.15825653298,52168,0.0,1.0
2000-05-11,34.06,35.31,34.0,35.25,5.34004530947,134242,0.0,1.0
2000-05-12,35.5,36.75,35.38,36.75,5.56728128009,146035,0.0,1.0
2000-05-15,37.06,38.25,36.13,38.13,5.77633837306,114963,0.0,1.0
2000-05-16,38.38,39.25,38.0,38.0,5.75664458894,111467,0.0,1.0
2000-05-17,38.13,38.13,36.75,37.13,5.62484772598,57363,0.0,1.0
2000-05-18,37.13,38.25,36.88,37.0,5.60515394186,37985,0.0,1.0
2000-05-19,36.94,36.98,35.38,35.69,5.40670119419,98153,0.0,1.0
2000-05-22,35.48,35.48,34.25,34.88,5.28399377006,66844,0.0,1.0
2000-05-23,34.88,37.75,34.88,36.25,5.49153595655,112020,0.0,1.0
2000-05-24,36.31,36.31,34.5,35.0,5.30217264771,92267,0.0,1.0
2000-05-25,34.75,35.0,32.13,33.13,5.01888513767,99457,0.0,1.0
