dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,26.94,27.19,26.81,27.06,4.83221253344,168000,0.0,1.0
1999-11-02,27.06,27.56,26.75,27.0,4.82149809323,283600,0.0,1.0
1999-11-03,27.0,27.06,26.38,26.88,4.80006921282,287400,0.0,1.0
1999-11-04,26.81,26.81,26.25,26.63,4.75542571195,374600,0.0,1.0
1999-11-05,26.81,27.06,26.44,26.63,4.75542571195,114400,0.0,1.0
1999-11-08,26.63,26.63,26.31,26.44,4.7214966513,373100,0.0,1.0
1999-11-09,26.19,26.19,25.69,25.75,4.59828058892,171800,0.0,1.0
1999-11-10,25.63,26.0,25.5,25.56,4.56435152826,240200,0.0,1.0
1999-11-11,25.56,25.88,25.5,25.5,4.55363708805,284000,0.0,1.0
1999-11-12,25.75,25.88,25.5,25.56,4.56435152826,231300,0.0,1.0
1999-11-15,25.5,25.63,25.5,25.56,4.56435152826,134600,0.0,1.0
1999-11-16,25.56,25.69,25.25,25.56,4.56435152826,456700,0.0,1.0
1999-11-17,25.44,25.56,25.38,25.5,4.55363708805,147600,0.0,1.0
1999-11-18,25.38,25.56,24.75,25.06,4.47506452653,283400,0.0,1.0
1999-11-19,24.81,24.81,24.44,24.5,4.3750630846,594300,0.0,1.0
1999-11-22,24.5,24.63,24.19,24.19,4.31970514353,221000,0.0,1.0
1999-11-23,24.31,24.44,23.63,23.81,4.25184702222,237400,0.0,1.0
1999-11-24,23.75,24.0,23.56,23.81,4.25184702222,196800,0.0,1.0
1999-11-26,23.81,23.81,23.56,23.56,4.20720352135,48800,0.0,1.0
1999-11-29,23.13,23.13,22.13,22.38,3.99648619728,1821300,0.0,1.0
1999-11-30,22.69,23.19,22.44,23.06,4.11791651963,470500,0.0,1.0
1999-12-01,22.88,23.0,22.63,22.81,4.07327301876,260100,0.0,1.0
1999-12-02,22.88,23.19,22.81,22.94,4.09648763921,326600,0.0,1.0
1999-12-03,22.94,23.44,22.88,22.94,4.09648763921,270400,0.0,1.0
1999-12-06,22.75,23.06,22.44,22.63,4.04112969814,167400,0.0,1.0
1999-12-07,22.38,22.88,22.13,22.44,4.00720063749,278200,0.0,1.0
1999-12-08,22.19,22.25,21.5,21.5,3.8839845751,949700,0.25,1.0
1999-12-09,21.81,21.88,20.88,21.13,3.81714391032,467600,0.0,1.0
1999-12-10,21.13,21.56,20.94,20.94,3.78282032571,165400,0.0,1.0
1999-12-13,20.94,21.0,20.38,20.38,3.68165607631,391000,0.0,1.0
1999-12-14,20.44,20.94,20.44,20.69,3.73765771437,443300,0.0,1.0
1999-12-15,20.69,21.38,20.63,21.25,3.83882196377,919000,0.0,1.0
1999-12-16,21.19,21.94,21.13,21.44,3.87314554838,1317100,0.0,1.0
1999-12-17,21.5,22.25,21.25,22.19,4.0086333824,1371300,0.0,1.0
1999-12-20,22.06,22.5,22.0,22.0,3.97430979778,520500,0.0,1.0
1999-12-21,22.0,23.06,21.94,22.13,3.99779435568,568400,0.0,1.0
1999-12-22,22.19,22.63,22.0,22.0,3.97430979778,535600,0.0,1.0
1999-12-23,22.0,22.75,22.0,22.5,4.06463502046,178700,0.0,1.0
1999-12-27,22.75,23.06,22.63,22.94,4.14412121641,331500,0.0,1.0
1999-12-28,22.88,23.06,22.5,22.81,4.12063665852,334800,0.0,1.0
1999-12-29,22.63,22.63,22.31,22.56,4.07547404718,198700,0.0,1.0
1999-12-30,22.5,23.13,22.5,23.0,4.15496024313,192000,0.0,1.0
1999-12-31,22.88,22.94,22.75,22.88,4.13328218969,78800,0.0,1.0
2000-01-03,22.94,22.94,22.19,22.19,4.0086333824,774300,0.0,1.0
2000-01-04,22.31,23.25,22.31,22.75,4.1097976318,456400,0.0,1.0
2000-01-05,22.75,23.69,22.69,23.44,4.23444643909,425200,0.0,1.0
2000-01-06,23.38,23.5,22.75,22.94,4.14412121641,328200,0.0,1.0
2000-01-07,23.19,23.63,23.13,23.38,4.22360741237,235700,0.0,1.0
2000-01-10,23.31,23.81,23.06,23.13,4.17844480103,220000,0.0,1.0
2000-01-11,23.31,23.75,22.75,22.94,4.14412121641,324300,0.0,1.0
2000-01-12,22.88,23.31,22.88,23.06,4.16579926986,282400,0.0,1.0
2000-01-13,23.13,23.75,23.13,23.19,4.18928382775,310800,0.0,1.0
2000-01-14,23.38,23.56,23.0,23.06,4.16579926986,343800,0.0,1.0
2000-01-18,22.94,23.06,22.44,22.88,4.13328218969,378200,0.0,1.0
2000-01-19,22.88,23.25,22.81,23.0,4.15496024313,330800,0.0,1.0
2000-01-20,23.0,23.31,23.0,23.13,4.17844480103,248900,0.0,1.0
2000-01-21,23.56,24.0,23.38,23.63,4.26877002371,513500,0.0,1.0
2000-01-24,23.63,23.81,23.31,23.5,4.24528546581,528900,0.0,1.0
2000-01-25,23.38,23.56,22.69,22.81,4.12063665852,333800,0.0,1.0
2000-01-26,22.81,23.19,22.63,22.63,4.08811957835,459200,0.0,1.0
2000-01-27,22.88,23.56,22.88,23.19,4.18928382775,483900,0.0,1.0
