dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-12-17,29.95,29.95,29.4,29.45,17.2979368712,5110900,0.0,1.0
2001-12-18,29.5,29.95,29.39,29.95,17.5916200099,5167700,0.0,1.0
2001-12-19,29.85,30.19,29.62,30.15,17.7090932654,3693200,0.0,1.0
2001-12-20,30.25,30.98,30.12,30.17,17.7208405909,3914200,0.0,1.0
2001-12-21,30.4,30.99,30.25,30.99,18.2024809384,3429100,0.0,1.0
2001-12-24,30.75,31.49,30.75,31.45,18.4726694261,976900,0.0,1.0
2001-12-26,31.5,32.74,31.5,32.2,18.9131941342,2456300,0.0,1.0
2001-12-27,32.2,32.97,31.52,32.85,19.2949822145,4447500,0.0,1.0
2001-12-28,32.86,33.1,32.58,32.94,19.3478451795,4174800,0.0,1.0
2001-12-31,33.11,33.74,32.72,33.19,19.4946867488,5532800,0.0,1.0
2002-01-02,32.61,32.8,31.12,31.3,18.3845644845,5168900,0.0,1.0
2002-01-03,32.75,32.75,30.82,31.25,18.3551961706,2906500,0.0,1.0
2002-01-04,32.0,32.0,31.1,31.95,18.7663525648,3086000,0.0,1.0
2002-01-07,31.75,32.05,31.37,31.95,18.7663525648,2449300,0.0,1.0
2002-01-08,31.25,31.85,31.25,31.78,18.6665002976,1766500,0.0,1.0
2002-01-09,31.95,31.95,31.25,31.3,18.3845644845,1639100,0.0,1.0
2002-01-10,31.12,31.68,31.01,31.01,18.214228264,1689400,0.0,1.0
2002-01-11,31.01,31.15,30.75,30.9,18.1496179735,1966200,0.0,1.0
2002-01-14,30.75,30.75,29.53,30.05,17.6503566376,3160000,0.0,1.0
2002-01-15,30.4,31.12,29.92,30.78,18.0791340202,1962400,0.0,1.0
2002-01-16,30.58,31.15,30.45,30.68,18.0203973924,1881100,0.0,1.0
2002-01-17,30.88,31.0,30.3,30.52,17.926418788,1739800,0.0,1.0
2002-01-18,30.4,30.45,29.75,30.25,17.7678298931,1531400,0.0,1.0
2002-01-22,30.49,31.25,30.4,31.25,18.3551961706,2322700,0.0,1.0
2002-01-23,31.7,31.7,30.52,30.52,17.926418788,2460800,0.0,1.0
2002-01-24,30.6,30.67,30.0,30.25,17.7678298931,3064100,0.0,1.0
2002-01-25,30.0,30.5,29.9,30.43,17.8735558231,2373600,0.0,1.0
2002-01-28,31.04,31.04,30.55,30.93,18.1672389618,2450800,0.0,1.0
2002-01-29,30.0,30.89,30.0,30.39,17.850061172,2512800,0.0,1.0
2002-01-30,30.5,30.57,29.8,30.15,17.7090932654,3533700,0.0,1.0
2002-01-31,30.48,31.18,30.33,31.05,18.2377229151,3986900,0.0,1.0
2002-02-01,30.95,30.95,30.4,30.6,17.9734080902,3200100,0.0,1.0
2002-02-04,30.6,30.98,30.5,30.88,18.1378706479,3193400,0.0,1.0
2002-02-05,30.85,31.6,30.76,31.05,18.2377229151,2397200,0.0,1.0
2002-02-06,31.2,31.2,30.89,31.15,18.2964595428,2107700,0.0,1.0
2002-02-07,30.95,31.05,30.52,30.62,17.9851554158,1801500,0.0,1.0
2002-02-08,30.57,31.03,30.55,31.03,18.2259755895,1399300,0.0,1.0
2002-02-11,30.7,31.89,30.67,31.76,18.6547529721,1904300,0.0,1.0
2002-02-12,31.41,31.85,31.25,31.5,18.5020377399,2038700,0.0,1.0
2002-02-13,31.2,32.22,30.86,32.09,18.8485838436,3779900,0.0,1.0
2002-02-14,32.05,32.28,31.9,32.03,18.813341867,2200800,0.0,1.0
2002-02-15,31.93,31.93,31.03,31.5,18.5020377399,1649600,0.0,1.0
2002-02-19,31.0,31.1,30.0,30.26,17.7737035559,2983900,0.0,1.0
2002-02-20,30.73,30.73,30.1,30.65,18.0027764041,2283100,0.0,1.0
2002-02-21,30.45,30.87,30.45,30.84,18.1143759968,1929100,0.0,1.0
2002-02-22,30.55,30.65,30.0,30.24,17.7619562303,1655900,0.0,1.0
2002-02-25,30.25,30.32,30.07,30.28,17.7854508814,2355800,0.0,1.0
2002-02-26,30.38,30.69,30.33,30.5,17.9146714625,2309100,0.0,1.0
2002-02-27,30.6,30.61,30.3,30.35,17.8265665209,2937000,0.0,1.0
2002-02-28,30.35,30.75,30.35,30.57,17.9557871019,2012600,0.0,1.0
2002-03-01,30.69,30.89,30.4,30.85,18.1202496596,2189500,0.0,1.0
