dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,25.0,25.69,25.0,25.69,11.4857860261,180100,0.0,1.0
1999-11-04,25.75,26.0,25.63,25.63,11.4589605235,244700,0.0,1.0
1999-11-05,25.63,25.81,25.06,25.19,11.2622401712,101600,0.0,1.0
1999-11-08,24.88,25.06,24.63,24.69,11.0386943162,505200,0.0,1.0
1999-11-09,24.75,24.75,24.38,24.38,10.9000958862,130100,0.0,1.0
1999-11-10,23.69,24.19,23.69,23.88,10.6765500313,417700,0.0,1.0
1999-11-11,23.81,23.81,23.63,23.63,10.5647771038,747200,0.0,1.0
1999-11-12,23.63,23.69,23.13,23.31,10.4217077566,87100,0.0,1.0
1999-11-15,23.19,23.25,22.94,23.19,10.3680567515,266700,0.0,1.0
1999-11-16,23.19,23.88,23.19,23.75,10.618428109,240300,0.0,1.0
1999-11-17,23.63,23.69,23.31,23.5,10.5066551815,107700,0.0,1.0
1999-11-18,23.56,23.56,23.19,23.38,10.4530041763,201500,0.0,1.0
1999-11-19,23.0,24.13,23.0,24.13,10.7883229587,271500,0.0,1.0
1999-11-22,23.88,23.88,23.25,23.38,10.4530041763,125600,0.0,1.0
1999-11-23,23.31,23.38,23.13,23.31,10.4217077566,310500,0.0,1.0
1999-11-24,23.19,23.25,23.06,23.13,10.3412312489,104000,0.0,1.0
1999-11-26,23.06,23.19,23.06,23.13,10.3412312489,30700,0.0,1.0
1999-11-29,23.0,23.13,22.75,22.75,10.1713363991,225100,0.0,1.0
1999-11-30,22.56,22.94,22.5,22.81,10.1981619017,467600,0.0,1.0
1999-12-01,22.81,23.13,22.81,23.06,10.3099348292,235300,0.0,1.0
1999-12-02,22.94,23.06,22.75,22.75,10.1713363991,330700,0.0,1.0
1999-12-03,22.88,22.94,22.69,22.81,10.1981619017,152000,0.0,1.0
1999-12-06,22.56,22.75,22.5,22.5,10.0595634717,197500,0.0,1.0
1999-12-07,22.38,22.75,22.38,22.69,10.1445108965,224500,0.0,1.0
1999-12-08,22.56,22.63,22.44,22.44,10.0327379691,251200,0.0,1.0
1999-12-09,22.56,22.56,22.31,22.38,10.0059124665,247400,0.0,1.0
1999-12-10,22.19,22.31,22.0,22.0,9.83601761674,543800,0.0,1.0
1999-12-13,21.63,21.75,21.25,21.31,9.62588451311,620000,0.22,1.0
1999-12-14,21.38,21.44,21.19,21.19,9.57167962612,177600,0.0,1.0
1999-12-15,21.19,21.19,20.94,21.13,9.54457718263,328200,0.0,1.0
1999-12-16,21.0,21.38,20.81,21.25,9.59878206962,280800,0.0,1.0
1999-12-17,21.25,23.0,21.12,22.69,10.2492407134,348700,0.0,1.0
1999-12-20,22.56,22.94,22.5,22.75,10.2763431569,256800,0.0,1.0
1999-12-21,22.63,22.94,22.5,22.88,10.3350651178,300900,0.0,1.0
1999-12-22,22.75,22.94,22.5,22.5,10.163416309,386000,0.0,1.0
1999-12-23,22.5,22.56,22.5,22.5,10.163416309,322000,0.0,1.0
1999-12-27,22.38,22.56,22.38,22.5,10.163416309,133100,0.0,1.0
1999-12-28,22.44,22.75,22.38,22.63,10.2221382699,324200,0.0,1.0
1999-12-29,22.69,23.06,22.5,22.75,10.2763431569,118100,0.0,1.0
1999-12-30,22.69,23.06,22.56,22.75,10.2763431569,73100,0.0,1.0
1999-12-31,22.75,23.0,22.69,22.69,10.2492407134,165100,0.0,1.0
2000-01-03,22.69,22.94,22.69,22.75,10.2763431569,229000,0.0,1.0
2000-01-04,22.63,22.75,22.56,22.75,10.2763431569,138400,0.0,1.0
2000-01-05,22.69,22.94,22.69,22.81,10.3034456004,236300,0.0,1.0
2000-01-06,22.81,23.94,22.75,23.81,10.7551529919,285900,0.0,1.0
2000-01-07,23.88,24.13,23.88,24.13,10.8996993572,185300,0.0,1.0
2000-01-10,24.13,24.81,24.0,24.63,11.1255530529,163900,0.0,1.0
2000-01-11,24.5,24.63,24.31,24.38,11.012626205,146800,0.0,1.0
2000-01-12,24.19,24.56,24.19,24.44,11.0397286485,143500,0.0,1.0
2000-01-13,24.38,24.5,24.0,24.19,10.9268018007,210700,0.0,1.0
2000-01-14,24.25,24.38,24.0,24.13,10.8996993572,136000,0.0,1.0
2000-01-18,24.0,24.0,23.75,23.75,10.7280505484,145100,0.0,1.0
2000-01-19,23.75,23.75,23.38,23.56,10.642226144,127900,0.0,1.0
2000-01-20,23.38,23.56,23.25,23.38,10.5609188135,116300,0.0,1.0
2000-01-21,23.25,23.31,22.88,22.88,10.3350651178,164700,0.0,1.0
2000-01-24,22.81,23.25,22.81,23.0,10.3892700048,117200,0.0,1.0
2000-01-25,22.94,23.0,22.75,22.88,10.3350651178,275500,0.0,1.0
2000-01-26,22.75,23.13,22.75,23.13,10.4479919657,103200,0.0,1.0
2000-01-27,23.06,23.06,22.81,22.88,10.3350651178,119900,0.0,1.0
2000-01-28,22.94,22.94,22.56,22.63,10.2221382699,262300,0.0,1.0
2000-01-31,22.63,22.88,22.63,22.69,10.2492407134,153100,0.0,1.0
2000-02-01,22.69,23.13,22.69,23.06,10.4163724483,366400,0.0,1.0
2000-02-02,22.94,23.06,22.88,22.94,10.3621675613,98300,0.0,1.0
2000-02-03,22.94,23.0,22.75,22.88,10.3350651178,136100,0.0,1.0
2000-02-04,22.81,23.06,22.81,22.88,10.3350651178,136900,0.0,1.0
2000-02-07,22.75,22.81,22.56,22.63,10.2221382699,129100,0.0,1.0
2000-02-08,22.75,22.81,22.63,22.69,10.2492407134,86900,0.0,1.0
2000-02-09,22.75,22.81,22.63,22.69,10.2492407134,347200,0.0,1.0
2000-02-10,22.56,22.94,22.56,22.63,10.2221382699,100900,0.0,1.0
2000-02-11,22.63,22.69,22.44,22.5,10.163416309,116800,0.0,1.0
2000-02-14,22.5,22.63,22.44,22.5,10.163416309,186200,0.0,1.0
2000-02-15,22.5,22.63,22.5,22.63,10.2221382699,110500,0.0,1.0
2000-02-16,22.5,22.69,22.44,22.63,10.2221382699,92900,0.0,1.0
2000-02-17,22.44,22.94,22.38,22.94,10.3621675613,144000,0.0,1.0
2000-02-18,22.94,22.94,22.38,22.5,10.163416309,82900,0.0,1.0
2000-02-22,22.5,22.5,22.31,22.31,10.0775919046,170000,0.0,1.0
2000-02-23,22.31,22.44,22.13,22.19,10.0233870176,337700,0.0,1.0
2000-02-24,22.19,22.25,22.06,22.19,10.0233870176,254200,0.0,1.0
2000-02-25,22.19,22.19,21.94,22.0,9.93756261325,350900,0.0,1.0
2000-02-28,22.0,22.06,21.88,21.94,9.91046016976,364800,0.0,1.0
2000-02-29,21.94,22.06,21.88,22.06,9.96466505674,349200,0.0,1.0
2000-03-01,21.94,22.13,21.75,21.88,9.88335772627,182200,0.0,1.0
2000-03-02,21.81,21.88,21.69,21.69,9.79753332188,117900,0.0,1.0
2000-03-03,21.69,22.0,21.69,21.88,9.88335772627,393600,0.0,1.0
2000-03-06,21.75,21.81,21.69,21.75,9.82463576537,144400,0.0,1.0
2000-03-07,21.63,21.75,21.5,21.56,9.73881136098,189700,0.0,1.0
2000-03-08,21.5,21.63,21.19,21.25,9.59878206962,206200,0.0,1.0
2000-03-09,21.19,21.31,21.0,21.19,9.57167962612,175300,0.0,1.0
2000-03-10,21.06,21.13,20.88,21.0,9.48585522174,235700,0.0,1.0
2000-03-13,20.94,21.19,20.94,21.13,9.64395280877,172300,0.22,1.0
2000-03-14,21.06,21.31,21.0,21.13,9.64395280877,336200,0.0,1.0
2000-03-15,21.06,21.31,21.0,21.19,9.67133743577,175200,0.0,1.0
2000-03-16,21.25,21.44,21.06,21.38,9.75805542127,613100,0.0,1.0
2000-03-17,21.44,21.69,21.44,21.56,9.84020930227,440300,0.0,1.0
2000-03-20,21.38,21.63,21.38,21.5,9.81282467527,138900,0.0,1.0
2000-03-21,21.5,21.88,21.44,21.63,9.87215803377,217500,0.0,1.0
2000-03-22,21.69,21.75,21.5,21.75,9.92692728777,175500,0.0,1.0
2000-03-23,21.56,21.94,21.56,21.56,9.84020930227,209600,0.0,1.0
2000-03-24,21.94,21.94,21.63,21.75,9.92692728777,99800,0.0,1.0
2000-03-27,21.75,21.94,21.44,21.5,9.81282467527,108300,0.0,1.0
2000-03-28,21.5,21.75,21.5,21.69,9.89954266077,134100,0.0,1.0
2000-03-29,21.69,21.75,21.56,21.75,9.92692728777,196100,0.0,1.0
2000-03-30,21.88,22.0,21.5,21.81,9.95431191477,216800,0.0,1.0
2000-03-31,21.56,21.75,21.0,21.0,9.58461945026,223000,0.0,1.0
2000-04-03,21.25,21.75,21.25,21.69,9.89954266077,227400,0.0,1.0
2000-04-04,21.69,21.81,21.56,21.75,9.92692728777,96700,0.0,1.0
2000-04-05,21.69,22.0,21.69,22.0,10.0410299003,170500,0.0,1.0
2000-04-06,22.06,22.31,22.0,22.25,10.1551325128,260300,0.0,1.0
2000-04-07,22.19,22.31,22.13,22.25,10.1551325128,473900,0.0,1.0
2000-04-10,22.19,22.44,22.19,22.31,10.1825171398,139500,0.0,1.0
2000-04-11,22.44,22.63,22.38,22.5,10.2692351253,263000,0.0,1.0
2000-04-12,22.63,22.88,22.5,22.56,10.2966197523,382000,0.0,1.0
2000-04-13,22.69,22.69,22.5,22.63,10.3285684838,195300,0.0,1.0
2000-04-14,22.63,22.69,22.38,22.5,10.2692351253,187900,0.0,1.0
2000-04-17,22.38,22.81,22.25,22.81,10.4107223648,185800,0.0,1.0
2000-04-18,22.69,22.75,22.5,22.63,10.3285684838,185000,0.0,1.0
2000-04-19,22.63,22.63,22.5,22.56,10.2966197523,236800,0.0,1.0
2000-04-20,22.5,22.56,22.38,22.38,10.2144658713,69500,0.0,1.0
2000-04-24,22.38,22.44,22.06,22.25,10.1551325128,476000,0.0,1.0
2000-04-25,22.25,22.25,22.0,22.06,10.0684145273,212700,0.0,1.0
2000-04-26,22.06,23.0,22.06,22.88,10.4426710963,390100,0.0,1.0
2000-04-27,22.63,22.69,22.44,22.5,10.2692351253,81200,0.0,1.0
2000-04-28,22.5,22.5,22.38,22.38,10.2144658713,205300,0.0,1.0
2000-05-01,22.5,22.94,22.38,22.94,10.4700557233,323700,0.0,1.0
2000-05-02,22.88,23.38,22.69,22.94,10.4700557233,1118700,0.0,1.0
2000-05-03,23.0,23.0,22.69,22.94,10.4700557233,354900,0.0,1.0
2000-05-04,22.94,22.94,22.75,22.88,10.4426710963,338300,0.0,1.0
2000-05-05,22.75,22.81,22.63,22.81,10.4107223648,178300,0.0,1.0
2000-05-08,22.63,22.69,22.31,22.44,10.2418504983,214200,0.0,1.0
2000-05-09,22.44,22.44,22.19,22.38,10.2144658713,350400,0.0,1.0
2000-05-10,22.31,22.38,22.06,22.19,10.1277478858,183500,0.0,1.0
2000-05-11,22.13,22.31,22.13,22.31,10.1825171398,124800,0.0,1.0
2000-05-12,22.25,22.31,22.13,22.19,10.1277478858,174000,0.0,1.0
2000-05-15,22.06,22.5,22.06,22.38,10.2144658713,97400,0.0,1.0
2000-05-16,22.38,22.5,22.38,22.44,10.2418504983,143600,0.0,1.0
2000-05-17,22.38,22.44,22.19,22.31,10.1825171398,174100,0.0,1.0
2000-05-18,22.25,22.44,22.13,22.38,10.2144658713,219200,0.0,1.0
2000-05-19,22.44,22.5,22.31,22.44,10.2418504983,152400,0.0,1.0
2000-05-22,22.44,22.56,22.31,22.31,10.1825171398,152600,0.0,1.0
2000-05-23,22.31,22.69,22.31,22.44,10.2418504983,246000,0.0,1.0
2000-05-24,22.38,22.75,22.25,22.38,10.2144658713,114200,0.0,1.0
2000-05-25,22.38,22.44,22.13,22.19,10.1277478858,103500,0.0,1.0
2000-05-26,22.13,22.44,22.06,22.38,10.2144658713,297400,0.0,1.0
2000-05-30,22.31,22.63,22.25,22.38,10.2144658713,112300,0.0,1.0
2000-05-31,22.38,22.5,22.13,22.31,10.1825171398,86800,0.0,1.0
2000-06-01,22.25,22.44,22.25,22.38,10.2144658713,130000,0.0,1.0
2000-06-02,22.31,23.06,22.31,23.0,10.4974403503,184900,0.0,1.0
2000-06-05,23.75,23.75,22.69,22.88,10.4426710963,150100,0.0,1.0
