dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2012-04-16,37.0,37.0,35.99,36.55,27.1619647759,550200,0.0,1.0
2012-04-17,36.4,36.75,36.0,36.0,26.7532347998,179600,0.0,1.0
2012-04-18,36.0,36.44,34.5,36.0,26.7532347998,207100,0.0,1.0
2012-04-19,36.0,37.22,35.8,36.0,26.7532347998,598100,0.0,1.0
2012-04-20,36.1,37.0,36.1,36.32,26.9910413314,149700,0.0,1.0
2012-04-23,36.24,36.24,35.42,35.68,26.5154282682,95700,0.0,1.0
2012-04-24,36.0,36.0,34.68,34.75,25.8243030359,124500,0.0,1.0
2012-04-25,34.8,35.5,34.5,34.75,25.8243030359,266200,0.0,1.0
2012-04-26,34.61,34.99,34.44,34.95,25.9729321181,183900,0.0,1.0
2012-04-27,35.25,35.25,33.97,34.11,25.3486899728,536000,0.0,1.0
2012-04-30,34.34,34.9,34.0,34.05,25.3041012481,4105700,0.0,1.0
2012-05-01,33.74,34.1,32.58,32.76,24.3454436678,6878600,0.0,1.0
2012-05-02,32.6,32.665,31.63,32.0,23.7806531554,11287600,0.0,1.0
2012-05-03,31.93,31.98,31.05,31.39,23.3273344546,11800000,0.0,1.0
2012-05-04,30.85,31.09,30.12,30.16,22.4132655989,10881000,0.0,1.0
2012-05-07,30.1,30.55,29.25,29.35,21.8113178159,12257200,0.0,1.0
2012-05-08,29.09,30.41,28.75,30.1,22.3686768743,14601300,0.0,1.0
2012-05-09,29.81,32.89,29.73,32.49,24.1447944068,13990000,0.0,1.0
2012-05-10,33.05,33.35,31.5199,32.48,24.1373629527,8862000,0.0,1.0
2012-05-11,31.73,32.15,31.4,31.83,23.6543184355,4460100,0.0,1.0
2012-05-14,31.19,31.58,30.765,31.32,23.2753142758,6398200,0.0,1.0
2012-05-15,31.35,32.32,31.06,31.67,23.5354151697,6362800,0.0,1.0
2012-05-16,31.46,32.39,31.25,32.1,23.8549676965,6118600,0.0,1.0
2012-05-17,31.89,32.0,31.2,31.26,23.2307255512,5850500,0.0,1.0
2012-05-18,31.43,31.685,30.99,31.38,23.3199030005,7940800,0.0,1.0
2012-05-21,31.23,32.34,30.95,32.19,23.9218507835,5480100,0.0,1.0
2012-05-22,31.88,32.27,31.33,31.63,23.5056893533,5415000,0.0,1.0
2012-05-23,31.35,31.49,30.88,31.41,23.3421973628,5268900,0.0,1.0
2012-05-24,31.42,31.44,30.75,31.13,23.1341166477,4210400,0.0,1.0
2012-05-25,31.01,31.41,30.83,31.3,23.2604513676,3217900,0.0,1.0
2012-05-29,31.28,31.72,30.86,31.01,23.0449391984,3979600,0.0,1.0
2012-05-30,30.79,30.83,30.175,30.44,22.6213463141,6000600,0.0,1.0
2012-05-31,30.26,30.35,29.72,30.03,22.3166566955,8098000,0.0,1.0
2012-06-01,29.5,30.17,29.38,29.92,22.2349107003,5701700,0.0,1.0
