dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,9.938,10.0,9.75,9.938,9.04976148348,75500,0.0,1.0
1999-11-04,9.875,10.5,9.813,10.5,9.56153105016,180000,0.0,1.0
1999-11-05,10.5,11.0,10.5,10.94,9.96220473227,643300,0.0,1.0
1999-11-08,11.0,11.5,10.63,10.63,9.67991191079,160600,0.0,1.0
1999-11-09,10.75,11.19,10.63,10.75,9.78918655136,127800,0.0,1.0
1999-11-10,10.69,10.81,9.75,10.0,9.10622004778,274200,0.0,1.0
1999-11-11,10.0,10.06,9.563,9.75,8.87856454658,148900,0.0,1.0
1999-11-12,9.875,10.06,9.5,10.06,9.16085736806,102700,0.0,1.0
1999-11-15,10.06,10.13,9.75,10.0,9.10622004778,89500,0.0,1.0
1999-11-16,10.31,10.31,10.13,10.19,9.27923822868,149300,0.0,1.0
1999-11-17,10.25,10.44,10.0,10.25,9.33387554897,284100,0.0,1.0
1999-11-18,10.38,10.38,10.06,10.25,9.33387554897,152700,0.0,1.0
1999-11-19,10.25,10.25,9.875,10.0,9.10622004778,89500,0.0,1.0
1999-11-22,10.0,10.13,9.75,9.875,8.99239229718,143500,0.0,1.0
1999-11-23,9.75,9.813,9.25,9.313,8.48062273049,99200,0.0,1.0
1999-11-24,9.25,9.313,9.0,9.313,8.48062273049,147600,0.0,1.0
1999-11-26,9.438,9.5,9.063,9.125,8.3094257936,51000,0.0,1.0
1999-11-29,9.25,9.25,8.5,8.625,7.85411479121,191100,0.0,1.0
1999-11-30,8.5,8.688,8.25,8.313,7.57000072572,187900,0.0,1.0
1999-12-01,8.438,8.5,8.063,8.375,7.62645929001,245200,0.0,1.0
1999-12-02,8.25,9.125,8.188,8.875,8.0817702924,198200,0.0,1.0
1999-12-03,9.0,9.188,8.938,9.125,8.3094257936,157100,0.0,1.0
1999-12-06,9.125,9.25,8.375,8.375,7.62645929001,257500,0.0,1.0
1999-12-07,8.438,8.438,8.0,8.125,7.39880378882,242700,0.0,1.0
1999-12-08,8.063,8.438,7.625,8.438,7.68382847631,153900,0.0,1.0
1999-12-09,8.438,8.438,7.813,7.813,7.11468972333,175600,0.0,1.0
1999-12-10,7.813,8.0,7.625,7.75,7.05732053703,194200,0.0,1.0
1999-12-13,8.0,8.25,7.813,8.063,7.34234522452,261900,0.0,1.0
1999-12-14,8.0,8.25,7.813,8.0,7.28497603822,372100,0.0,1.0
1999-12-15,8.0,8.438,8.0,8.438,7.68382847631,219000,0.0,1.0
1999-12-16,8.313,8.5,8.063,8.5,7.74028704061,187100,0.0,1.0
1999-12-17,8.44,9.38,8.12,9.38,8.54163440481,449000,0.0,1.0
1999-12-20,9.125,9.125,8.625,8.625,7.85411479121,137100,0.0,1.0
1999-12-21,8.688,8.688,7.938,8.125,7.39880378882,519900,0.0,1.0
1999-12-22,8.188,8.188,7.938,8.0,7.28497603822,155500,0.0,1.0
1999-12-23,7.875,8.063,7.813,7.938,7.22851747392,291900,0.0,1.0
1999-12-27,7.875,8.0,7.813,7.875,7.17114828762,339800,0.0,1.0
1999-12-28,7.875,8.125,7.813,7.938,7.22851747392,287200,0.0,1.0
1999-12-29,7.938,8.813,7.75,8.75,7.9679425418,486300,0.0,1.0
1999-12-30,8.75,8.813,8.25,8.563,7.79765622691,198900,0.0,1.0
1999-12-31,8.563,9.0,8.563,8.938,8.1391394787,201200,0.0,1.0
2000-01-03,8.563,8.563,8.313,8.438,7.68382847631,149600,0.0,1.0
2000-01-04,8.375,8.563,8.125,8.563,7.79765622691,140100,0.0,1.0
2000-01-05,8.625,8.75,8.125,8.563,7.79765622691,199900,0.0,1.0
2000-01-06,8.313,8.75,8.313,8.5,7.74028704061,216200,0.0,1.0
2000-01-07,8.563,8.813,8.5,8.75,7.9679425418,164900,0.0,1.0
2000-01-10,8.625,8.625,8.375,8.5,7.74028704061,107300,0.0,1.0
2000-01-11,8.375,8.688,8.313,8.625,7.85411479121,80900,0.0,1.0
2000-01-12,8.625,8.688,8.188,8.188,7.45617297512,186600,0.0,1.0
2000-01-13,8.438,8.438,8.313,8.438,7.68382847631,153100,0.0,1.0
2000-01-14,8.375,8.813,8.313,8.688,7.91148397751,391900,0.0,1.0
2000-01-18,8.938,9.313,8.688,9.313,8.48062273049,449100,0.0,1.0
2000-01-19,9.375,9.625,8.75,9.125,8.3094257936,490600,0.0,1.0
2000-01-20,9.0,9.0,8.688,9.0,8.195598043,279300,0.0,1.0
2000-01-21,9.0,9.438,9.0,9.438,8.59445048109,449000,0.0,1.0
2000-01-24,9.438,10.19,9.438,9.5,8.65090904539,390900,0.0,1.0
