dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,221.6,229.6,220.0,225.2,19.0234886268,4081000,0.0,1.0
1999-11-02,229.5,229.5,219.3,224.8,18.9896991266,4925000,0.0,1.0
1999-11-03,247.9,260.8,241.0,260.5,22.0054120217,14136300,0.0,1.0
1999-11-04,268.7,269.1,257.6,263.9,22.2926227736,6659400,0.0,1.0
1999-11-05,272.8,298.9,271.1,294.4,24.8690721658,11566800,0.0,1.0
1999-11-08,294.5,295.9,286.0,289.4,24.446703413,5972700,0.0,1.0
1999-11-09,301.0,306.0,290.3,299.8,25.3252304188,6097800,0.0,1.0
1999-11-10,302.5,328.3,298.2,319.6,26.99781068,9584100,0.0,1.0
1999-11-11,326.1,346.0,322.0,345.5,29.1856808195,9111000,0.0,1.0
1999-11-12,354.6,395.5,350.0,378.0,31.9310777128,18211500,0.0,1.0
1999-11-15,390.3,406.1,350.0,368.0,31.0863402072,16398800,0.0,1.0
1999-11-16,367.0,373.5,355.0,365.5,30.8751558308,8984000,0.0,1.0
1999-11-17,364.5,368.5,328.0,342.9,28.9660490681,14377600,0.0,1.0
1999-11-18,343.8,363.0,330.0,355.8,30.0557604503,7526900,0.0,1.0
1999-11-19,356.7,369.0,349.0,367.1,31.0103138317,5223700,0.0,1.0
1999-11-22,365.5,366.0,356.7,360.0,30.4105502027,3458100,0.0,1.0
1999-11-23,360.5,365.9,344.8,360.3,30.4358923279,4807000,0.0,1.0
1999-11-24,359.8,376.1,354.0,375.3,31.7029985863,4321800,0.0,1.0
1999-11-26,381.2,390.4,379.0,384.8,32.5054992167,2295200,0.0,1.0
1999-11-29,382.5,389.8,370.0,371.3,31.3651035841,3845600,0.0,1.0
1999-11-30,371.0,378.0,359.3,362.3,30.604839829,4226600,0.0,1.0
1999-12-01,363.5,368.3,355.0,364.1,30.75689258,3235100,0.0,1.0
1999-12-02,368.5,374.8,368.5,374.0,31.5931827106,3332500,0.0,1.0
1999-12-03,381.0,392.5,379.1,384.4,32.4717097164,3957700,0.0,1.0
1999-12-06,387.4,401.4,385.0,394.8,33.3502367223,4901200,0.0,1.0
1999-12-07,399.8,407.5,395.5,398.9,33.6965790996,4088500,0.0,1.0
1999-12-08,396.1,407.0,388.8,389.3,32.8856310942,3813000,0.0,1.0
1999-12-09,400.0,400.9,379.5,395.0,33.3671314724,3003200,0.0,1.0
1999-12-10,396.0,400.9,383.9,391.5,33.0714733454,3338700,0.0,1.0
1999-12-13,393.0,419.5,390.0,417.6,35.2762382351,5931700,0.0,1.0
1999-12-14,420.0,437.6,414.0,421.3,35.5887911122,5885700,0.0,1.0
1999-12-15,414.1,425.1,405.0,423.2,35.7492912383,4785800,0.0,1.0
1999-12-16,431.5,440.0,424.0,439.3,37.1093186224,3474300,0.0,1.0
1999-12-17,453.0,456.0,442.0,455.0,38.4355565062,5066800,0.0,1.0
1999-12-20,455.9,479.5,451.6,466.8,39.4323467628,5684700,0.0,1.0
1999-12-21,479.6,500.9,479.0,496.9,41.9750066548,6262700,0.0,1.0
1999-12-22,516.3,522.1,485.0,485.4,41.0035585233,7117200,0.0,1.0
1999-12-23,478.8,479.0,464.4,466.5,39.4070046377,5426100,0.0,1.0
1999-12-27,478.3,520.1,458.3,513.4,43.3688235391,6259300,0.0,1.0
1999-12-28,527.8,528.5,470.0,503.0,42.4902965332,4975400,0.0,1.0
1999-12-29,562.5,662.1,560.0,659.0,55.6682016211,14760400,0.0,1.0
1999-12-30,734.4,740.1,638.9,647.0,54.6545166143,16125400,0.0,1.0
1999-12-31,170.9,181.1,166.5,176.1,59.5033098966,9084275,0.0,4.0
2000-01-03,199.0,200.0,174.0,179.3,60.5845739038,45667000,0.0,1.0
2000-01-04,171.8,175.1,160.0,162.1,54.7727798651,31783700,0.0,1.0
2000-01-05,159.9,163.0,139.0,158.0,53.3874103559,46889200,0.0,1.0
2000-01-06,148.5,156.0,139.8,140.1,47.3390898155,29391300,0.0,1.0
2000-01-07,134.0,150.5,132.9,150.0,50.6842503378,34099300,0.0,1.0
2000-01-10,161.6,163.0,152.5,159.4,53.860463359,17680400,0.0,1.0
2000-01-11,156.0,157.9,141.5,145.8,49.2650913284,15287900,0.0,1.0
2000-01-12,145.0,147.5,136.1,138.3,46.7308788115,17227800,0.0,1.0
2000-01-13,144.4,145.6,137.6,143.1,48.3527748223,12573400,0.0,1.0
2000-01-14,147.6,148.9,139.5,140.4,47.4404583162,13104600,0.0,1.0
2000-01-18,137.4,141.3,135.0,139.1,47.0011948133,14251500,0.0,1.0
2000-01-19,137.1,147.0,137.0,146.6,49.5354073302,15364200,0.0,1.0
2000-01-20,149.3,156.0,147.1,155.6,52.5764623505,19612000,0.0,1.0
2000-01-21,158.3,160.4,151.0,154.9,52.3399358489,17477500,0.0,1.0
2000-01-24,155.8,157.0,139.6,140.1,47.3390898155,16085300,0.0,1.0
2000-01-25,143.6,149.9,140.0,149.0,50.3463553356,19835700,0.0,1.0
2000-01-26,129.0,130.9,120.0,124.6,42.1017172806,68476600,0.0,1.0
2000-01-27,126.7,128.0,117.4,120.0,40.5474002703,31285500,0.0,1.0
2000-01-28,121.1,121.4,105.6,110.6,37.3711872491,42837500,0.0,1.0
2000-01-31,117.1,127.5,116.8,127.0,42.912665286,40259000,0.0,1.0
2000-02-01,131.5,140.0,130.9,136.1,45.9875098065,34824200,0.0,1.0
2000-02-02,136.9,145.5,136.0,141.8,47.9135113194,28684100,0.0,1.0
2000-02-03,145.1,148.0,132.0,139.2,47.0349843135,26285500,0.0,1.0
2000-02-04,141.9,141.9,135.1,137.4,46.4267733095,15014400,0.0,1.0
2000-02-07,134.4,135.3,130.3,133.4,45.0751933005,10434200,0.0,1.0
2000-02-08,133.5,139.6,133.4,139.1,47.0011948133,10725400,0.0,1.0
2000-02-09,139.5,140.0,133.0,133.3,45.0414038002,10070600,0.0,1.0
2000-02-10,134.6,137.1,133.0,136.9,46.2578258083,7536100,0.0,1.0
2000-02-11,135.1,136.5,131.5,132.0,44.6021402973,6209700,0.0,1.0
2000-02-14,129.4,130.0,125.0,127.1,42.9464547863,11676800,0.0,1.0
2000-02-15,124.4,127.7,120.1,126.6,42.7775072851,15018000,0.0,1.0
2000-02-16,125.4,131.5,121.0,121.9,41.1894007746,15026000,0.0,1.0
2000-02-17,125.1,131.0,122.0,130.0,43.9263502928,17485800,0.0,1.0
2000-02-18,132.0,138.8,131.8,134.5,45.4468778029,21495800,0.0,1.0
2000-02-22,132.5,135.8,126.3,130.6,44.1290872941,12236000,0.0,1.0
2000-02-23,133.4,147.5,130.8,146.9,49.6367758309,26174600,0.0,1.0
2000-02-24,136.9,142.3,135.0,139.7,47.2039318146,25857700,0.0,1.0
2000-02-25,136.3,142.0,133.4,133.6,45.1427723009,11702800,0.0,1.0
2000-02-28,137.5,147.5,137.5,143.3,48.4203538227,18200400,0.0,1.0
2000-02-29,146.0,148.0,138.3,142.4,48.1162483207,15661700,0.0,1.0
2000-03-01,140.5,141.3,136.5,139.0,46.9674053131,10432700,0.0,1.0
2000-03-02,138.9,139.1,132.0,132.2,44.6697192977,10280400,0.0,1.0
2000-03-03,131.0,135.0,126.0,131.9,44.5683507971,16966300,0.0,1.0
2000-03-06,129.5,138.0,128.0,133.3,45.0414038002,11788100,0.0,1.0
2000-03-07,134.5,134.8,127.5,128.0,43.2505602883,10723500,0.0,1.0
2000-03-08,130.6,131.6,125.0,129.1,43.6222447908,11438000,0.0,1.0
2000-03-09,127.2,129.3,124.8,127.0,42.912665286,8713900,0.0,1.0
2000-03-10,125.2,145.5,122.0,136.1,45.9875098065,41506400,0.0,1.0
2000-03-13,128.4,136.0,127.1,130.2,43.9939292932,17570200,0.0,1.0
2000-03-14,132.1,134.0,125.0,125.1,42.2706647818,12119900,0.0,1.0
2000-03-15,126.0,133.0,125.5,128.0,43.2505602883,15696000,0.0,1.0
2000-03-16,130.4,134.0,126.5,132.9,44.9062457993,11852800,0.0,1.0
2000-03-17,132.8,137.5,132.6,136.3,46.055088807,15560800,0.0,1.0
2000-03-20,134.3,135.9,128.0,129.6,43.7911922919,9093900,0.0,1.0
2000-03-21,127.8,135.0,125.8,134.6,45.4806673032,9262600,0.0,1.0
