dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,25.5,25.69,24.94,25.31,17.4479388025,230900,0.0,1.0
1999-11-02,25.31,25.56,24.75,25.0,17.2342342973,341800,0.0,1.0
1999-11-03,24.75,25.06,24.31,24.94,17.1928721349,342500,0.0,1.0
1999-11-04,25.0,25.44,24.81,25.31,17.4479388025,1060700,0.0,1.0
1999-11-05,26.31,27.25,25.75,27.06,18.6543352034,500400,0.0,1.0
1999-11-08,26.81,26.94,25.63,26.06,17.9649658315,478100,0.0,1.0
1999-11-09,26.0,26.19,25.25,25.56,17.6202811455,464900,0.0,1.0
1999-11-10,25.38,26.06,25.31,25.38,17.4961946586,106300,0.0,1.0
1999-11-11,25.19,25.19,24.31,24.63,16.9791676297,305900,0.0,1.0
1999-11-12,24.81,25.63,24.69,25.0,17.2342342973,396400,0.0,1.0
1999-11-15,25.0,25.0,24.5,24.94,17.1928721349,421200,0.0,1.0
1999-11-16,25.19,25.94,25.06,25.81,17.7926234885,187900,0.0,1.0
1999-11-17,25.56,25.56,24.81,25.06,17.2755964596,322500,0.0,1.0
1999-11-18,25.19,25.56,24.25,24.38,16.8068252867,172300,0.0,1.0
1999-11-19,24.5,25.31,24.25,24.56,16.9309117736,193900,0.0,1.0
1999-11-22,24.56,25.0,24.06,24.13,16.6344829437,136500,0.0,1.0
1999-11-23,24.31,24.44,23.31,24.0,16.5448649254,149700,0.0,1.0
1999-11-24,23.75,24.0,23.0,23.31,16.0692000588,163900,0.0,1.0
1999-11-26,23.31,23.31,22.69,23.19,15.9864757341,67000,0.0,1.0
1999-11-29,23.19,24.13,23.06,23.69,16.3725225824,248100,0.06,1.0
1999-11-30,23.44,24.0,23.0,23.75,16.4139895033,220400,0.0,1.0
1999-12-01,23.94,24.25,23.81,24.13,16.6766133353,301500,0.0,1.0
1999-12-02,24.0,24.69,24.0,24.13,16.6766133353,197400,0.0,1.0
1999-12-03,24.31,24.88,23.75,23.75,16.4139895033,414800,0.0,1.0
1999-12-06,24.0,24.13,23.63,23.81,16.4554564241,167600,0.0,1.0
1999-12-07,23.75,24.25,23.75,24.0,16.5867683401,179900,0.0,1.0
1999-12-08,23.88,23.88,23.44,23.44,16.1997437455,167200,0.0,1.0
1999-12-09,23.44,23.63,22.63,22.63,15.639940314,298800,0.0,1.0
1999-12-10,22.69,23.75,22.69,23.25,16.0684318295,397200,0.0,1.0
1999-12-13,23.06,23.44,22.75,23.44,16.1997437455,205900,0.0,1.0
1999-12-14,23.31,23.38,22.75,22.94,15.8541860718,317600,0.0,1.0
1999-12-15,23.0,24.25,22.94,23.25,16.0684318295,292200,0.0,1.0
1999-12-16,23.19,23.31,22.56,22.75,15.7228741557,312200,0.0,1.0
1999-12-17,22.62,23.0,22.31,22.75,15.7228741557,346900,0.0,1.0
1999-12-20,22.75,22.81,22.13,22.56,15.5915622397,397200,0.0,1.0
1999-12-21,22.75,23.0,22.25,23.0,15.8956529926,423600,0.0,1.0
1999-12-22,23.0,23.0,22.38,22.81,15.7643410766,377700,0.0,1.0
1999-12-23,22.75,23.25,22.5,22.56,15.5915622397,278700,0.0,1.0
1999-12-27,23.0,23.13,22.44,22.44,15.508628398,153700,0.0,1.0
1999-12-28,22.31,23.38,22.31,22.88,15.8127191509,137900,0.0,1.0
1999-12-29,23.13,23.5,22.5,22.5,15.5500953189,321000,0.0,1.0
1999-12-30,22.56,22.63,21.5,22.06,15.246004566,467900,0.0,1.0
1999-12-31,22.13,23.13,21.75,22.31,15.4187834028,345800,0.0,1.0
2000-01-03,22.81,22.81,21.69,21.88,15.1216038034,163600,0.0,1.0
2000-01-04,22.13,22.13,20.69,21.81,15.0732257291,220900,0.0,1.0
2000-01-05,22.19,23.69,22.19,23.44,16.1997437455,661100,0.0,1.0
2000-01-06,23.19,24.69,23.19,24.31,16.8010140979,624600,0.0,1.0
