dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,19.88,19.88,19.44,19.5,6.75659562978,17000,0.0,1.0
1999-11-02,19.5,20.13,19.5,20.13,6.97488564243,39900,0.0,1.0
1999-11-03,20.25,20.31,20.0,20.0,6.92984167156,257700,0.0,1.0
1999-11-04,20.13,20.25,19.88,19.94,6.90905214655,591400,0.0,1.0
1999-11-05,20.06,20.13,19.94,19.94,6.90905214655,131700,0.0,1.0
1999-11-08,19.63,20.63,19.63,20.56,7.28326359681,43300,0.46,1.0
1999-11-09,20.44,20.44,20.19,20.38,7.21949961591,43200,0.0,1.0
1999-11-10,20.38,20.38,19.94,20.13,7.13093853132,190400,0.0,1.0
1999-11-11,20.19,20.25,20.0,20.0,7.08488676733,24300,0.0,1.0
1999-11-12,20.06,20.13,20.06,20.13,7.13093853132,22700,0.0,1.0
1999-11-15,20.25,20.25,20.13,20.19,7.15219319162,38700,0.0,1.0
1999-11-16,20.31,20.38,20.06,20.06,7.10614142763,77700,0.0,1.0
1999-11-17,20.19,20.44,20.06,20.44,7.24075427621,47500,0.0,1.0
1999-11-18,20.44,20.5,20.38,20.38,7.21949961591,517000,0.0,1.0
1999-11-19,20.44,20.63,20.38,20.56,7.28326359681,251300,0.0,1.0
1999-11-22,20.63,20.63,20.38,20.38,7.21949961591,175400,0.0,1.0
1999-11-23,20.44,20.44,20.06,20.13,7.13093853132,21100,0.0,1.0
1999-11-24,20.06,20.5,20.06,20.38,7.21949961591,220600,0.0,1.0
1999-11-26,20.5,20.5,20.31,20.38,7.21949961591,4300,0.0,1.0
1999-11-29,20.25,20.25,20.06,20.06,7.10614142763,25000,0.0,1.0
1999-11-30,20.13,20.25,20.0,20.25,7.17344785192,45400,0.0,1.0
1999-12-01,20.31,20.31,20.06,20.31,7.19470251222,50000,0.0,1.0
1999-12-02,20.25,20.31,20.13,20.25,7.17344785192,51700,0.0,1.0
1999-12-03,20.19,20.38,20.19,20.31,7.19470251222,154600,0.0,1.0
1999-12-06,20.25,20.31,20.13,20.13,7.13093853132,296300,0.0,1.0
1999-12-07,20.19,20.19,19.75,19.75,6.99632568274,135700,0.0,1.0
1999-12-08,19.81,19.88,19.69,19.88,7.04237744673,148300,0.0,1.0
1999-12-09,19.81,20.0,19.75,19.88,7.04237744673,47300,0.0,1.0
1999-12-10,19.88,19.94,19.25,19.44,6.88650993784,112900,0.0,1.0
1999-12-13,19.25,19.88,19.25,19.81,7.01758034304,121100,0.0,1.0
1999-12-14,19.75,19.81,19.31,19.31,6.84045817386,17700,0.0,1.0
1999-12-15,19.25,19.31,19.0,19.0,6.73064242896,27300,0.0,1.0
1999-12-16,19.03,19.19,18.81,19.0,6.73064242896,175500,0.0,1.0
1999-12-17,19.0,20.56,19.0,20.56,7.28326359681,139600,0.0,1.0
1999-12-20,20.44,20.81,20.38,20.44,7.24075427621,97100,0.0,1.0
1999-12-21,20.31,20.5,20.19,20.31,7.19470251222,20100,0.0,1.0
1999-12-22,20.31,20.31,20.0,20.25,7.17344785192,40500,0.0,1.0
1999-12-23,20.31,20.31,20.25,20.31,7.19470251222,42500,0.0,1.0
1999-12-27,20.25,20.25,19.63,20.13,7.13093853132,27900,0.0,1.0
1999-12-28,19.94,20.56,19.13,20.56,7.28326359681,125800,0.0,1.0
1999-12-29,20.56,20.63,20.5,20.63,7.3080607005,29100,0.0,1.0
1999-12-30,20.44,20.44,19.94,20.0,7.08488676733,39800,0.0,1.0
1999-12-31,20.0,20.0,19.88,20.0,7.08488676733,9400,0.0,1.0
2000-01-03,19.88,19.94,19.69,19.94,7.06363210703,28300,0.0,1.0
2000-01-04,19.88,20.0,19.69,20.0,7.08488676733,34700,0.0,1.0
2000-01-05,20.0,20.0,19.75,19.94,7.06363210703,229100,0.0,1.0
2000-01-06,19.81,20.0,19.75,20.0,7.08488676733,32000,0.0,1.0
2000-01-07,20.0,20.69,19.94,20.69,7.3293153608,67600,0.0,1.0
2000-01-10,20.75,20.94,20.5,20.75,7.3505700211,194800,0.0,1.0
2000-01-11,20.69,20.75,20.5,20.75,7.3505700211,38700,0.0,1.0
2000-01-12,20.75,20.88,20.44,20.5,7.26200893651,79100,0.0,1.0
2000-01-13,20.44,20.5,20.25,20.31,7.19470251222,138200,0.0,1.0
2000-01-14,20.44,20.5,20.06,20.19,7.15219319162,59500,0.0,1.0
2000-01-18,20.25,20.38,19.31,20.25,7.17344785192,65400,0.0,1.0
2000-01-19,20.13,20.5,20.06,20.5,7.26200893651,57000,0.0,1.0
2000-01-20,20.56,20.63,20.44,20.5,7.26200893651,23100,0.0,1.0
2000-01-21,20.31,20.5,20.25,20.31,7.19470251222,27600,0.0,1.0
2000-01-24,20.38,20.38,19.88,19.88,7.04237744673,34100,0.0,1.0
2000-01-25,19.88,20.06,19.88,19.88,7.04237744673,19400,0.0,1.0
2000-01-26,19.88,20.13,19.88,20.06,7.10614142763,29100,0.0,1.0
2000-01-27,20.19,20.19,19.94,19.94,7.06363210703,30200,0.0,1.0
2000-01-28,19.94,20.0,19.13,19.13,6.77669419295,35300,0.0,1.0
2000-01-31,19.25,19.69,19.25,19.56,6.92901925845,48100,0.0,1.0
2000-02-01,19.56,19.63,19.5,19.63,6.95381636213,63600,0.0,1.0
2000-02-02,19.63,19.81,19.56,19.69,6.97507102244,70900,0.0,1.0
2000-02-03,19.81,19.88,19.81,19.88,7.04237744673,67500,0.0,1.0
2000-02-04,19.88,19.88,19.81,19.88,7.04237744673,73600,0.0,1.0
2000-02-07,18.75,19.88,18.75,19.81,7.01758034304,115100,0.0,1.0
2000-02-08,19.88,20.06,19.81,20.0,7.08488676733,49900,0.0,1.0
2000-02-09,19.5,19.56,19.5,19.56,7.09905654086,37000,0.48,1.0
2000-02-10,19.5,19.5,19.19,19.25,6.98654593107,39400,0.0,1.0
2000-02-11,19.25,19.63,18.94,19.06,6.91758781538,56200,0.0,1.0
2000-02-14,19.0,19.0,18.38,18.44,6.69256659578,57000,0.0,1.0
2000-02-15,18.31,18.75,18.31,18.75,6.80507720558,41100,0.0,1.0
2000-02-16,18.75,19.13,18.75,19.13,6.94299343695,47000,0.0,1.0
2000-02-17,19.0,19.0,18.75,18.94,6.87403532127,73300,0.0,1.0
2000-02-18,18.94,18.94,18.81,18.88,6.85225907421,12500,0.0,1.0
2000-02-22,19.38,19.38,18.88,18.88,6.85225907421,32900,0.0,1.0
2000-02-23,18.94,18.94,18.81,18.88,6.85225907421,9100,0.0,1.0
2000-02-24,18.81,19.06,18.81,19.0,6.89581156832,11700,0.0,1.0
2000-02-25,18.81,18.94,18.75,18.88,6.85225907421,20000,0.0,1.0
2000-02-28,18.94,19.25,18.81,19.19,6.96476968401,29800,0.0,1.0
2000-02-29,19.25,19.25,18.5,18.91,6.86314719774,148100,0.0,1.0
2000-03-01,18.94,19.0,18.75,18.88,6.85225907421,58100,0.0,1.0
2000-03-02,18.88,19.13,18.88,19.13,6.94299343695,15300,0.0,1.0
2000-03-03,19.13,19.25,19.13,19.25,6.98654593107,11600,0.0,1.0
2000-03-06,19.13,19.19,19.06,19.19,6.96476968401,7300,0.0,1.0
2000-03-07,19.19,19.19,19.13,19.13,6.94299343695,7500,0.0,1.0
2000-03-08,19.19,19.44,19.19,19.31,7.00832217812,46800,0.0,1.0
2000-03-09,19.44,19.75,19.44,19.75,7.16801465655,38000,0.0,1.0
2000-03-10,19.75,19.75,19.63,19.69,7.14623840949,16300,0.0,1.0
2000-03-13,19.44,19.56,19.31,19.31,7.00832217812,145900,0.0,1.0
2000-03-14,19.31,19.31,19.0,19.06,6.91758781538,56500,0.0,1.0
2000-03-15,19.06,19.06,18.81,19.0,6.89581156832,49200,0.0,1.0
2000-03-16,18.88,19.69,18.88,19.69,7.14623840949,47600,0.0,1.0
2000-03-17,19.44,19.5,19.38,19.5,7.07728029381,14600,0.0,1.0
2000-03-20,19.5,19.5,19.25,19.44,7.05550404675,84600,0.0,1.0
2000-03-21,19.44,19.94,19.31,19.94,7.23697277223,18900,0.0,1.0
2000-03-22,20.0,20.25,19.94,20.13,7.30593088791,72900,0.0,1.0
2000-03-23,20.0,20.13,19.75,19.75,7.16801465655,127100,0.0,1.0
2000-03-24,19.88,19.88,19.5,19.5,7.07728029381,150400,0.0,1.0
2000-03-27,19.56,19.69,19.5,19.63,7.12446216243,37100,0.0,1.0
2000-03-28,19.63,19.63,19.56,19.56,7.09905654086,38100,0.0,1.0
2000-03-29,19.69,19.69,19.31,19.38,7.03372779969,31100,0.0,1.0
2000-03-30,19.25,19.44,19.25,19.38,7.03372779969,31900,0.0,1.0
2000-03-31,19.38,19.94,19.31,19.75,7.16801465655,52500,0.0,1.0
2000-04-03,19.81,19.81,19.25,19.31,7.00832217812,21200,0.0,1.0
2000-04-04,19.31,20.06,19.31,20.0,7.25874901929,47900,0.0,1.0
2000-04-05,19.94,19.94,19.69,19.94,7.23697277223,39000,0.0,1.0
2000-04-06,19.88,20.25,19.88,20.19,7.32770713497,83700,0.0,1.0
2000-04-07,20.25,20.38,20.0,20.31,7.37125962909,53100,0.0,1.0
2000-04-10,20.56,20.56,20.13,20.38,7.39666525065,62000,0.0,1.0
2000-04-11,20.38,20.88,20.38,20.63,7.4873996134,29000,0.0,1.0
2000-04-12,20.69,20.88,20.63,20.69,7.50917586045,48300,0.0,1.0
2000-04-13,20.94,20.94,20.63,20.69,7.50917586045,10400,0.0,1.0
2000-04-14,20.88,21.19,20.75,21.06,7.64346271731,43000,0.0,1.0
2000-04-17,21.0,21.0,20.81,20.88,7.57813397614,7800,0.0,1.0
2000-04-18,20.88,20.88,20.81,20.88,7.57813397614,52500,0.0,1.0
2000-04-19,20.81,21.06,20.75,21.06,7.64346271731,13200,0.0,1.0
2000-04-20,21.06,21.06,20.44,20.44,7.41844149771,50300,0.0,1.0
2000-04-24,20.44,20.5,20.0,20.38,7.39666525065,36600,0.0,1.0
2000-04-25,20.38,20.81,20.38,20.75,7.53095210751,17900,0.0,1.0
2000-04-26,20.69,21.5,20.69,21.44,7.78137894868,52800,0.0,1.0
2000-04-27,21.44,22.0,21.38,21.88,7.9410714271,31400,0.0,1.0
2000-04-28,21.94,22.13,21.31,22.0,7.98462392122,72000,0.0,1.0
2000-05-01,22.0,23.25,22.0,23.25,8.43829573492,65400,0.0,1.0
2000-05-02,23.13,23.13,22.81,22.94,8.32578512512,132800,0.0,1.0
2000-05-03,22.88,22.88,22.06,22.06,8.00640016828,45100,0.0,1.0
2000-05-04,22.13,22.38,21.94,22.0,7.98462392122,16600,0.0,1.0
2000-05-05,22.0,22.38,22.0,22.25,8.07535828396,54600,0.0,1.0
2000-05-08,22.25,22.25,21.38,21.56,7.82493144279,25100,0.0,1.0
