dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,20.25,20.38,20.0,20.06,4.34657980996,143067,0.0,1.0
1999-11-02,20.13,20.44,20.13,20.44,4.42891781234,110178,0.0,1.0
1999-11-03,20.38,20.56,20.31,20.5,4.44191854956,252400,0.0,1.0
1999-11-04,20.56,21.06,20.38,21.0,4.55025802638,76000,0.0,1.0
1999-11-05,21.0,21.38,21.0,21.38,4.63259602876,183467,0.0,1.0
1999-11-08,21.0,21.0,20.19,20.19,4.37474807393,72000,0.0,1.0
1999-11-09,20.19,20.44,19.88,19.94,4.32057833552,53867,0.0,1.0
1999-11-10,19.94,20.0,19.31,19.5,4.22523959592,71600,0.0,1.0
1999-11-11,19.56,19.75,19.06,19.44,4.2122388587,48978,0.0,1.0
1999-11-12,19.69,20.75,19.56,20.56,4.45491928678,82267,0.0,1.0
1999-11-15,20.06,20.88,20.06,20.88,4.52425655194,103600,0.0,1.0
1999-11-16,20.88,21.44,20.63,21.44,4.64559676598,140000,0.0,1.0
1999-11-17,21.0,21.13,20.19,20.44,4.42891781234,32800,0.0,1.0
1999-11-18,20.69,20.94,20.31,20.63,4.47008681353,55467,0.0,1.0
1999-11-19,20.38,20.38,20.06,20.19,4.37474807393,80044,0.0,1.0
1999-11-22,20.19,20.31,19.5,19.63,4.25340785989,114444,0.0,1.0
1999-11-23,19.69,19.69,19.31,19.38,4.19923812148,57600,0.0,1.0
1999-11-24,19.31,19.81,18.88,19.19,4.15806912029,143378,0.0,1.0
1999-11-26,19.06,19.75,19.06,19.19,4.15806912029,44667,0.0,1.0
1999-11-29,18.94,19.5,18.75,19.0,4.1169001191,137067,0.0,1.0
1999-11-30,19.0,19.25,18.81,18.81,4.07573111791,124267,0.0,1.0
1999-12-01,18.81,19.06,18.81,18.88,4.09089864467,137867,0.0,1.0
1999-12-02,18.81,19.13,18.75,19.0,4.1169001191,185778,0.0,1.0
1999-12-03,18.94,19.69,18.94,19.19,4.15806912029,60267,0.0,1.0
1999-12-06,18.94,19.06,18.0,18.06,3.91322190268,453467,0.0,1.0
1999-12-07,18.06,18.38,18.0,18.13,3.92838942944,143644,0.0,1.0
1999-12-08,18.0,18.13,17.81,18.13,3.92838942944,271778,0.0,1.0
1999-12-09,18.0,18.06,17.75,17.75,3.84605142706,164444,0.0,1.0
1999-12-10,17.81,18.38,17.75,18.0,3.91647208699,127778,0.075,1.0
1999-12-13,17.88,18.13,17.75,18.13,3.94475771873,66044,0.0,1.0
1999-12-14,18.06,18.19,17.63,18.19,3.95781262568,74800,0.0,1.0
1999-12-15,18.0,18.25,17.56,17.94,3.90341718003,99467,0.0,1.0
1999-12-16,17.69,17.81,17.63,17.69,3.84902173438,83600,0.0,1.0
1999-12-17,17.81,17.94,17.5,17.81,3.87513154829,148400,0.0,1.0
1999-12-20,17.69,17.88,17.44,17.63,3.83596682742,96800,0.0,1.0
1999-12-21,17.63,18.25,17.56,17.94,3.90341718003,467467,0.0,1.0
1999-12-22,17.81,18.0,17.25,18.0,3.91647208699,123600,0.0,1.0
1999-12-23,17.94,18.19,17.81,17.88,3.89036227307,55778,0.0,1.0
1999-12-27,17.69,18.19,17.63,17.75,3.86207664133,86578,0.0,1.0
1999-12-28,18.25,18.25,17.25,17.57,3.82291192047,103378,0.0,1.0
1999-12-29,17.38,18.25,17.38,18.25,3.97086753264,120667,0.0,1.0
1999-12-30,17.88,18.56,17.38,18.5,4.02526297829,120667,0.0,1.0
1999-12-31,18.25,18.69,17.63,18.63,4.05354861003,87200,0.0,1.0
2000-01-03,18.44,18.44,17.25,17.62,3.8337910096,103067,0.0,1.0
2000-01-04,17.38,17.56,16.69,17.0,3.69889030438,326800,0.0,1.0
2000-01-05,16.75,16.81,16.34,16.81,3.65754976568,119867,0.0,1.0
2000-01-06,17.06,17.25,16.75,16.81,3.65754976568,156267,0.0,1.0
2000-01-07,16.56,17.06,16.5,17.0,3.69889030438,240267,0.0,1.0
2000-01-10,17.13,17.5,17.0,17.13,3.72717593612,81200,0.0,1.0
2000-01-11,17.13,17.44,17.0,17.31,3.76634065699,100578,0.0,1.0
2000-01-12,17.5,17.56,17.19,17.5,3.80768119568,80400,0.0,1.0
2000-01-13,17.5,18.63,17.5,18.56,4.03831788525,134667,0.0,1.0
2000-01-14,18.25,18.75,17.5,17.5,3.80768119568,209644,0.0,1.0
