dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,34.0,35.5,33.88,34.88,3.75465210235,126800,0.0,1.0
1999-11-02,34.94,35.38,34.75,35.06,3.77402817398,72200,0.0,1.0
1999-11-03,35.12,36.38,34.62,35.94,3.86875563527,146800,0.0,1.0
1999-11-04,35.94,36.0,35.12,35.88,3.86229694473,49900,0.0,1.0
1999-11-05,35.88,36.25,34.25,34.25,3.68683585165,97000,0.0,1.0
1999-11-08,33.62,33.88,32.5,32.56,3.50491606802,72000,0.0,1.0
1999-11-09,32.06,32.38,32.0,32.25,3.47154616688,104900,0.0,1.0
1999-11-10,32.38,32.62,32.12,32.5,3.49845737747,33000,0.0,1.0
1999-11-11,32.5,33.5,32.5,33.38,3.59318483877,36100,0.0,1.0
1999-11-12,33.38,34.88,33.38,34.56,3.72020575278,43300,0.0,1.0
1999-11-15,34.56,34.94,34.38,34.62,3.72666444333,27600,0.0,1.0
1999-11-16,34.75,35.75,34.25,35.75,3.84830311522,72400,0.0,1.0
1999-11-17,35.88,36.25,35.75,36.25,3.90212553641,39600,0.0,1.0
1999-11-18,36.62,37.12,36.62,37.06,3.98931785874,26000,0.0,1.0
1999-11-19,37.31,39.69,37.31,39.19,4.21860137302,108600,0.0,1.0
1999-11-22,39.19,39.19,37.75,37.81,4.07005149053,226100,0.0,1.0
1999-11-23,37.81,38.75,37.81,38.75,4.17123764237,45100,0.0,1.0
1999-11-24,42.0,42.0,38.75,39.0,4.19814885297,522000,0.0,1.0
1999-11-26,41.25,41.25,40.44,40.5,4.35961611654,70900,0.0,1.0
1999-11-29,40.75,40.75,39.62,40.38,4.34669873546,89700,0.0,1.0
1999-11-30,40.12,40.25,39.69,40.06,4.3122523859,81800,0.0,1.0
1999-12-01,40.25,41.12,40.0,41.0,4.41343853774,143300,0.0,1.0
1999-12-02,40.88,40.94,40.31,40.56,4.36607480709,122500,0.0,1.0
1999-12-03,40.5,41.12,40.38,40.75,4.38652732714,87300,0.0,1.0
1999-12-06,41.0,41.88,41.0,41.88,4.50816599903,202900,0.0,1.0
1999-12-07,41.88,43.75,41.88,43.5,4.6825506437,95400,0.0,1.0
1999-12-08,43.5,44.25,43.38,43.69,4.70300316375,87600,0.0,1.0
1999-12-09,43.75,47.0,43.62,46.25,4.97857396025,152700,0.0,1.0
1999-12-10,46.75,47.75,44.75,44.94,4.83755921673,231600,0.0,1.0
1999-12-13,45.5,45.62,44.0,44.38,4.77727810499,45600,0.0,1.0
1999-12-14,44.25,44.25,43.12,43.5,4.6825506437,35800,0.0,1.0
1999-12-15,43.0,43.0,41.38,42.0,4.52108338012,132100,0.0,1.0
1999-12-16,42.0,42.0,40.0,40.0,4.30579369535,25100,0.0,1.0
1999-12-17,40.0,40.12,39.06,40.0,4.30579369535,46400,0.0,1.0
1999-12-20,40.0,41.5,39.81,41.38,4.45434357784,44000,0.0,1.0
1999-12-21,41.38,41.62,40.75,41.62,4.48017834001,40300,0.0,1.0
1999-12-22,41.62,41.69,40.25,40.25,4.33270490595,56300,0.0,1.0
1999-12-23,40.25,41.0,40.25,40.62,4.37253349763,29000,0.0,1.0
1999-12-27,40.94,41.0,40.75,40.81,4.39298601768,31900,0.0,1.0
1999-12-28,40.81,40.81,39.88,40.25,4.33270490595,64100,0.0,1.0
1999-12-29,40.25,40.25,39.12,39.12,4.21106623405,71100,0.0,1.0
1999-12-30,39.25,40.12,39.12,39.81,4.2853411753,14300,0.0,1.0
1999-12-31,40.0,42.25,40.0,41.75,4.49417216952,45300,0.0,1.0
2000-01-03,42.25,42.25,40.5,40.88,4.40052115665,96300,0.0,1.0
2000-01-04,40.5,41.0,40.38,40.69,4.3800686366,77600,0.0,1.0
2000-01-05,40.62,40.88,39.94,40.69,4.3800686366,105700,0.0,1.0
2000-01-06,40.69,41.0,40.5,40.75,4.38652732714,33200,0.0,1.0
2000-01-07,40.88,41.19,40.75,40.88,4.40052115665,126600,0.0,1.0
2000-01-10,41.12,41.38,40.5,41.38,4.45434357784,121700,0.0,1.0
2000-01-11,42.25,43.0,41.38,41.62,4.48017834001,37600,0.0,1.0
2000-01-12,41.75,41.75,40.5,40.88,4.40052115665,52400,0.0,1.0
2000-01-13,40.88,43.5,40.88,43.38,4.66963326261,133200,0.0,1.0
2000-01-14,43.0,44.0,42.38,42.44,4.56844711077,124900,0.0,1.0
2000-01-18,43.0,44.88,43.0,44.88,4.83110052619,112900,0.0,1.0
2000-01-19,45.0,45.94,45.0,45.88,4.93874536857,124600,0.0,1.0
2000-01-20,46.62,48.38,46.38,48.38,5.20785747453,70400,0.0,1.0
2000-01-21,49.0,55.12,49.0,54.5,5.86664390992,188000,0.0,1.0
