dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,48.81,48.88,46.94,47.56,11.2409639516,482000,0.0,1.0
1999-11-02,46.25,48.56,46.0,46.13,10.9029787024,512500,0.0,1.0
1999-11-03,45.5,46.25,43.75,45.0,10.6358994495,976500,0.0,1.0
1999-11-04,45.25,47.63,45.13,46.63,11.0211553629,317100,0.0,1.0
1999-11-05,47.38,48.0,46.13,46.13,10.9029787024,450800,0.0,1.0
1999-11-08,46.13,47.44,46.13,47.13,11.1393320235,391100,0.0,1.0
1999-11-09,47.63,47.63,46.0,46.5,10.9904294312,467800,0.0,1.0
1999-11-10,46.75,46.94,46.0,46.18,10.9750664653,518900,0.255,1.0
1999-11-11,46.25,46.69,46.25,46.63,11.0820127605,519900,0.0,1.0
1999-11-12,46.38,46.5,45.25,46.0,10.9322879473,819700,0.0,1.0
1999-11-15,46.06,46.13,45.38,45.5,10.8134587305,528500,0.0,1.0
1999-11-16,45.75,46.38,45.75,46.25,10.9917025557,420700,0.0,1.0
1999-11-17,46.31,48.0,46.0,47.19,11.2151014833,462500,0.0,1.0
1999-11-18,49.5,50.94,48.5,50.63,12.032646495,1059000,0.0,1.0
1999-11-19,50.13,50.25,49.56,50.0,11.8829216818,796000,0.0,1.0
1999-11-22,49.75,50.25,49.75,49.94,11.8686621758,772300,0.0,1.0
1999-11-23,49.69,50.13,49.06,49.25,11.7046778566,701400,0.0,1.0
1999-11-24,49.25,49.75,49.25,49.38,11.735573453,292100,0.0,1.0
1999-11-26,49.25,50.56,49.25,50.13,11.9138172782,177500,0.0,1.0
1999-11-29,50.0,50.5,49.75,49.94,11.8686621758,669400,0.0,1.0
1999-11-30,50.0,50.69,49.0,49.63,11.7949880614,713500,0.0,1.0
1999-12-01,49.75,50.94,49.75,50.0,11.8829216818,428700,0.0,1.0
1999-12-02,50.0,51.0,49.75,50.52,12.0065040673,496700,0.0,1.0
1999-12-03,50.88,52.06,50.88,51.38,12.2108903202,342200,0.0,1.0
1999-12-06,51.38,51.75,50.81,51.31,12.1942542299,375100,0.0,1.0
1999-12-07,51.38,51.63,50.06,50.06,11.8971811878,484100,0.0,1.0
1999-12-08,50.19,50.25,49.38,49.38,11.735573453,597700,0.0,1.0
1999-12-09,49.88,50.13,47.13,47.38,11.2602565857,536900,0.0,1.0
1999-12-10,47.88,48.0,46.56,47.13,11.2008419773,459000,0.0,1.0
1999-12-13,47.0,47.88,45.88,45.88,10.9037689352,324300,0.0,1.0
1999-12-14,46.0,47.19,44.0,45.44,10.7991992244,601700,0.0,1.0
1999-12-15,45.94,48.63,45.94,47.0,11.1699463809,440500,0.0,1.0
1999-12-16,46.25,48.75,45.81,47.63,11.3196711941,329100,0.0,1.0
1999-12-17,47.12,50.12,47.12,49.31,11.7189373626,658200,0.0,1.0
1999-12-20,48.0,48.5,47.38,48.13,11.4385004109,497000,0.0,1.0
1999-12-21,47.88,48.94,47.13,48.06,11.4218643206,256700,0.0,1.0
1999-12-22,48.19,48.81,47.75,47.81,11.3624497122,199300,0.0,1.0
1999-12-23,48.06,49.19,47.94,48.63,11.5573296277,179500,0.0,1.0
1999-12-27,49.5,49.5,48.13,48.5,11.5264340314,218700,0.0,1.0
1999-12-28,48.5,49.88,48.5,49.31,11.7189373626,159000,0.0,1.0
1999-12-29,49.25,49.25,48.19,48.56,11.5406935374,213400,0.0,1.0
1999-12-30,48.81,49.94,47.88,48.19,11.4527599169,165000,0.0,1.0
1999-12-31,48.13,48.63,47.75,47.88,11.3790858025,91400,0.0,1.0
2000-01-03,48.38,49.75,47.69,49.38,11.735573453,416200,0.0,1.0
2000-01-04,49.44,50.5,47.44,47.56,11.3030351037,422900,0.0,1.0
2000-01-05,48.94,49.38,48.0,48.06,11.4218643206,247500,0.0,1.0
2000-01-06,47.0,47.31,46.31,46.88,11.1414273689,397300,0.0,1.0
2000-01-07,48.0,49.0,47.0,48.31,11.481278929,286100,0.0,1.0
2000-01-10,48.88,49.69,48.31,48.31,11.481278929,306700,0.0,1.0
2000-01-11,47.56,48.13,46.75,47.38,11.2602565857,302700,0.0,1.0
2000-01-12,47.19,48.0,46.75,47.75,11.3481902061,281800,0.0,1.0
2000-01-13,47.13,49.19,46.63,48.94,11.6310037422,497400,0.0,1.0
2000-01-14,48.69,48.69,47.31,48.19,11.4527599169,325700,0.0,1.0
2000-01-18,50.0,50.81,49.38,50.75,12.061165507,795200,0.0,1.0
2000-01-19,52.0,54.5,51.5,51.94,12.3439790431,1444400,0.0,1.0
2000-01-20,52.5,52.63,48.63,49.0,11.6452632482,588000,0.0,1.0
2000-01-21,50.94,51.0,49.38,49.63,11.7949880614,597800,0.0,1.0
2000-01-24,49.13,49.5,46.75,46.88,11.1414273689,660700,0.0,1.0
2000-01-25,48.0,49.44,47.75,48.0,11.4076048145,1033200,0.0,1.0
2000-01-26,48.38,48.88,47.88,48.25,11.467019423,645300,0.0,1.0
2000-01-27,48.25,49.75,48.25,48.75,11.5858486398,567900,0.0,1.0
2000-01-28,49.0,49.94,48.5,48.5,11.5264340314,703900,0.0,1.0
2000-01-31,48.5,49.69,47.56,49.44,11.749832959,571300,0.0,1.0
