dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,30.94,31.0,30.63,31.0,13.4585800773,50400,0.0,1.0
1999-11-02,31.0,31.06,30.5,30.63,13.2979454119,58700,0.0,1.0
1999-11-03,30.63,30.63,30.0,30.44,13.2154573404,182100,0.0,1.0
1999-11-04,30.38,30.5,30.19,30.5,13.2415062051,47300,0.0,1.0
1999-11-05,30.5,30.75,30.25,30.69,13.3239942765,189300,0.0,1.0
1999-11-08,30.75,31.5,30.75,31.44,13.6496050848,87000,0.0,1.0
1999-11-09,31.69,32.88,31.69,32.75,14.21833863,67200,0.0,1.0
1999-11-10,33.0,33.75,32.88,33.13,14.3833147729,76900,0.0,1.0
1999-11-11,33.13,34.94,33.13,34.44,14.9520483181,81300,0.0,1.0
1999-11-12,34.44,34.81,34.25,34.31,14.8956091113,36400,0.0,1.0
1999-11-15,34.88,34.88,34.19,34.5,14.9780971828,36100,0.0,1.0
1999-11-16,34.38,37.25,34.38,36.31,15.7639046002,114600,0.0,1.0
1999-11-17,37.0,38.56,36.75,37.38,16.2284426867,130300,0.0,1.0
1999-11-18,37.63,38.56,37.13,38.0,16.4976142883,147300,0.0,1.0
1999-11-19,38.25,38.38,37.63,38.31,16.6322000891,45700,0.0,1.0
1999-11-22,38.5,38.5,37.75,37.88,16.445516559,95300,0.0,1.0
1999-11-23,38.0,38.06,37.63,37.81,16.4151262168,79400,0.0,1.0
1999-11-24,37.94,38.0,37.56,37.56,16.3065892807,57700,0.0,1.0
1999-11-26,36.75,37.0,36.75,37.0,16.0634665439,25200,0.0,1.0
1999-11-29,37.0,37.38,36.75,36.94,16.0374176792,127300,0.0,1.0
1999-11-30,37.0,37.31,36.5,37.19,16.1459546153,53800,0.0,1.0
1999-12-01,36.94,37.0,36.56,36.81,15.9809784724,51200,0.0,1.0
1999-12-02,36.88,37.44,36.25,37.44,16.2544915514,140400,0.0,1.0
1999-12-03,37.44,37.94,37.13,37.19,16.1459546153,54700,0.0,1.0
1999-12-06,37.44,37.75,37.25,37.75,16.3890773522,60300,0.0,1.0
1999-12-07,37.88,37.88,37.31,37.38,16.2284426867,76400,0.0,1.0
1999-12-08,37.44,37.5,37.25,37.5,16.2805404161,75800,0.0,1.0
1999-12-09,37.5,37.5,35.19,36.25,15.7378557355,188300,0.0,1.0
1999-12-10,36.0,36.0,35.38,35.38,15.3601471979,149400,0.0,1.0
1999-12-13,35.13,35.38,33.56,34.63,15.0345363896,178300,0.0,1.0
1999-12-14,34.63,35.25,34.63,34.88,15.1430733257,121900,0.0,1.0
1999-12-15,34.63,34.63,34.0,34.38,14.9259994535,108900,0.0,1.0
1999-12-16,34.38,34.38,33.94,33.94,14.7349744459,45900,0.0,1.0
1999-12-17,34.06,34.06,33.75,34.06,14.7870721752,85300,0.0,1.0
1999-12-20,34.0,34.5,33.25,33.63,14.6003886451,23900,0.0,1.0
1999-12-21,33.88,34.5,33.81,34.5,14.9780971828,54500,0.0,1.0
1999-12-22,34.5,34.88,34.0,34.19,14.843511382,54800,0.0,1.0
1999-12-23,35.0,36.75,35.0,36.63,15.9028318784,97200,0.0,1.0
1999-12-27,36.69,36.81,36.13,36.81,15.9809784724,108000,0.0,1.0
1999-12-28,36.81,37.31,36.81,37.31,16.1980523446,16500,0.0,1.0
1999-12-29,37.31,38.38,37.31,37.5,16.2805404161,56700,0.0,1.0
1999-12-30,37.5,37.5,37.19,37.19,16.1459546153,23700,0.0,1.0
1999-12-31,37.44,37.81,37.44,37.81,16.4151262168,11200,0.0,1.0
2000-01-03,37.81,37.94,35.38,35.56,15.4382937919,44000,0.0,1.0
2000-01-04,35.0,35.38,33.5,33.94,14.7349744459,76600,0.0,1.0
2000-01-05,33.94,33.94,32.69,33.44,14.5179005737,131100,0.0,1.0
2000-01-06,33.5,33.69,33.13,33.5,14.5439494384,105900,0.0,1.0
2000-01-07,33.38,34.0,33.25,34.0,14.7610233106,90800,0.0,1.0
2000-01-10,34.25,34.38,33.75,34.31,14.8956091113,53500,0.0,1.0
2000-01-11,34.25,34.25,33.56,33.88,14.7089255812,39500,0.0,1.0
2000-01-12,34.0,34.06,33.38,34.06,14.8174625174,50800,0.07,1.0
2000-01-13,34.06,34.06,33.5,33.75,14.6826001163,53700,0.0,1.0
2000-01-14,33.75,33.94,33.5,33.69,14.6564977161,55700,0.0,1.0
2000-01-18,33.81,34.0,33.44,33.44,14.5477377152,36600,0.0,1.0
2000-01-19,33.44,33.63,33.31,33.44,14.5477377152,25900,0.0,1.0
2000-01-20,33.31,34.56,33.13,34.56,15.0349825191,50500,0.0,1.0
2000-01-21,34.56,36.56,34.56,36.5,15.8789601258,98700,0.0,1.0
2000-01-24,36.5,37.25,36.06,36.19,15.7440977247,150800,0.0,1.0
2000-01-25,36.0,36.25,34.75,34.81,15.1437425199,157600,0.0,1.0
2000-01-26,34.94,36.44,34.94,35.75,15.5526801232,59300,0.0,1.0
2000-01-27,35.5,35.56,34.56,34.56,15.0349825191,66800,0.0,1.0
2000-01-28,34.44,35.0,33.75,34.63,15.0654353193,43200,0.0,1.0
2000-01-31,34.44,34.44,32.75,33.56,14.5999425156,59100,0.0,1.0
2000-02-01,33.56,33.56,32.81,33.44,14.5477377152,95900,0.0,1.0
2000-02-02,33.62,34.12,33.38,34.12,14.8435649176,33900,0.0,1.0
2000-02-03,34.25,35.75,34.13,35.75,15.5526801232,72700,0.0,1.0
2000-02-04,36.0,37.38,36.0,36.06,15.6875425242,97500,0.0,1.0
2000-02-07,35.94,36.44,35.63,35.88,15.6092353236,32400,0.0,1.0
2000-02-08,35.88,36.31,35.13,35.44,15.4178177221,54500,0.0,1.0
2000-02-09,35.69,35.69,32.25,33.38,14.521635315,270600,0.0,1.0
2000-02-10,33.38,33.5,32.38,33.13,14.4128753141,244500,0.0,1.0
2000-02-11,33.13,33.19,30.75,31.25,13.5950001077,119600,0.0,1.0
2000-02-14,31.25,33.31,30.19,33.13,14.4128753141,182800,0.0,1.0
2000-02-15,33.25,33.25,33.0,33.25,14.4650801146,24700,0.0,1.0
2000-02-16,33.25,33.38,33.13,33.38,14.521635315,62700,0.0,1.0
2000-02-17,33.38,33.38,32.63,33.13,14.4128753141,52300,0.0,1.0
2000-02-18,32.88,32.88,30.94,30.94,13.4601377066,54900,0.0,1.0
2000-02-22,30.94,30.94,29.88,30.94,13.4601377066,96400,0.0,1.0
2000-02-23,30.94,31.69,30.94,31.69,13.7864177092,50200,0.0,1.0
2000-02-24,31.81,31.81,30.63,30.75,13.3774801059,44700,0.0,1.0
2000-02-25,30.63,30.63,28.75,28.88,12.5639552995,158700,0.0,1.0
2000-02-28,28.88,28.88,26.69,27.44,11.9374976945,252300,0.0,1.0
2000-02-29,27.31,27.63,27.25,27.25,11.8548400939,132700,0.0,1.0
2000-03-01,27.0,27.0,25.81,26.63,11.5851152918,159500,0.0,1.0
2000-03-02,26.81,31.0,26.5,31.0,13.4862401068,339300,0.0,1.0
2000-03-03,30.81,34.69,30.81,34.06,14.8174625174,246800,0.0,1.0
2000-03-06,33.81,33.81,31.88,32.31,14.0561425113,103600,0.0,1.0
2000-03-07,32.19,32.19,31.25,31.44,13.6776577083,85300,0.0,1.0
2000-03-08,31.31,31.31,30.0,30.75,13.3774801059,140800,0.0,1.0
2000-03-09,30.75,30.75,30.13,30.44,13.2426177049,48300,0.0,1.0
2000-03-10,30.56,32.0,30.44,31.81,13.8386225096,26500,0.0,1.0
2000-03-13,31.75,33.5,31.38,32.94,14.3302177135,116400,0.0,1.0
2000-03-14,32.75,32.81,31.44,31.75,13.8125201094,50500,0.0,1.0
2000-03-15,31.56,32.19,31.0,32.19,14.0039377109,54700,0.0,1.0
2000-03-16,32.19,35.0,32.19,35.0,15.2264001206,54800,0.0,1.0
2000-03-17,35.0,35.06,33.81,34.13,14.8479153176,63900,0.0,1.0
2000-03-20,33.88,34.06,33.38,33.75,14.6826001163,38700,0.0,1.0
2000-03-21,33.56,33.94,32.69,33.81,14.7087025165,87500,0.0,1.0
2000-03-22,33.94,33.94,33.25,33.44,14.5477377152,87100,0.0,1.0
2000-03-23,33.44,34.13,33.25,33.75,14.6826001163,69600,0.0,1.0
2000-03-24,33.88,34.12,33.75,33.81,14.7087025165,43400,0.0,1.0
2000-03-27,33.81,33.81,33.5,33.5,14.5738401154,33600,0.0,1.0
2000-03-28,33.5,34.75,33.34,34.13,14.8479153176,100900,0.0,1.0
2000-03-29,33.94,34.0,32.63,33.13,14.4128753141,106400,0.0,1.0
2000-03-30,33.13,33.88,32.0,33.19,14.4389777144,60600,0.0,1.0
2000-03-31,33.19,34.13,33.0,33.94,14.7652577169,120600,0.0,1.0
2000-04-03,34.0,34.0,32.44,32.63,14.1953553124,65100,0.0,1.0
2000-04-04,32.63,32.63,31.13,31.31,13.6211025079,76200,0.0,1.0
2000-04-05,31.31,31.31,30.0,30.88,13.4340353064,152200,0.0,1.0
2000-04-06,31.0,31.03,30.13,30.63,13.3252753055,108700,0.0,1.0
2000-04-07,30.75,30.88,30.06,30.19,13.133857704,26400,0.0,1.0
2000-04-10,30.38,30.5,30.0,30.0,13.0512001034,34800,0.0,1.0
2000-04-11,30.0,31.56,29.94,31.0,13.4862401068,37100,0.0,1.0
2000-04-12,30.88,30.94,30.0,30.0,13.0816529036,63100,0.07,1.0
