dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,20.75,21.25,20.75,21.0,2.06670119031,684700,0.0,1.0
1999-11-04,21.06,21.06,19.81,20.0,1.96828684792,995200,0.0,1.0
1999-11-05,20.38,20.38,19.88,20.0,1.96828684792,605900,0.0,1.0
1999-11-08,20.13,20.13,19.25,19.44,1.91317481618,558100,0.0,1.0
1999-11-09,19.75,19.81,19.13,19.19,1.88857123058,560100,0.0,1.0
1999-11-10,19.16,19.5,19.06,19.13,1.88266637003,693300,0.0,1.0
1999-11-11,19.13,19.25,18.63,18.75,1.84526891992,590700,0.0,1.0
1999-11-12,19.16,19.25,18.63,18.69,1.83936405938,988700,0.0,1.0
1999-11-15,19.0,19.0,18.38,18.81,1.85117378047,855100,0.0,1.0
1999-11-16,18.94,19.13,18.5,19.0,1.86987250552,1268400,0.0,1.0
1999-11-17,18.5,18.63,17.81,18.19,1.79015688818,862200,0.0,1.0
1999-11-18,18.31,18.5,17.5,18.06,1.77736302367,1329800,0.0,1.0
1999-11-19,18.06,18.13,17.63,17.63,1.73504485644,919300,0.0,1.0
1999-11-22,17.63,18.06,17.13,18.06,1.77736302367,1453400,0.0,1.0
1999-11-23,18.19,18.25,17.19,17.84,1.75571186834,1228100,0.0,1.0
1999-11-24,17.81,17.88,17.56,17.81,1.75275943807,551500,0.0,1.0
1999-11-26,17.75,17.88,17.63,17.81,1.75275943807,277100,0.0,1.0
1999-11-29,17.81,18.25,17.69,17.94,1.76555330258,955500,0.0,1.0
1999-11-30,18.0,19.25,18.0,19.19,1.88857123058,1803400,0.0,1.0
1999-12-01,19.25,20.0,19.06,19.81,1.95278658899,1412700,0.0325,1.0
1999-12-02,19.81,20.19,18.31,19.63,1.93504294507,1912200,0.0,1.0
1999-12-03,19.94,20.13,19.69,19.88,1.95968689496,1339800,0.0,1.0
1999-12-06,19.75,19.81,19.19,19.25,1.89758414124,903700,0.0,1.0
1999-12-07,19.22,19.25,18.56,18.88,1.86111109541,1473600,0.0,1.0
1999-12-08,18.81,18.88,18.63,18.75,1.84829624147,855600,0.0,1.0
1999-12-09,18.69,19.19,18.63,19.13,1.8857550453,639900,0.0,1.0
1999-12-10,19.19,19.75,18.81,19.5,1.92222809113,425100,0.0,1.0
1999-12-13,19.22,19.25,18.5,18.63,1.83646714553,750200,0.0,1.0
1999-12-14,18.38,18.94,18.06,18.94,1.86702564339,551200,0.0,1.0
1999-12-15,18.13,18.75,17.44,17.81,1.7556349899,1684900,0.0,1.0
1999-12-16,17.63,18.31,17.63,18.06,1.78027893979,1500200,0.0,1.0
1999-12-17,18.0,20.38,17.75,20.25,1.99615994079,2939700,0.0,1.0
1999-12-20,19.69,19.88,18.38,18.44,1.81773774361,715300,0.0,1.0
1999-12-21,18.06,18.19,17.44,17.5,1.72507649204,998600,0.0,1.0
1999-12-22,17.75,17.94,17.0,17.06,1.68170314024,691400,0.0,1.0
1999-12-23,17.13,17.69,17.06,17.59,1.733948314,714100,0.0,1.0
1999-12-27,17.13,17.56,17.0,17.56,1.73099104001,605300,0.0,1.0
1999-12-28,17.63,18.13,17.44,17.88,1.76253529587,648500,0.0,1.0
1999-12-29,18.0,18.19,17.13,17.44,1.71916194407,417400,0.0,1.0
1999-12-30,17.44,18.88,17.38,18.0,1.77436439181,614200,0.0,1.0
1999-12-31,17.91,18.25,17.75,17.94,1.76844984384,206400,0.0,1.0
2000-01-03,18.09,18.19,17.31,17.31,1.70634709013,508400,0.0,1.0
2000-01-04,17.25,17.31,16.56,16.63,1.63931554644,876500,0.0,1.0
2000-01-05,16.69,17.06,16.56,17.0,1.67578859227,873800,0.0,1.0
2000-01-06,16.81,17.0,14.81,15.19,1.49736639509,3018300,0.0,1.0
2000-01-07,15.06,15.13,14.63,15.0,1.47863699318,1807000,0.0,1.0
2000-01-10,15.0,15.5,14.94,15.25,1.50328094306,1521000,0.0,1.0
2000-01-11,15.13,15.25,14.5,14.56,1.43526364138,1606600,0.0,1.0
2000-01-12,14.56,14.56,13.25,13.59,1.33964511582,2419300,0.0,1.0
2000-01-13,13.53,13.75,12.88,13.06,1.28739994206,2901200,0.0,1.0
2000-01-14,13.25,13.63,13.25,13.63,1.3435881478,1906600,0.0,1.0
2000-01-18,13.56,13.69,12.75,12.81,1.26275599217,2438900,0.0,1.0
2000-01-19,12.84,12.88,12.0,12.25,1.20755354443,2940000,0.0,1.0
2000-01-20,12.25,13.25,12.25,13.03,1.28444266807,2399000,0.0,1.0
2000-01-21,13.5,13.63,13.13,13.44,1.32485874589,2287300,0.0,1.0
