dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,59.75,60.19,59.13,59.63,9.40219953087,863900,0.0,1.0
1999-11-04,59.75,59.75,55.63,56.75,8.94809363369,1518200,0.0,1.0
1999-11-05,57.25,58.44,55.5,55.88,8.81091581058,2452000,0.0,1.0
1999-11-08,55.94,56.75,55.5,56.25,8.86925580432,1003300,0.0,1.0
1999-11-09,56.75,56.88,54.38,54.88,8.65324015184,1526800,0.0,1.0
1999-11-10,54.0,55.13,53.38,53.81,8.48452719698,2314800,0.0,1.0
1999-11-11,53.5,53.88,53.31,53.81,8.48452719698,2069400,0.0,1.0
1999-11-12,54.75,55.13,53.38,54.0,8.51448557215,1400000,0.0,1.0
1999-11-15,53.63,54.81,53.63,54.5,8.59332340152,1863100,0.0,1.0
1999-11-16,54.5,57.0,54.38,56.5,8.908674719,1891500,0.0,1.0
1999-11-17,55.88,56.69,55.56,56.38,8.9212887717,1344500,0.2,1.0
1999-11-18,56.38,58.63,55.5,58.44,9.2472528524,1297100,0.0,1.0
1999-11-19,58.75,58.75,56.5,57.06,9.02888856533,1498200,0.0,1.0
1999-11-22,56.5,56.56,54.5,54.5,8.62380698932,1419200,0.0,1.0
1999-11-23,55.0,57.31,54.63,56.06,8.8706535747,1355900,0.0,1.0
1999-11-24,56.63,56.88,54.88,56.13,8.88173002405,1399400,0.0,1.0
1999-11-26,55.88,55.88,55.0,55.25,8.74248323229,441400,0.0,1.0
1999-11-29,55.0,55.69,54.31,54.31,8.5937423411,1123200,0.0,1.0
1999-11-30,54.5,57.63,54.38,56.5,8.94027697058,1600700,0.0,1.0
1999-12-01,58.0,58.69,57.81,58.06,9.18712355596,2212600,0.0,1.0
1999-12-02,58.0,59.44,57.88,58.79,9.30263509912,1613900,0.0,1.0
1999-12-03,59.75,61.75,59.63,60.38,9.55422873422,2062600,0.0,1.0
1999-12-06,60.75,60.75,57.81,58.38,9.23775875296,1359300,0.0,1.0
1999-12-07,56.75,57.63,55.0,56.13,8.88173002405,1999900,0.0,1.0
1999-12-08,56.31,58.5,56.13,58.5,9.25674695184,1317600,0.0,1.0
1999-12-09,58.44,59.56,57.31,59.44,9.40548784303,1511200,0.0,1.0
1999-12-10,60.0,61.0,58.75,59.25,9.37542319481,1141900,0.0,1.0
1999-12-13,59.5,60.88,58.0,59.36,9.39282904378,1329700,0.0,1.0
1999-12-14,58.25,58.75,57.69,58.38,9.23775875296,1464600,0.0,1.0
1999-12-15,58.38,58.75,57.69,58.13,9.19820000531,1456400,0.0,1.0
1999-12-16,58.38,58.38,55.75,57.44,9.08901786177,1546400,0.0,1.0
1999-12-17,58.25,58.31,56.31,56.38,8.9212887717,2180200,0.0,1.0
1999-12-20,57.5,58.75,57.25,57.84,9.15231185802,1255600,0.0,1.0
1999-12-21,58.19,59.19,57.19,58.31,9.22668230362,1061700,0.0,1.0
1999-12-22,58.69,58.94,57.44,57.5,9.09851196121,1061300,0.0,1.0
1999-12-23,58.0,60.88,58.0,59.56,9.42447604191,1094700,0.0,1.0
1999-12-27,60.0,62.0,59.13,61.0,9.65233442841,1170100,0.0,1.0
1999-12-28,61.38,64.69,61.38,64.19,10.1571040485,1052300,0.0,1.0
1999-12-29,63.94,63.94,62.19,63.63,10.0684924538,898200,0.0,1.0
1999-12-30,64.0,64.19,62.88,64.13,10.1476099491,543000,0.0,1.0
1999-12-31,64.0,65.0,63.06,65.0,10.2852743909,448800,0.0,1.0
2000-01-03,62.5,62.5,62.5,62.5,9.88968691436,1070200,0.0,1.0
2000-01-04,61.13,62.44,59.0,59.94,9.48460533834,1683500,0.0,1.0
2000-01-05,59.94,60.25,59.0,59.38,9.39599374359,1952300,0.0,1.0
2000-01-06,58.5,61.81,56.88,61.56,9.74094602317,3074300,0.0,1.0
2000-01-07,61.56,64.69,60.63,64.0,10.1270394003,1997500,0.0,1.0
2000-01-10,64.0,65.25,63.69,64.63,10.2267274444,1230100,0.0,1.0
2000-01-11,64.38,64.44,62.94,63.13,9.98937495845,1105000,0.0,1.0
2000-01-12,63.19,65.5,63.13,64.56,10.2156509951,1266100,0.0,1.0
2000-01-13,64.19,65.88,64.0,65.25,10.3248331386,1053200,0.0,1.0
2000-01-14,65.25,65.25,63.0,63.81,10.0969747521,1520400,0.0,1.0
2000-01-18,63.0,63.44,60.19,62.75,9.92924566201,2437300,0.0,1.0
2000-01-19,62.38,63.5,60.44,60.69,9.60328158132,1810600,0.0,1.0
2000-01-20,61.06,61.31,58.06,59.31,9.38491729425,1920100,0.0,1.0
2000-01-21,59.5,61.0,58.06,60.63,9.59378748188,2266200,0.0,1.0
2000-01-24,62.5,63.75,59.5,60.0,9.49409943778,2722200,0.0,1.0
2000-01-25,59.38,59.63,56.0,56.88,9.00040626702,2589100,0.0,1.0
2000-01-26,56.88,58.0,55.38,57.0,9.01939446589,2205600,0.0,1.0
2000-01-27,57.0,57.38,54.0,55.19,8.73298913285,1936900,0.0,1.0
2000-01-28,54.94,55.13,51.5,52.25,8.2677782604,3582700,0.0,1.0
2000-01-31,52.63,53.75,52.31,52.94,8.37696040394,2047400,0.0,1.0
