dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,27.25,27.44,26.25,26.63,2.74750822604,2769800,0.0,1.0
1999-11-04,26.69,27.0,25.88,26.56,2.7402860865,2784900,0.0,1.0
1999-11-05,28.06,29.38,28.0,28.75,2.96623588053,5720700,0.0,1.0
1999-11-08,28.75,29.19,28.63,28.94,2.9858388307,2868100,0.0,1.0
1999-11-09,28.88,29.56,28.13,29.06,2.99821964133,2188500,0.0,1.0
1999-11-10,28.81,29.25,27.88,28.31,2.92083957489,1278100,0.0,1.0
1999-11-11,28.44,29.0,27.88,28.31,2.92083957489,1396500,0.0,1.0
1999-11-12,28.31,28.69,27.94,28.25,2.91464916957,1966900,0.0,1.0
1999-11-15,28.31,28.31,27.75,28.19,2.90845876425,1627700,0.0,1.0
1999-11-16,28.19,28.44,27.31,28.38,2.92806171442,2266300,0.0,1.0
1999-11-17,28.25,29.06,28.19,28.88,2.97964842539,1844400,0.0,1.0
1999-11-18,29.25,30.56,29.0,30.13,3.1086152028,4220000,0.0,1.0
1999-11-19,31.06,31.06,28.13,28.38,2.92806171442,4052000,0.0,1.0
1999-11-22,28.56,28.75,27.5,27.75,2.8630624586,1570200,0.0,1.0
1999-11-23,28.06,28.13,26.38,27.0,2.78568239215,3165900,0.0,1.0
1999-11-24,26.88,27.5,26.0,27.5,2.83726910312,1968900,0.0,1.0
1999-11-26,27.44,27.5,26.56,26.75,2.75988903667,548300,0.0,1.0
1999-11-29,26.81,27.25,26.5,26.69,2.75369863136,1954900,0.0,1.0
1999-11-30,26.69,27.25,26.38,26.56,2.7402860865,1556000,0.0,1.0
1999-12-01,26.56,27.13,26.25,26.56,2.7402860865,1379300,0.0,1.0
1999-12-02,26.69,27.81,26.63,27.69,2.85687205329,2599500,0.0,1.0
1999-12-03,28.5,29.13,27.75,27.81,2.86925286392,2836500,0.0,1.0
1999-12-06,27.5,28.44,26.75,26.94,2.77949198684,1696100,0.0,1.0
1999-12-07,27.0,27.38,26.75,27.06,2.79187279747,1498800,0.0,1.0
1999-12-08,27.0,27.06,25.13,25.81,2.66290602006,2208200,0.0,1.0
1999-12-09,25.5,25.75,23.75,24.06,2.48235253168,4123600,0.0,1.0
1999-12-10,24.44,25.56,24.0,25.31,2.61131930909,2713100,0.0,1.0
1999-12-13,25.31,26.5,24.88,25.31,2.61131930909,1907700,0.0,1.0
1999-12-14,25.44,25.63,24.5,24.75,2.55354219281,2309400,0.0,1.0
1999-12-15,24.75,25.31,24.69,25.25,2.60512890377,1137100,0.0,1.0
1999-12-16,25.06,25.38,24.44,25.25,2.60512890377,1917100,0.0,1.0
1999-12-17,26.75,27.0,26.0,26.13,2.69592151507,3175400,0.0,1.0
1999-12-20,26.06,26.56,25.31,26.0,2.68250897022,1288500,0.0,1.0
1999-12-21,26.0,26.63,24.56,25.69,2.65052520942,2349800,0.0,1.0
1999-12-22,25.19,25.88,24.56,25.5,2.63092225926,1951200,0.0,1.0
1999-12-23,25.56,26.0,25.0,25.25,2.60512890377,1125900,0.0,1.0
1999-12-27,25.0,25.63,24.5,24.88,2.56695473766,1284600,0.0,1.0
1999-12-28,24.44,25.25,24.38,25.19,2.59893849846,1341000,0.0,1.0
1999-12-29,24.81,24.94,24.38,24.69,2.54735178749,1176600,0.0,1.0
1999-12-30,24.38,24.81,24.13,24.13,2.48957467121,1506800,0.0,1.0
1999-12-31,24.13,24.81,23.75,24.25,2.50195548184,1629600,0.0,1.0
2000-01-03,23.88,24.69,23.25,24.66,2.54425658483,3029000,0.0,1.0
2000-01-04,24.06,24.88,23.75,23.88,2.46378131573,2695600,0.0,1.0
2000-01-05,23.94,24.63,23.69,23.94,2.46997172104,3525800,0.0,1.0
2000-01-06,24.0,25.63,24.0,25.06,2.58552595361,3853200,0.0,1.0
2000-01-07,24.75,25.0,24.25,24.94,2.57314514298,3255600,0.0,1.0
2000-01-10,25.88,26.75,25.81,26.0,2.68250897022,3628900,0.0,1.0
2000-01-11,25.94,26.06,25.19,25.25,2.60512890377,2452900,0.0,1.0
2000-01-12,25.38,25.75,24.75,25.31,2.61131930909,2218200,0.0,1.0
2000-01-13,25.38,27.25,25.38,27.13,2.79909493701,2694500,0.0,1.0
2000-01-14,27.19,27.56,26.31,26.44,2.72790527587,2774600,0.0,1.0
2000-01-18,26.19,26.63,25.31,26.06,2.68869937554,1314200,0.0,1.0
2000-01-19,26.06,26.63,25.44,25.5,2.63092225926,1975100,0.0,1.0
2000-01-20,25.56,25.75,24.56,25.06,2.58552595361,2270900,0.0,1.0
2000-01-21,25.31,25.38,24.75,24.97,2.57624034563,1397000,0.0,1.0
2000-01-24,25.0,25.56,24.5,24.56,2.53393924264,3892500,0.0,1.0
2000-01-25,24.31,27.0,23.81,26.0,2.68250897022,5956300,0.0,1.0
2000-01-26,26.94,29.38,26.94,29.0,2.99202923602,9482900,0.0,1.0
2000-01-27,28.88,29.13,28.31,28.88,2.97964842539,4689700,0.0,1.0
2000-01-28,29.0,30.19,28.94,29.81,3.07559970778,7521300,0.0,1.0
2000-01-31,29.94,32.0,29.88,32.0,3.30154950181,6381800,0.0,1.0
2000-02-01,31.75,32.38,31.44,32.31,3.33353326261,3824000,0.0,1.0
2000-02-02,32.25,32.38,30.88,31.75,3.27575614633,2551700,0.0,1.0
2000-02-03,31.88,32.0,30.38,31.44,3.24377238553,2564200,0.0,1.0
2000-02-04,32.5,34.75,31.5,34.38,3.54710224601,6413600,0.0,1.0
2000-02-07,34.31,34.5,33.38,34.25,3.53368970116,2431200,0.0,1.0
2000-02-08,34.25,35.0,34.06,35.0,3.61106976761,2692000,0.0,1.0
2000-02-09,34.81,34.88,34.06,34.5,3.55948305664,2209500,0.0,1.0
2000-02-10,34.5,34.69,31.56,32.0,3.30154950181,3025900,0.0,1.0
2000-02-11,31.88,33.5,31.88,32.88,3.39234211311,2399200,0.0,1.0
2000-02-14,33.38,34.81,32.88,33.94,3.50170594036,2605400,0.0,1.0
2000-02-15,33.94,34.88,32.38,34.63,3.57289560149,2053200,0.0,1.0
2000-02-16,34.63,34.69,34.13,34.19,3.52749929584,2077200,0.0,1.0
2000-02-17,34.38,34.75,34.0,34.63,3.57289560149,1480100,0.0,1.0
2000-02-18,34.56,35.0,32.5,33.13,3.4181354686,2218200,0.0,1.0
2000-02-22,32.88,33.69,32.31,33.19,3.42432587391,1646300,0.0,1.0
2000-02-23,32.94,35.0,32.75,34.88,3.59868895698,2296600,0.0,1.0
2000-02-24,34.88,36.19,33.69,35.06,3.61726017292,3090200,0.0,1.0
2000-02-25,34.81,35.0,33.5,33.75,3.48210299019,1173000,0.0,1.0
2000-02-28,33.5,34.13,32.75,34.06,3.51408675099,1682000,0.0,1.0
2000-02-29,33.75,35.44,33.63,35.13,3.62448231246,1646000,0.0,1.0
2000-03-01,35.13,35.81,34.5,34.75,3.58527641212,1318500,0.0,1.0
2000-03-02,34.56,34.56,32.63,33.25,3.43051627923,1670900,0.0,1.0
2000-03-03,33.63,37.75,33.63,37.19,3.83701956164,3526300,0.0,1.0
2000-03-06,36.92,36.94,35.69,35.88,3.70186237891,1409800,0.0,1.0
2000-03-07,35.94,36.13,34.0,34.13,3.52130889053,1609000,0.0,1.0
2000-03-08,34.06,34.75,33.13,33.88,3.49551553504,1963400,0.0,1.0
2000-03-09,33.75,36.25,33.0,36.13,3.72765573439,1703100,0.0,1.0
2000-03-10,35.69,36.0,34.63,35.63,3.67606902342,1186000,0.0,1.0
2000-03-13,34.56,35.5,34.25,34.75,3.58527641212,1765600,0.0,1.0
2000-03-14,34.98,35.44,33.38,33.44,3.45011922939,1184300,0.0,1.0
2000-03-15,33.25,35.94,33.25,35.19,3.63067271777,1837900,0.0,1.0
2000-03-16,35.19,38.94,35.19,38.38,3.95979593374,4484900,0.0,1.0
2000-03-17,37.5,38.19,36.38,37.06,3.82360701679,2483400,0.0,1.0
2000-03-20,36.5,36.75,35.0,35.19,3.63067271777,1355300,0.0,1.0
2000-03-21,35.38,39.03,35.19,39.0,4.02376345533,2731300,0.0,1.0
2000-03-22,38.38,39.81,37.5,39.13,4.03717600019,3107700,0.0,1.0
2000-03-23,38.63,40.0,38.5,39.38,4.06296935567,2320600,0.0,1.0
2000-03-24,39.62,40.0,37.56,38.62,3.984557555,1690000,0.0,1.0
2000-03-27,38.81,40.44,38.75,39.13,4.03717600019,2127700,0.0,1.0
2000-03-28,39.25,39.88,37.5,37.94,3.91439962809,1179000,0.0,1.0
2000-03-29,38.13,40.0,37.69,39.69,4.09495311647,1582300,0.0,1.0
2000-03-30,39.25,41.69,39.25,39.75,4.10114352178,3201200,0.0,1.0
2000-03-31,39.81,45.25,39.31,44.81,4.62320103676,4578200,0.0,1.0
2000-04-03,40.19,42.25,39.25,41.44,4.27550660485,4416500,0.0,1.0
2000-04-04,41.13,43.5,39.5,43.44,4.48185344871,4968300,0.0,1.0
2000-04-05,42.63,42.63,39.25,39.56,4.08154057162,3237900,0.0,1.0
2000-04-06,39.94,40.25,36.5,37.56,3.87519372775,2376700,0.0,1.0
2000-04-07,38.0,40.13,38.0,40.06,4.13312728258,2297200,0.0,1.0
2000-04-10,40.25,40.31,36.56,36.63,3.77924244536,1742300,0.0,1.0
2000-04-11,36.63,39.0,35.75,37.94,3.91439962809,1316000,0.0,1.0
2000-04-12,37.97,38.56,37.38,37.63,3.88241586729,1481100,0.0,1.0
2000-04-13,37.69,40.13,37.56,39.83,4.10939739554,3379000,0.0,1.0
2000-04-14,38.94,39.0,33.81,35.19,3.63067271777,2600200,0.0,1.0
2000-04-17,34.25,36.56,33.44,36.13,3.72765573439,2447200,0.0,1.0
2000-04-18,36.25,37.63,35.63,37.44,3.86281291712,1601100,0.0,1.0
2000-04-19,37.19,38.94,36.75,37.25,3.84320996695,2074800,0.0,1.0
2000-04-20,37.31,38.0,36.0,37.44,3.86281291712,1007800,0.0,1.0
2000-04-24,37.0,40.63,36.88,39.94,4.12074647195,1995500,0.0,1.0
2000-04-25,38.5,39.38,35.0,38.19,3.94019298357,3744400,0.0,1.0
2000-04-26,37.72,37.81,36.5,37.13,3.83082915632,2331500,0.0,1.0
2000-04-27,36.06,37.13,35.44,37.06,3.82360701679,2828200,0.0,1.0
2000-04-28,33.69,34.06,30.0,30.23,3.11893254499,16456000,0.0,1.0
2000-05-01,31.0,31.31,30.13,30.94,3.19218567457,7388800,0.0,1.0
2000-05-02,32.19,33.5,31.81,31.94,3.2953590965,4111000,0.0,1.0
2000-05-03,32.13,32.13,31.0,31.81,3.28194655165,2484200,0.0,1.0
2000-05-04,31.69,33.88,31.63,33.44,3.45011922939,3086800,0.0,1.0
2000-05-05,32.94,33.75,31.86,33.69,3.47591258488,2158300,0.0,1.0
2000-05-08,33.63,33.63,32.75,33.0,3.40472292374,1688100,0.0,1.0
2000-05-09,33.13,33.5,32.13,33.38,3.44392882408,1528400,0.0,1.0
2000-05-10,33.25,33.63,32.25,32.56,3.35932661809,1332300,0.0,1.0
2000-05-11,32.56,33.5,31.94,33.25,3.43051627923,1323700,0.0,1.0
2000-05-12,33.0,33.13,32.06,32.56,3.35932661809,804400,0.0,1.0
2000-05-15,30.94,32.63,29.5,32.5,3.35313621278,4085300,0.0,1.0
2000-05-16,33.88,34.0,32.69,33.25,3.43051627923,2271200,0.0,1.0
2000-05-17,32.63,33.75,32.38,32.44,3.34694580746,1622500,0.0,1.0
2000-05-18,32.56,32.75,30.69,30.69,3.16639231908,966900,0.0,1.0
2000-05-19,30.06,30.75,30.0,30.13,3.1086152028,1372500,0.0,1.0
2000-05-22,30.0,30.0,28.0,29.88,3.08282184732,1893400,0.0,1.0
2000-05-23,29.88,30.44,28.31,28.31,2.92083957489,1481200,0.0,1.0
2000-05-24,29.06,31.25,28.94,31.0,3.19837607988,2593500,0.0,1.0
2000-05-25,31.0,31.88,29.75,29.88,3.08282184732,1362400,0.0,1.0
2000-05-26,30.38,31.0,28.81,29.13,3.00544178087,946000,0.0,1.0
2000-05-30,29.63,33.06,29.63,33.06,3.41091332906,1905100,0.0,1.0
2000-05-31,32.81,35.0,32.56,33.5,3.45630963471,3142300,0.0,1.0
2000-06-01,34.13,34.94,33.56,34.5,3.55948305664,1801800,0.0,1.0
2000-06-02,35.0,36.91,34.81,36.81,3.7978136613,2280600,0.0,1.0
2000-06-05,36.5,38.25,35.44,35.63,3.67606902342,1899900,0.0,1.0
2000-06-06,39.0,39.5,37.44,37.5,3.86900332244,10042900,0.0,1.0
2000-06-07,37.25,37.38,32.0,34.56,3.56567346196,36926400,0.0,1.0
2000-06-08,34.56,35.7,34.5,35.31,3.64305352841,5029500,0.0,1.0
2000-06-09,35.75,36.5,35.0,35.75,3.68844983406,1571300,0.0,1.0
2000-06-12,35.78,35.81,33.81,33.88,3.49551553504,2046700,0.0,1.0
2000-06-13,34.13,36.81,34.0,35.94,3.70805278422,1648600,0.0,1.0
2000-06-14,36.0,36.05,34.44,35.19,3.63067271777,1109900,0.0,1.0
2000-06-15,35.25,35.63,34.44,34.69,3.57908600681,998700,0.0,1.0
2000-06-16,35.81,35.88,34.75,34.88,3.59868895698,1198600,0.0,1.0
2000-06-19,34.94,35.25,34.56,35.13,3.62448231246,980900,0.0,1.0
2000-06-20,35.0,35.75,34.25,35.5,3.66265647857,1187400,0.0,1.0
2000-06-21,35.5,36.75,35.5,36.19,3.73384613971,1414600,0.0,1.0
2000-06-22,36.13,36.88,35.69,35.81,3.69464023937,1371600,0.0,1.0
2000-06-23,36.13,36.25,35.25,35.31,3.64305352841,1070400,0.0,1.0
2000-06-26,35.13,36.25,35.0,36.25,3.74003654502,1123600,0.0,1.0
2000-06-27,36.0,38.19,35.88,37.5,3.86900332244,2749700,0.0,1.0
2000-06-28,37.5,38.56,37.31,38.19,3.94019298357,1876100,0.0,1.0
2000-06-29,38.06,38.13,37.38,37.88,3.90820922277,1750700,0.0,1.0
2000-06-30,37.94,38.94,37.89,38.19,3.94019298357,2385900,0.0,1.0
2000-07-03,38.0,38.81,37.88,38.5,3.97217674437,519100,0.0,1.0
2000-07-05,38.56,39.0,37.69,38.31,3.9525737942,1184700,0.0,1.0
2000-07-06,38.56,38.75,36.5,38.06,3.92678043872,3063000,0.0,1.0
2000-07-07,38.94,42.0,38.75,41.81,4.31368077096,5482300,0.0,1.0
2000-07-10,41.38,42.75,39.75,39.75,4.10114352178,3382000,0.0,1.0
2000-07-11,39.5,40.81,39.44,39.94,4.12074647195,1268000,0.0,1.0
2000-07-12,39.75,41.13,39.75,40.31,4.15892063806,1376600,0.0,1.0
2000-07-13,40.0,40.13,39.5,40.0,4.12693687727,1167100,0.0,1.0
2000-07-14,39.94,40.13,39.63,40.0,4.12693687727,943000,0.0,1.0
2000-07-17,39.69,40.13,39.63,39.81,4.1073339271,799000,0.0,1.0
2000-07-18,39.75,40.81,39.63,39.75,4.10114352178,1521400,0.0,1.0
2000-07-19,39.63,40.25,39.63,39.75,4.10114352178,1021200,0.0,1.0
2000-07-20,39.91,40.88,39.88,40.0,4.12693687727,1439600,0.0,1.0
2000-07-21,39.81,40.44,39.75,39.94,4.12074647195,1767300,0.0,1.0
2000-07-24,40.0,40.38,39.38,39.72,4.09804831913,1415000,0.0,1.0
2000-07-25,39.31,39.5,37.06,38.56,3.97836714968,5269900,0.0,1.0
2000-07-26,38.25,38.31,37.44,37.69,3.8886062726,2578600,0.0,1.0
2000-07-27,37.69,38.06,35.94,36.13,3.72765573439,3717600,0.0,1.0
2000-07-28,37.0,39.88,36.88,37.0,3.81741661147,2731500,0.0,1.0
2000-07-31,37.13,39.13,36.63,37.5,3.86900332244,1473600,0.0,1.0
2000-08-01,37.47,38.38,37.44,37.94,3.91439962809,1207700,0.0,1.0
2000-08-02,38.0,40.06,37.94,39.25,4.04955681082,1415300,0.0,1.0
2000-08-03,38.88,40.25,38.69,40.06,4.13312728258,1624700,0.0,1.0
2000-08-04,40.13,41.94,40.0,41.69,4.30129996033,2441800,0.0,1.0
2000-08-07,41.38,43.0,40.81,42.81,4.41685419289,3042200,0.0,1.0
2000-08-08,42.25,43.31,42.0,42.88,4.42407633243,2241800,0.0,1.0
2000-08-09,42.69,43.63,42.63,43.0,4.43645714306,2022300,0.0,1.0
2000-08-10,42.81,44.13,42.63,42.88,4.42407633243,2838500,0.0,1.0
2000-08-11,42.88,42.91,41.56,42.69,4.40447338226,1922500,0.0,1.0
2000-08-14,42.75,42.81,41.19,41.94,4.32709331581,1593000,0.0,1.0
2000-08-15,41.75,41.81,40.5,40.75,4.20431694371,1301600,0.0,1.0
2000-08-16,40.44,41.44,40.44,40.88,4.21772948857,2774400,0.0,1.0
2000-08-17,39.63,39.69,37.75,38.25,3.94638338889,3473400,0.0,1.0
2000-08-18,38.0,38.03,36.19,36.63,3.77924244536,3984000,0.0,1.0
2000-08-21,36.75,37.63,36.44,37.25,3.84320996695,1527200,0.0,1.0
2000-08-22,37.38,38.44,37.31,37.5,3.86900332244,1463900,0.0,1.0
2000-08-23,36.66,36.69,35.63,35.81,3.69464023937,5143900,0.0,1.0
2000-08-24,35.88,36.13,35.5,36.13,3.72765573439,1580700,0.0,1.0
2000-08-25,36.19,37.06,35.5,35.75,3.68844983406,1287200,0.0,1.0
2000-08-28,35.81,36.5,35.56,36.06,3.72043359486,1248700,0.0,1.0
2000-08-29,36.31,36.38,34.56,35.13,3.62448231246,1875800,0.0,1.0
2000-08-30,35.13,37.38,35.13,36.69,3.78543285067,2478500,0.0,1.0
2000-08-31,36.75,37.56,36.06,36.63,3.77924244536,1204000,0.0,1.0
2000-09-01,38.25,39.5,37.63,37.69,3.8886062726,1865500,0.0,1.0
2000-09-05,38.03,38.81,37.5,37.63,3.88241586729,927400,0.0,1.0
2000-09-06,38.5,38.5,36.88,36.94,3.81122620616,1597900,0.0,1.0
2000-09-07,37.25,37.75,36.75,37.63,3.88241586729,832300,0.0,1.0
2000-09-08,37.25,37.38,36.25,36.25,3.74003654502,799300,0.0,1.0
2000-09-11,36.34,37.19,35.88,36.38,3.75344908987,1116000,0.0,1.0
2000-09-12,36.63,37.75,36.56,37.38,3.85662251181,919400,0.0,1.0
2000-09-13,37.5,39.38,37.44,38.94,4.01757305002,1771600,0.0,1.0
2000-09-14,38.88,38.88,37.5,37.94,3.91439962809,1540500,0.0,1.0
2000-09-15,38.88,39.13,38.0,38.75,3.99797009985,2466100,0.0,1.0
2000-09-18,37.88,38.44,36.63,37.52,3.87106679088,1052300,0.0,1.0
2000-09-19,37.63,38.38,36.56,37.63,3.88241586729,1225000,0.0,1.0
2000-09-20,37.19,38.13,36.25,37.88,3.90820922277,1287500,0.0,1.0
2000-09-21,37.69,38.88,37.25,38.63,3.98558928922,1363100,0.0,1.0
2000-09-22,38.38,39.69,38.38,39.13,4.03717600019,1238300,0.0,1.0
2000-09-25,38.75,40.19,38.63,39.94,4.12074647195,1473900,0.0,1.0
2000-09-26,39.75,40.38,39.06,39.5,4.0753501663,1057600,0.0,1.0
2000-09-27,39.31,40.13,38.0,39.88,4.11455606663,1563100,0.0,1.0
2000-09-28,40.06,41.69,40.0,41.06,4.23630070451,1642500,0.0,1.0
2000-09-29,41.38,41.75,39.75,40.06,4.13312728258,1320500,0.0,1.0
2000-10-02,40.13,40.5,38.5,40.38,4.1661427776,1719700,0.0,1.0
2000-10-03,40.63,41.13,39.13,39.5,4.0753501663,1314900,0.0,1.0
2000-10-04,39.69,40.88,39.63,40.75,4.20431694371,1250500,0.0,1.0
2000-10-05,40.25,42.38,40.0,41.0,4.2301102992,2092500,0.0,1.0
2000-10-06,41.56,42.38,39.75,40.19,4.14653982743,1373400,0.0,1.0
2000-10-09,40.13,41.19,39.75,40.5,4.17852358823,1112200,0.0,1.0
2000-10-10,40.63,41.44,39.88,40.56,4.18471399355,1222000,0.0,1.0
2000-10-11,39.75,41.31,39.75,40.06,4.13312728258,1166400,0.0,1.0
2000-10-12,40.06,40.06,36.75,38.31,3.9525737942,1870800,0.0,1.0
2000-10-13,37.81,39.5,37.13,39.25,4.04955681082,1572100,0.0,1.0
2000-10-16,38.63,41.0,38.38,40.56,4.18471399355,1459000,0.0,1.0
2000-10-17,41.06,41.25,39.06,39.75,4.10114352178,1056500,0.0,1.0
2000-10-18,39.38,41.06,38.25,40.31,4.15892063806,1647500,0.0,1.0
2000-10-19,40.31,41.75,39.13,41.0,4.2301102992,1972400,0.0,1.0
2000-10-20,40.06,40.94,40.06,40.31,4.15892063806,1091000,0.0,1.0
2000-10-23,40.25,41.19,39.63,40.0,4.12693687727,1183300,0.0,1.0
2000-10-24,40.81,41.5,40.13,40.38,4.1661427776,1025600,0.0,1.0
2000-10-25,40.69,42.0,40.38,40.69,4.1981265384,1670900,0.0,1.0
2000-10-26,40.88,41.06,38.38,41.0,4.2301102992,2532200,0.0,1.0
2000-10-27,38.69,40.0,37.5,39.75,4.10114352178,3834400,0.0,1.0
2000-10-30,39.94,42.0,39.44,41.63,4.29510955501,2163100,0.0,1.0
2000-10-31,41.81,44.88,41.81,44.69,4.61082022613,5159400,0.0,1.0
2000-11-01,44.31,45.19,43.0,44.56,4.59740768127,4226500,0.0,1.0
2000-11-02,44.69,45.0,43.75,45.0,4.64280398692,2551600,0.0,1.0
2000-11-03,45.06,47.31,45.0,46.81,4.82954788062,5000700,0.0,1.0
2000-11-06,47.13,47.94,46.13,46.75,4.8233574753,2764600,0.0,1.0
2000-11-07,46.44,47.19,46.0,47.06,4.8553412361,2484200,0.0,1.0
2000-11-08,47.0,47.0,44.56,44.81,4.62320103676,1806100,0.0,1.0
2000-11-09,44.41,45.06,43.25,44.81,4.62320103676,1705900,0.0,1.0
2000-11-10,44.13,45.94,44.0,44.5,4.59121727596,1429500,0.0,1.0
2000-11-13,44.13,45.19,43.5,44.38,4.57883646533,2528100,0.0,1.0
