dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,39.63,39.75,37.56,38.5,19.6132057065,3544467,0.0,1.0
1999-11-04,38.38,42.0,38.31,42.0,21.3962244071,5564867,0.0,1.0
1999-11-05,41.81,43.5,39.81,40.13,20.4435829871,7064667,0.0,1.0
1999-11-08,39.75,40.75,39.63,40.25,20.5047150568,2150800,0.0,1.0
1999-11-09,40.13,40.25,38.0,38.0,19.3656208241,3056867,0.014,1.0
1999-11-10,38.06,39.81,38.0,38.0,19.3656208241,2696867,0.0,1.0
1999-11-11,38.44,38.44,36.81,36.94,18.8254219274,2472267,0.0,1.0
1999-11-12,39.88,42.88,39.0,42.88,21.8525742352,7089800,0.0,1.0
1999-11-15,42.0,44.75,41.81,44.75,22.8055666284,6393000,0.0,1.0
1999-11-16,43.38,46.75,42.75,46.0,23.4425936292,5405667,0.0,1.0
1999-11-17,45.75,45.94,41.44,41.94,21.3735299306,4970867,0.0,1.0
1999-11-18,43.88,45.94,43.31,45.94,23.4120163331,4560067,0.0,1.0
1999-11-19,45.44,46.0,44.56,45.5,23.1877828288,2925667,0.0,1.0
1999-11-22,45.38,45.38,43.38,44.0,22.4233504279,2408600,0.0,1.0
1999-11-23,44.0,44.13,40.44,40.94,20.86390833,5480800,0.0,1.0
1999-11-24,40.0,40.25,39.75,40.0,20.3848640254,4087067,0.0,1.0
1999-11-26,40.0,40.06,39.69,40.0,20.3848640254,1174600,0.0,1.0
1999-11-29,40.0,40.56,37.75,38.5,19.6204316244,3665800,0.0,1.0
1999-11-30,37.75,39.25,37.25,37.94,19.3350435281,4080067,0.0,1.0
1999-12-01,38.63,39.5,36.88,37.5,19.1108100238,3155467,0.0,1.0
1999-12-02,37.31,38.25,37.31,38.19,19.4624489282,2093800,0.0,1.0
1999-12-03,40.0,41.0,39.25,39.56,20.1606305211,3657867,0.0,1.0
1999-12-06,40.0,40.06,38.5,39.06,19.9058197208,1814000,0.0,1.0
1999-12-07,39.06,40.25,37.56,39.25,20.0026478249,3745067,0.0,1.0
1999-12-08,38.19,38.44,37.19,38.0,19.3656208241,3745867,0.0,1.0
1999-12-09,38.75,40.25,36.63,40.25,20.5122694255,4966000,0.0,1.0
1999-12-10,40.44,40.75,38.13,40.75,20.7670802258,4065200,0.0,1.0
1999-12-13,40.19,40.25,38.5,39.3,20.0281289049,7092800,0.0,1.0
1999-12-14,38.5,39.0,36.75,37.5,19.1108100238,2890200,0.0,1.0
1999-12-15,36.88,37.75,36.0,37.75,19.2382154239,2546400,0.0,1.0
1999-12-16,36.88,37.5,34.81,36.13,18.4126284309,3418267,0.0,1.0
1999-12-17,36.13,36.38,34.94,36.13,18.4126284309,4654467,0.0,1.0
1999-12-20,35.38,35.38,33.0,33.13,16.883763629,5435467,0.0,1.0
1999-12-21,33.63,34.25,33.0,34.0,17.3271344216,5157200,0.0,1.0
1999-12-22,32.88,33.38,32.0,33.0,16.8175128209,6145667,0.0,1.0
1999-12-23,32.75,34.13,32.75,34.0,17.3271344216,3523600,0.0,1.0
1999-12-27,34.75,35.63,34.56,35.38,18.0304122304,3752800,0.0,1.0
1999-12-28,35.0,35.13,33.75,34.31,17.4851171178,2075067,0.0,1.0
1999-12-29,33.94,42.0,33.94,42.0,21.4041072266,7853267,0.0,1.0
1999-12-30,40.94,40.94,38.0,38.13,19.4318716322,4489400,0.0,1.0
1999-12-31,38.56,38.69,37.81,38.25,19.4930262243,1994800,0.0,1.0
2000-01-03,38.5,39.0,37.0,37.0,18.8559992235,5825800,0.0,1.0
2000-01-04,37.0,37.38,35.19,36.5,18.6011884231,5816867,0.0,1.0
2000-01-05,36.44,36.56,34.5,36.31,18.504360319,4469400,0.0,1.0
2000-01-06,36.38,38.13,36.31,36.75,18.7285938233,5045067,0.0,1.0
2000-01-07,38.19,38.88,37.63,38.88,19.8140878326,2863067,0.0,1.0
2000-01-10,39.81,39.94,38.75,39.0,19.8752424247,3854200,0.0,1.0
2000-01-11,39.5,39.88,38.94,39.44,20.099475929,2673267,0.0,1.0
2000-01-12,39.0,39.0,37.56,37.63,19.1770608319,2769600,0.0,1.0
2000-01-13,34.0,41.0,33.88,40.5,20.6396748257,15694800,0.0,1.0
2000-01-14,41.94,43.25,40.69,41.0,20.894485626,9360000,0.0,1.0
2000-01-18,40.56,40.63,38.81,39.0,19.8752424247,4391800,0.0,1.0
2000-01-19,39.94,41.0,39.31,40.0,20.3848640254,4881067,0.0,1.0
2000-01-20,40.06,40.25,39.06,39.25,20.0026478249,3130000,0.0,1.0
2000-01-21,39.25,39.25,37.06,38.5,19.6204316244,4846200,0.0,1.0
2000-01-24,37.88,38.0,36.56,38.0,19.3656208241,2268800,0.0,1.0
2000-01-25,36.94,37.63,36.25,36.81,18.7591711193,2625467,0.0,1.0
2000-01-26,36.69,38.38,35.88,38.13,19.4318716322,3755400,0.0,1.0
2000-01-27,38.06,38.44,36.38,37.31,19.0139819197,2872067,0.0,1.0
2000-01-28,37.06,38.0,35.06,38.0,19.3656208241,2569067,0.0,1.0
2000-01-31,35.25,36.13,35.0,35.88,18.2852230307,3139000,0.0,1.0
2000-02-01,36.44,37.0,34.81,35.63,18.1578176306,2887400,0.0,1.0
2000-02-02,35.5,36.13,33.69,35.75,18.2189722227,5412267,0.0,1.0
2000-02-03,36.0,36.13,34.5,35.63,18.1578176306,3189000,0.0,1.0
2000-02-04,35.69,38.13,35.69,37.94,19.3350435281,7636200,0.0,1.0
2000-02-07,38.44,40.75,37.63,40.5,20.6396748257,4644267,0.0,1.0
2000-02-08,40.0,40.0,39.0,39.5,20.1371879275,4645267,0.014,1.0
2000-02-09,39.25,39.31,37.56,37.75,19.2450340319,2511200,0.0,1.0
2000-02-10,38.63,38.88,38.0,38.5,19.6273857014,3035467,0.0,1.0
2000-02-11,38.88,39.88,38.5,39.0,19.8822868144,3486000,0.0,1.0
2000-02-14,39.94,39.94,37.63,38.19,19.4693470114,2648467,0.0,1.0
2000-02-15,37.69,38.44,37.06,38.44,19.5967975679,2308600,0.0,1.0
2000-02-16,38.5,39.25,38.0,38.0,19.3724845884,2157467,0.0,1.0
2000-02-17,38.5,39.75,38.44,39.44,20.1065997939,3784200,0.0,1.0
2000-02-18,39.44,39.44,38.0,38.25,19.4999351449,2485800,0.0,1.0
2000-02-22,38.25,38.5,36.06,37.5,19.1175834754,3040067,0.0,1.0
2000-02-23,37.69,40.06,37.06,39.56,20.167776061,4387200,0.0,1.0
2000-02-24,39.38,39.38,37.69,37.94,19.3418964549,4222400,0.0,1.0
2000-02-25,38.31,38.31,36.56,38.0,19.3724845884,2544467,0.0,1.0
2000-02-28,38.5,38.69,37.31,37.31,19.0207210525,4883600,0.0,1.0
2000-02-29,40.0,42.19,39.0,42.0,21.4116934925,10078267,0.0,1.0
2000-03-01,43.13,46.5,42.31,46.5,23.7058035095,9346667,0.0,1.0
2000-03-02,46.38,46.44,43.69,45.13,23.0073744599,4773800,0.0,1.0
2000-03-03,45.5,48.0,45.25,48.0,24.4705068485,5188400,0.0,1.0
2000-03-06,48.0,48.5,47.06,47.69,24.3124681585,4166067,0.0,1.0
2000-03-07,47.56,47.94,45.75,46.31,23.6089410866,3283667,0.0,1.0
2000-03-08,46.38,46.38,43.44,45.0,22.9411001705,2584867,0.0,1.0
2000-03-09,44.5,47.0,43.81,45.5,23.1960012835,2299400,0.0,1.0
2000-03-10,47.94,54.19,47.13,53.0,27.0195179786,10713067,0.0,1.0
2000-03-13,49.56,54.5,48.0,50.88,25.9387372595,5083267,0.0,1.0
2000-03-14,50.38,51.0,48.0,48.63,24.7916822509,4363600,0.0,1.0
2000-03-15,48.0,49.75,47.13,48.5,24.7254079616,2534867,0.0,1.0
2000-03-16,48.5,50.25,48.13,50.0,25.4901113006,5446867,0.0,1.0
2000-03-17,51.25,56.0,51.0,55.25,28.1665729871,8166600,0.0,1.0
2000-03-20,55.88,57.44,53.81,54.0,27.5293202046,5321467,0.0,1.0
2000-03-21,54.13,54.44,52.38,54.44,27.7536331841,4264200,0.0,1.0
2000-03-22,55.94,59.0,55.38,57.56,29.3442161292,3913200,0.0,1.0
2000-03-23,57.0,62.0,55.69,61.25,31.2253863432,5707200,0.0,1.0
2000-03-24,62.0,67.12,61.44,65.0,33.1371446907,8828467,0.0,1.0
2000-03-27,63.81,63.81,59.31,60.0,30.5881335607,4522867,0.0,1.0
2000-03-28,59.5,61.5,58.5,60.13,30.6544078501,3390600,0.0,1.0
2000-03-29,61.94,63.0,58.75,59.44,30.3026443141,3782467,0.0,1.0
2000-03-30,58.56,60.38,58.06,59.0,30.0783313347,4020600,0.0,1.0
2000-03-31,58.25,58.75,55.31,57.0,29.0587268827,4140800,0.0,1.0
2000-04-03,59.25,60.88,55.38,56.94,29.0281387491,5924267,0.0,1.0
2000-04-04,57.38,57.38,44.44,50.5,25.7450124136,12551067,0.0,1.0
2000-04-05,47.75,55.75,47.25,53.25,27.1469685351,7770400,0.0,1.0
2000-04-06,54.5,58.25,53.69,58.13,29.634803398,4593400,0.0,1.0
2000-04-07,58.25,58.25,53.75,55.13,28.10539672,4375400,0.0,1.0
2000-04-10,54.19,57.19,53.81,55.81,28.4520622337,3090067,0.0,1.0
2000-04-11,55.81,56.75,53.0,54.13,27.595594494,2965200,0.0,1.0
2000-04-12,53.88,55.0,50.0,50.0,25.4901113006,4380000,0.0,1.0
2000-04-13,50.75,50.75,48.0,49.0,24.9803090746,3251000,0.0,1.0
2000-04-14,44.25,45.0,38.5,40.5,20.6469901535,10021000,0.0,1.0
2000-04-17,39.69,43.25,39.13,42.0,21.4116934925,9016800,0.0,1.0
2000-04-18,40.75,47.75,40.0,44.88,22.8799239034,8008800,0.0,1.0
2000-04-19,45.38,45.5,43.0,43.31,22.0795344086,4435067,0.0,1.0
2000-04-20,43.0,44.88,43.0,44.0,22.4312979445,2842267,0.0,1.0
2000-04-24,44.0,44.25,42.38,44.13,22.4975722339,2747667,0.0,1.0
2000-04-25,44.44,46.81,44.44,46.0,23.4509023965,3346200,0.0,1.0
2000-04-26,46.25,48.56,44.75,45.0,22.9411001705,3555667,0.0,1.0
2000-04-27,43.56,45.88,43.5,45.5,23.1960012835,3175667,0.0,1.0
2000-04-28,46.31,47.38,44.13,44.5,22.6861990575,3266400,0.0,1.0
2000-05-01,44.63,46.94,44.13,45.63,23.2622755729,3480400,0.0,1.0
2000-05-02,44.25,45.69,43.69,44.75,22.813649614,2655067,0.0,1.0
2000-05-03,43.75,47.0,41.13,45.25,23.068550727,2781067,0.0,1.0
2000-05-04,45.25,45.25,42.25,44.5,22.6861990575,2738867,0.0,1.0
2000-05-05,42.88,44.81,42.5,43.75,22.303847388,2643467,0.0,1.0
2000-05-08,44.63,44.63,42.25,43.06,21.9592210832,3358267,0.014,1.0
2000-05-09,43.5,44.0,41.88,42.56,21.7042370948,3401667,0.0,1.0
2000-05-10,41.75,41.88,38.0,40.31,20.5568091469,4363467,0.0,1.0
2000-05-11,41.0,41.13,38.56,39.88,20.3375229168,2735800,0.0,1.0
2000-05-12,39.63,42.25,39.5,41.94,21.3880569491,3052067,0.0,1.0
2000-05-15,41.19,44.75,41.06,43.38,22.1224108358,2901600,0.0,1.0
2000-05-16,43.63,46.38,43.56,45.69,23.3004368623,4654067,0.0,1.0
2000-05-17,43.25,44.31,42.5,43.75,22.3110989872,4574467,0.0,1.0
2000-05-18,44.5,45.81,43.94,44.0,22.4385909815,3215067,0.0,1.0
2000-05-19,43.0,43.38,41.88,41.88,21.3574588705,2379200,0.0,1.0
2000-05-22,40.75,42.81,38.5,41.94,21.3880569491,4203067,0.0,1.0
2000-05-23,41.88,42.44,40.19,41.0,20.9086870509,1926267,0.0,1.0
2000-05-24,40.0,40.5,37.69,38.5,19.6337671088,5341267,0.0,1.0
2000-05-25,39.75,39.81,37.0,37.0,18.8688151435,5084867,0.0,1.0
2000-05-26,38.0,39.0,36.0,37.0,18.8688151435,3599667,0.0,1.0
2000-05-30,37.69,39.56,37.5,39.56,20.1743331642,2304000,0.0,1.0
2000-05-31,26.63,28.25,26.38,27.5,21.0361790451,6257667,0.0,1.5
2000-06-01,29.0,29.63,28.28,28.5,21.8011310104,6203200,0.0,1.0
2000-06-02,32.75,34.0,31.19,33.5,25.6258908368,8710400,0.0,1.0
2000-06-05,32.75,33.38,32.13,32.25,24.6697008802,4854600,0.0,1.0
2000-06-06,32.5,32.75,31.75,32.06,24.5243600068,3847200,0.0,1.0
2000-06-07,32.38,32.88,31.5,32.31,24.7155979981,4875100,0.0,1.0
2000-06-08,31.88,32.38,29.13,30.5,23.3310349409,5467300,0.0,1.0
2000-06-09,30.38,30.38,29.44,29.63,22.6655267312,3826500,0.0,1.0
2000-06-12,29.81,29.94,28.63,28.88,22.0918127572,3030700,0.0,1.0
2000-06-13,29.88,30.31,28.75,30.31,23.1856940675,2584400,0.0,1.0
2000-06-14,29.56,33.0,29.13,32.5,24.8609388715,6677900,0.0,1.0
2000-06-15,32.25,33.38,31.06,32.94,25.1975177362,4555400,0.0,1.0
2000-06-16,32.5,33.63,32.06,33.63,25.7253345923,6449000,0.0,1.0
2000-06-19,33.63,34.69,33.06,34.5,26.3908428021,3504800,0.0,1.0
2000-06-20,34.69,34.94,33.25,34.88,26.6815245489,3051900,0.0,1.0
2000-06-21,34.63,34.63,33.63,34.19,26.1537076928,2043900,0.0,1.0
2000-06-22,33.88,34.06,32.75,33.38,25.5340966009,1975900,0.0,1.0
2000-06-23,34.13,34.31,32.56,32.75,25.0521768628,1691400,0.0,1.0
2000-06-26,32.56,33.81,32.56,33.38,25.5340966009,2522700,0.0,1.0
2000-06-27,33.81,33.81,32.88,33.0,25.2434148541,2085600,0.0,1.0
2000-06-28,33.44,33.75,31.88,32.5,24.8609388715,2434700,0.0,1.0
2000-06-29,32.0,34.5,31.5,33.5,25.6258908368,2848100,0.0,1.0
2000-06-30,31.56,33.75,31.31,33.63,25.7253345923,3800700,0.0,1.0
2000-07-03,32.75,33.31,32.13,32.44,24.8150417536,1146700,0.0,1.0
2000-07-05,32.75,33.13,32.19,32.69,25.0062797449,2058700,0.0,1.0
2000-07-06,32.94,33.0,31.5,32.81,25.0980739807,2200600,0.0,1.0
2000-07-07,33.31,33.31,32.5,32.94,25.1975177362,2026400,0.0,1.0
2000-07-10,32.94,33.75,32.38,32.88,25.1516206183,2792300,0.0,1.0
2000-07-11,32.88,35.0,32.63,34.75,26.5820807934,4427300,0.0,1.0
2000-07-12,36.5,36.75,35.88,36.25,27.7295087413,6067200,0.0,1.0
2000-07-13,36.25,36.56,35.75,36.56,27.9666438505,2625000,0.0,1.0
2000-07-14,37.0,40.5,36.63,39.19,29.9784675192,10080900,0.0,1.0
2000-07-17,39.31,39.63,36.56,37.25,28.4944607066,5669000,0.0,1.0
2000-07-18,37.0,38.88,35.13,38.25,29.2594126718,5462600,0.0,1.0
2000-07-19,37.88,38.0,35.63,36.38,27.8289524968,3901800,0.0,1.0
2000-07-20,36.5,37.81,35.69,37.75,28.8769366892,5565400,0.0,1.0
2000-07-21,37.75,37.75,36.38,37.13,28.4026664707,1839200,0.0,1.0
2000-07-24,36.94,38.38,36.25,36.31,27.7754058592,2180800,0.0,1.0
2000-07-25,36.94,37.56,36.13,37.31,28.5403578245,2381100,0.0,1.0
2000-07-26,36.69,36.94,36.13,36.44,27.8748496147,2800600,0.0,1.0
2000-07-27,36.5,37.19,35.13,36.5,27.9207467326,2789300,0.0,1.0
2000-07-28,36.38,36.63,34.0,34.0,26.0083668194,2685000,0.0,1.0
2000-07-31,35.13,36.63,34.63,36.13,27.6377145055,3876800,0.0,1.0
2000-08-01,36.25,38.0,35.75,37.94,29.0222775626,2790200,0.0,1.0
2000-08-02,36.69,37.69,36.13,37.25,28.4944607066,2913100,0.0,1.0
2000-08-03,36.56,37.0,36.06,36.31,27.7754058592,2183500,0.0,1.0
2000-08-04,37.13,39.13,36.56,38.5,29.4506506632,5109100,0.0,1.0
2000-08-07,38.0,38.5,37.25,38.38,29.3588564273,3536200,0.0,1.0
2000-08-08,38.44,38.56,37.75,38.31,29.3137242614,2174800,0.011,1.0
2000-08-09,38.0,39.0,37.25,38.5,29.4591068667,2767600,0.0,1.0
2000-08-10,38.25,39.19,36.81,37.06,28.3572597527,2568700,0.0,1.0
2000-08-11,38.13,39.81,37.56,39.0,29.8416926702,3759900,0.0,1.0
2000-08-14,39.13,40.44,38.38,40.0,30.6068642771,4541800,0.0,1.0
2000-08-15,39.88,39.88,37.38,37.75,28.8852281615,5060700,0.0,1.0
2000-08-16,38.44,39.38,38.0,38.44,29.4131965703,4147300,0.0,1.0
2000-08-17,38.0,39.25,37.88,39.25,30.0329855719,3842600,0.0,1.0
2000-08-18,38.5,39.19,37.31,37.31,28.5485526545,3109300,0.0,1.0
2000-08-21,38.69,38.69,37.5,38.06,29.1224313596,1925200,0.0,1.0
2000-08-22,38.69,38.69,37.38,37.88,28.9847004704,2332300,0.0,1.0
2000-08-23,37.69,38.06,36.69,37.0,28.3113494563,3074300,0.0,1.0
2000-08-24,37.25,37.44,36.5,37.0,28.3113494563,3061700,0.0,1.0
2000-08-25,36.69,36.81,35.75,35.88,27.4543572565,3266700,0.0,1.0
2000-08-28,36.06,37.0,36.06,36.63,28.0282359617,2661200,0.0,1.0
2000-08-29,36.69,38.13,36.19,37.75,28.8852281615,3415100,0.0,1.0
2000-08-30,37.88,38.81,37.19,37.38,28.6021146669,3715400,0.0,1.0
2000-08-31,37.06,38.69,37.0,38.44,29.4131965703,3651400,0.0,1.0
2000-09-01,38.5,38.94,37.0,37.0,28.3113494563,2254200,0.0,1.0
2000-09-05,38.19,38.31,37.63,38.0,29.0765210632,2003300,0.0,1.0
2000-09-06,38.81,39.31,38.56,38.88,29.7498720773,4239000,0.0,1.0
2000-09-07,39.0,39.5,38.19,38.25,29.267813965,3019100,0.0,1.0
2000-09-08,37.81,38.44,37.19,37.56,28.7398455562,2706500,0.0,1.0
2000-09-11,37.63,38.63,37.5,38.0,29.0765210632,2642600,0.0,1.0
2000-09-12,38.0,38.0,37.25,37.5,28.6939352598,2065900,0.0,1.0
2000-09-13,37.81,37.81,36.31,37.5,28.6939352598,4150300,0.0,1.0
2000-09-14,37.19,37.75,35.75,37.0,28.3113494563,4587600,0.0,1.0
2000-09-15,36.81,36.94,35.0,35.25,26.9722991442,6313800,0.0,1.0
2000-09-18,35.5,35.69,31.31,32.25,24.6767843234,7389800,0.0,1.0
2000-09-19,32.5,34.06,32.19,33.44,25.5873385356,4555200,0.0,1.0
2000-09-20,33.06,33.75,32.31,33.11,25.3348319054,2579500,0.0,1.0
2000-09-21,32.38,32.69,30.0,30.0,22.9551482078,5402500,0.0,1.0
2000-09-22,32.06,35.0,31.56,35.0,26.7810062424,6571500,0.0,1.0
2000-09-25,34.44,34.75,33.56,34.0,26.0158346355,3481800,0.0,1.0
2000-09-26,33.75,33.94,32.19,33.0,25.2506630286,2996000,0.0,1.0
2000-09-27,33.56,33.88,32.75,33.0,25.2506630286,2360600,0.0,1.0
2000-09-28,33.5,35.31,33.38,35.0,26.7810062424,4474200,0.0,1.0
2000-09-29,34.63,36.13,34.13,35.47,27.1406368977,3008300,0.0,1.0
2000-10-02,35.63,35.63,34.0,35.0,26.7810062424,3212000,0.0,1.0
2000-10-03,34.38,34.69,33.5,33.56,25.6791591285,3563400,0.0,1.0
2000-10-04,32.38,33.94,31.75,33.63,25.732721141,3277200,0.0,1.0
2000-10-05,33.63,34.94,33.56,34.38,26.3065998462,3249700,0.0,1.0
2000-10-06,34.88,34.88,30.56,31.0,23.7203198147,6105600,0.0,1.0
2000-10-09,31.0,31.13,29.13,29.13,22.2894489098,5060000,0.0,1.0
2000-10-10,31.88,31.88,28.56,29.31,22.427179799,5813800,0.0,1.0
2000-10-11,29.0,29.56,27.0,28.81,22.0445939956,6815700,0.0,1.0
2000-10-12,29.0,29.0,27.0,27.13,20.7591056959,4682400,0.0,1.0
2000-10-13,27.06,32.25,27.06,31.38,24.0110850254,6878200,0.0,1.0
2000-10-16,31.13,31.94,30.38,31.5,24.1029056182,3076500,0.0,1.0
2000-10-17,31.0,31.0,28.75,30.63,23.4372063202,5775500,0.0,1.0
2000-10-18,28.25,30.0,27.81,29.06,22.2358868973,6545600,0.0,1.0
2000-10-19,30.0,31.25,29.75,31.0,23.7203198147,4292100,0.0,1.0
2000-10-20,30.13,32.5,30.13,31.5,24.1029056182,3639100,0.0,1.0
2000-10-23,32.5,32.5,31.06,31.13,23.8197921236,1890900,0.0,1.0
2000-10-24,31.56,33.0,31.0,31.44,24.0569953218,2695700,0.0,1.0
2000-10-25,31.19,32.31,31.0,31.06,23.7662301112,3276200,0.0,1.0
2000-10-26,31.31,31.53,29.94,30.88,23.6284992219,2609700,0.0,1.0
2000-10-27,30.88,32.31,30.88,31.31,23.9575230129,3319300,0.0,1.0
2000-10-30,31.56,33.75,31.5,33.56,25.6791591285,3513600,0.0,1.0
2000-10-31,33.94,35.38,32.88,35.13,26.8804785513,4333100,0.0,1.0
2000-11-01,34.75,34.88,34.0,34.75,26.5897133407,2568900,0.0,1.0
2000-11-02,34.81,35.88,34.5,35.13,26.8804785513,3648000,0.0,1.0
2000-11-03,34.56,35.63,34.38,34.88,26.6891856496,2653100,0.0,1.0
2000-11-06,35.13,35.5,34.75,35.38,27.0717714531,1918600,0.0,1.0
2000-11-07,35.63,35.81,35.13,35.38,27.0717714531,1283200,0.0,1.0
2000-11-08,35.25,35.25,33.94,34.44,26.3609270302,1773900,0.011,1.0
2000-11-09,34.19,34.75,33.13,34.31,26.2614229503,2410000,0.0,1.0
2000-11-10,33.19,33.5,31.56,31.69,24.256033031,2948000,0.0,1.0
2000-11-13,31.25,31.5,29.75,30.94,23.6819710312,3165400,0.0,1.0
2000-11-14,31.44,31.88,30.94,30.94,23.6819710312,3319900,0.0,1.0
2000-11-15,30.94,32.13,30.38,31.63,24.210108071,3736000,0.0,1.0
2000-11-16,31.5,31.88,30.81,31.13,23.8274000712,2334800,0.0,1.0
2000-11-17,30.88,31.13,28.94,29.5,22.5797719916,5075300,0.0,1.0
2000-11-20,29.56,29.56,27.75,28.31,21.668926952,3869100,0.0,1.0
2000-11-21,28.38,28.94,27.13,28.38,21.722506072,3155400,0.0,1.0
2000-11-22,28.0,28.0,26.0,26.31,20.1380949525,3556300,0.0,1.0
