dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,22.25,22.56,21.63,22.0,5.10930220442,714900,0.0,1.0
1999-11-02,22.13,23.13,22.13,22.63,5.25561404028,890000,0.0,1.0
1999-11-03,22.63,23.0,22.31,22.56,5.23935716962,664800,0.0,1.0
1999-11-04,22.63,23.06,22.19,22.38,5.19755378795,446100,0.0,1.0
1999-11-05,22.31,22.69,22.06,22.06,5.12323666498,659100,0.0,1.0
1999-11-08,22.19,22.63,22.19,22.5,5.22542270907,227500,0.0,1.0
1999-11-09,22.5,23.13,22.38,22.81,5.29741742195,467300,0.0,1.0
1999-11-10,22.63,22.94,22.44,22.88,5.3136742926,370000,0.0,1.0
1999-11-11,22.81,23.13,22.19,22.19,5.15342799619,302700,0.0,1.0
1999-11-12,22.38,22.75,21.75,22.0,5.10930220442,712200,0.0,1.0
1999-11-15,22.0,22.63,21.25,22.25,5.16736245674,731000,0.0,1.0
1999-11-16,22.25,22.38,21.75,21.75,5.0512419521,918400,0.0,1.0
1999-11-17,21.75,22.0,21.31,21.38,4.96531277866,1138200,0.0,1.0
1999-11-18,21.5,21.63,20.88,21.0,4.87706119513,741900,0.0,1.0
1999-11-19,21.0,21.75,21.0,21.5,4.99318169978,588600,0.0,1.0
1999-11-22,21.5,22.0,21.25,21.56,5.00711616033,659300,0.0,1.0
1999-11-23,21.63,22.0,21.13,21.94,5.09536774386,905500,0.0,1.0
1999-11-24,22.0,22.0,21.31,21.38,4.96531277866,1172600,0.0,1.0
1999-11-26,21.44,21.94,21.06,21.56,5.00711616033,281100,0.0,1.0
1999-11-29,21.63,21.81,20.94,21.44,4.97924723922,716600,0.0,1.0
1999-11-30,21.38,21.75,21.0,21.25,4.93512144745,622800,0.0,1.0
1999-12-01,21.25,21.31,20.31,20.31,4.71681489872,1018800,0.0,1.0
1999-12-02,20.38,21.13,20.31,20.94,4.86312673457,954600,0.0,1.0
1999-12-03,21.19,21.94,21.19,21.94,5.09536774386,750000,0.0,1.0
1999-12-06,21.5,21.56,21.06,21.13,4.90725252634,910900,0.0,1.0
1999-12-07,21.0,21.56,21.0,21.13,4.90725252634,592300,0.0,1.0
1999-12-08,21.25,21.75,21.06,21.06,4.89099565569,854700,0.0,1.0
1999-12-09,21.19,21.19,20.44,20.44,4.74700622993,600200,0.0,1.0
1999-12-10,20.38,20.38,19.63,20.0,4.64482018584,745700,0.0,1.0
1999-12-13,19.75,20.0,18.88,19.0,4.41257917655,1063800,0.0,1.0
1999-12-14,19.25,20.0,18.88,19.56,4.54263414175,888600,0.0,1.0
1999-12-15,20.13,20.31,19.25,19.81,4.60069439407,1188700,0.0,1.0
1999-12-16,19.81,20.06,19.13,20.06,4.6587546464,981100,0.0,1.0
1999-12-17,19.81,20.38,19.81,19.88,4.61695126472,1478500,0.0,1.0
1999-12-20,20.13,20.13,19.5,19.5,4.52869968119,593900,0.0,1.0
1999-12-21,19.31,19.94,19.25,19.63,4.5588910124,513100,0.0,1.0
1999-12-22,19.63,19.69,18.75,19.06,4.4265136371,1129500,0.0,1.0
1999-12-23,19.63,20.19,19.5,20.06,4.6587546464,462400,0.0,1.0
1999-12-27,20.06,21.25,19.94,20.19,4.6889459776,1075100,0.0,1.0
1999-12-28,20.19,20.94,20.19,20.19,4.6889459776,453800,0.0,1.0
1999-12-29,20.19,20.88,20.19,20.56,4.77487515104,284900,0.0,1.0
1999-12-30,20.75,20.75,20.13,20.19,4.6889459776,388300,0.0,1.0
1999-12-31,20.31,21.0,20.25,21.0,4.87706119513,307400,0.0,1.0
2000-01-03,20.75,20.81,20.13,20.13,4.67501151705,574100,0.0,1.0
2000-01-04,20.0,20.06,18.88,19.38,4.50083076008,646800,0.0,1.0
2000-01-05,19.44,19.81,19.38,19.56,4.54263414175,622800,0.0,1.0
2000-01-06,20.06,20.25,19.56,19.75,4.58675993351,583600,0.0,1.0
2000-01-07,19.63,20.06,19.13,19.5,4.52869968119,949500,0.0,1.0
2000-01-10,19.5,20.0,19.06,19.06,4.4265136371,1067900,0.0,1.0
2000-01-11,19.38,19.69,19.25,19.31,4.48457388943,1181500,0.0,1.0
2000-01-12,19.38,19.75,19.25,19.31,4.48457388943,709000,0.0,1.0
2000-01-13,19.31,19.38,19.0,19.13,4.44277050775,813500,0.0,1.0
2000-01-14,19.31,19.38,18.75,18.88,4.38471025543,937800,0.0,1.0
2000-01-18,18.63,18.88,18.25,18.56,4.31039313246,691400,0.0,1.0
2000-01-19,18.56,18.69,18.31,18.38,4.26858975078,642000,0.0,1.0
2000-01-20,18.38,18.38,17.38,17.63,4.09440899382,858700,0.0,1.0
2000-01-21,18.0,18.25,17.69,17.88,4.15246924614,1121300,0.0,1.0
2000-01-24,17.88,18.31,17.66,17.94,4.1664037067,651600,0.0,1.0
2000-01-25,17.88,18.44,17.63,18.0,4.18033816725,835000,0.0,1.0
2000-01-26,18.0,18.38,17.75,17.81,4.13621237549,526000,0.0,1.0
2000-01-27,17.81,18.19,17.69,17.94,4.1664037067,501700,0.0,1.0
2000-01-28,17.88,17.94,17.44,17.44,4.05028320205,476100,0.0,1.0
2000-01-31,17.44,18.13,17.38,17.63,4.09440899382,668900,0.0,1.0
2000-02-01,17.5,18.5,17.5,18.44,4.28252421134,746000,0.0,1.0
2000-02-02,18.25,18.38,17.44,17.5,4.06421766261,1205500,0.0,1.0
2000-02-03,17.63,19.69,17.13,19.63,4.5588910124,2110800,0.0,1.0
2000-02-04,20.13,20.69,20.13,20.13,4.67501151705,1715100,0.0,1.0
2000-02-07,20.19,20.19,20.0,20.19,4.6889459776,577100,0.0,1.0
2000-02-08,20.0,20.0,19.13,19.38,4.50083076008,710700,0.0,1.0
2000-02-09,19.38,19.44,18.75,19.19,4.45670496831,763500,0.0,1.0
2000-02-10,19.19,19.69,19.13,19.38,4.50083076008,450400,0.0,1.0
2000-02-11,19.38,19.44,18.56,18.69,4.34058446367,492800,0.0,1.0
2000-02-14,19.0,19.13,18.56,18.94,4.39864471599,735400,0.0,1.0
2000-02-15,19.0,20.0,18.94,20.0,4.64482018584,1031700,0.0,1.0
2000-02-16,20.0,20.0,19.38,19.63,4.5588910124,464200,0.0,1.0
2000-02-17,19.63,20.38,19.56,20.25,4.70288043816,618800,0.0,1.0
2000-02-18,20.06,20.19,19.56,19.81,4.60069439407,723800,0.0,1.0
2000-02-22,19.94,20.0,19.69,19.88,4.61695126472,542000,0.0,1.0
2000-02-23,20.13,20.13,19.38,20.0,4.64482018584,888100,0.0,1.0
2000-02-24,19.75,19.75,19.0,19.19,4.48805750457,620900,0.135,1.0
2000-02-25,19.38,19.75,18.94,19.06,4.45765377994,931400,0.0,1.0
2000-02-28,19.06,19.56,19.06,19.13,4.47402501628,637300,0.0,1.0
2000-02-29,19.5,19.5,19.0,19.13,4.47402501628,551900,0.0,1.0
2000-03-01,19.63,19.63,19.13,19.38,4.53249371748,488300,0.0,1.0
2000-03-02,19.38,19.69,18.81,19.06,4.45765377994,629600,0.0,1.0
2000-03-03,18.94,20.5,18.88,19.94,4.66346360818,610900,0.0,1.0
2000-03-06,19.69,19.81,18.94,19.06,4.45765377994,496600,0.0,1.0
2000-03-07,19.31,19.31,18.56,18.81,4.39918507873,703800,0.0,1.0
2000-03-08,18.81,19.28,18.31,18.75,4.38515259044,1095500,0.0,1.0
2000-03-09,18.5,19.13,18.38,18.88,4.41555631507,422100,0.0,1.0
2000-03-10,19.13,19.38,18.88,18.94,4.42958880336,554900,0.0,1.0
2000-03-13,18.75,19.13,18.5,19.13,4.47402501628,415200,0.0,1.0
2000-03-14,19.0,19.25,18.69,18.81,4.39918507873,811900,0.0,1.0
2000-03-15,19.0,20.94,18.81,20.63,4.82483722351,729700,0.0,1.0
2000-03-16,20.63,23.0,20.63,22.88,5.35105553436,965300,0.0,1.0
2000-03-17,22.75,22.81,21.5,21.75,5.08677700491,786000,0.0,1.0
2000-03-20,21.88,22.38,21.69,21.88,5.11718072954,392800,0.0,1.0
2000-03-21,21.88,22.44,21.81,22.25,5.20371440733,458100,0.0,1.0
2000-03-22,22.38,22.38,21.25,21.38,5.00024332713,545100,0.0,1.0
2000-03-23,22.13,22.31,21.69,21.94,5.13121321783,954300,0.0,1.0
2000-03-24,22.5,22.88,21.94,22.31,5.21774689562,1362700,0.0,1.0
2000-03-27,22.31,22.5,21.81,21.94,5.13121321783,1028100,0.0,1.0
2000-03-28,21.94,22.44,21.63,22.31,5.21774689562,605100,0.0,1.0
2000-03-29,22.25,22.44,22.0,22.19,5.18968191904,703700,0.0,1.0
2000-03-30,21.88,22.25,21.63,21.94,5.13121321783,962700,0.0,1.0
2000-03-31,22.06,22.5,21.94,22.13,5.17564943075,681700,0.0,1.0
2000-04-03,21.94,22.5,21.88,22.25,5.20371440733,571900,0.0,1.0
2000-04-04,22.06,22.63,21.19,22.06,5.15927819441,838500,0.0,1.0
2000-04-05,22.0,23.75,21.94,23.56,5.51009040164,1296600,0.0,1.0
2000-04-06,24.0,24.94,23.69,23.94,5.59896282748,1083000,0.0,1.0
2000-04-07,24.0,24.0,23.38,23.38,5.46799293678,431000,0.0,1.0
2000-04-10,23.63,24.75,23.56,24.63,5.76033644281,378300,0.0,1.0
2000-04-11,24.63,25.63,24.56,25.19,5.89130633351,1005200,0.0,1.0
2000-04-12,25.19,27.63,25.19,26.88,6.28655475366,1411000,0.0,1.0
2000-04-13,26.81,26.81,26.19,26.25,6.13921362662,1121500,0.0,1.0
2000-04-14,26.06,26.13,25.13,25.31,5.91937131009,565700,0.0,1.0
2000-04-17,25.44,26.19,25.0,26.19,6.12518113833,727000,0.0,1.0
2000-04-18,26.19,26.25,25.06,25.25,5.9053388218,533600,0.0,1.0
2000-04-19,25.88,25.88,24.88,25.0,5.84687012059,413700,0.0,1.0
