dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,59.88,61.44,59.19,60.63,20.0138749124,1850200,0.0,1.0
1999-11-04,61.0,61.19,59.38,60.13,19.8488256388,2368100,0.0,1.0
1999-11-05,60.94,60.94,56.75,57.25,18.8981418231,2980300,0.0,1.0
1999-11-08,58.19,60.44,57.75,60.19,19.8686315516,2358400,0.0,1.0
1999-11-09,60.5,62.56,60.44,62.31,20.5684404715,2221400,0.0,1.0
1999-11-10,62.75,64.0,62.19,63.0,20.7962084691,3016500,0.0,1.0
1999-11-11,62.88,63.44,61.44,61.81,20.403391198,1651300,0.0,1.0
1999-11-12,61.88,64.5,61.19,64.5,21.2913562898,1996900,0.0,1.0
1999-11-15,64.81,65.19,64.13,65.0,21.4564055633,3223100,0.0,1.0
1999-11-16,65.69,67.31,65.31,66.5,21.951553384,3896200,0.0,1.0
1999-11-17,66.25,68.94,66.25,68.5,22.6117504783,3684800,0.0,1.0
1999-11-18,67.75,68.0,66.5,66.69,22.014272108,2724700,0.0,1.0
1999-11-19,67.06,67.5,65.75,66.0,21.7865041104,2376600,0.0,1.0
1999-11-22,67.88,68.69,65.19,65.25,21.5389302001,3065300,0.0,1.0
1999-11-23,65.25,65.25,63.81,64.38,21.2517444641,2712500,0.0,1.0
1999-11-24,64.75,64.94,62.81,63.56,20.9810636555,2555500,0.0,1.0
1999-11-26,63.5,63.5,61.75,62.44,20.6113532827,1049600,0.0,1.0
1999-11-29,61.5,61.56,59.5,60.5,19.9709621012,2818500,0.0,1.0
1999-11-30,60.0,61.81,59.31,60.06,19.8257187405,3388600,0.0,1.0
1999-12-01,60.56,62.5,59.75,61.05,20.1525163022,3229000,0.0,1.0
1999-12-02,61.5,62.5,60.88,61.5,20.3010606484,3119000,0.0,1.0
1999-12-03,61.5,61.56,59.5,59.75,19.7233881909,2104100,0.0,1.0
1999-12-06,60.06,60.69,58.06,59.3,19.5748438447,2560900,0.0,1.0
1999-12-07,58.19,59.81,57.25,57.38,18.9410546342,2401500,0.0,1.0
1999-12-08,56.75,59.69,55.38,59.38,19.6012517285,4412800,0.0,1.0
1999-12-09,59.0,59.25,57.06,58.13,19.1886285445,3127800,0.0,1.0
1999-12-10,56.63,56.94,55.25,56.13,18.5284314503,4204900,0.0,1.0
1999-12-13,57.06,57.13,53.94,54.0,17.8253215449,4467800,0.0,1.0
1999-12-14,53.0,55.38,52.69,54.94,18.1356141792,4270500,0.0,1.0
1999-12-15,56.19,58.69,55.81,57.47,18.9707635034,4459000,0.0,1.0
1999-12-16,57.13,58.06,56.63,57.19,18.8783359102,3125400,0.0,1.0
1999-12-17,56.69,57.25,55.12,55.56,18.3402752784,3262400,0.0,1.0
1999-12-20,55.06,55.94,55.0,55.34,18.2676535981,2273900,0.0,1.0
1999-12-21,55.5,56.81,55.5,55.94,18.4657127263,2411000,0.0,1.0
1999-12-22,56.44,56.75,55.31,56.75,18.7330925495,1729500,0.0,1.0
1999-12-23,56.31,59.75,55.81,59.31,19.640203357,3476300,0.188,1.0
1999-12-27,58.75,59.56,58.25,58.25,19.2891897748,1256400,0.0,1.0
1999-12-28,58.25,59.44,57.88,58.13,19.2494523882,1498300,0.0,1.0
1999-12-29,58.38,59.75,58.13,59.69,19.7660384148,1494000,0.0,1.0
1999-12-30,59.5,59.5,58.19,58.25,19.2891897748,1169800,0.0,1.0
1999-12-31,53.0,56.44,53.0,56.13,18.5871626105,1909100,0.0,1.0
2000-01-03,55.63,55.69,54.88,54.94,18.1931001928,3619900,0.0,1.0
2000-01-04,53.94,55.56,53.75,54.19,17.9447415262,3981500,0.0,1.0
2000-01-05,54.06,55.0,53.5,54.88,18.1732314995,2413100,0.0,1.0
2000-01-06,54.38,58.06,54.06,57.75,19.1236173304,4002500,0.0,1.0
2000-01-07,58.44,60.06,58.13,58.81,19.4746309126,3684300,0.0,1.0
2000-01-10,58.75,59.56,57.88,59.38,19.6633834992,2650800,0.0,1.0
2000-01-11,59.56,60.88,58.44,60.69,20.0971833036,2762800,0.0,1.0
2000-01-12,60.06,61.06,59.06,59.19,19.6004659704,2383800,0.0,1.0
2000-01-13,59.38,61.5,59.38,60.88,20.1601008325,2215500,0.0,1.0
2000-01-14,61.19,62.38,60.25,61.5,20.3654106636,2170200,0.0,1.0
2000-01-18,62.0,66.75,61.75,66.13,21.8986114989,5107600,0.0,1.0
2000-01-19,66.0,66.5,65.06,65.88,21.8158252767,3447100,0.0,1.0
2000-01-20,64.81,65.25,63.25,64.56,21.3787140234,2538400,0.0,1.0
2000-01-21,64.94,67.63,64.88,66.0,21.8555626633,4489300,0.0,1.0
2000-01-24,66.25,66.94,64.0,64.31,21.2959278012,2732200,0.0,1.0
2000-01-25,63.31,64.75,62.5,63.5,21.0277004413,3067800,0.0,1.0
2000-01-26,64.25,65.0,61.56,62.88,20.8223906102,3399800,0.0,1.0
2000-01-27,62.63,64.5,61.31,62.5,20.6965555524,4099000,0.0,1.0
2000-01-28,62.13,63.25,59.75,60.0,19.8686933303,3302100,0.0,1.0
2000-01-31,60.38,61.56,59.75,61.06,20.2197069125,2401600,0.0,1.0
2000-02-01,61.94,64.06,61.75,63.94,21.1734041923,1944200,0.0,1.0
2000-02-02,64.5,65.12,61.25,61.5,20.3654106636,3166500,0.0,1.0
2000-02-03,62.0,62.25,60.75,61.31,20.3024931347,2372200,0.0,1.0
2000-02-04,59.5,61.31,58.75,59.5,19.7031208859,3119300,0.0,1.0
2000-02-07,59.13,61.5,59.13,60.69,20.0971833036,2228000,0.0,1.0
2000-02-08,61.13,61.69,58.75,59.5,19.7031208859,1609300,0.0,1.0
2000-02-09,59.5,60.31,56.94,57.06,18.8951273571,2965700,0.0,1.0
2000-02-10,58.0,59.63,57.5,59.06,19.5574171348,3556400,0.0,1.0
2000-02-11,59.5,60.19,58.31,58.44,19.3521073037,2522500,0.0,1.0
2000-02-14,58.44,60.5,57.5,60.5,20.0342657747,2375300,0.0,1.0
2000-02-15,61.5,65.25,61.31,65.0,21.5244177745,5461100,0.0,1.0
2000-02-16,65.81,66.38,65.06,66.0,21.8555626633,5753500,0.0,1.0
2000-02-17,65.5,67.69,64.75,66.88,22.1469701655,5153400,0.0,1.0
2000-02-18,67.19,67.75,65.88,66.5,22.0211351078,2887200,0.0,1.0
2000-02-22,65.88,66.75,64.25,65.31,21.6893279291,2529500,0.188,1.0
2000-02-23,64.5,65.13,63.75,64.5,21.4203284555,2017400,0.0,1.0
2000-02-24,64.5,68.69,64.38,68.44,22.7287950309,6011400,0.0,1.0
2000-02-25,68.25,69.25,66.88,67.0,22.2505737445,3789900,0.0,1.0
2000-02-28,66.63,70.19,66.56,69.25,22.9977945046,3770300,0.0,1.0
2000-02-29,70.5,73.88,70.31,73.86,24.5287668174,4787300,0.0,1.0
2000-03-01,75.81,82.13,75.0,77.06,25.5914807873,7773900,0.0,1.0
2000-03-02,81.0,84.38,80.63,81.63,27.1091691756,9986900,0.0,1.0
