dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,30.19,30.63,29.44,29.69,16.8592408618,144100,0.0,1.0
1999-11-02,29.13,30.38,29.13,29.94,17.0012014619,142400,0.0,1.0
1999-11-03,29.88,31.13,29.88,29.88,16.9671309178,284900,0.0,1.0
1999-11-04,29.88,29.94,28.88,28.88,16.3992885177,131100,0.0,1.0
1999-11-05,29.5,29.94,29.5,29.88,16.9671309178,141900,0.0,1.0
1999-11-08,29.63,30.0,29.38,29.81,16.9273819498,72700,0.0,1.0
1999-11-09,29.81,29.81,29.19,29.63,16.8251703178,134800,0.0,1.0
1999-11-10,29.56,30.38,29.56,30.19,17.1431620619,142800,0.0,1.0
1999-11-11,30.06,30.25,29.56,29.81,16.9273819498,96800,0.0,1.0
1999-11-12,30.06,30.5,30.0,30.25,17.1772326059,236500,0.0,1.0
1999-11-15,30.19,30.63,29.88,30.56,17.35326375,161000,0.0,1.0
1999-11-16,30.31,30.94,30.31,30.88,17.534973318,174600,0.0,1.0
1999-11-17,30.44,31.13,30.44,30.75,17.5917575581,388600,0.23,1.0
1999-11-18,30.81,31.06,30.38,30.5,17.4487351389,123200,0.0,1.0
1999-11-19,30.38,30.44,29.81,29.88,17.0940395393,233700,0.0,1.0
1999-11-22,29.88,30.75,29.88,30.38,17.3800843777,239700,0.0,1.0
1999-11-23,30.44,30.75,30.38,30.5,17.4487351389,202200,0.0,1.0
1999-11-24,30.5,30.56,30.06,30.19,17.2713873391,318800,0.0,1.0
1999-11-26,30.25,30.63,30.25,30.5,17.4487351389,148300,0.0,1.0
1999-11-29,30.5,30.56,30.5,30.5,17.4487351389,172900,0.0,1.0
1999-11-30,30.5,30.81,30.25,30.25,17.3057127197,244600,0.0,1.0
1999-12-01,30.25,30.56,30.19,30.38,17.3800843777,211100,0.0,1.0
1999-12-02,30.19,30.63,29.75,30.06,17.1970156811,233100,0.0,1.0
1999-12-03,30.0,31.13,30.0,30.81,17.6260829387,124200,0.0,1.0
1999-12-06,30.5,30.5,29.44,29.94,17.1283649199,237600,0.0,1.0
1999-12-07,29.88,29.94,29.0,29.19,16.6992976624,127300,0.0,1.0
1999-12-08,29.19,29.31,28.75,29.0,16.5906006239,114900,0.0,1.0
1999-12-09,29.19,29.69,29.0,29.13,16.6649722818,180400,0.0,1.0
1999-12-10,29.19,29.25,28.75,28.75,16.4475782047,99100,0.0,1.0
1999-12-13,28.75,28.75,28.38,28.5,16.3045557855,224900,0.0,1.0
1999-12-14,28.38,28.81,28.25,28.69,16.4132528241,202900,0.0,1.0
1999-12-15,28.69,28.69,27.75,27.81,15.9098139086,179900,0.0,1.0
1999-12-16,27.38,27.38,26.75,26.88,15.3777705093,444900,0.0,1.0
1999-12-17,27.06,28.94,27.0,28.94,16.5562752433,666100,0.0,1.0
1999-12-20,28.69,28.81,27.94,28.06,16.0528363278,321600,0.0,1.0
1999-12-21,27.81,28.88,27.69,28.38,16.2359050243,374800,0.0,1.0
1999-12-22,28.25,28.75,27.63,27.69,15.8411631474,320700,0.0,1.0
1999-12-23,27.75,28.25,27.63,27.63,15.8068377668,274500,0.0,1.0
1999-12-27,27.69,27.75,27.13,27.19,15.5551183091,512500,0.0,1.0
