dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,26.38,26.44,26.06,26.19,3.85804793364,1817300,0.0,1.0
1999-11-04,26.19,26.56,25.81,25.88,3.81238184507,1786700,0.0,1.0
1999-11-05,26.13,26.5,26.06,26.13,3.84920933585,2500200,0.0,1.0
1999-11-08,26.13,26.19,25.81,25.94,3.82122044286,1929700,0.0,1.0
1999-11-09,25.81,25.88,25.31,25.56,3.76524265688,2293800,0.0,1.0
1999-11-10,24.88,25.19,24.81,25.06,3.69158767533,3414100,0.0,1.0
1999-11-11,24.81,25.25,24.81,25.19,3.71073797053,1730700,0.0,1.0
1999-11-12,25.38,25.5,25.13,25.19,3.71073797053,1609700,0.0,1.0
1999-11-15,25.13,25.31,24.88,25.06,3.69158767533,1138800,0.0,1.0
1999-11-16,25.0,25.13,24.81,24.94,3.67391047976,1741500,0.0,1.0
1999-11-17,24.94,25.0,24.38,24.44,3.60025549821,2877500,0.0,1.0
1999-11-18,24.81,24.81,24.31,24.44,3.60025549821,1772600,0.0,1.0
1999-11-19,24.31,24.56,24.19,24.44,3.60025549821,2065100,0.0,1.0
1999-11-22,24.38,24.38,23.88,24.0,3.53543911444,1594500,0.0,1.0
1999-11-23,23.75,23.88,23.44,23.44,3.45294553511,2165400,0.0,1.0
1999-11-24,23.44,23.69,23.44,23.56,3.47062273068,1828600,0.0,1.0
1999-11-26,23.5,23.63,23.38,23.56,3.47062273068,912700,0.0,1.0
1999-11-29,23.38,23.38,22.56,22.81,3.36014025835,2681600,0.0,1.0
1999-11-30,22.81,23.63,22.75,23.38,3.44410693732,3163500,0.0,1.0
1999-12-01,23.31,23.69,23.25,23.44,3.45294553511,3021600,0.0,1.0
1999-12-02,23.44,23.88,23.38,23.75,3.49861162367,2207300,0.0,1.0
1999-12-03,23.81,24.19,23.81,23.94,3.52660051666,3732300,0.0,1.0
1999-12-06,23.88,24.06,23.69,23.69,3.48977302588,1664200,0.0,1.0
1999-12-07,23.75,23.81,23.25,23.25,3.42495664212,1962300,0.0,1.0
1999-12-08,23.44,23.56,23.0,23.0,3.38812915134,2481200,0.0,1.0
1999-12-09,22.81,23.0,22.06,22.06,3.24965778603,4036000,0.0,1.0
1999-12-10,22.13,22.69,22.13,22.63,3.33362446499,2596800,0.0,1.0
1999-12-13,22.5,22.56,22.25,22.39,3.29827007385,2718400,0.0,1.0
1999-12-14,22.31,22.81,22.31,22.69,3.34246306278,3706900,0.0,1.0
1999-12-15,22.69,23.5,22.63,23.44,3.45294553511,3255100,0.0,1.0
1999-12-16,23.38,23.44,23.13,23.13,3.40727944654,2415600,0.0,1.0
1999-12-17,23.13,23.63,23.06,23.56,3.47062273068,4293800,0.0,1.0
1999-12-20,23.31,23.38,23.13,23.23,3.42201044286,3019300,0.0,1.0
1999-12-21,23.06,23.88,23.06,23.25,3.42495664212,2016300,0.0,1.0
1999-12-22,23.31,23.75,23.25,23.56,3.47062273068,1295300,0.0,1.0
1999-12-23,23.75,24.0,23.69,23.81,3.50745022145,1320600,0.0,1.0
1999-12-27,23.81,24.19,23.63,23.63,3.4809344281,1612200,0.0,1.0
1999-12-28,23.75,24.0,23.75,23.75,3.49861162367,1584800,0.0,1.0
1999-12-29,23.81,23.94,23.44,23.44,3.45294553511,1485100,0.0,1.0
1999-12-30,23.5,23.75,23.31,23.69,3.48977302588,1543400,0.0,1.0
1999-12-31,23.56,23.69,23.44,23.5,3.46178413289,883200,0.0,1.0
2000-01-03,23.06,23.31,22.75,22.75,3.35130166057,3706300,0.0,1.0
2000-01-04,22.63,23.13,22.63,23.0,3.38812915134,2302300,0.0,1.0
2000-01-05,23.13,24.38,23.13,24.31,3.581105203,3067600,0.0,1.0
2000-01-06,24.44,24.69,24.19,24.25,3.57226660522,2570600,0.0,1.0
2000-01-07,24.56,24.81,24.44,24.69,3.63708298898,2744300,0.0,1.0
2000-01-10,24.56,24.81,24.38,24.5,3.60909409599,1778100,0.0,1.0
2000-01-11,24.38,24.56,24.25,24.31,3.581105203,1359300,0.0,1.0
2000-01-12,24.25,24.94,24.25,24.75,3.64592158677,2019800,0.0,1.0
2000-01-13,24.69,24.75,24.31,24.44,3.60025549821,2112100,0.0,1.0
2000-01-14,24.38,24.5,23.94,24.13,3.55458940965,1676000,0.0,1.0
2000-01-18,23.69,23.81,23.38,23.38,3.44410693732,1491800,0.0,1.0
