dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,22.44,22.94,22.44,22.56,7.65169456969,195959,0.505,1.0
1999-11-04,22.63,22.94,22.5,22.5,7.63134431818,160792,0.0,1.0
1999-11-05,22.38,22.56,22.38,22.44,7.61099406666,134221,0.0,1.0
1999-11-08,22.44,23.0,22.44,22.81,7.73648728434,468211,0.0,1.0
1999-11-09,22.81,23.06,22.69,22.88,7.76022924444,627636,0.0,1.0
1999-11-10,23.0,23.19,22.75,23.06,7.82127999899,517250,0.0,1.0
1999-11-11,23.19,23.19,23.0,23.06,7.82127999899,328715,0.0,1.0
1999-11-12,23.13,23.44,23.13,23.38,7.92981467373,280946,0.0,1.0
1999-11-15,23.25,23.31,23.13,23.25,7.88572246212,205044,0.0,1.0
1999-11-16,23.44,23.5,23.25,23.44,7.95016492525,232787,0.0,1.0
1999-11-17,23.56,23.56,23.25,23.44,7.95016492525,212957,0.0,1.0
1999-11-18,23.5,23.69,23.44,23.56,7.99086542828,149558,0.0,1.0
1999-11-19,23.56,23.81,23.5,23.81,8.07565814293,172124,0.0,1.0
1999-11-22,24.5,24.5,23.69,23.81,8.07565814293,376288,0.0,1.0
1999-11-23,23.81,24.06,23.44,23.88,8.09940010303,194396,0.0,1.0
1999-11-24,23.75,24.0,23.44,23.56,7.99086542828,111949,0.0,1.0
1999-11-26,23.69,23.88,23.19,23.25,7.88572246212,81177,0.0,1.0
1999-11-29,23.31,23.75,23.06,23.06,7.82127999899,195764,0.0,1.0
1999-11-30,23.06,23.44,23.0,23.31,7.90607271363,430309,0.0,1.0
1999-12-01,23.25,23.88,23.25,23.88,8.09940010303,388206,0.0,1.0
1999-12-02,23.69,24.0,23.69,23.75,8.05530789141,228000,0.0,1.0
1999-12-03,23.81,24.31,23.81,24.25,8.2248933207,239527,0.0,1.0
1999-12-06,24.38,24.38,24.06,24.19,8.20454306919,411065,0.0,1.0
1999-12-07,24.06,24.38,23.38,23.81,8.07565814293,180622,0.0,1.0
1999-12-08,23.69,23.75,23.19,23.25,7.88572246212,271764,0.0,1.0
1999-12-09,23.38,23.44,23.0,23.31,7.90607271363,194201,0.0,1.0
1999-12-10,22.94,23.25,22.63,22.63,7.6754365298,193517,0.0,1.0
1999-12-13,22.44,22.88,22.0,22.25,7.54655160353,405497,0.0,1.0
1999-12-14,22.13,22.25,20.81,21.06,7.14293828182,679703,0.0,1.0
1999-12-15,21.19,21.25,20.44,21.0,7.1225880303,627538,0.0,1.0
1999-12-16,21.0,21.31,20.75,20.94,7.10223777879,388890,0.0,1.0
1999-12-17,20.75,22.19,20.62,22.06,7.4821091404,645903,0.0,1.0
1999-12-20,22.31,23.38,22.31,23.06,7.82127999899,527995,0.0,1.0
1999-12-21,22.5,22.75,22.06,22.5,7.63134431818,472900,0.0,1.0
1999-12-22,22.38,22.56,21.81,22.5,7.63134431818,335162,0.0,1.0
1999-12-23,22.63,22.63,21.75,22.5,7.63134431818,397486,0.0,1.0
1999-12-27,22.31,22.63,22.25,22.38,7.59064381515,190879,0.0,1.0
1999-12-28,22.5,22.75,22.25,22.25,7.54655160353,320216,0.0,1.0
1999-12-29,22.31,23.13,22.31,22.94,7.78057949596,294329,0.0,1.0
1999-12-30,23.0,23.56,22.69,23.06,7.82127999899,185018,0.0,1.0
1999-12-31,22.81,23.0,22.75,22.94,7.78057949596,137836,0.0,1.0
2000-01-03,22.81,23.06,22.31,22.62,7.67204482121,336335,0.0,1.0
2000-01-04,22.56,22.69,21.88,22.38,7.59064381515,347666,0.0,1.0
2000-01-05,22.0,22.63,22.0,22.38,7.59064381515,237671,0.0,1.0
2000-01-06,22.63,23.13,22.5,23.13,7.84502195909,210612,0.0,1.0
2000-01-07,23.06,24.19,23.0,24.13,8.18419281767,298237,0.0,1.0
2000-01-10,24.25,24.38,23.69,24.38,8.26898553232,313183,0.0,1.0
2000-01-11,24.63,24.75,24.19,24.31,8.24524357222,369353,0.0,1.0
2000-01-12,24.06,24.31,23.94,24.31,8.24524357222,405008,0.0,1.0
2000-01-13,24.13,24.31,23.94,24.31,8.24524357222,316309,0.0,1.0
2000-01-14,24.31,24.69,24.25,24.69,8.37412849848,396412,0.0,1.0
2000-01-18,24.69,24.94,24.5,24.81,8.41482900151,386350,0.0,1.0
2000-01-19,24.75,25.0,24.69,24.94,8.45892121313,241774,0.0,1.0
2000-01-20,25.0,25.06,24.81,25.06,8.49962171616,169877,0.0,1.0
2000-01-21,24.94,25.38,24.94,25.38,8.60815639091,343466,0.0,1.0
2000-01-24,25.25,25.5,24.94,25.13,8.52336367626,223214,0.0,1.0
2000-01-25,25.13,25.25,24.81,24.88,8.43857096161,288468,0.0,1.0
2000-01-26,24.81,24.94,24.75,24.94,8.45892121313,185507,0.0,1.0
2000-01-27,25.06,25.13,24.88,25.06,8.49962171616,244314,0.0,1.0
2000-01-28,25.06,25.06,24.81,24.94,8.45892121313,115270,0.0,1.0
2000-01-31,25.0,25.06,24.63,24.69,8.37412849848,134319,0.0,1.0
2000-02-01,24.81,25.0,24.63,24.81,8.41482900151,368962,0.0,1.0
2000-02-02,24.25,24.44,24.06,24.25,8.39617460429,419368,0.505,1.0
2000-02-03,24.38,24.63,24.0,24.63,8.52774352592,485600,0.0,1.0
2000-02-04,24.56,24.75,24.5,24.75,8.56929160644,353918,0.0,1.0
2000-02-07,24.75,24.81,24.5,24.63,8.52774352592,254180,0.0,1.0
2000-02-08,24.44,24.69,24.13,24.38,8.44118502485,441738,0.0,1.0
2000-02-09,24.31,24.44,24.06,24.31,8.41694864455,281435,0.0,1.0
2000-02-10,24.5,24.94,24.06,24.19,8.37540056403,187949,0.0,1.0
2000-02-11,24.06,24.19,23.88,23.94,8.28884206296,251250,0.0,1.0
2000-02-14,23.88,23.88,23.38,23.56,8.15727314132,233764,0.0,1.0
2000-02-15,23.5,23.5,23.25,23.31,8.07071464025,311034,0.0,1.0
2000-02-16,23.06,23.38,22.88,23.06,7.98415613917,301070,0.0,1.0
2000-02-17,23.13,23.38,23.0,23.25,8.04994059999,317872,0.0,1.0
