dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-01-04,58.38,61.69,57.5,60.88,20.5915342384,717100,0.0,1.0
2001-01-05,60.75,60.88,59.69,59.88,20.2533027299,526700,0.0,1.0
2001-01-08,59.75,60.13,58.88,59.94,20.2735966204,692500,0.0,1.0
2001-01-09,59.38,60.0,57.88,58.25,19.701985371,939700,0.0,1.0
2001-01-10,58.31,59.56,58.31,59.0,19.9556590024,471000,0.0,1.0
2001-01-11,58.88,60.0,58.88,59.81,20.2296265243,456500,0.0,1.0
2001-01-12,59.81,60.0,59.06,60.0,20.2938905109,600400,0.0,1.0
2001-01-16,60.0,61.19,59.75,60.56,20.4833001557,1114200,0.0,1.0
2001-01-17,61.75,62.94,61.63,62.25,21.0549114051,784800,0.0,1.0
2001-01-18,62.13,62.5,61.63,61.94,20.9500596375,877300,0.0,1.0
2001-01-19,62.13,62.44,60.94,62.06,20.9906474185,553800,0.0,1.0
2001-01-22,61.88,62.63,59.25,60.31,20.3987422786,834700,0.0,1.0
2001-01-23,60.38,62.63,60.38,61.75,20.8857956508,512200,0.0,1.0
2001-01-24,61.5,62.38,60.75,61.5,20.8012377737,471200,0.0,1.0
2001-01-25,61.63,63.0,60.44,62.75,21.2240271593,831700,0.0,1.0
2001-01-26,62.0,62.13,59.75,61.75,20.8857956508,512100,0.0,1.0
2001-01-29,61.75,61.99,61.15,61.45,20.7843261983,615400,0.0,1.0
2001-01-30,61.21,61.5,59.78,61.14,20.6794744306,718200,0.0,1.0
2001-01-31,62.2,64.0,61.6,63.85,21.5960818187,710300,0.0,1.0
2001-02-01,63.61,63.85,62.78,63.16,21.3627020778,624900,0.0,1.0
2001-02-02,63.25,64.6,63.23,64.08,21.6738750657,539700,0.0,1.0
2001-02-05,63.65,64.74,63.12,64.38,21.7753445182,634500,0.0,1.0
2001-02-06,64.38,64.65,63.55,63.66,21.5318178321,880900,0.0,1.0
2001-02-07,63.25,63.33,61.3,61.66,20.8553548151,785900,0.0,1.0
2001-02-08,61.56,62.01,61.5,61.69,20.8655017603,609400,0.0,1.0
2001-02-09,62.25,62.8,61.0,62.34,21.0853522409,437400,0.0,1.0
2001-02-12,62.75,63.09,62.37,62.86,21.2612326253,514000,0.0,1.0
2001-02-13,61.5,62.73,61.5,62.55,21.1563808576,1062300,0.0,1.0
2001-02-14,61.6,61.6,57.25,58.15,19.6681622202,2533100,0.0,1.0
2001-02-15,58.25,59.43,58.23,59.25,20.0402168795,1367800,0.0,1.0
2001-02-16,59.2,60.05,59.02,59.75,20.2093326338,585700,0.0,1.0
2001-02-20,59.75,60.44,58.8,59.15,20.0063937287,709600,0.0,1.0
2001-02-21,59.3,61.87,59.12,61.11,20.6693274854,850400,0.0,1.0
2001-02-22,61.0,61.25,58.9,59.64,20.2549938875,806500,0.245,1.0
2001-02-23,59.5,59.75,57.76,58.76,19.9561274451,648500,0.0,1.0
2001-02-26,58.6,59.2,57.35,58.07,19.7217889846,569800,0.0,1.0
2001-02-27,59.0,60.35,58.2,59.85,20.3263142885,615100,0.0,1.0
2001-02-28,60.2,60.23,58.81,58.96,20.0240516366,403900,0.0,1.0
2001-03-01,58.98,59.98,58.92,59.36,20.1599000194,401800,0.0,1.0
2001-03-02,59.45,61.2,59.4,60.68,20.6081996829,440400,0.0,1.0
2001-03-05,60.9,60.9,58.56,59.25,20.1225417141,418800,0.0,1.0
2001-03-06,59.25,60.25,59.0,59.83,20.3195218693,298600,0.0,1.0
2001-03-07,59.75,59.75,58.0,58.1,19.7319776134,506700,0.0,1.0
2001-03-08,58.3,59.28,58.25,59.24,20.1191455046,591700,0.0,1.0
2001-03-09,59.24,59.6,58.6,59.42,20.1802772769,425200,0.0,1.0
2001-03-12,59.1,59.11,56.09,56.09,19.0493394894,645200,0.0,1.0
2001-03-13,56.15,57.48,55.44,57.1,19.3923566562,604400,0.0,1.0
2001-03-14,56.75,57.55,56.0,57.08,19.385564237,814500,0.0,1.0
2001-03-15,56.8,59.0,56.13,58.68,19.9289577685,579400,0.0,1.0
2001-03-16,57.5,58.05,56.74,57.34,19.4738656859,1013200,0.0,1.0
2001-03-19,57.34,57.49,55.7,56.83,19.3006589977,401200,0.0,1.0
2001-03-20,56.7,57.75,55.85,56.6,19.2225461776,359700,0.0,1.0
2001-03-21,56.68,56.7,55.41,55.62,18.8897176395,542500,0.0,1.0
2001-03-22,55.62,56.0,54.09,55.83,18.9610380405,683900,0.0,1.0
2001-03-23,55.65,56.44,55.01,56.38,19.147829567,411800,0.0,1.0
2001-03-26,56.55,57.94,56.35,57.91,19.6674496315,339600,0.0,1.0
2001-03-27,57.75,57.85,57.0,57.8,19.6300913262,491800,0.0,1.0
2001-03-28,57.85,57.9,56.94,56.95,19.3414135126,593800,0.0,1.0
2001-03-29,56.9,58.64,56.8,58.64,19.9153729303,826500,0.0,1.0
2001-03-30,58.83,59.65,57.58,59.65,20.258390097,519400,0.0,1.0
2001-04-02,59.05,59.75,58.5,58.97,20.0274478461,642200,0.0,1.0
2001-04-03,58.97,59.09,57.84,57.95,19.6810344698,580200,0.0,1.0
2001-04-04,58.15,59.9,57.95,58.85,19.9866933313,708500,0.0,1.0
2001-04-05,59.5,61.8,59.49,61.52,20.893481287,800700,0.0,1.0
2001-04-06,59.85,60.09,58.8,59.04,20.0512213131,732000,0.0,1.0
2001-04-09,59.5,60.4,59.4,59.56,20.2278242109,417200,0.0,1.0
2001-04-10,59.8,61.29,59.75,60.98,20.7100859701,792700,0.0,1.0
2001-04-11,62.5,62.5,60.3,60.3,20.4791437192,904700,0.0,1.0
2001-04-12,60.35,62.74,60.35,62.74,21.3078188548,708200,0.0,1.0
2001-04-16,62.6,62.69,61.72,62.32,21.1651780527,442400,0.0,1.0
2001-04-17,62.32,63.4,61.35,63.35,21.5149876387,751300,0.0,1.0
2001-04-18,63.45,64.99,62.88,64.89,22.0380039128,762800,0.0,1.0
2001-04-19,64.98,65.0,63.23,63.96,21.7221564226,721000,0.0,1.0
2001-04-20,63.9,64.7,63.13,64.5,21.9055517394,1477400,0.0,1.0
2001-04-23,64.5,64.75,64.09,64.2,21.8036654523,763800,0.0,1.0
2001-04-24,64.3,65.81,64.25,64.73,21.9836645596,685600,0.0,1.0
2001-04-25,64.65,66.1,64.6,66.1,22.448945271,760500,0.0,1.0
2001-04-26,64.75,65.8,64.75,65.26,22.1636636669,806100,0.0,1.0
2001-04-27,65.3,65.76,64.82,65.75,22.3300779359,293300,0.0,1.0
2001-04-30,65.95,65.98,64.45,64.78,22.0006456075,458500,0.0,1.0
2001-05-01,64.53,65.75,64.35,65.64,22.2927196307,423100,0.0,1.0
2001-05-02,65.4,65.62,64.86,65.41,22.2146068105,361700,0.0,1.0
2001-05-03,65.2,65.53,64.5,65.47,22.2349840679,576100,0.0,1.0
2001-05-04,65.24,66.44,64.62,65.97,22.4047945465,468700,0.0,1.0
2001-05-07,65.72,66.59,65.01,65.5,22.2451726966,734800,0.0,1.0
2001-05-08,65.6,66.22,65.35,65.85,22.3640400317,337500,0.0,1.0
2001-05-09,65.65,66.75,65.6,66.66,22.639133007,359200,0.0,1.0
2001-05-10,66.73,67.25,66.55,67.1,22.7885662282,375400,0.0,1.0
2001-05-11,67.1,67.48,66.21,67.26,22.8429055813,512900,0.0,1.0
2001-05-14,67.26,67.99,67.26,67.78,23.0195084791,413400,0.0,1.0
2001-05-15,67.6,68.4,67.5,68.4,23.2300734725,1261600,0.0,1.0
2001-05-16,68.45,70.0,68.25,70.0,23.7734670041,848600,0.0,1.0
2001-05-17,70.0,70.87,69.95,70.45,23.9262964348,857700,0.0,1.0
