dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,20.63,20.63,20.0,20.13,9.71968692433,680200,0.0,1.0
1999-11-04,20.25,20.5,20.19,20.25,9.77762842612,387100,0.0,1.0
1999-11-05,20.38,20.5,20.06,20.13,9.71968692433,345100,0.0,1.0
1999-11-08,20.19,20.25,20.0,20.19,9.74865767522,261800,0.0,1.0
1999-11-09,20.25,20.25,19.69,19.81,9.56517625291,283000,0.0,1.0
1999-11-10,19.75,19.94,19.5,19.5,9.41549403996,191400,0.0,1.0
1999-11-11,19.69,19.75,19.44,19.69,9.50723475112,230100,0.0,1.0
1999-11-12,19.63,19.94,19.56,19.69,9.50723475112,366800,0.0,1.0
1999-11-15,19.56,19.69,19.44,19.69,9.50723475112,224600,0.0,1.0
1999-11-16,19.75,20.0,19.56,19.94,9.62794621317,355400,0.0,1.0
1999-11-17,19.5,19.88,19.25,19.5,9.41549403996,346500,0.0,1.0
1999-11-18,19.56,19.63,19.06,19.06,9.20304186675,366100,0.0,1.0
1999-11-19,18.88,19.0,18.75,18.88,9.11612961408,370200,0.0,1.0
1999-11-22,18.88,18.94,18.19,18.38,8.87470668998,1033500,0.0,1.0
1999-11-23,18.44,18.44,18.06,18.13,8.75399522792,507800,0.0,1.0
1999-11-24,18.13,18.25,18.06,18.06,8.72019601855,469500,0.0,1.0
1999-11-26,18.13,18.13,17.81,17.88,8.63328376587,243900,0.0,1.0
1999-11-29,17.75,17.75,17.19,17.31,8.3580616324,695300,0.0,1.0
1999-11-30,17.56,18.69,17.25,18.5,8.93264819176,827300,0.0,1.0
1999-12-01,18.75,18.75,18.13,18.19,8.78296597882,759000,0.0,1.0
1999-12-02,18.38,18.5,18.19,18.25,8.81193672971,337100,0.0,1.0
1999-12-03,18.25,18.63,18.13,18.25,8.81193672971,325200,0.0,1.0
1999-12-06,18.19,18.69,18.19,18.5,8.93264819176,549000,0.0,1.0
1999-12-07,18.31,18.56,18.31,18.44,8.90367744087,571500,0.0,1.0
1999-12-08,18.56,18.81,18.5,18.56,8.96161894265,622100,0.0,1.0
1999-12-09,18.56,18.56,18.0,18.25,8.81193672971,766700,0.0,1.0
1999-12-10,18.25,18.31,18.0,18.0,8.69122526766,203600,0.0,1.0
1999-12-13,18.0,18.13,17.63,17.75,8.57051380561,965100,0.0,1.0
1999-12-14,17.88,18.13,17.81,17.88,8.63328376587,473300,0.0,1.0
1999-12-15,17.88,18.38,17.81,18.31,8.8409074806,905700,0.0,1.0
1999-12-16,18.25,18.75,18.25,18.69,9.02438890292,14215800,0.0,1.0
1999-12-17,18.31,18.31,17.88,18.0,8.87953514846,1012900,0.39,1.0
1999-12-20,17.75,17.94,17.56,17.63,8.69701137041,536100,0.0,1.0
1999-12-21,17.63,18.13,17.63,17.81,8.78580672189,487500,0.0,1.0
1999-12-22,17.88,18.06,17.81,17.88,8.82033824747,308800,0.0,1.0
1999-12-23,18.0,18.13,17.94,18.13,8.94366512453,347400,0.0,1.0
1999-12-27,18.0,18.13,17.94,17.94,8.84993669796,475800,0.0,1.0
1999-12-28,17.88,18.13,17.88,17.94,8.84993669796,1327200,0.0,1.0
1999-12-29,17.88,18.0,17.5,17.63,8.69701137041,369500,0.0,1.0
1999-12-30,17.56,17.75,17.44,17.44,8.60328294384,424700,0.0,1.0
1999-12-31,17.38,17.44,17.13,17.38,8.57368449334,352300,0.0,1.0
2000-01-03,17.25,17.31,17.13,17.31,8.53915296777,512400,0.0,1.0
2000-01-04,17.25,17.75,17.25,17.5,8.63288139433,731100,0.0,1.0
2000-01-05,17.75,18.19,17.69,18.0,8.87953514846,1481700,0.0,1.0
2000-01-06,18.0,18.5,17.75,18.38,9.06699200159,427300,0.0,1.0
2000-01-07,18.44,18.5,17.88,18.0,8.87953514846,460000,0.0,1.0
2000-01-10,18.13,18.19,17.75,17.81,8.78580672189,427700,0.0,1.0
2000-01-11,17.06,17.06,16.25,16.88,8.32703073922,1899000,0.0,1.0
2000-01-12,16.81,17.63,16.75,17.63,8.69701137041,864200,0.0,1.0
2000-01-13,17.44,17.69,17.19,17.5,8.63288139433,437400,0.0,1.0
2000-01-14,17.38,17.44,16.88,17.44,8.60328294384,726000,0.0,1.0
2000-01-18,17.31,17.44,17.06,17.31,8.53915296777,699000,0.0,1.0
2000-01-19,17.38,17.38,17.0,17.25,8.50955451727,2051500,0.0,1.0
2000-01-20,17.06,17.19,17.06,17.19,8.47995606678,545900,0.0,1.0
2000-01-21,17.19,17.44,17.0,17.44,8.60328294384,824500,0.0,1.0
2000-01-24,17.19,17.38,17.13,17.19,8.47995606678,559400,0.0,1.0
2000-01-25,17.13,17.44,16.94,17.25,8.50955451727,570200,0.0,1.0
2000-01-26,18.81,19.13,18.0,18.63,9.19031887865,4601100,0.0,1.0
2000-01-27,18.5,18.5,18.06,18.31,9.03246047601,1234600,0.0,1.0
2000-01-28,18.25,18.31,17.94,18.13,8.94366512453,899100,0.0,1.0
2000-01-31,18.13,18.69,18.06,18.56,9.15578735308,636700,0.0,1.0
