dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,27.25,27.5,26.31,27.19,15.8188021956,321200,0.0,1.0
1999-11-04,27.44,27.5,27.06,27.25,15.8537094458,136700,0.0,1.0
1999-11-05,27.5,28.88,27.31,27.5,15.9991563214,188000,0.0,1.0
1999-11-08,27.25,28.38,27.13,27.69,16.1096959469,303900,0.0,1.0
1999-11-09,27.63,29.5,27.13,29.44,17.1278240765,451300,0.0,1.0
1999-11-10,31.25,32.0,30.0,30.38,17.6747043289,635700,0.0,1.0
1999-11-11,30.44,31.13,30.06,30.44,17.7096115791,300200,0.0,1.0
1999-11-12,30.44,31.38,30.25,31.13,18.1110449559,270100,0.0,1.0
1999-11-15,31.06,31.06,30.25,30.25,17.5990719536,214200,0.0,1.0
1999-11-16,30.25,33.63,30.25,32.94,19.1640803356,437300,0.0,1.0
1999-11-17,32.88,33.44,32.38,32.69,19.0186334599,476000,0.0,1.0
1999-11-18,32.75,33.19,32.38,32.81,19.0884479602,298900,0.0,1.0
1999-11-19,32.56,33.0,32.06,32.06,18.6521073333,339800,0.0,1.0
1999-11-22,31.81,32.13,31.31,31.56,18.361213582,224000,0.0,1.0
1999-11-23,31.31,31.44,30.75,31.0,18.1634058311,210400,0.22,1.0
1999-11-24,30.81,31.75,30.5,31.25,18.3098849104,234600,0.0,1.0
1999-11-26,31.25,31.31,30.75,30.75,18.0169267518,56100,0.0,1.0
1999-11-29,30.0,31.5,30.0,30.94,18.1282508521,238200,0.0,1.0
1999-11-30,30.75,31.63,30.63,31.13,18.2395749523,122600,0.0,1.0
1999-12-01,30.88,31.25,30.69,31.06,18.1985608101,254000,0.0,1.0
1999-12-02,31.13,31.25,30.69,30.94,18.1282508521,87300,0.0,1.0
1999-12-03,31.13,31.88,31.13,31.38,18.3860540316,303200,0.0,1.0
1999-12-06,31.13,32.38,31.13,32.13,18.8254912695,291600,0.0,1.0
1999-12-07,31.5,32.5,31.31,31.44,18.4212090106,124500,0.0,1.0
1999-12-08,31.56,31.94,31.38,31.75,18.6028430689,89300,0.0,1.0
1999-12-09,31.69,32.0,31.25,31.31,18.3450398894,134700,0.0,1.0
1999-12-10,31.5,31.75,30.0,31.13,18.2395749523,144900,0.0,1.0
1999-12-13,31.31,31.44,30.81,31.19,18.2747299313,238100,0.0,1.0
1999-12-14,31.19,31.88,30.94,30.94,18.1282508521,320600,0.0,1.0
1999-12-15,30.75,30.81,29.75,29.88,17.5071795559,166700,0.0,1.0
1999-12-16,30.0,30.0,29.38,29.75,17.4310104347,278400,0.0,1.0
1999-12-17,29.81,29.81,29.81,29.81,17.4661654137,305300,0.0,1.0
1999-12-20,29.31,29.38,28.31,28.94,16.9564182178,112400,0.0,1.0
1999-12-21,28.94,29.75,28.63,29.69,17.3958554557,168300,0.0,1.0
1999-12-22,29.69,30.44,29.69,30.06,17.612644493,271900,0.0,1.0
1999-12-23,30.0,30.25,29.56,29.88,17.5071795559,122900,0.0,1.0
1999-12-27,29.94,29.94,29.25,29.38,17.2142213973,242200,0.0,1.0
1999-12-28,29.44,30.13,29.38,30.06,17.612644493,234600,0.0,1.0
1999-12-29,30.13,30.13,29.25,29.94,17.5423345349,63800,0.0,1.0
1999-12-30,29.94,30.25,29.75,30.19,17.6888136142,181200,0.0,1.0
1999-12-31,29.94,30.19,29.88,30.13,17.6536586352,84100,0.0,1.0
2000-01-03,29.88,30.13,28.63,28.75,16.8450941175,297300,0.0,1.0
2000-01-04,28.5,28.94,27.94,28.13,16.4818260009,127000,0.0,1.0
2000-01-05,28.13,28.25,27.63,27.69,16.2240228214,121300,0.0,1.0
2000-01-06,27.56,28.5,27.38,27.63,16.1888678424,225100,0.0,1.0
2000-01-07,27.63,28.13,27.38,28.13,16.4818260009,222500,0.0,1.0
2000-01-10,28.06,28.13,27.0,27.88,16.3353469216,160800,0.0,1.0
2000-01-11,27.75,28.13,27.38,27.56,16.1478537002,142000,0.0,1.0
2000-01-12,27.44,29.31,27.31,28.69,16.8099391385,407000,0.0,1.0
2000-01-13,28.69,29.0,28.69,28.75,16.8450941175,135700,0.0,1.0
2000-01-14,28.38,28.38,27.38,27.88,16.3353469216,258700,0.0,1.0
2000-01-18,27.25,27.44,26.81,26.94,15.7845855835,142700,0.0,1.0
2000-01-19,26.69,28.06,26.56,27.69,16.2240228214,353800,0.0,1.0
2000-01-20,27.63,29.13,26.94,27.0,15.8197405626,335600,0.0,1.0
2000-01-21,27.13,27.13,25.69,26.06,15.2689792245,180300,0.0,1.0
2000-01-24,26.06,26.06,25.38,25.5,14.9408660869,122300,0.0,1.0
2000-01-25,25.5,25.5,24.56,25.13,14.7240770495,174000,0.0,1.0
2000-01-26,25.06,25.13,24.0,24.5,14.3549497697,218000,0.0,1.0
2000-01-27,25.5,26.13,25.19,25.25,14.7943870076,308700,0.0,1.0
2000-01-28,25.06,25.38,24.75,24.75,14.501428849,147800,0.0,1.0
2000-01-31,24.75,25.25,24.25,25.13,14.7240770495,187700,0.0,1.0
2000-02-01,25.25,25.56,25.06,25.13,14.7240770495,272300,0.0,1.0
2000-02-02,25.25,26.13,25.25,25.94,15.1986692664,395100,0.0,1.0
2000-02-03,25.88,26.31,25.0,26.13,15.3099933667,192500,0.0,1.0
2000-02-04,25.63,26.25,25.44,25.63,15.0170352081,524300,0.0,1.0
2000-02-07,25.63,25.63,24.69,24.94,14.6127529493,199700,0.0,1.0
2000-02-08,25.13,25.56,24.81,24.94,14.6127529493,174200,0.0,1.0
2000-02-09,24.81,24.94,24.25,24.31,14.2436256695,232500,0.0,1.0
2000-02-10,24.31,24.44,23.5,23.81,13.9506675109,251400,0.0,1.0
2000-02-11,23.75,23.75,23.19,23.19,13.5873993943,149200,0.0,1.0
2000-02-14,23.25,24.06,23.25,23.63,13.8452025738,204000,0.0,1.0
2000-02-15,23.75,25.0,23.75,24.81,14.536583828,237700,0.0,1.0
2000-02-16,24.38,25.0,24.31,24.56,14.3901047488,480300,0.0,1.0
2000-02-17,24.44,25.06,24.44,24.63,14.431118891,152900,0.0,1.0
2000-02-18,24.5,25.25,23.56,23.56,13.8041884316,355000,0.0,1.0
2000-02-22,23.56,25.13,23.56,24.31,14.2436256695,226900,0.0,1.0
2000-02-23,24.19,24.19,23.5,23.5,13.7690334526,210500,0.0,1.0
2000-02-24,23.75,23.75,22.25,22.75,13.3295962148,283600,0.0,1.0
2000-02-25,22.75,23.5,22.5,22.69,13.2944412357,185700,0.0,1.0
2000-02-28,22.69,23.38,22.38,22.88,13.405765336,171900,0.0,1.0
2000-02-29,22.63,23.31,22.5,23.0,13.476075294,182500,0.0,1.0
2000-03-01,22.88,23.44,22.88,23.06,13.5112302731,195800,0.0,1.0
2000-03-02,22.81,23.75,22.81,23.31,13.7866109421,235700,0.22,1.0
2000-03-03,23.13,24.69,22.81,24.25,14.3425703709,226700,0.0,1.0
2000-03-06,23.75,23.94,23.19,23.69,14.0113604984,194600,0.0,1.0
