dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,55.63,58.25,55.38,57.0,25.6883034266,418700,0.0,1.0
1999-11-04,56.75,60.13,56.75,59.0,26.5896474065,278600,0.0,1.0
1999-11-05,59.5,61.5,57.25,57.88,26.0848947777,126400,0.0,1.0
1999-11-08,58.13,60.56,57.75,60.19,27.1259470745,312300,0.0,1.0
1999-11-09,61.13,63.0,60.88,61.75,27.8289953788,531800,0.0,1.0
1999-11-10,61.81,63.94,61.5,63.19,28.4779630443,240800,0.0,1.0
1999-11-11,64.0,64.62,60.25,61.81,27.8560356982,185600,0.0,1.0
1999-11-12,61.81,62.13,60.13,62.06,27.9687036957,69400,0.0,1.0
1999-11-15,61.25,62.19,57.5,58.5,26.3643114115,59300,0.0,1.0
1999-11-16,58.84,63.88,58.75,63.75,28.7303393587,260200,0.0,1.0
1999-11-17,64.0,65.62,63.69,63.94,28.8159670368,296400,0.0,1.0
1999-11-18,65.5,66.0,64.37,64.56,29.0953836705,219900,0.0,1.0
1999-11-19,65.12,67.62,64.5,66.0,29.744351336,284500,0.0,1.0
1999-11-22,67.12,67.62,65.56,66.25,29.8570193335,213200,0.0,1.0
1999-11-23,66.87,66.87,64.12,65.5,29.5190153411,183700,0.0,1.0
1999-11-24,65.44,65.75,62.13,62.94,28.3652950468,86700,0.0,1.0
1999-11-26,66.44,67.5,65.0,65.5,29.5190153411,70000,0.0,1.0
1999-11-29,65.75,66.62,63.88,64.0,28.8430073562,132800,0.0,1.0
1999-11-30,63.63,65.0,60.5,60.5,27.2656553914,207700,0.0,1.0
1999-12-01,60.5,61.75,60.13,60.38,27.2115747526,189700,0.0,1.0
1999-12-02,59.19,61.0,59.19,60.19,27.1259470745,137800,0.0,1.0
1999-12-03,60.44,62.94,60.22,61.88,27.8875827375,90600,0.0,1.0
1999-12-06,62.03,65.31,61.63,64.53,29.0818635108,267300,0.0,1.0
1999-12-07,65.56,66.0,64.56,65.0,29.2936793461,115600,0.0,1.0
1999-12-08,65.87,66.12,62.69,65.0,29.2936793461,120300,0.0,1.0
1999-12-09,66.0,66.25,62.44,63.25,28.5050033637,242300,0.0,1.0
1999-12-10,63.63,65.0,62.5,63.75,28.7303393587,44400,0.0,1.0
1999-12-13,64.75,65.5,62.0,62.38,28.1129187325,53400,0.0,1.0
1999-12-14,62.44,62.88,58.13,58.13,26.1975627752,136900,0.0,1.0
1999-12-15,58.69,58.69,54.25,56.06,25.264671756,278400,0.0,1.0
1999-12-16,56.38,56.38,52.75,55.0,24.7869594467,354000,0.0,1.0
1999-12-17,54.5,56.5,54.5,55.25,24.8996274442,585600,0.0,1.0
1999-12-20,55.0,58.31,55.0,56.38,25.4088867928,296900,0.0,1.0
1999-12-21,56.19,56.63,53.38,56.06,25.264671756,450900,0.0,1.0
1999-12-22,55.88,56.06,52.0,55.13,24.8455468054,185900,0.0,1.0
1999-12-23,53.75,55.13,53.38,54.13,24.3948748155,150700,0.0,1.0
1999-12-27,54.0,55.0,52.5,54.03,24.3498076165,68700,0.0,1.0
1999-12-28,54.38,57.44,53.25,55.38,24.9582148029,85000,0.0,1.0
1999-12-29,55.0,57.0,55.0,56.69,25.5485951097,46700,0.0,1.0
1999-12-30,56.75,58.0,56.0,56.84,25.6161959082,42200,0.0,1.0
1999-12-31,57.5,58.0,56.5,57.31,25.8280117435,22800,0.0,1.0
2000-01-03,58.13,63.0,57.69,62.81,28.3067076881,256000,0.0,1.0
2000-01-04,61.63,61.75,57.19,59.13,26.6482347652,146300,0.0,1.0
2000-01-05,59.19,60.88,57.13,60.66,27.3377629098,205900,0.0,1.0
2000-01-06,58.25,60.81,52.63,54.75,24.6742914492,192700,0.0,1.0
2000-01-07,54.38,60.94,52.5,60.38,27.2115747526,268000,0.0,1.0
2000-01-10,60.0,60.44,55.5,57.09,25.7288639057,169900,0.0,1.0
2000-01-11,56.75,61.25,56.38,57.06,25.715343746,305700,0.0,1.0
2000-01-12,60.88,65.12,60.63,64.73,29.1719979088,963600,0.0,1.0
2000-01-13,64.81,69.37,64.81,69.0,31.0963673059,826700,0.0,1.0
