dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2014-07-31,23.0,24.0,22.6,23.0,20.1291867455,56477500,0.0,1.0
2014-08-01,22.9,23.0,22.67,23.0,20.1291867455,6458100,0.0,1.0
2014-08-04,23.1,23.13,22.9,23.0,20.1291867455,3453900,0.0,1.0
2014-08-05,22.99,23.01,22.67,23.0,20.1291867455,4449000,0.0,1.0
2014-08-06,22.8,22.98,22.67,22.98,20.1116831049,6993400,0.0,1.0
2014-08-07,22.89,23.0,22.8,22.93,20.0679240033,3186900,0.0,1.0
2014-08-08,22.93,23.03,22.8,22.95,20.0854276439,2855000,0.0,1.0
2014-08-11,22.9,22.93,22.8,22.93,20.0679240033,1767500,0.0,1.0
2014-08-12,22.89,23.0,22.83,23.0,20.1291867455,1549700,0.0,1.0
2014-08-13,23.0,23.23,22.88,23.18,20.2867195114,1659100,0.0,1.0
2014-08-14,23.2,23.22,22.95,23.01,20.1379385659,1391700,0.0,1.0
2014-08-15,23.02,23.08,23.0,23.0,20.1291867455,1948100,0.0,1.0
2014-08-18,23.06,23.17,23.02,23.17,20.277967691,1073700,0.0,1.0
2014-08-19,23.2,24.43,23.2,24.41,21.3631934112,2851800,0.0,1.0
2014-08-20,24.3,25.59,24.26,25.19,22.0458353965,3544500,0.0,1.0
2014-08-21,25.47,25.52,24.92,25.39,22.220871803,2358000,0.0,1.0
2014-08-22,25.25,25.43,25.1,25.36,22.194616342,891600,0.0,1.0
2014-08-25,25.37,25.4,24.88,25.12,21.9845726543,1185400,0.0,1.0
2014-08-26,25.0,25.1,24.94,25.05,21.923309912,951000,0.0,1.0
2014-08-27,25.0,25.54,24.95,25.47,22.2908863656,1230600,0.0,1.0
2014-08-28,25.4,25.84,25.31,25.69,22.4834264127,981700,0.0,1.0
2014-08-29,25.81,25.94,25.45,25.79,22.570944616,981200,0.0,1.0
2014-09-02,25.7,25.9,25.52,25.79,22.570944616,1873200,0.0,1.0
2014-09-03,25.99,26.0,25.63,25.79,22.570944616,996500,0.0,1.0
2014-09-04,25.53,25.75,25.51,25.7,22.4921782331,1117500,0.0,1.0
2014-09-05,25.7,26.02,25.62,25.77,22.5534409753,1089800,0.0,1.0
2014-09-08,25.82,25.98,24.62,24.84,21.7395216852,2534800,0.0,1.0
2014-09-09,25.3,25.6,24.7,25.04,21.9145580917,3608600,0.0,1.0
