dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,38.44,38.88,37.56,38.75,11.1543079525,951200,0.0,1.0
1999-11-02,38.88,39.19,37.94,37.94,10.9211469346,1099100,0.0,1.0
1999-11-03,38.19,38.5,37.5,38.31,11.0276525847,817600,0.0,1.0
1999-11-04,38.44,38.63,38.19,38.44,11.0650734888,469800,0.0,1.0
1999-11-05,38.56,39.38,38.56,39.13,11.2636921337,858400,0.0,1.0
1999-11-08,39.38,40.38,39.31,40.31,11.6033588016,928100,0.0,1.0
1999-11-09,41.0,41.06,39.0,39.13,11.2636921337,1257500,0.0,1.0
1999-11-10,39.19,39.5,38.81,39.25,11.2982345067,978000,0.0,1.0
1999-11-11,39.06,39.13,38.38,38.38,11.0478023023,663900,0.0,1.0
1999-11-12,38.63,38.81,37.88,38.44,11.0650734888,717100,0.0,1.0
1999-11-15,38.31,38.81,38.0,38.69,11.137036766,665000,0.0,1.0
1999-11-16,39.13,39.94,38.94,39.38,11.3356554108,997900,0.0,1.0
1999-11-17,39.44,40.0,39.31,39.75,11.4421610609,738200,0.0,1.0
1999-11-18,40.0,40.38,39.69,39.75,11.4421610609,981300,0.0,1.0
1999-11-19,39.75,40.38,39.56,40.06,11.5313955245,455700,0.0,1.0
1999-11-22,39.81,41.13,39.75,40.0,11.514124338,1281800,0.0,1.0
1999-11-23,39.88,39.88,38.94,39.13,11.2636921337,1046200,0.0,1.0
1999-11-24,39.13,39.31,38.63,38.81,11.171579139,790100,0.0,1.0
1999-11-26,38.94,38.94,38.44,38.5,11.0823446754,130000,0.0,1.0
1999-11-29,38.56,38.63,37.44,38.25,11.0103813982,561900,0.0,1.0
1999-11-30,38.13,38.25,37.56,38.06,10.9556893076,528900,0.0,1.0
1999-12-01,37.63,38.69,37.38,38.44,11.0650734888,576000,0.0,1.0
1999-12-02,38.06,38.63,38.06,38.06,10.9556893076,470100,0.0,1.0
1999-12-03,38.25,39.25,38.25,38.56,11.0996158619,663400,0.0,1.0
1999-12-06,38.44,38.56,37.13,37.5,10.7944915669,599300,0.0,1.0
1999-12-07,37.81,37.88,36.94,37.0,10.6505650127,653900,0.0,1.0
1999-12-08,37.06,37.69,36.94,37.44,10.7772203804,544400,0.0,1.0
1999-12-09,37.69,38.31,37.13,37.63,10.831912471,674300,0.0,1.0
1999-12-10,37.63,38.06,37.56,38.0,10.9384181211,271900,0.0,1.0
1999-12-13,37.81,37.94,36.25,36.63,10.5440593625,706400,0.0,1.0
1999-12-14,36.63,37.88,36.5,37.81,10.8837260305,1087300,0.0,1.0
1999-12-15,38.25,38.25,37.38,37.5,10.7944915669,501600,0.0,1.0
1999-12-16,37.38,37.88,37.25,37.63,10.831912471,434300,0.0,1.0
1999-12-17,37.44,37.44,37.44,37.44,10.7772203804,793800,0.0,1.0
1999-12-20,37.5,37.5,36.75,37.06,10.6678361992,724100,0.0,1.0
1999-12-21,36.94,37.19,36.19,36.75,10.5786017356,687900,0.0,1.0
1999-12-22,36.88,37.13,36.31,36.31,10.4519463678,483500,0.0,1.0
1999-12-23,36.06,36.31,35.69,35.94,10.3454407177,736300,0.0,1.0
1999-12-27,36.13,37.94,36.06,37.94,10.9211469346,511100,0.0,1.0
1999-12-28,37.75,38.81,37.75,38.56,11.0996158619,589200,0.0,1.0
1999-12-29,38.63,38.63,37.94,38.19,10.9931102117,325500,0.0,1.0
1999-12-30,38.0,39.38,37.94,39.0,11.2262712296,499700,0.0,1.0
1999-12-31,39.0,39.63,38.81,39.56,11.3874689703,275200,0.0,1.0
2000-01-03,39.0,39.0,38.0,38.12,10.9729604941,616600,0.0,1.0
2000-01-04,37.5,38.31,36.88,36.94,10.6332938262,527100,0.0,1.0
2000-01-05,37.0,38.19,37.0,37.44,10.8117627534,667100,0.12,1.0
2000-01-06,37.0,39.0,36.75,38.81,11.2073854824,778700,0.0,1.0
2000-01-07,38.81,38.94,38.19,38.88,11.2275997824,578700,0.0,1.0
2000-01-10,38.94,39.0,38.13,39.0,11.2622528681,700100,0.0,1.0
2000-01-11,38.88,39.13,38.63,39.0,11.2622528681,681800,0.0,1.0
2000-01-12,39.0,40.75,39.0,40.44,11.6780898971,861300,0.0,1.0
2000-01-13,40.0,40.38,39.69,40.13,11.5885694256,414900,0.0,1.0
2000-01-14,40.56,40.56,39.25,39.38,11.3719876397,619600,0.0,1.0
2000-01-18,39.25,39.31,38.94,39.13,11.299793711,422000,0.0,1.0
2000-01-19,39.0,39.13,38.13,38.19,11.0283445393,442300,0.0,1.0
2000-01-20,38.44,38.44,35.88,36.0,10.3959257244,914000,0.0,1.0
2000-01-21,35.13,35.88,35.0,35.5,10.2515378671,1351500,0.0,1.0
2000-01-24,36.88,37.19,33.88,34.0,9.8183742953,1372100,0.0,1.0
2000-01-25,34.19,35.25,34.13,34.44,9.9454356097,1001700,0.0,1.0
2000-01-26,34.5,35.31,34.38,34.94,10.089823467,646800,0.0,1.0
2000-01-27,34.94,35.81,34.06,34.5,9.96276215258,693000,0.0,1.0
2000-01-28,34.0,34.25,33.38,34.06,9.83570083817,807300,0.0,1.0
2000-01-31,34.06,35.56,33.69,35.56,10.26886441,791200,0.0,1.0
