dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,50.75,51.13,49.63,50.56,15.0051735626,7647100,0.0,1.0
1999-11-04,50.31,50.81,49.5,49.81,14.7825889073,5442700,0.0,1.0
1999-11-05,51.0,51.44,50.5,51.25,15.2099514455,4816700,0.0,1.0
1999-11-08,50.63,51.69,50.63,51.0,15.1357565604,3490600,0.0,1.0
1999-11-09,51.19,51.31,50.75,50.81,15.0793684477,3747700,0.0,1.0
1999-11-10,50.75,51.38,50.44,50.88,15.1001430156,5801200,0.0,1.0
1999-11-11,51.06,51.38,50.69,51.13,15.1743379007,4774000,0.0,1.0
1999-11-12,51.44,51.81,50.75,51.06,15.1535633328,3773000,0.0,1.0
1999-11-15,50.94,51.31,50.25,50.94,15.117949788,3558300,0.0,1.0
1999-11-16,50.94,51.06,49.88,50.69,15.0437549029,6193000,0.0,1.0
1999-11-17,50.56,52.44,50.5,51.63,15.3227276709,5154600,0.0,1.0
1999-11-18,51.88,52.0,50.63,51.34,15.2366616042,5313700,0.0,1.0
1999-11-19,50.0,51.94,50.0,51.5,15.2841463306,5277500,0.0,1.0
1999-11-22,51.44,52.31,50.38,51.38,15.2485327858,6078000,0.0,1.0
1999-11-23,51.31,51.69,50.75,51.13,15.1743379007,4710500,0.0,1.0
1999-11-24,52.0,52.0,50.75,50.94,15.117949788,4564500,0.0,1.0
1999-11-26,51.0,52.88,50.94,52.0,15.4325361008,2666300,0.0,1.0
1999-11-29,52.0,52.25,51.44,52.0,15.4325361008,5189500,0.0,1.0
1999-11-30,52.06,53.88,51.75,51.88,15.396922556,7482200,0.0,1.0
1999-12-01,52.06,52.75,51.56,52.13,15.4711174411,5089900,0.0,1.0
1999-12-02,51.88,52.63,51.0,51.56,15.301953103,3891500,0.0,1.0
1999-12-03,52.88,53.94,52.38,53.5,15.8777054114,5235100,0.0,1.0
1999-12-06,53.88,54.0,52.56,53.06,15.7471224136,3561300,0.0,1.0
1999-12-07,53.0,55.5,52.19,54.94,16.3050679496,8251100,0.0,1.0
1999-12-08,54.06,54.56,53.56,54.07,16.0468697494,4589000,0.0,1.0
1999-12-09,54.19,54.94,53.63,54.0,16.0260951816,4709800,0.0,1.0
1999-12-10,54.19,54.31,53.06,53.5,15.8777054114,3171600,0.0,1.0
1999-12-13,52.94,53.31,51.63,53.31,15.8213172987,4399300,0.0,1.0
1999-12-14,53.0,54.38,52.31,53.25,15.8035105263,5476400,0.0,1.0
1999-12-15,53.5,53.56,51.88,52.06,15.4503428732,5143000,0.0,1.0
1999-12-16,51.81,52.0,50.75,51.5,15.2841463306,7701200,0.0,1.0
1999-12-17,51.12,51.69,50.94,51.38,15.2485327858,8651100,0.0,1.0
1999-12-20,51.0,51.25,50.0,50.56,15.0051735626,5554000,0.0,1.0
1999-12-21,50.06,51.06,50.06,50.5,14.9873667902,4530900,0.0,1.0
1999-12-22,50.75,51.25,50.06,50.25,14.9131719051,4351800,0.0,1.0
1999-12-23,50.75,51.13,50.38,50.81,15.0793684477,2918500,0.0,1.0
1999-12-27,50.81,51.0,48.5,48.94,14.5243907072,4761800,0.0,1.0
1999-12-28,49.69,49.94,48.94,49.25,14.6163923647,2941400,0.0,1.0
1999-12-29,49.38,49.63,47.38,47.5,14.097028169,3560700,0.0,1.0
1999-12-30,48.0,48.5,47.5,47.69,14.1534162817,3127000,0.0,1.0
1999-12-31,48.06,49.0,48.0,48.75,14.4680025945,2021800,0.0,1.0
2000-01-03,48.56,49.0,46.62,47.0,13.9486383988,5791900,0.0,1.0
2000-01-04,47.06,47.75,43.5,44.25,13.1324946627,7173600,0.0,1.0
2000-01-05,45.0,45.13,44.44,44.75,13.2808844329,9090000,0.0,1.0
2000-01-06,44.56,45.0,43.13,43.75,13.0564449055,7153600,0.2437,1.0
2000-01-07,44.56,44.75,43.38,44.13,13.1698494555,5885600,0.0,1.0
2000-01-10,44.75,45.0,44.25,44.75,13.3548779319,7118700,0.0,1.0
2000-01-11,44.69,44.94,43.81,44.13,13.1698494555,6472800,0.0,1.0
2000-01-12,43.5,43.56,41.5,41.81,12.4774848342,8920000,0.0,1.0
2000-01-13,42.38,42.94,40.75,40.81,12.1790518078,8250000,0.0,1.0
2000-01-14,41.25,42.0,40.0,42.0,12.5341871093,9888300,0.0,1.0
2000-01-18,42.13,43.06,40.88,41.13,12.2745503763,9824500,0.0,1.0
2000-01-19,41.0,41.0,40.0,40.56,12.1044435512,10212300,0.0,1.0
2000-01-20,40.81,41.56,40.06,41.0,12.2357540829,10080400,0.0,1.0
2000-01-21,42.88,43.38,42.0,43.0,12.8326201357,15950400,0.0,1.0
2000-01-24,43.44,43.5,40.94,42.0,12.5341871093,9980400,0.0,1.0
2000-01-25,41.0,41.13,38.56,40.0,11.9373210564,15943100,0.0,1.0
2000-01-26,40.5,40.5,39.69,40.0,11.9373210564,7662100,0.0,1.0
2000-01-27,40.06,40.31,39.0,39.0,11.63888803,6920100,0.0,1.0
2000-01-28,39.31,40.44,39.0,39.25,11.7134962866,8650600,0.0,1.0
2000-01-31,39.5,43.5,39.06,42.88,12.7968081725,11255300,0.0,1.0
2000-02-01,43.0,43.0,41.75,42.38,12.6475916593,8949600,0.0,1.0
2000-02-02,43.0,43.13,42.5,42.5,12.6834036225,6675100,0.0,1.0
2000-02-03,43.0,43.19,41.31,42.0,12.5341871093,7703800,0.0,1.0
2000-02-04,42.0,42.38,41.56,42.0,12.5341871093,6773000,0.0,1.0
2000-02-07,41.38,42.31,41.06,41.88,12.4983751461,5804500,0.0,1.0
2000-02-08,42.5,43.0,42.0,42.06,12.5520930909,5669800,0.0,1.0
2000-02-09,42.31,42.81,42.0,42.63,12.7221999159,6809500,0.0,1.0
2000-02-10,42.38,42.44,41.94,42.13,12.5729834027,5151200,0.0,1.0
2000-02-11,42.0,42.06,39.75,40.44,12.0686315881,5575700,0.0,1.0
2000-02-14,39.5,41.5,39.44,40.88,12.1999421197,8459100,0.0,1.0
2000-02-15,40.0,41.0,39.56,40.69,12.1432398447,8191900,0.0,1.0
2000-02-16,40.38,40.69,38.75,39.06,11.6567940116,8475100,0.0,1.0
2000-02-17,38.94,40.0,38.0,40.0,11.9373210564,9273600,0.0,1.0
2000-02-18,38.06,38.25,36.0,38.25,11.4150632602,13922400,0.0,1.0
2000-02-22,37.25,37.31,35.56,36.5,10.892805464,14056000,0.0,1.0
2000-02-23,36.0,36.5,34.81,35.75,10.6689806942,12876300,0.0,1.0
2000-02-24,35.44,35.88,34.81,35.5,10.5943724376,12888000,0.0,1.0
2000-02-25,36.0,36.69,34.94,35.44,10.576466456,11357400,0.0,1.0
2000-02-28,35.75,37.5,35.75,37.0,11.0420219772,11264900,0.0,1.0
2000-02-29,37.19,38.13,37.13,37.75,11.265846747,8579000,0.0,1.0
2000-03-01,40.06,42.0,39.75,42.0,12.5341871093,15273600,0.0,1.0
2000-03-02,43.0,46.0,42.81,45.25,13.5040944451,14977200,0.0,1.0
2000-03-03,45.5,46.0,44.19,45.56,13.5966086833,8890700,0.0,1.0
