dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2007-06-14,37.0,39.26,37.0,38.85,25.5790654053,662600,0.0,1.0
2007-06-15,39.1,39.1,38.25,38.8,25.5461451152,1150000,0.0,1.0
2007-06-18,39.05,39.1,37.15,37.15,24.459775542,853600,0.0,1.0
2007-06-19,37.15,37.7,36.1,36.7,24.1634929311,951000,0.0,1.0
2007-06-20,36.83,36.83,35.33,35.95,23.6696885797,1721800,0.0,1.0
2007-06-21,36.0,36.7,35.75,36.7,24.1634929311,537700,0.0,1.0
2007-06-22,37.0,39.5,36.8,38.95,25.6449059855,250300,0.0,1.0
2007-06-25,39.1,40.0,38.25,39.25,25.8424277261,203200,0.0,1.0
2007-06-26,39.31,39.8,39.2,39.5,26.0070291765,119600,0.0,1.0
2007-06-27,39.5,39.8,39.0,39.75,26.171630627,270700,0.0,1.0
2007-06-28,39.75,39.95,39.5,39.6,26.0728697567,151200,0.0,1.0
2007-06-29,39.83,39.9,38.75,39.06,25.7173306237,1701900,0.0,1.0
2007-07-02,39.2,40.63,38.98,39.97,26.3164799035,2000500,0.0,1.0
2007-07-03,39.98,40.61,39.08,39.66,26.1123741049,3752400,0.0,1.0
2007-07-05,39.6,41.28,39.24,39.45,25.9741088864,4277800,0.0,1.0
2007-07-06,39.4,39.92,38.8,39.82,26.2177190332,3950700,0.0,1.0
2007-07-09,39.55,40.4,38.48,40.3,26.5337538181,5369500,0.0,1.0
2007-07-10,39.5,39.5,38.48,39.0,25.6778262756,5483200,0.0,1.0
2007-07-11,39.0,39.25,38.7,39.06,25.7173306237,5964800,0.0,1.0
2007-07-12,38.95,39.06,38.31,39.01,25.6844103336,4094400,0.0,1.0
2007-07-13,38.3,39.89,38.0,39.47,25.9872770025,2064600,0.0,1.0
2007-07-16,38.0,39.85,37.07,39.3,25.8753480162,2514800,0.0,1.0
2007-07-17,39.02,39.5,38.27,38.86,25.5856494633,3913400,0.0,1.0
2007-07-18,36.95,38.86,36.6,37.94,24.9799161255,4909400,0.0,1.0
2007-07-19,38.04,38.45,37.63,38.1,25.0852610538,2078400,0.0,1.0
2007-07-20,38.1,38.18,37.87,38.03,25.0391726477,3406800,0.0,1.0
